{'短评内容': '在火车附近，非常方便，装修很有瓷都味道，不错。', '短评打分': 4}
{'短评内容': '酒店本身环境还不错，不过酒店的位置一般，要是自己开车过去还可以，没有车的话就有点不太方便了，价格要是能在便宜三四十就更合适了 ', '短评打分': 5}
{'短评内容': '环境很好，装修的风格古色古香，都是木制，很舒适，卫生打扫条件需要加强，因为酒店周围都是树木，房间有蜘蛛没清扫干净', '短评打分': 5}
{'短评内容': '酒店的硬件设施，环境和服务都不好，位置偏，价格还贵，唯一有特色的就是他的建筑比较有特色。', '短评打分': 1}
{'短评内容': '据说还可以。但是不是我亲自入住的。不发表言论', '短评打分': 5}
{'短评内容': '整体很一般,装修风格有点特色,服务早餐很差.酒店说早餐到9点前都有,可是我8点多一点去了几乎就没什么吃的了.', '短评打分': 1}
{'短评内容': '酒店还是比较有些特色,环境很好,房间也挺干净,但是酒店离市中心有些距离,走路的话有些远,不过开车还是挺房间的', '短评打分': 5}
{'短评内容': '酒店的服务环境确实不错，也挺舒服的，就是门口打车不太好打，其他的都还不错。', '短评打分': 5}
{'短评内容': '这家酒店的设计风格我很喜欢.像日本的形式的,位置也很好,不那么吵闹很安静,卫生条件也不错弄的很干净,价格还是比较合适的.', '短评打分': 5}
{'短评内容': '卫生。服务，设施是没的说。。就是位置太偏僻了。晚上，只能在饭店吃。边上没有什么干净的小餐馆了！', '短评打分': 5}
{'短评内容': '环境、装修很有特色', '短评打分': 5}
{'短评内容': '环境很好，装修风格很有特色，设施完整到位；\r\n性价比颇高；\r\n不足之处：房间太小！胖子类型的人不适宜', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
