{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '住几次了，感觉不错！住几次了，感觉不错！住几次了，感觉不错！', '短评打分': 5}
{'短评内容': '感觉不错！', '短评打分': 3}
{'短评内容': 'Very Good! Surrounding pubs area.', '短评打分': 5}
{'短评内容': '帮同事订的，同事还比较满意，说是住着蛮舒服，出行也比较方便，下次去汕头出差还是会考虑优先选择的。。。', '短评打分': 5}
{'短评内容': '帮同事订的，同事还比较满意，说是住着蛮舒服，出行也比较方便，下次去汕头出差还是会考虑优先选择这店的。。。', '短评打分': 5}
{'短评内容': '非常好的店，地理位置在市中间，去哪里都方便，饭店的服务也很好。', '短评打分': 5}
{'短评内容': '汕头的酒店参差不齐，汉庭算是性价比比较高的。第二天一早赶飞机，就睡了一觉，其他的也没什么感觉。总体来讲还是推荐。', '短评打分': 5}
{'短评内容': '普通，正常的服务\n不是酒店，只是标准化而已\n适合商务\n如果自己出钱，可以同样价格找个舒服些的宾馆\n普通，正常的服务\n不是酒店，只是标准化而已\n适合商务\n如果自己出钱，可以同样价格找个舒服些的宾馆\n', '短评打分': 5}
{'短评内容': '环境还算不错，服务周到。早餐有些贵，比7天贵一倍', '短评打分': 5}
{'短评内容': '可以推荐~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '何晓莹', '短评打分': 3}
{'短评内容': '交通方便,在市中心,闹中取静.交通方便,在市中心,闹中取静.', '短评打分': 5}
{'短评内容': '环境很好,服务人员素质高,而且价格适可.', '短评打分': 5}
{'短评内容': '房间小了点而已。其他还好。经济消费。隔音有点差', '短评打分': 5}
{'短评内容': '房间硬件设施齐全，服务很到位，门口打车方便，性价比高，住宿条件很不错', '短评打分': 5}
{'短评内容': '靠近市中心，交通方便，购物逛街，喝茶泡妞的好地方', '短评打分': 5}
{'短评内容': '条件不错，整体印象还是挺好的，服务到位，客房舒适.', '短评打分': 5}
{'短评内容': '酒店位置不错，就在市中心。性价比很高，服务人员态度很好，热情周到，周边交通还行，打车方便，住宿环境很不错', '短评打分': 5}
{'短评内容': '主要是出入方便，其他都还好，连锁酒店都差不多', '短评打分': 5}
{'短评内容': '交通方便，环境还不错 ，这个价位还是可以接受的', '短评打分': 5}
{'短评内容': '条件还不错，推荐的位置好方便出行办事，性价比比较高.整体来讲还不错.', '短评打分': 5}
{'短评内容': '不错不错，标间性价比更高，交通方便快捷，可以推荐 \n', '短评打分': 5}
{'短评内容': '房间很干净，也够大了。位置很方便。酒店服务挺好的。', '短评打分': 5}
{'短评内容': '無停車場的配套很不方便.入住登記費時達30分鐘難以理解.', '短评打分': 1}
{'短评内容': '我10月1日入住，房间的卫生设施服务都可以。但环境的污染十分严重，整个夜晚都受到卡拉OK，迪斯高的干扰，持续到第二天早上的5.10。整晚无法入睡。第二天要改定其他的旅店咯。', '短评打分': 1}
