{'短评内容': '不错干净卫生，离古城口很近，出游很方便。', '短评打分': 3}
{'短评内容': '已经入住酒店，外观比较小，但是房间挺大，也打扫得很干净。因为是陪妈妈来，她说很满意我也开心！睡在床上还可以晚上看星星…', '短评打分': 3}
{'短评内容': '在忠义巷的一家小院，老板很热情，院子很有感觉，距离木府很近，周围酒吧少比较安静', '短评打分': 5}
{'短评内容': '客栈很有特色，饭菜可口', '短评打分': 3}
{'短评内容': '很家居，交通方便', '短评打分': 3}
{'短评内容': '夏天应该会推荐，其他季节可能有点冷，卫生间没有窗户，北方人不太习惯。房间的空间有点小，离四方街有点远，不过性价比还可以', '短评打分': 5}
{'短评内容': '很好\u3000很干净\u3000非常满意', '短评打分': 3}
{'短评内容': '位置在忠义市场附近，环境可以，老板人超级好，晚上我们在线订回程票，搞到快一点了，老板都陪着，很感激。', '短评打分': 5}
{'短评内容': '    以前的老板出去旅游了，现在客栈是她表弟在管理，环境很不错，服务也很热情。而且竟然跟我同年同月同日生，大家聊得很投缘，玩的很开心。\n    还有阿姨做得一手正宗四川菜，每到晚饭时候都是满满的人，尤其是早餐的炸酱面很好吃。今天一早的飞机，阿姨8点多就起来给我们下面条了。很温馨，很有家的感觉。', '短评打分': 5}
{'短评内容': '客栈的位置很好找到，既可以晒太阳也很清静。房间干净整齐。老板及家人都很热诚，担心客人不认路，会亲自指点甚至带路。另外他家的饭很好吃，我在丽江六天，只要在古城，几乎每顿都在那里吃。', '短评打分': 5}
{'短评内容': '很干净的，阳光非常好。纳西炒饭很好吃，庭院式的感觉非常棒。住的那天正逢新年，院子里坐着当地人团圆餐。', '短评打分': 5}
{'短评内容': '适合情侣来住，老板人不错，地方比较偏，不大好找', '短评打分': 5}
{'短评内容': '从大理13号到的丽江古城。说实话，真的性价比超高了。我从13号住到21号。没觉得有什么不好。店家很年轻，特热情。大叔做饭超好吃。 经常就是跟店里餐厅解决了。价格很公道。到了来接。要走了还能让成哥帮忙联系个去机场的车。够不错了。', '短评打分': 5}
{'短评内容': '非常不错的一间客栈，虽然比较小，但房间很好，厕所也好，主要的是热水很给力，老板也热情，有点不满意的就是我所住的那间房的门不怎么好，难开难锁！总体来说还是不错，推荐。', '短评打分': 5}
{'短评内容': '老板很热情，但我住的那个房间看上去有些萧条了，希望老板再接再励做的更好', '短评打分': 5}
{'短评内容': '12月去时是淡季，只有我和隔壁一对老外夫妇，小院的一半住的是纳西的几户人，可以顺便观察一下他们的生活。年轻的店主很热情，到忠义市场来接我，还帮我拖着很大的行李箱，其实我只有住一个晚上而已。不错的性价比高的选择。', '短评打分': 5}
{'短评内容': '环境还行，房间有点小。', '短评打分': 3}
{'短评内容': '这是一家只有五间房的客栈，店主是四川人，由于是老乡，非常热情周到，很感谢店家的照顾。房间比较古朴，也非常安静，适合自助游的朋友们。', '短评打分': 5}
{'短评内容': '老板非常热情, 店环境很好, 安静, 屋内空间不大, 有点冷, 幸好有电褥子', '短评打分': 3}
{'短评内容': '说实话，真的不想说这家店了。毛巾、一次性用品、香皂、卫生纸什么都没有。连开水都得到老板那里要。反正在我没要开水之前，根本就没提说这回事。谁不喝水啊？？？那对年纪都点大的夫妇（好像不是老板），就跟谁欠了他什么事的，服务态度一点都不好。幸好只定了一天，第二天我就走了。住侠客行去了。那才叫好的服务态度。学学吧！！！', '短评打分': 1}
{'短评内容': '房间很好.', '短评打分': 3}
{'短评内容': '不错，大叔和大婶很热情。\n就是被子有点潮的感觉，经常拿出来晒晒会比较好。', '短评打分': 5}
{'短评内容': '第一次住客栈.感觉不错.客栈的两位老人家很热情.', '短评打分': 3}
{'短评内容': '客栈的一家三口都是很实在的人 阿姨做了一手好菜 很有妈妈的味道 价格也很公道 大叔虽然说话我听不太懂 偶尔听懂的几句都是很热情的关心 女儿小邱姐语速很快 句句都有信息点 要跟上她的思维很难的 哈哈 她会提供给你最佳的旅游线路 误信了天气预报穿少了衣服 她还主动借给我衣服 她是个很信任客人的掌柜 在她家住我对丽江的认识更快了一步 更近了一步 丽江也更美了一步 房间很干净 热水很给力 如果有机会来丽江', '短评打分': 5}
{'短评内容': '只能说以这样的价格已经很不错了，不能要求太高！', '短评打分': 5}
{'短评内容': '老板是超爽的川妹子，老板把妈都好热情、朴实，店内还有正宗的川菜在前厅，都是阿姨做的，实惠好吃，正！！', '短评打分': 3}
{'短评内容': '很好，老板人也好。', '短评打分': 3}
{'短评内容': '客栈的大叔特别热情，总是热情的称呼我们小妹，我们在这里住了6天，走的时候下着雨不方便找三轮车，大叔替我们背着最重的行李箱一直送到可以直接去机场的车上，比我们自己打出租车省了好几十块钱，当时大叔顶着小雨走在前面，朋友的眼睛都湿润了，说很心疼，像看见了自己的父亲，我们下次去丽江的话还会住在这里！还有很多小细节，不一一说了……', '短评打分': 5}
{'短评内容': '退休前，因工作关系，我游历过全国不少的著名景点，也住过许多高档的酒店，但此次在丽江入住候鸟根据地餐厅客栈，却给我留下难忘印象。客栈老板的父母质朴亲切，甫一入住，他们便详细地向我们介绍丽江和周边景区的情况，哪些值得去，哪些可以不去，一一进行指点；对各个景点，如何去方便，怎样才能省钱，也不厌其烦地向我们说明。事后证明，他们的指点，对我们在丽江和周边地区的游览非常有帮助，既多玩了不少游点，还省下不少钞票', '短评打分': 5}
{'短评内容': '我们当时行程比较紧 制定了一天的计划 虽然第二天有客人预定了 小秋还是很热情的给我们介绍了“你在哪里”客栈 两个客栈都非常安静舒适 老板都是爷爷 非常热情 跟我们畅谈 像家一样的感觉 以至于到了丽江泸沽湖都没有去 就在丽江常住了一周 太舒服了 不想走了！~下次来还会选择 火车票也是小秋家给定的 非常感谢！~', '短评打分': 5}
{'短评内容': '候鸟根据地，如果下次来，我一定选这里。客栈温馨干净，出行都很方便。最最主要的是老板和她的家人真的太好，就像家人一样，老板的父母话虽不多，但是我们却可以感受到他们的真诚和关心，老板的妈妈烧得一手好菜，老板也是一个耿直的人，在这里我们还认识了有相同感受的苏州叔叔阿姨，我们离开丽江的时候，老板一家和苏州叔叔阿姨一直送，一直叮嘱路上注意安全注意行李，感动···我还会来的，丽江的，候鸟根据地，选这里没有错的', '短评打分': 5}
{'短评内容': '这次丽江泸沽湖香格里拉之行中，Qiu帮了很大的忙~很好的客栈', '短评打分': 5}
{'短评内容': '客栈不大，但是还是蛮温馨的，老板很热情，有一种归家的感觉。', '短评打分': 5}
{'短评内容': '因为客栈老板热情，价格公道，卫生环境还可以！！就是蚊子多了点，因为没有空调和蚊帐', '短评打分': 5}
{'短评内容': '热水真的很给力, 老板也很实在, 去玉龙老板都送了氧气, 去泸沽湖在老板家免费存了一些不带的行李.真的少操很多心. 而且老板家的担担面很香哦.有机会还去住他家!!', '短评打分': 5}
{'短评内容': '位置比较难找，但是挺安静的，总体来说还不错。', '短评打分': 3}
{'短评内容': '一般般。。。。。凑字数。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还行吧，就是离我要去的地方比较远，没有我想象中的漂亮院子，也没住到二楼', '短评打分': 5}
{'短评内容': '服务很好，很客气，卫生还行，环境一般，价格还可以。', '短评打分': 5}
{'短评内容': '很有纳西族风情，客栈很安静，老板很热情，非常舒适安逸。', '短评打分': 5}
{'短评内容': '总体而言，还是较实惠的客栈。只是去住店的时候，店主出去旅游了，只有两位老人在看店，不容易。但说实话，客栈信息提供的不太准，对购机票，出游帮助不大，花了不少冤枉钱。哎！不怪老人家，但下次会选店主信息通畅的客栈。', '短评打分': 1}
{'短评内容': '很好的一家客栈，老板待人热清和周到，我很满意，下次还会去这里', '短评打分': 5}
{'短评内容': '性价比不错的', '短评打分': 3}
{'短评内容': '老板人很好', '短评打分': 3}
{'短评内容': '老板人很好 ， 很热情 ， 房间也很干净 ， 下次去丽江还会去的。', '短评打分': 5}
{'短评内容': '虽然有点难找，但是房间有天窗，很是喜欢，红色木门，很好看的说！', '短评打分': 3}
{'短评内容': '很有特色，老板也很热情淳朴，蛮不错的', '短评打分': 3}
{'短评内容': '四个字：物美价廉、物美价廉、物美价廉、物美价廉。\n如果你要求非常好的住宿环境，那可以靠边站了！这里只能够满足基本的需求。\n还不错啦。该有的都有。热水也很好！', '短评打分': 5}
{'短评内容': '房间和想象中的差距很大，而且淡季去古城，75块的价格和这家客栈实在是不搭。我们后来在古城随便问了几家地理位置更好，设施更全的也只要80块钱。厕所没有门，只能拉个帘子，无任何洗漱用品提供，连厕纸都没有，电视机收不到信号……\n这家客栈还需要付定金，到了那儿想退房都没法。\no(︶︿︶)o 唉\n以后都不太愿意在网上订客栈了，还不如自己去找。', '短评打分': 1}
{'短评内容': '比较安静，走出去不远可以到临忠义市场的马路上，不用拖着行李走很远，比较方便的。老板很和气。店里吃的东西不贵，味道也不错。推荐。', '短评打分': 5}
{'短评内容': '老板很热情，房间也算不错，很温馨', '短评打分': 3}
{'短评内容': '以这个价位来说，已经是性价比很高的客栈了．老板娘和她的家人都很热情．', '短评打分': 5}
{'短评内容': '很干净卫生，设施该有的都有，还有独立的卫生间，性价比还ok，就是缺少点人气。前院和后院还不是一家哦', '短评打分': 3}
{'短评内容': '1、地理位置不错，离忠义市场和四方庙会近，想吃地道的云南小吃还是去菜市场吧。比大研古镇那里面卖得那些个小吃值多了。\n2、还可以坐车直达束河古镇，30多分钟吧。比大研安静，更有看头。\n3、店里人很好！\n4、有电热毯，丽江虽然白天暖和，但早晚挺凉的，被子很舒服，洗个热水澡真不错！\n5、有两条小狗，弯弯和多吉，很可爱哒。', '短评打分': 5}
{'短评内容': '这个地方给人一种家的感觉，很舒服，很温馨。\n吃饭也特方便，阿婆的手艺很好，我都懒得跑外面去吃了。\n这边也有条狗，挺好玩的，无聊的时候可以逗逗它~\n住宿条件在这个价位来说绝对是相当舒适的，房间也很漂亮，床上都有电热毯，不会感到冷，热水也不错，又大又热。在丽江我已经住了3个不同的客栈或酒店，总体来说，这个地方是最安逸的。\n', '短评打分': 5}
{'短评内容': '好喜欢候鸟的热水，很大很热，超舒服，特别是在冬天！房间很古典，不豪华但是蛮有风格的。老板一家就在楼下住，很亲切的民居风情。女老板和阿姨都很好人，会介绍很多旅游资讯，所以报团记得跟客栈报，不要随便在旅行社报。不错的客栈！', '短评打分': 5}
{'短评内容': '不太好。。楼下的房间下雨天门很难锁 床单什么的感觉都不好', '短评打分': 1}
{'短评内容': '性价比较高，主人热情周到，热水超好用。', '短评打分': 3}
{'短评内容': '挺好的\n下次还会考虑\n挺好的\n下次还会考虑', '短评打分': 5}
{'短评内容': '酒店位置不错 就是冬天有点冷 硬件条件一般', '短评打分': 1}
{'短评内容': '优势是价格相对优惠，老板家的老人应该是父母吧，人很好，热水也不错。\n劣势是位置较偏，靠近忠义市场，我对古城很熟悉还好说，其他新来的游客难免不方便。夏天住这里还不错，但进入11月后晚上很冷，卫生间的窗户为了通风方便只有百叶挡板，所以会漏风。重要的是没有电热毯，哪怕额外付费租借也好。只好穿得严严实实再盖被子。。。。好在只住了一晚就随阿拉丁的团去梅里了', '短评打分': 5}
{'短评内容': '订的房间是两个大床房，酒店给安排的房间是一间大床，另外一间双床，反馈以后酒店给更改了房间解释说我们带了老人安排楼下比较方便，态度也还不错就没再计较。', '短评打分': 3}
{'短评内容': '    先说说客栈的人吧。在候鸟根据地餐厅客栈住了几天，客栈的老板以及叔叔、阿姨都很热情，不仅嘘寒问暖，还很耐心地为我们的出行计划提出中肯的建议，事实证明，他们的建议都是正确的。。\n    再说说客栈的住宿条件，典型的纳西民居，我们住在二楼的大床房，带天窗的，干净整洁，宽带、热水也比较方便。\n    总的来说，候鸟根据地餐厅客栈真有点家的感觉，如果下次有机会再去丽江，还会住这里的。', '短评打分': 5}
{'短评内容': '到酒店时间比较晚了，敲门没有人开。没办法就更换了其它酒店，但那边做了信用卡担保，协调后取消没有扣款。', '短评打分': 5}
{'短评内容': '    客栈位置适中，离木府、忠义市场都很近，出入较为方便。客栈属于比较贴近生活的小院子，性价比高，但要求太高的朋友就要考虑清楚了。院子较为清静，住了三天，我天天早上都赖床，不想起来，呵呵~~~房间大小适中，可无线上网，24小时热水，卫生间的布置颇有心思，但敞开式设计可能会有些人不太习惯。客栈老板是位女孩，但常出外，主要由其两位父母打理，都是比较厚道的人。客栈的小餐厅坐着挺舒服，喜欢阿姨做的鱼香肉', '短评打分': 5}
{'短评内容': '店家做的皮蛋瘦肉粥很有特点哦，我每天早上都喝上一大碗～', '短评打分': 5}
{'短评内容': '住了快半个月了，房间整洁舒适，有个天窗感觉很好。睡觉很安静！院子虽然小点，不过还有个纳西老奶奶，蛮有意思。客栈老板很热情直爽，前厅就是个川菜，刚好对了胃口，很方便，很可口，很好吃。出行也很方便，靠近木府，去新城也不远。再来丽江还会住这里的。', '短评打分': 5}
{'短评内容': '住了三天没看到真正的老板，可能也是我们早出晚归的原因，基本没有什么庭院可言，而且洗漱用品也不齐全，不过房间的布置倒是很别致，位置也比较安静。后院的客栈让我们很羡慕，布置的很温馨，下次去丽江可以考虑住后院，哈哈。', '短评打分': 1}
{'短评内容': '价格合理,设施齐全,个人感觉住的很不错.\r\n阿姨做的饭菜也很可口呢...', '短评打分': 5}
{'短评内容': '客栈的院子不太好，乱乱的，房间凑合，隔音的效果太差，隔壁看电视我听得清清楚楚，恨不得过去请他们把声音调小一点，洗澡的热水倒是非常好，周围吃饭也比较方便，店老板是个年轻的女孩，比较热情，感觉待人也还诚恳。', '短评打分': 3}
{'短评内容': '+客栈很小.内部环境还可以.不过没有之前想象的那种感觉.', '短评打分': 5}
{'短评内容': '丽江小客栈的老板都很好 我住的这里也不例外', '短评打分': 5}
{'短评内容': '房间里有小飞虫，墙壁、床单上都会爬蚂蚁，床单被套等虽然是清洗过的，能闻到洗衣粉的香味，但是有洗不掉的污迹，而且为什么不考虑白色的床上用品呢？会看上去专业、整洁些。浴室的地漏下水有点堵，水很久才能下去，台盆也不是很干净，服务员反应比较慢，当然老板和服务员人都不错，和住客的气氛不错，但是硬件、软件都有待加强', '短评打分': 1}
{'短评内容': '很一般的客栈，我们预定的是日式大床，结果到了给我们安排的是什么榻榻米，还预定的勒，根本不是我们预定的房间。\r\n\r\n因为住的楼下，完全没什么感觉。照片的确是实景照，但是现实中给人的感觉很一般，而且在楼下旁边的屋子还贴了一对白底黑字对联。恐怖死了~~~~~~客栈也没有牌子，不好找，迷路了打电话叫老板接一下，结果嫌远了不愿来接，叫我们绕了很久，要不是已经预定了，当时就不愿住了。\r\n\r\n前院的环境不如后院', '短评打分': 1}
{'短评内容': '不是很推荐！在淡季，丽江里条件好的，价位也差不多的店有很多呢！店里光线太昏暗了！感觉不是很干净…但是，热水不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '房间有点小下水不太通畅但感觉还不错', '短评打分': 5}
{'短评内容': '呆了7天啊，住的前院。\r\n本来开始打算住两天就换个客栈，没想到一住下就压根不想换了。原因如下：\r\n\r\n位置：动静相宜。离木府、四方街都很近，但又不吵。离忠义市场、南门也很近，想吃水果，想买松茸很方便，而且不会被宰。想去新城吃饭也很便捷。\r\n\r\n房间：不能说很好，但完全对得起这个价格，属于性价比很高的。二楼的房间有天窗，很别致，看得出老板花了很多心思。不为看星星，就是全天接触到天光也是种很难得的体验', '短评打分': 5}
{'短评内容': '....我点错了....我想点推荐的....', '短评打分': 3}
{'短评内容': '还行,就是有点远~~~绕来绕去老是找不到地方', '短评打分': 1}
{'短评内容': '很不错的老板和客栈，性价比很高！想要获得吃、住、行、购物各方面得到一些优惠，找这家老板就对了。热水很大很舒服，推荐住宿。听说冬天长包房还可以优惠，适合旅游的驴友朋友们。', '短评打分': 3}
{'短评内容': ' 客舍环境挺好，老板人不错。不过条件一般', '短评打分': 5}
{'短评内容': '我住的是前院，老板也是年轻人，我不明白前面的人为什么要抨击前院，你住过吗？如果没有，请不要抹黑，这家客栈真的很不错，老板不像老板，更像是认识多年的朋友，住在这里有家的感觉，以后我也会向朋友推荐前院。', '短评打分': 5}
{'短评内容': '非常好的客栈,地理位置也非常称心.摩西老板和小萍姑娘象家人般亲切。房间宽敞，屋顶还有星星月亮在夜晚闪耀。狗狗小扎西调皮但也懂事。鼓励在这里自己做饭吃。会推介到丽江朋友入住这候鸟根据地后院。记住，一定要后院。', '短评打分': 3}
{'短评内容': '刚入住两天,就感觉会舍不得离开了.老板夫妇人非常好,客栈地段也非常好,安静又方便,自己能买菜做饭,周边商店价格也比四方街便宜实惠.这里很自在,有家的感觉.有朋友来丽江,一定第一推介这里.\r\n前面有人说前院好,实在想不出前院哪里好?环境与设施无法比拟,服务更是不一样.我猜估计是因为前院没有古城维护费的销售吧,但这个八十块钱是后院免费附带的无偿服务罢了,每个人进古城按规定都要买的.', '短评打分': 5}
{'短评内容': '房间不太大，不过挺温馨的！老板很热情，老板还兼开饭馆，川菜，味道不错！就是前院的环境比较一般，没有后院的漂亮！', '短评打分': 5}
{'短评内容': '哈哈，忘记说了，想出去玩的话可以事先问下客栈的老板一家，会推荐比较好的地方，店家女孩比较爱玩，也可以跟他们一起活动，我是错过了，下次有机会一起玩，哈哈。是推荐的客栈，不过下次去希望能住上那间带天窗的房间，哈哈哈。', '短评打分': 3}
{'短评内容': '性价比比较高的客栈，客栈老板一家人也很好，要是大叔的不要那么严肃就更好了。', '短评打分': 5}
{'短评内容': '丽江候鸟根据地客栈超好，客栈老板摩西哥哥和小萍姐姐人也超好的。（注意哦：是后院。呵呵我也是到了才知道前院和后院是两家老板。我在前院住了一天，后院住了五天，前院住的就是那间有天窗能看星星的房间，怎么说呢 哎：（。。。我想大家开始也都会认为是一家的吧，所以提醒亲们定的时候一定要注明前院后院哦）。我住的是后院二楼的喜来居，房间超好 屋子很大，最喜欢的是屋子里还有个躺椅，那个惬意啊，舒适的我有两天都没出门', '短评打分': 5}
{'短评内容': '客栈老板的父母很热情，给人以家的感觉。老板是个女的，人也好，还帮忙联系了香格里拉二日游，性价比很不错的。\n需要提醒一点，尽量订前院的，不推荐后院。至于其中的原因，大家到了就知道了。呵呵......', '短评打分': 5}
{'短评内容': '老板一家都是很不错的人，老板的妈妈做得一手正宗的盐帮菜，一家人对人都很热情，强烈推荐哈!', '短评打分': 5}
{'短评内容': '老板很和蔼！~~所以是内向的人也不会有沟通障碍。\r\n是外面饭店里面客栈的形式，外面的布置很有个性，还有书柜可以看书。\r\n床很舒服。但是里面的盆子有点脏，袋装的洗发水和沐浴露看起来也历史悠久，这个最好要自备。\r\n主人有养狗，我每次上下楼都特别小心，虽然它只是第一天冲我叫过，以后就不见了。隔壁的庭院青年旅社貌似有只很凶的大狗。。', '短评打分': 5}
{'短评内容': '有机会下次再去～', '短评打分': 3}
{'短评内容': '比较安静，可靠', '短评打分': 5}
{'短评内容': ' - -还行吧', '短评打分': 1}
{'短评内容': '性价比蛮好的酒店，就是我住的那个房间光线不太好，有些暗，老板人不错，服务周到热情，下次还会考虑入住的。', '短评打分': 5}
{'短评内容': '进进出出，老板的父母很慈祥的问一句，回来了？要出去？感觉很温馨，就像自己的父母，有种家的感觉。', '短评打分': 5}
{'短评内容': '她家是长途电话免费，无线上网，楼上的房间是开天窗的，可以看星星。很浪漫哈。', '短评打分': 3}
{'短评内容': '酒店位置比较好，性价比高，房间内部干净豪华，住着很舒服。', '短评打分': 3}
{'短评内容': '这家酒店老板非常热情厚道，房间设备也很满意。', '短评打分': 5}
