{'短评内容': '那个电视太老了，还有打扫的阿姨太吵了。', '短评打分': 3}
{'短评内容': '房间太小，隔音差，楼道里半夜经常有客人大声喧哗，服务还可以，早餐过于简单。', '短评打分': 5}
{'短评内容': '我们的房间很大 服务也很好 总体不错 恩', '短评打分': 5}
{'短评内容': '我女朋友新买的衣服在如家丢了！\n打电话问前台，前台说不知道，说没有见到。明明就落在房间里了！ 难道他们就不会查一下门前的监控吗？\n\n再也不去这家住了！', '短评打分': 1}
{'短评内容': '如家快捷酒店（昆明建设路店）>到云南大学去看小松鼠很方便哦', '短评打分': 5}
{'短评内容': ' 环境不错，比较满意！', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '隔音效果不好！！！而且在昆明来说算很贵的！！！不如去住云上四季，京王等昆明本土连锁吧~~~', '短评打分': 1}
{'短评内容': '环境不错，就是大床房两人睡感觉有点小', '短评打分': 3}
{'短评内容': '还不错，周边靠近很多大学，没有事情的时候可以去逛逛', '短评打分': 5}
{'短评内容': '酒店还不错，比较方便,以后有机会还会选择入住\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '如家酒店感觉真的有回家的感觉，干净、整洁、温馨，服务员耐心细致，很不错！以后还选如家！', '短评打分': 5}
{'短评内容': '真的很舒服，和名字一样，就是宽带网速有点卡', '短评打分': 5}
{'短评内容': '服务还可以，出行比较方便，比较满意，下次还住！', '短评打分': 5}
{'短评内容': '卫生不错 态度不错 位置也不错啊 呵呵 下次还住 要是打折就好了', '短评打分': 5}
{'短评内容': '服务很好 地理位置也不错 下次还会入住 烦的要死 为什么必须最少20个字', '短评打分': 5}
{'短评内容': '不太好。一般。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '距离翠湖和云南大学有点距离，附近公交方便', '短评打分': 5}
{'短评内容': '环境卫生都不错~交通便利~~早饭还不错~~', '短评打分': 5}
{'短评内容': '很好的，床很大的，房间临街有点吵啊。。。。。。。', '短评打分': 5}
{'短评内容': '蛮好的，就是房间有点小。。。。。。。。。', '短评打分': 5}
{'短评内容': '我们已入住如家,感觉不错,态度挺好,', '短评打分': 3}
{'短评内容': '网速太慢', '短评打分': 3}
{'短评内容': '干净整洁。就是房间有点小咯，不过还是很温馨的。', '短评打分': 5}
{'短评内容': '酒店比较干净，位置还不错。只是离机场有点远。', '短评打分': 5}
{'短评内容': '酒店还不错\n地理位置好，方便。\n床够大，就是洗澡淋浴水有点小~\n', '短评打分': 5}
{'短评内容': '这个…订的大床…不说啥…房间超级小。额…不像我想的。', '短评打分': 3}
{'短评内容': '地理位置很好， 附近交通很方便， 服务员的态度超赞。环境也比较安静。  就是给我的那个房间有点小， 我从房间里的走火图上看出我的房间是最小的那间。', '短评打分': 5}
{'短评内容': '办理登记有点慢，房间太小，180还没早餐，不够“如家”', '短评打分': 1}
{'短评内容': '如家商务大床8709，很吵。很干净，舒适。服务员效率一般，态度较好。', '短评打分': 5}
{'短评内容': '酒店不错，就是价格能在低点就好,不太隔音，有点吵', '短评打分': 5}
{'短评内容': '不错，热水大冬季洗澡很舒服', '短评打分': 3}
{'短评内容': '总体(包括卫生和服务)感觉还可以。就是房间稍微有点小。', '短评打分': 3}
{'短评内容': '位置不错，距离高校很近；我住在靠马路的一边，隔音效果很好；房间干净整洁，有饮水机；上网速度也可以；下次还会入住', '短评打分': 5}
{'短评内容': '地理位置还不错，有点偏贵，性价比一般，住宿还可以', '短评打分': 5}
{'短评内容': '环境很好，虽然在路边，但因为有两层窗户，所以很安静。', '短评打分': 5}
{'短评内容': '住的10楼的电子商务房，电脑是宏基的新一体机，感觉还不错，很干净，很安静，喜欢如家的沐浴露，是椰子味的。', '短评打分': 5}
{'短评内容': '地理位置是该酒店最大的优势，我住的房间临街，有些吵 ，前台服务人员态度很好，总体上不错。', '短评打分': 5}
{'短评内容': '干净，也很安静，交通出行很方便，周边吃的和酒吧也很多。性价比不错。', '短评打分': 5}
{'短评内容': '地理位置很好，去云大不到10分钟步行。卫生间有点异味，早餐不送，有点小遗憾。\n前台态度不错', '短评打分': 5}
{'短评内容': '好.', '短评打分': 5}
{'短评内容': '还不错，就是邻街道有点吵，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '+总的不错，挺干净的，交通也方便。', '短评打分': 5}
{'短评内容': '前台服务不错。可网速实在超卡。而且被服务员告知连续入住。床单是三天才一换，除非每天结算一次房。晕', '短评打分': 3}
{'短评内容': '+房间还不错,很干净,秉承了如家一贯风格', '短评打分': 5}
{'短评内容': '网速太慢!', '短评打分': 5}
{'短评内容': '好  继续入住  国庆期间还要继续进入如家  希望能一如既往的好', '短评打分': 5}
{'短评内容': '感觉挺舒服的~环境还不错~就是房间牌号有点难找', '短评打分': 5}
{'短评内容': '+房间感觉很温馨，就是隔音效果不太好。', '短评打分': 5}
{'短评内容': '办理手续时比较慢.前台工作人员不是很专业,其它各方面都非常好,各方面都比较达标.', '短评打分': 5}
{'短评内容': '住宿环境不错，服务很好，有家的感觉', '短评打分': 5}
{'短评内容': '酒店位置还行，房间还可以。服务的话还不错，价格的话我是感觉在当地还是有些高，其他方面都还成和快捷酒店差不多。', '短评打分': 5}
{'短评内容': '如家的标准服务很流程化了，但是很多细节还是要改进。比如早餐券还要我自己问才给我', '短评打分': 5}
{'短评内容': '+干净整洁,下一站还住如家!', '短评打分': 5}
{'短评内容': '这家酒店的位置不错，里面的服务也很好，我到昆明好几次都是住在这个酒店，服务员的态度也很好，确实有宾至如归的感觉。', '短评打分': 5}
{'短评内容': '服务还好，大床睡的挺舒服，是昆明唯一一家有电脑房的如家酒店，地理位置尚可交通还算方便。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
