{'短评内容': '已住了几天，环境好，干净舒适是出差住宿的好地方。', '短评打分': 5}
{'短评内容': '不错，很干净，一如既往地如家，有机会还去住。', '短评打分': 5}
{'短评内容': '如家感觉真好，跟家里一样，很温馨！', '短评打分': 3}
{'短评内容': '酒店很温馨，住着很舒适，价钱也合理，适合旅游出差小住！', '短评打分': 5}
{'短评内容': '很安静。。。环境还不错，逛街比较方便！走过桥就是中山路和朝阳，逛街小吃两不误！', '短评打分': 5}
{'短评内容': '房间小巧，面面俱到。考虑周全，细节取胜。价格合理，离火车站就三站路。爸妈住了很满意。', '短评打分': 5}
{'短评内容': '价格是比较实惠的 一分钱一分货  味道不是很好臭臭的  房间比较小   经济型的也就它了', '短评打分': 5}
{'短评内容': '第三次来了，总体感觉还可以，就是第一次住无窗房还是感觉有点闷。', '短评打分': 3}
{'短评内容': '挺好，干净卫生，就是稍微小了些', '短评打分': 3}
{'短评内容': '价钱比较实惠，就是隔音不太好，离朝阳广场很近，交通方便！', '短评打分': 5}
{'短评内容': '房间还是过小。而且房间卫生比较差。只能说这个价格对得起这个条件。有待改善卫生环境。', '短评打分': 5}
{'短评内容': '入住如家邕江大桥店，舒适卫生，交通便利！非常', '短评打分': 3}
{'短评内容': '地段不错，很干净！', '短评打分': 3}
{'短评内容': '酒店刚好在我培训上课的地方附近\n很方便我上课，很满意！！\n就是前台接待的速度有些慢。\n可以免费停车，真的很好！！', '短评打分': 5}
{'短评内容': '住了几次，不错！干净舒适。交通方便。就是房间小了点。', '短评打分': 5}
{'短评内容': '服务员的态度很好，卫生也定时整理得很干净', '短评打分': 5}
{'短评内容': '酒店旁边吃饭很不方便.', '短评打分': 3}
{'短评内容': '虽说是优惠大床房，但也有差别，之前团购的那次住的就明显比这次的好，不论房间面积、或是布局，都感觉比这次的超值。也许就是存在这样的比较，所以这次感觉不是那么好了，但总体来说还是挺满意的，毕竟是新店，卫生、设施等都不错，住起来很舒服，以后会长期锁定这家店的。', '短评打分': 5}
{'短评内容': '环境不错，温馨，干净，安静。离市中心也比较近。', '短评打分': 5}
{'短评内容': '没有其他的如家好，房间太小！而且房间有味道。', '短评打分': 1}
{'短评内容': '酒店不错，装修新，色调配得很好，只是房间稍微小了点。', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好！', '短评打分': 3}
{'短评内容': '挺干净的 但是很小 ', '短评打分': 3}
{'短评内容': '一直都很喜欢如家…', '短评打分': 3}
{'短评内容': '地理位置不错  处于市中心较近的位置  不错下回还去', '短评打分': 5}
{'短评内容': '己入住十分满意', '短评打分': 3}
{'短评内容': '挺整结，挺干净，地方不错', '短评打分': 3}
{'短评内容': '交通便利，出门就有公交车站（邕江桥南），出去朝阳广场才一站的距离，到古城路一带，动物园都有直达车，很方便。到琅东站就要转车，但不麻烦，打的也才30块。2011年底新开张的连锁店，一切极新，服务员态度随和，虽然房间比较精简，日常用品也讲究环保，量少，但住得挺舒服的。服务也比较周全，比如提供付费的10元早餐套餐，装房卡的纸袋就印有简单的地图，以及能到店的公交车路线，服务前台也有电吹风可借用。但是又几点', '短评打分': 5}
{'短评内容': '服务态度很好，房间干净，整体来说，是个不错的酒店，入住两次过后，总是给人家的感觉。值得推荐。', '短评打分': 5}
{'短评内容': '还不错，离万达广场不远，就是附近吃饭的地方不多，要走大约800米，中山路小吃一条街。', '短评打分': 5}
{'短评内容': '很卫生,态的也还不错.', '短评打分': 3}
{'短评内容': '这是我第2次入住如家，服务不错，房间很干净整洁，装饰风格感觉很温馨，确实有如在家的感觉，离火车站就3个站的公车，市中心就一个站，只是吃饭的地方稍微有点远，不过还是值得推荐入住的。', '短评打分': 5}
{'短评内容': '就是吃饭不方便 别的都很好就是吃饭不方便 别的都很好就是吃饭不方便 别的都很好就是吃饭不方便 别的都很好', '短评打分': 5}
{'短评内容': '还可以的酒店，就是木有窗户，电视还不错撒。', '短评打分': 5}
{'短评内容': '位置还不错,距离南宁最为繁华的商业街仅两站路,客房空调很给力,无窗房,住的也很舒适.\n若早餐改为自主,更好', '短评打分': 5}
{'短评内容': '环境安静，工作人员态度好，房间温馨，给人感觉很好，下次还会去', '短评打分': 5}
{'短评内容': '酒店服务员服务态度很好，房间很干净，通风不好有点闷', '短评打分': 5}
{'短评内容': '酒店服务员服务态度很好，很干净，卫生间挺大的，呵呵', '短评打分': 5}
{'短评内容': '该点内色是搭配不错，都是暖色调，但是房间没有吹风机，还要问前台要，而且数量有限，牙刷质量也不行，电视机也太小，住的房间窗口都是坏的，关都关不了，本来抱着新鲜的感觉入住，竟然是这种体验。 就是环镜很不错，服务员态度好。', '短评打分': 1}
{'短评内容': '符合价格标准。可能是新开的店吧。设施很干净很新很不错。', '短评打分': 5}
{'短评内容': '交通比较便利，离南宁最繁华的步行街和中山路小吃街也就是步行20分钟的路程。酒店的装饰很温馨，可以说麻雀虽小五脏俱全。不过最大的缺陷就是窗户过小，基本是出于密封状态，感觉空气有点闷，抽风机功率似乎也不够。', '短评打分': 5}
{'短评内容': '酒店的设施和环境都不错。', '短评打分': 3}
{'短评内容': '还可以，就是离我去的地方远了。每个如家都差不多。', '短评打分': 3}
{'短评内容': '宾馆环境不错，服务员很热情,唯一不好的就是周围吃饭的地方太少了，呵呵', '短评打分': 5}
{'短评内容': '选了个特惠大床,没有窗户，屋里的灯光还是很温馨。服务很专业。', '短评打分': 5}
{'短评内容': '保安的服务态度真差，敲门又用力！像追高利贷的人一样！一点素质都没有！', '短评打分': 3}
