{'短评内容': '这个也快，够快，确认', '短评打分': 5}
{'短评内容': '酒店位置佳，在地铁口边上出行方便；酒店内设施齐全干净，电梯在晚上11点至凌晨5点出入时须插入房卡才能运行；服务也好，早上有中文报纸送。', '短评打分': 5}
{'短评内容': '性价比可以，位置可以，服务可以，环境可以。', '短评打分': 5}
{'短评内容': '真的是很不错的酒店，晚上还到酒店楼顶游泳，真的是好舒服。呵呵 不过这个酒店不好的地方就是他要下午3点才能入住，真是不知道这个是什么规定，本来想到酒店先休息下的，谁知道还有这个规定，如果入住这个酒店就要安排好时间了。', '短评打分': 5}
{'短评内容': '酒店很好，就是床的脚用木做这设计真的太失败，多次脚碰到，还痛到现在。', '短评打分': 5}
{'短评内容': '非常好的酒店，可以推荐朋友入住，房间和早餐都很好', '短评打分': 5}
{'短评内容': '很不错的酒店,周边出入很方便！下次还会入住！推荐！', '短评打分': 5}
{'短评内容': '酒店很漂亮，如果价格再优惠点就更好了！支持！', '短评打分': 5}
{'短评内容': '是我目前住过感觉最好的香港酒店.2点可以改进:行李送房的时间不要太慢(我等行李在房间等了40分钟),另外建议酒店不要刻意把CHECK IN时间定在下午3点,希望根据不同客人的情况再人性化.', '短评打分': 5}
{'短评内容': '酒店服务特好,我换了两次房服务生还是面带微笑的;房间设备及细节也到位,购物可方便啦!', '短评打分': 5}
{'短评内容': '     对酒店评论   ：一切都很好，干净卫生，服务周到。', '短评打分': 3}
{'短评内容': '旺角区少数可选的酒店，总体不错，交通非常方便。比尖沙咀同档酒店要好不少。', '短评打分': 5}
{'短评内容': '还好吧，地点方便，地铁旺角出口上去就是。装修不如广州富力君悦，价格可比君悦贵多了，洗发精什么的都是英文名称，太不尊重国人了：（我住31楼，还比较安静。没有wifi，不能用ipad上网，房间里还放一台iphone4，也不知道是什么目的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '第二次入住了，性价比还是如此高..很喜欢。', '短评打分': 5}
{'短评内容': '酒店的位置没法说，闹市之中，十分方便。 楼下有米其林餐厅（可以叫其送餐上房）及各种快餐店，一天三餐没问题。\n单人房挺大的，房外景观开扩。\n房内的装修现代但不算出众，沿用了传统花纹的家具，地毯。比湾仔的SHERTON现代,但不够W HOTEL的时尚。\n价钱再便宜两三成就PERFECT了。', '短评打分': 5}
{'短评内容': '房间超好，就是酒店的生意实在是太好了，确认等了很久，大约是一点多到的，要我们三点才能进房间，而且退房不能延时，感觉非常的不公平，他们的回答是实在安排不过来，那难道我们住户的利益就可以随意侵犯？好不容易商量结果只给了一个小时，郁闷！不过最后还是给了我们一点安慰，其中有一间房给升级了，爸爸妈妈住的很开心，感觉房间大的舒服，设备也非常的新，而且很现代化，出门购物非常的方便，去先达广场只需拐个弯，这是最满', '短评打分': 5}
{'短评内容': '服务不错,位置不错,性价比可以,设施较好.', '短评打分': 5}
{'短评内容': '酒店很好，服务周到，环境干净整洁，设施也很好，价格也合理，值得推荐。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '酒店的有一流的软件服务，服务真的很好，宾至如归啊。配置硬件都非常好，很值得推荐入住。', '短评打分': 5}
{'短评内容': '房间很好，很大很宽敞，房间也非常舒适。位置也是非常不错的。', '短评打分': 5}
{'短评内容': '离“女人街”很近，穿着高跟鞋也不怕太费脚了，呵呵，位置好', '短评打分': 5}
{'短评内容': '旺角地铁就在旁边，出行很方便，酒店的装修很不错，很有动感', '短评打分': 5}
{'短评内容': '他们的水疗装修很豪华，而且享受起来很美妙，服务做得很好', '短评打分': 5}
{'短评内容': '很好的酒店，之前一直都在入住，卫生很干净，服务也很好，只是每次送报纸全部都是英文的，建议下次也可以配备中文报纸，这样服务会更到位的。', '短评打分': 5}
{'短评内容': '很清洁，非常舒服', '短评打分': 5}
{'短评内容': '价格高', '短评打分': 5}
