{'短评内容': '环境还可以  房间稍微小了点 ', '短评打分': 4}
{'短评内容': '床不是很舒服 早餐挺贵 其他的不错', '短评打分': 4}
{'短评内容': '房间太小了，虽然位置还不错，但是总觉得住进去憋得难受价格中等！', '短评打分': 1}
{'短评内容': '酒店环境很好，很干净，以后出差就住这里。', '短评打分': 3}
{'短评内容': '酒店环境很好，前台服务也好好，很喜欢这里，以后就来这了', '短评打分': 3}
{'短评内容': '4月30日入住，一家三口订了间一米八大床房，宾馆有一个大院子停车很方便，房间很整洁，第一眼感觉很舒心，洗手间格局很紧凑，以后还会来。', '短评打分': 3}
{'短评内容': '有自己的院子\r\n停车方便\r\n不靠马路\r\n晚上也能休息好', '短评打分': 4}
{'短评内容': '房间比较干净，洗手间挺大的，但是我是比较小，房间隔音不是太好，总体来说还可以，值得入住', '短评打分': 5}
{'短评内容': '小长假去的济南，入住速8很干净，服务很好！以后还会关顾！', '短评打分': 5}
{'短评内容': '很干净不错的', '短评打分': 3}
{'短评内容': '还是不错的，挺舒服的，前台服务挺好，洗手间空间不错，只是洗澡的时候需要放水一段时间才热。', '短评打分': 5}
{'短评内容': '双人标间整体还不错，设施服务该有的都有，不过洗漱间居然没有吹风机...而且中午12点前必须退房，延迟一点儿时间都不商量。', '短评打分': 5}
{'短评内容': '因为离我办事地点比较近，看网上点评说是2011年的新酒店，就预定入住了。感觉服务很一般，大厅里也没人文关怀的电脑，也没有沙发供客人坐，前台小姐态度不太好，脸孔板板的。房间很冷，中央空调集中供暖取消，说没有办法，别人也是这样。吃饭也不方便，打的竟然连续2天8点多出行打不到。办事效率很低，没有接纳建议的诚意。洗漱间倒是很大，可是大而无当，洗澡时候把水全部溅出来了。房间里没有澡帽，给客房要，说，贵宾才有', '短评打分': 1}
{'短评内容': '房间很宽敞，环境很好，相当赞！', '短评打分': 3}
{'短评内容': '交通很方便，楼下就是站点，离泉城广场不远，楼下有自己的停车场，酒店很新，服务很好，比我以前住过的速八都好，以后去济南还会来这里住。', '短评打分': 5}
{'短评内容': '酒店设施非常不错，周边紧邻微山湖鱼馆，卫生条件也不错。', '短评打分': 5}
{'短评内容': '很好，很干净，服务员态度很好，以后出差就是你家了。', '短评打分': 5}
{'短评内容': '配置不错，离大明湖很近，价位还算合理，下来再来', '短评打分': 1}
{'短评内容': '酒店不错附近就餐太方便了只是店内针线包等服务用品缺少', '短评打分': 3}
{'短评内容': '还可以、就是空调冷点、', '短评打分': 3}
{'短评内容': '还不错，比想象中的好~冲凉下水口很堵。。。', '短评打分': 5}
{'短评内容': '卫生一流，服务周到！', '短评打分': 3}
{'短评内容': '环境很整洁舒适，服务快捷贴心，超赞的！', '短评打分': 3}
{'短评内容': '总体还比较干净，服务态度还不错。就是洗浴与厕所没有隔开，弄的到处是水。', '短评打分': 5}
{'短评内容': '给朋友定的 还是一如既往的不错 就是电视信号能好点就更完美了', '短评打分': 5}
{'短评内容': '酒店位置很好，出门比较方便离火车站打车20快左右，酒店内的配置很不错，内部装修不错，床很软，也很安静，下次去出差还去住100分', '短评打分': 5}
{'短评内容': '位置好，不错，干净\n下次还来\n我有优惠券\n', '短评打分': 5}
{'短评内容': '房间很干净，空调维修不太制冷，工作人员及时帮我换房间，服务很周到。下次还会住。', '短评打分': 5}
{'短评内容': '环境挺好，有点冷空调温度不是很高，整体不错............', '短评打分': 5}
{'短评内容': '服务好，位置不错\n房间干净！～ \n总之满意啦！～', '短评打分': 5}
{'短评内容': '觉得还不错 干净 棉被特别软特别舒服 卫生间不小 ', '短评打分': 5}
{'短评内容': '整体不错 服务态度很好，就是热水要放老一会', '短评打分': 5}
{'短评内容': '挺好的，环境不错，就是洗浴的龙头太小，热水来的也慢，总体是不错的。', '短评打分': 5}
{'短评内容': '不错了，定点酒店了！～\n不错了，定点酒店了！～\n不错了，定点酒店了！～', '短评打分': 5}
{'短评内容': '連鎖店,設施簡約,實用很好------------OK', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '很好的酒店，值得入住！什么时候再去那里还会去的！！', '短评打分': 5}
{'短评内容': '房间确实很干净，卫生间也很干净了，下次肯定还会住这里的', '短评打分': 3}
{'短评内容': '很干净 就是隔音不好 墙和门都不隔音 隔壁电视的声音都能听到', '短评打分': 5}
{'短评内容': '定点酒店了，交通方便\n环境不错，价格合适', '短评打分': 5}
{'短评内容': '定点酒店，不错啦，离公司近，交通方便\n接收客户也方便，满意啦', '短评打分': 5}
{'短评内容': '定点酒店了，交通方便，环境不错，服务也行\n总之就是满意啦！～', '短评打分': 5}
{'短评内容': '很不错，很满意，客房包括服务都很好。酒店位置也非常不错，总之，这是一次令人愉快的经历。', '短评打分': 5}
{'短评内容': '非常不错的酒店，宽敞亮堂~~~速八酒店现在感觉越来越好了。酒店离济南的泉城广场，大明湖，趵突泉不远，距离也就3.5KM内，酒店在一条相对的小街里面，很安静。有机会下次再住再住。', '短评打分': 5}
{'短评内容': '挺好的，交通比较方便，房间比较干净，环境也很安静~~~~~~~', '短评打分': 5}
{'短评内容': '服务态度差，丢失客人订单后反而让客人做无聊的等待，么有顾客至上的理念。', '短评打分': 1}
{'短评内容': '这个酒店干净,房间大.服务好!提个小意见洗澡间加个吹风机就好了!', '短评打分': 5}
{'短评内容': ' 在趵突泉公园东边方向，打车的话比起步价贵一些吧', '短评打分': 3}
{'短评内容': '速8酒店环境不错，交通还算便利，前台服务挺好，推荐', '短评打分': 3}
{'短评内容': '酒店设施比较新，但距离泉城广场有二十分钟车程位置不是太好，洗澡水太小晚上有蚊子没有休息好。', '短评打分': 3}
{'短评内容': '很不错环境好卫生不错', '短评打分': 3}
{'短评内容': '房间挺干净 空间挺大                    就是网线不太还 不过网速倒是挺快的                                   ', '短评打分': 5}
{'短评内容': '很不错的酒店，位置也还不错，环境也不错，服务人员也热情，停车也超方便！停车也超方便！停车也超方便！停车也超方便！停车也超方便！', '短评打分': 5}
{'短评内容': '停车场比较大，这点很不错很方便的，服务人员很热情，房间干净整洁，不错，赞！不错，赞！不错，赞！不错，赞！', '短评打分': 5}
{'短评内容': '离山师很近，在和平路上，标识不太明显，在一个院子里，停车场挺大,房间比较干净，隔音效果一般，早餐也还好。附近吃饭的地方不少，交通也很方便，总起来还不错。', '短评打分': 5}
{'短评内容': '不错的地方，干净，交通便利', '短评打分': 3}
{'短评内容': '还是非常不错的', '短评打分': 3}
{'短评内容': '不错，很干净！～\n房间布置合理，位置不错。\n会向朋友推荐\n\n速8，一直在路上\n\n速8，一直在路上\n\n速8，一直在路上', '短评打分': 5}
{'短评内容': '酒店环境很好，地理位置也比较方便，下次还住。', '短评打分': 5}
{'短评内容': '酒店不错，干净整洁，位置好，十分方便。下次还会去', '短评打分': 5}
{'短评内容': '卫生还可以  勉强有3星的感觉了 卫生还可以  勉强有3星的感觉了', '短评打分': 5}
{'短评内容': '还算不错，装修也还好，热水供应不好。。。。。。。', '短评打分': 5}
{'短评内容': '感觉很好，尤其喜欢那里的卫生间，大大的，让人感觉挺舒服，装修风格挺现代的，挺喜欢，周围环境比较安静，推荐。', '短评打分': 5}
{'短评内容': '环境不错 洗手间很大 只是前台太忙 速度不是很快', '短评打分': 5}
