{'descr': '还是不错的', 'star': 5}
{'descr': '刚住过。酒店较新，房间较大、无异味。离火车站近，步行只需3、4分钟。我们住的房间不临街，不吵。楼内隔音也不错。建议：可将一次性拖鞋换成更实用（洗澡）的塑胶拖鞋。', 'star': 5}
{'descr': '住着非常舒服,会推荐别人来的，环境好，各种好', 'star': 5}
{'descr': '酒店非常不错。干净卫生，态度挺好。离火车站非常近。', 'star': 3}
{'descr': '环境挺不错的，服务员也很热情，要是房间里能有电脑就更好了~', 'star': 5}
{'descr': '非常不错，黄金位置（就在火车站和轻轨旁边），也不是太吵，旁边还有水果市场和批发市场，很不错，公交也很便利。\n房间不算小，也还算干净，就是卫生间的淋浴设备稍微简陋了点。 \n不过要赞美的是，前台的服务不错，当我们赶不回酒店退房时，让我们免费延长了半小时的退房时间，不错。', 'star': 5}
{'descr': '房间比想象中要大要整洁，虽然地处火车站附近但非常安静，很值得一住！', 'star': 3}
{'descr': '非常好，同等价位面积最大，环境最好。。。。', 'star': 5}
{'descr': '离火车站近，交通出行方便，吃饭可以上国商九楼，中韩五楼，推荐！', 'star': 5}
{'descr': '不错，酒店地处火车站附近，交通逛街都方便，酒店内部环境不错，这个价格值了，会向朋友推荐的，给予好评', 'star': 5}
{'descr': '离火车站近，交通方便，干净。服务态度好，还灰常便宜。', 'star': 5}
{'descr': '   老板娘人很好哦， 客栈环境也很好， 走的时候衣服落下来，还帮我寄回来。 主要是张老师， 我们觉得你很可爱肋。', 'star': 5}
{'descr': '老板娘人很好，但酒店的隔音效果实在太差了。我们的房间是秋水房，旁边就是前台，还有吃饭的地方，到凌晨一两点才安静下来。如果是平时睡眠质量不好的人，或者对声音特别敏感的人，千万不要住啊！', 'star': 1}
{'descr': '酒店地处火车站附近，交通逛街都方便，酒店内部环境不错，这个价格值了，会向朋友推荐的，给予好评。', 'star': 3}
{'descr': '环境不错推荐去！房间不错！服务也好！昨天刚住了！', 'star': 5}
{'descr': '已经入住，房间很干净，环境不错，服务一般', 'star': 3}
{'descr': '老板不错，很热情，只是不是在景区里面，早上进去还要买票呢，不过也可以晚上进去或者早上早点进去，老板给买票还能省一半呢，呵呵', 'star': 5}
{'descr': '房间很不错，没的说，推荐短期旅行入住，距离轻轨很近。下次还会来', 'star': 5}
{'descr': '火车站附近低价位高享受的房间，晚上能拥有安静的睡眠。', 'star': 5}
{'descr': '房间面积和设施相对于价位来说，是物有所值。值得推荐。', 'star': 5}
{'descr': '房间面积还好，设施不错，称得上干净卫生。晚上较安静。', 'star': 5}
{'descr': '虽然在火车站附近，但内部安静。房内设施不错，酒店整个体现卫生清洁。', 'star': 5}
{'descr': '非常好的一家店，客栈的老板和老板娘都非常热情,店的位置也不错，像我们出去玩到很晚，老板还一直在等我们回来,就是早上在睡觉的时候- -有客人在外面讲话很大声- -其他的都非常好。强烈推荐大家订这家店哦！', 'star': 5}
{'descr': '1)离办事地点非常近\n2）房间大，干净。\n3）床垫不是特别舒服\n4）交通便利', 'star': 5}
{'descr': '房间很大，水流挺好！', 'star': 3}
{'descr': '酒店跟描述的一样，环境不错，服务好，规模大，下次还会再去的。', 'star': 5}
{'descr': '干净整洁 房间大 服务态度好', 'star': 3}
{'descr': '非常不错的一家客栈，老板和老板娘都很热情，房间也干净，很推荐！', 'star': 5}
{'descr': '1.价钱不算非常便宜，但是性价比很高，因为客房的设备比较齐全，房内还有电脑，这样能利用休息住店的时间来处理自己的资料或者查找攻略等，比较方便。\n2.店内的环境比较好，庭院内和前台的房内有很多老板细心栽种的杜鹃花，是不容易成活的品种，老板对养植物比较有心得，是个随和亲切的人，交谈中学到不少养植物的技巧，但是行程的关系没能多聊，否则应该能获益更多。另外老板还是个对古董比价有研究的人。老板娘的态度也很不', 'star': 5}
{'descr': '交通便利，附近就是火车站和客运站，非常方便，房间也很大很舒适', 'star': 5}
{'descr': '挺好的，很舒适，房间很大，我喜欢住那。住了两次，值得信赖哈，服务态度不错哟。', 'star': 5}
{'descr': '地理位置优越    价格实惠~~    下次还会去', 'star': 5}
{'descr': '酒店环境可以，床也挺舒服，就是电视的台太少，最重要的是房间的托鞋是一次性的，粘上水后太滑，容易摔倒，必须马上处理！', 'star': 3}
{'descr': '位置好，条件好，服务好，价格也好~~~！！强烈推荐！！', 'star': 5}
{'descr': '在西塘古镇，应该算是非常干净的客栈，老板一看就是很讲究的人，就是被子小了点儿，把我老公冻感冒了，呵呵', 'star': 5}
{'descr': '客栈的环境还不错，房间也很干净。院子里还有店家准备的茶具，可以喝茶的呦！！而且老板和老板娘的服务态度超级棒！', 'star': 5}
{'descr': '就在长春火车站对面，交通非常方便，关键是环境很好，隔音效果尚佳，设施陈设干净，服务态度很不错。是出差的必选之地，物美价廉', 'star': 5}
{'descr': '其实还是一家客栈，没原来想象的好。不过老板娘算蛮热情的，晚上睡觉很安静，还算挺舒服的。庆幸没去订那些临河大床的，不然晚上睡觉会被酒吧街的音乐吵死。', 'star': 5}
{'descr': '近火车站。2楼还通网吧！提前退房，有地方消遣呢！\n\n还近轻轨！\n', 'star': 5}
{'descr': '酒店不错，地理位置和服务都满意，下次还会选择这个宾馆，唯一不足就是洗澡水的热水稍慢，得需要方很长时间的水才会出热水。', 'star': 5}
{'descr': '距离火车站很近，距离轻轨站也很近。房间尚可。\n服务员的服务态度尚需要改进！', 'star': 5}
{'descr': '感觉不错，比较宽敞，离火车站很近，非常方便。', 'star': 5}
{'descr': '很好自己住不是很好啊 下次最好谁陪我。房间靠火车站那边比较好。', 'star': 5}
{'descr': '挺好，暧气也热', 'star': 3}
{'descr': '环境比较好，干净，舒适。格局很好，宽敞明亮，不过上次去没有水，好像是哪出现故障了，服务员服务态度好。', 'star': 5}
{'descr': ' 酒店  浴室没拖鞋  穿一次性拖鞋进去会摔死的  空调加热我市没加出来啊， 其他的环境很好 卫生 可以把  打扫房间的大姐很和蔼。早餐必须去二楼 想买点回屋子吃不可以阿，在就千万别再他周围的商业圈吃东西  除了肯德基 麦当劳 宏业', 'star': 5}
{'descr': ' 酒店  浴室没拖鞋  穿一次性拖鞋进去会摔死的  空调加热我市没加出来啊， 其他的环境很好 卫生 可以把  打扫房间的大姐很和蔼。早餐必须去二楼 想买点回屋子吃不可以阿，在就千万别再他周围的商业圈吃东西  除了肯德基 麦当劳 ', 'star': 5}
{'descr': '.很好，环境不错！', 'star': 3}
{'descr': '挺干净的 、而且打破东西还不贵。。。。。。。。。。。。', 'star': 5}
{'descr': '房间里有很多像蜘蛛似的小虫子，又毙了一头蟑螂，我住那天没有热水。要是旁边的如家有房子不会住这儿，下次不考虑。', 'star': 3}
{'descr': '入住环境不错', 'star': 3}
{'descr': '总体感觉还是不错的，虽然只住了一晚，老板娘还是很热情的，如果要入住的话最好先行联系好，有些钱是可以省的。', 'star': 5}
{'descr': '  很好啊很喜欢…', 'star': 3}
{'descr': '房间挺大的，干净舒适，离火车站很近，5分钟就到了，很方便，就是汽车火车声音能听到，，但不影响休息', 'star': 5}
{'descr': '环境还是蛮不错滴，就是服务态度一般！宾馆离火车站很近。', 'star': 5}
{'descr': '离火车站很近，吃饭什么的都很方便。很不错的。', 'star': 5}
{'descr': '总体感觉不错，就是不能刷卡和开发票。卫生挺好的，情调也还行。', 'star': 5}
{'descr': '宾馆距离火车站很近，附近交通也比较便利，房间干净，好像重新装修过。缺点是没有防滑拖鞋。由于电视信号不很稳定，图像有时不流畅。', 'star': 5}
{'descr': '干净 不错 离火车站近 交通也便利 最好以后有早餐', 'star': 5}
{'descr': '热水不好，暖气也不行', 'star': 3}
{'descr': '这个酒店昨天晚上九点左右暖气一点温度都没有了，叫了服务员开了空调，态度很好，空调开始设到25度，过了一个小时还冷，后来设到30度，不过这一夜屋里的温度感觉也就20度左右，11点多洗澡的时候热水温度不高，水流很小，冻死我了。', 'star': 1}
{'descr': '干净，不过隔音不好……这个价还是值得……', 'star': 3}
{'descr': '不错服务和设施都很满意！', 'star': 3}
{'descr': '地理位置很方便，离火车站很近！房间设施也很干净卫生。', 'star': 5}
{'descr': '第二次入住 还可以 就是暖气有点不足 \n网速比上次我住的时候慢好多 下雨下雪？\n不过总的来说 不错 房间在电梯边上 但感觉不到什么声音', 'star': 5}
{'descr': '不错，卫生，干净，安静，休息的好地方，下次到长春还住！', 'star': 5}
{'descr': '各方面都不错。', 'star': 3}
{'descr': '性价比还是挺高的，但我所住的房间厕所坏掉了。其他都还行。', 'star': 5}
{'descr': 'ok，交通便利，房间安静，而且够大。很好，下次来长春火车站附近还住这里。', 'star': 5}
{'descr': '出了火车站往右前方一眼就能看见，很方便，房间也很干净，总之比较满意', 'star': 5}
{'descr': '离火车站很近，就在轻轨站对面。服务态度很好，房间舒适。不足之处是我住的那间并没有网络。没有电脑的主机……洗澡的时候没找到凉拖，觉得有些不便。', 'star': 5}
{'descr': '很好服务', 'star': 3}
{'descr': '环境还可以\u3000就是洗澡的热水比尿尿还小\u3000', 'star': 3}
{'descr': '干净 房间明亮，不错 但商务间只有4间我当晚住的在电梯边上，有点点小噪音 不过可以无视', 'star': 5}
{'descr': '以前住过知道是新装修的 房间设备卧具都是新的，不错', 'star': 5}
{'descr': '.好', 'star': 3}
{'descr': '还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错。', 'star': 5}
{'descr': '离火车站非常的近，住宿条件还不错，价格上也可以，房间还蛮干净的，总体来说还是不错。', 'star': 5}
