{'短评内容': '环境还可以，不过太旧了，服务一般，居然没配瓶水。', '短评打分': 3}
{'短评内容': '挺不错的，房间很温馨，下次会推荐朋友也来这里', '短评打分': 5}
{'短评内容': '逛街较方便，装修简单', '短评打分': 3}
{'短评内容': '地点不错~房间比较大\n酒店硬件设施和服务员态度需改善', '短评打分': 5}
{'短评内容': '同意两个房间设施都不一样，环境吵；位置和我出差地点很近，凑和了', '短评打分': 5}
{'短评内容': '符合经济型酒店的要求,还算干净,还有小卡片,如果你愿意有应召女郎,甚至处女,不敢上当。', '短评打分': 5}
{'短评内容': '总体来说只有价格还不错。。。。服务员态度也不错。。设施就一般般拉~~~~', '短评打分': 5}
{'短评内容': '硬件条件一般，有待提前!', '短评打分': 5}
{'短评内容': '性价比高，地段好，出门很方便，环境不错，设施人性化', '短评打分': 5}
{'短评内容': '卫生间和淋浴间用玻璃隔断，完全没有私人空间了，淋浴间连门也没有，感觉简陋了些， 卫生间的马桶有些问题，冲水器不灵光。 电视台小了些， 如果房间有个衣服的架子，会好些， 不然没地方挂衣服啊，不方便的。  前台的2位工作人员，人漂亮，态度也挺好，我的父母住在这里，总体还是可以的', '短评打分': 3}
{'短评内容': '卫生间和淋浴间用玻璃隔断，完全没有私人空间了，淋浴间连门也没有，感觉简陋了些， 卫生间的马桶有些问题，冲水器不灵光。 电视台小了些， 如果房间有个衣服的架子，会好些， 不然没地方挂衣服啊，不方便的。  前台的2位工作人员，人漂亮，态度也挺好，我的父母住在这里，总体还是可以的', '短评打分': 3}
{'短评内容': '卫生间和淋浴间用玻璃隔断，完全没有私人空间了，淋浴间连门也没有，感觉简陋了些， 卫生间的马桶有些问题，冲水器不灵光。 电视台小了些， 如果房间有个衣服的架子，会好些， 不然没地方挂衣服啊，不方便的。  前台的2位工作人员，人漂亮，态度也挺好，我的父母住在这里，总体还是可以的', '短评打分': 5}
{'短评内容': '地理位置佳，出入很方便；但房间隔音差了点，走廊说话声听得见', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '还不错、下次还会继续考虑，设施还可以。卫生也行。就是希望被子能再换下。有点旧了。', '短评打分': 5}
{'短评内容': '装修还行\r\n', '短评打分': 3}
{'短评内容': '总体还行,就是吃饭不方便 ', '短评打分': 1}
{'短评内容': '很简约', '短评打分': 5}
{'短评内容': '服务很好，我不小心落下了信用卡，酒店前台马上想办法联系到我。\r\n\r\n就是隔音效果差些，门外走路、说话声很清晰。\r\n\r\n酒店比较小，位置比较难找。\r\n\r\n装修还不错，是我喜欢的欧式风格', '短评打分': 5}
{'短评内容': '服务不错！1', '短评打分': 5}
{'短评内容': '很不错。。。 房间比较大。 ', '短评打分': 5}
{'短评内容': '还不错，性价比满高的，毕竟地段那么好，但是只要不到200元，再挑剔就说不过去了', '短评打分': 5}
{'短评内容': '酒店离五马街很近，交通非常的方便，而且酒店装修很新，非常漂亮。推荐!!!以后有机会还会来住的！！！', '短评打分': 5}
{'短评内容': '设施一般般 性比价不高 价格有些高了 床好硬 被子看上去好黑', '短评打分': 1}
{'短评内容': '位置还可以，就是环境不怎么好，房间里不怎么干净，性价比一般', '短评打分': 1}
{'短评内容': '地理位置不错，离五马街比较近。住的特价房间，浴室与房间只有一道帘子相隔，洗脸池是在房间内的，比较有意思，房间虽然不大但是由于布置比较特别看起来也不拥挤。\r\n门隔音较差，特别是早晨听到工作人员在门外喧哗，影响了睡眠，希望以后注意。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错，有机会会再入住', '短评打分': 5}
{'短评内容': '都很好  会继续住 \r\n就是门 不是很好\r\n不是很好关', '短评打分': 5}
{'短评内容': '有点旧，不过还好', '短评打分': 5}
{'短评内容': '我之前就住过这家酒店,位置很好,位于市中心出行都很方便,房间的卫生和设施也都不错,住着很舒适,下次再来我还会选择这家酒店.', '短评打分': 3}
{'短评内容': '房间太小，隔音不是很好。', '短评打分': 1}
{'短评内容': '酒店的服务人员工作不够细心,卫生还可以,设施一般,地理位置在市中心,不过房间的隔音效果不太好,比较吵,但是价格很便宜.', '短评打分': 5}
{'短评内容': '酒店内部的卫生条件太差了，外部环境也不是很理想，比较脏，人员服务还可以，价格一般', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都还不错,位置也很好出行也很方便,价格比较合理,值得再次入住的酒店类型.', '短评打分': 5}
{'短评内容': '服务态度不好．房间空调制热效果不好，要加被子，服务员告诉我说没有，房间里配的什么就只能用什么．经过交涉才不情愿的给了一床被子，害小孩第二天感冒了．', '短评打分': 1}
{'短评内容': '虽然对当地不是太熟悉，不过感觉他这个酒店的位置还可以，而且房间干净，服务也不错，在他这个价位来说，设施也算不错的。', '短评打分': 5}
{'短评内容': '酒店的位置离我办事的地方比较方便，价格还可以挺优惠的', '短评打分': 5}
{'短评内容': '觉得酒店的环境不是很舒适设施布局不合理,位置倒是很好很方便的.', '短评打分': 5}
{'短评内容': '酒店整体比较老旧,但房间里的设施还可以.地理位置挺好交通挺方便的,价格方面还能接受,但感觉还是没有如家那样的好.', '短评打分': 1}
{'短评内容': '房间很干净，装潢也很新，毕竟在市中心，这样的价格还是不贵的，总体给人感觉还是很舒适的', '短评打分': 3}
{'短评内容': '地理位置相当的不错．其他的也很好．唯一让我感到不快的是晚上睡觉的时候比较吵：开着空调，机器吵，关了空调开窗户吧，马路上汽车吵，反正都是吵．除次之外其他都还不错．', '短评打分': 3}
{'短评内容': '照片拍的干净明亮，实际相差很远。房间、走廊和大堂都阴暗潮湿，多处墙壁发霉。酒店大堂在九层，一楼的环境也是脏乱差。绝对不值得这个价格。地理位置在市中心区域还算方便。', '短评打分': 1}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '地理位置不错，房间设施也还行，这个价位的酒店在温州来说，差不多就这样了。&lt;br /&gt;\n  但是，我住的房间离总台有点近，晚上总台的电话声，讲话声吵的要死，由于当时是带着孩子，孩子半夜已经睡了，没法子换房间。&lt;br /&gt;\n  另外，这个酒店的枕头居然就是一个很高的枕头，不象其他酒店，有两个较低的枕头，这么高的枕头，我和我老婆都睡不习惯，一点都没休息好。。。。。。', '短评打分': 3}
{'短评内容': '酒店位于温州老城区市中心，比较方便。设施、环境都还比较新，感觉很干净、舒适。每层楼都要刷卡才能进入。房间不算大，但感觉整洁，一些细节的地方都想得很周到。总之是不错的酒店。就是不支持刷卡。', '短评打分': 3}
