{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '地理位置挺好，属于市中心，但房间较老旧，服务并不好，里面的矿泉水我们并没有饮用，竟然说我们开启过，后来懒得计较就算了，才几块钱', '短评打分': 5}
{'短评内容': '挺安静的，就是感觉有点旧，电灯坏了后来有人来修了，12点必须要退房，还有催，这点不好。', '短评打分': 5}
{'短评内容': '还可以，就是发票不方便开。好像温州人都不想开发票似的，真让人郁闷', '短评打分': 5}
{'短评内容': '环境还不错 也比较干净 就是夜里洗澡水不热', '短评打分': 5}
{'短评内容': '酒店位置不错, 房间里面设施也可以,尤其交通方便。', '短评打分': 5}
{'短评内容': '床很硬，你不叫服务员也不会给你打扫房间。。。。其他也就这样了，这个价格。。。差不多了', '短评打分': 1}
{'短评内容': ' 锐思特长运店还不错，不过早餐品种有点少', '短评打分': 3}
{'短评内容': '房间隔音效果一般，装修略旧，早餐简单，整体来说比较一般，不过出行方便。', '短评打分': 5}
{'短评内容': '不能延迟退房', '短评打分': 3}
{'短评内容': '价格还算可以  不过停车比较麻烦。市中心位置 这个价格 算便宜了  ', '短评打分': 1}
{'短评内容': '感觉还得  灯光很暗   早餐不好', '短评打分': 3}
{'短评内容': '服务和卫生等方面都还好，比较安静。现在客户使用银行卡已经很普遍了，作为一家大型的连锁店，应该满足客人刷卡的需求，但是该店确不能刷卡消费，当时预订的时候还以信用卡做了担保，实际入住后到不能刷卡，希望能尽快安装刷卡设备。', '短评打分': 5}
{'短评内容': '地理位置幽静，就是不太好找。床给人感觉差了点，其他都不错，价格也实惠，周边吃东西也方便。出入也方便，离客运站、火车站、新城客运站都是起步价格之内。', '短评打分': 5}
{'短评内容': '地段还是可以。卫生间在阳台上，窗户是破的，虽然有只能开一点，但是还是会担心安全问题。、房间进去就有味道，窗偏短。其他还行', '短评打分': 5}
{'短评内容': '不能刷卡', '短评打分': 3}
{'短评内容': '我感觉还行。对得起房价。毕竟在温州。而且是市中心', '短评打分': 5}
{'短评内容': '呵呵，当时是在人民东路的开太出差，所以网上只找到这家性价比相对还不错的住处。还算行吧。毕竟在温州对得起这个价位。当时同事晚上到的，当时找不到住处，直接给他网上补定了这家。而且还有早餐。', '短评打分': 5}
{'短评内容': '房间很小很压抑，宁愿再花一百住稍微好点的酒店，设施还算齐全，卫生也还过得去', '短评打分': 1}
{'短评内容': '酒店位置比较偏僻，但很安静，环境不错。设施齐全，服务周到。', '短评打分': 3}
{'短评内容': '房间环境还可以…', '短评打分': 3}
{'短评内容': '位置不错，在市中心。设施差点，没有不间断电源，浴室也太小。', '短评打分': 5}
{'短评内容': '我的抵用卷呢。', '短评打分': 3}
{'短评内容': '还不错！很安静，就是设施有点旧，其他还可以接受，推荐', '短评打分': 5}
{'短评内容': '饮食、交通都很方便，主要是所在的位置比较安静。。', '短评打分': 5}
{'短评内容': ' 很普通，房间一般，没停车的地方', '短评打分': 3}
{'短评内容': '服务不错，就是房间有些小。不过在温州这个价格，已经不错了。', '短评打分': 5}
{'短评内容': '总体感觉还可以，稍微有点简陋，隔音差,性价比还可以', '短评打分': 5}
{'短评内容': '房间满大,设施挺齐全,离市中心很近,周围也很安静,就是房间隔音效果不是太理想', '短评打分': 5}
{'短评内容': '总体感觉一般···很实惠···以后还会去的··希望酒店继续努力吧·', '短评打分': 5}
{'短评内容': '朋友住的，说实惠，还不错，过的去，以后有机会还是会继续入住的', '短评打分': 5}
{'短评内容': '还不错，逛街也挺方便，就是房间比较小，有点闷。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '床很硬，跟七天比，还有相当的距离。支付不方便，不支持刷卡', '短评打分': 1}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境很一般。。也比较偏僻。。有点简陋..', '短评打分': 1}
{'短评内容': '很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。很好。', '短评打分': 5}
{'短评内容': '早餐不是自助，量少了点，吃不饱。。。。。。。房间有点小，设施一般吧。。。。。', '短评打分': 5}
{'短评内容': '感觉不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住的标间 房间蛮温馨 床很大 两个中等身材的人睡绰绰有余 排水系统有点差 总是感觉潮潮的 气味不是很好\n', '短评打分': 5}
{'短评内容': '离医院近。。。。步行6分钟。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还算便利吧，在市中心，吃饭也方便的，就是有点旧了建筑', '短评打分': 5}
{'短评内容': '在市區能找到這樣安靜的地方算是很不容易了 而且以價格來說 算是性價比非常高的酒店了', '短评打分': 5}
{'短评内容': '地段不错，服务不错，卫生可以再提高一点，卫生间布置较差。。。', '短评打分': 5}
{'短评内容': '   非常好', '短评打分': 5}
{'短评内容': '感觉非常不好，房子比较小，马桶还是坏的！', '短评打分': 3}
{'短评内容': '该店地点比较偏僻，不太好找。\r\n前台一直让你办他们的会员卡，退掉网络预订，无信用。\r\n房间较小，床也小，马桶座垫还是坏的，屋内放有很多有偿使用的东西，无偿的太少，洗过的浴巾还显示有灰色的脏脏的痕迹，早餐就是包子咸菜豆浆牛奶，样太少，也很少有人去吃。\r\n总之，不太好。我下次肯定不住！！\r\n该店旁边不远就有他们另外一个店－－鹿城店。鹿城店这个点在路边，不是象长运店在小巷最里面。', '短评打分': 3}
{'短评内容': '在温州，170的价格，算很便宜了。\r\n其他都是XXX大酒店，那种我看着就头痛。\r\n贵，又不喜欢那样的环境。\r\n勉勉强强能住吧。\r\n', '短评打分': 5}
{'短评内容': '很一般,床很小,房间也很小,非常不推荐', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '早餐确实太糟糕了，大床房的床感觉只有1米2而不是1米5的，房间还算干净，性价比还可以。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，配套设施完善，服务周到热情，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，配套设施完善，服务周到热情，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '商务酒店各方面服务还可以，就是硬件和卫生条件挺一般的，不过价位确认不贵.整体水平还行.', '短评打分': 5}
{'短评内容': '一般化', '短评打分': 1}
{'短评内容': '隔音效果不好', '短评打分': 5}
{'短评内容': '交通很方便，靠近中山公园，五马街；就是位置有点偏', '短评打分': 5}
{'短评内容': '价格有点贵了，环境一般，空间有点小，交通还算便利', '短评打分': 3}
{'短评内容': '酒店不能刷卡！很不方便！\r\n服务教条，叫人很无奈！比如你请求延长1个小时退房。它一定要求你加收20元的费用！或者按照58元/3小时的钟点房标准进行收费！否则请离开！很牛很拽的！制度是人定的没错，可是太不人性化了！如完全按照制度去执行，该酒店你失去的是客户，是人心！\r\n我在入住的时候该酒店在装修，很吵！作为酒店你也没有进行告知和提醒！以前通过12580入住过该酒店，这是第二次入住！很失望!房间的隔音', '短评打分': 1}
{'短评内容': '服务员对自己酒店的位置以及周边大的建筑不熟悉，导致找了很久才找到酒店。', '短评打分': 5}
{'短评内容': '目前大众化价格来比 此酒店价格相对贵，位子太难找了。当时去了 单人房也没有。估计那天正好人多。。。 \r\n噪音 设施不好隔壁房间声音都能听清楚。', '短评打分': 1}
