{'descr': '房间卫生和环境不错', 'star': 3}
{'descr': '，服务质量不错，就是前台竟然在三楼', 'star': 3}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '房间很好，就是有点吵', 'star': 3}
{'descr': '房间小，空调声音很大，酒店位置不好找，没见过这种前台在3楼的莫泰。而且还有一股味道。', 'star': 1}
{'descr': '酒店大门比较小。酒店的大堂在三楼。所以不是很好找，但是酒店的安全很好，并且房间很温馨！下次还来。交通很方便！', 'star': 5}
{'descr': '住的商务物间，房间比较大。交通便利，离地铁站很近。步行就可以到\n新街口商业区。', 'star': 1}
{'descr': '窗子太小，房间不隔音就像和别人住在一间房子里。尽管是节假日，这个住宿条件价格仍然偏高！', 'star': 5}
{'descr': '酒店房间还不错，价格实惠，周围环境很好，交通非常便利！', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好!', 'star': 5}
{'descr': '今天早上已经入住，刘朝敏', 'star': 3}
{'descr': '挺好，就是这个楼层的水压太小。服务挺好，值得住。\n不错。下次还会订。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还可以，价格还是有些高。', 'star': 3}
{'descr': '酒店位置较好，就是房间床小，卫生一般，服务一般，洗澡水小～舒适度中等', 'star': 3}
{'descr': '在市中心地段，虽然空间不大，但装璜简约大方，且需要的东西都具备了。综合而言，这个价位还是值得选择的。', 'star': 5}
{'descr': '，环境还不错，干净舒适！', 'star': 3}
{'descr': '此酒店服务比较好，在网上预订应该有房费优惠哟！我已入住', 'star': 3}
{'descr': '空调太吵 其他不错 相信下次还会再去的 希望空调声音改进下 交通都比较方便 周围设施配备比较全 另外就是门店位置不太显眼 有点难找 呵呵', 'star': 5}
{'descr': '不错的位置， 房间也很大， 而且不是没窗的特价房。 下次还可以考虑，就是电视的遥控有点复杂， 挑台有点考验。。。', 'star': 5}
{'descr': '非常不错，干净，也很安静，下次还来', 'star': 3}
{'descr': '酒店在汉中路上，离省中医院很近，如果是来看病，住这里很方便，走路过去5分钟就到了。交通很方便，地铁公交都很近，火车站出来坐到上海路站，3号口出来，向左走十分钟就到了。\n酒店装修不是很新，大床房，卫生间的顶有漏水的印子，地毯也有污渍。总的来说还行', 'star': 5}
{'descr': '环境还可以，位置方便', 'star': 3}
{'descr': '虽然离市中心很近，交通比较方便， 但确实挺吵的，房间隔音效果也不好，设施陈旧，房间较小，偶尔住住还行吧，基本上还对得起那价位吧。', 'star': 5}
{'descr': '地理位置好，交通也方便，在市中心，这个价位完全可以接受，服务也还好，也挺干净的，下次还是会选择这家酒店的', 'star': 5}
{'descr': '我严重后悔定了此酒店，房间小，空调声音大，水小的可怜，晚上还有骚扰电话，隔音效果也不好，动不动就听见敲门声，一晚上就没睡好，我定的还是商务大床房，都这样，可想其他房间就更不怎么样了，这是我第一次住便捷酒店，也是最后一次', 'star': 1}
{'descr': '非常温馨的环境，便捷的交通，来南京入住的首选。', 'star': 3}
{'descr': '一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般..................................................................', 'star': 1}
{'descr': '我女朋友说还不错，很干净，服务也不错，主要要到南京医科上课，位置方便。周围交通、吃饭都很方便。好好好啊好啊好啊哈', 'star': 5}
{'descr': '今天终于回家了\n呵呵\n下次来还定这个\n不过我点评后的返的消费券不是很及时，次数不对\n我定了好几次了，应该我住了有8次了，怎么券都没有返那\n返的才2次还是1次，我也看不懂了，不过数目肯定不对。\n汗！希望明细更清楚明了，及时。\n', 'star': 5}
{'descr': '晚上睡得不错，附近吃的也很多，逛街的商场也都很近，地段很好，附近有家汤包店的生意很好。还有个教堂。昨天逛街发现好多商场都打折啊\n中央还在装修，灰有点大，都有营业员戴口罩了。', 'star': 5}
{'descr': '周围交通狠便捷的~服务也很亲切，只是淋浴的水真的好小好小~出门在外洗澡还洗的不爽，真的很影响心情啊~', 'star': 5}
{'descr': '昨天向朋友推荐了一下\n他是个旅行爱好者\n觉得不错\n', 'star': 5}
{'descr': '房间还可以，就是洗澡水太小了。很难受\r\n黄山浩孑', 'star': 3}
{'descr': '酒店位置不错，服务业蛮好的,离市中心也很近', 'star': 5}
{'descr': '呵呵，很方便哦，就在省中隔壁，也不是很吵。简洁，舒服。', 'star': 5}
{'descr': '离省中医院很近。价格适中。就是临街的房间太吵了，房间湿度有点大，半夜有骚扰电话。', 'star': 5}
{'descr': '地段不错，酒店不错，性价比高的！！！！！！！！！！！！', 'star': 5}
{'descr': '还行还行还行还行还行还行还行还行还行还行还行还行还行还行', 'star': 5}
{'descr': '房间简洁，还有电吹风哦\n很方便，\n可惜我今天没有定到特价房\n其实没有什么差别\n只是一个临街\n一个部分临街\n都不是太吵', 'star': 5}
{'descr': '地方有点小，没有停车场，一般住住的话没什么大问题', 'star': 5}
{'descr': '附近吃的也挺多的，可是今天发现特价房木有了，看来行程不定害的我天天预定，天天倒腾，但愿事情尽快弄完吧。', 'star': 5}
{'descr': '在市中心，交通方便，性价比高。房间简洁舒服，这个地段算是不错了。去的时候还碰到不少老外也住在那边。呵呵。还有4006161616的服务不错哦，都很及时。\n赞一个！', 'star': 5}
{'descr': '位置很不错 地铁和公交都很方便 家具有点旧 洗澡的水流有点小 屋里没有异味 比较整洁 总台有台电脑可以上网 服务人员的态度很好 ', 'star': 5}
{'descr': '不错，方便、干净。位置不错，床比较好，经济型酒店就是这个样，在这个价位上来说还是不错的。', 'star': 5}
{'descr': '服务、位置都还不错。其他一般。。。。。。。', 'star': 5}
{'descr': '的防守打法给对方的法国风格的大方过后恢复方法和体会是大方', 'star': 5}
{'descr': '商务大床房环境很好，相比其他快捷酒店要好很多，服务也很不错，以后有机会还来。', 'star': 3}
{'descr': '房间宽敞。入住满意', 'star': 3}
{'descr': '还不错 啦！就是 有点旧要求不 要 太多 的 可以 住！在南京算是便宜 的 了 ', 'star': 5}
{'descr': '还不错把！南京经济酒店都 差不多 啊！有点太简单了 \n', 'star': 5}
{'descr': '还不错！就是有点成旧！住着也挺舒适的啊！！！！！', 'star': 5}
{'descr': '1、没有停车位，停车要停到很远的地方，很不方便。\n2、门面好小，不仔细找还真找不到。\n3、美林小厨和别的美林小厨差距很大，菜不好吃也不新鲜，愧对美林小厨这个招牌了。而且服务员和厨师一直坐那里看电视，根本没有服务可言。\n总的来说，比起其他的莫泰酒店，这个算比较差的。', 'star': 1}
{'descr': '因为交通方便，所以经常来这家住。可是设施成旧，感觉也不是那么干净，希望有所改进！', 'star': 5}
{'descr': '＋酒店交通还算便利，但隔音效果比较差，前台服务有下降', 'star': 3}
{'descr': '我入住的是商务大床房，房间还大小还行。还算干净整齐。设备还蛮好使的。交通比较便利。', 'star': 5}
{'descr': '离汉中门车站还是比较近的，性价比也不错，非常满意', 'star': 5}
{'descr': '还可以吧，地段挺好的，周围出行很方便，就是设施老了一些', 'star': 5}
{'descr': '临街，噪音较大，房间连个柜子也没有，其他还好。', 'star': 3}
{'descr': '酒店位置不是很好，有点偏，房间也有点小，不是很舒适', 'star': 1}
{'descr': '干净，屋内陈设宜人，距离地铁站近，前台服务不错。\n服务员有些偏少，早餐15元，名不符实。', 'star': 5}
{'descr': '已經來這裡住了第二次了，感覺不錯，但建議要住邊間，要不然很吵，這次入住被浴室前地毯裡的釘子刺到，因為時間趕沒有跟櫃檯反應，還有這裡有大量色情廣告，晚上也會接到電話。', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '前台服务是不错的，地球上最差的酒店，毛巾脏，有跳蚤，怀疑枕头床单洗过没有。', 'star': 1}
{'descr': '一般\u3000隔音差\u3000会听到旁边人嘿咻声', 'star': 3}
{'descr': '在地铁站附近 方便 性价比高  但酒店周遭声音比较吵杂', 'star': 5}
{'descr': '房间挺大，卫生状况较好，就是被褥有点脏。', 'star': 5}
{'descr': '服务态度好，环境不错，房间也很好，干净整洁', 'star': 5}
{'descr': '房间还行。隔音一般。如果睡眠质量不出问题。感觉不到噪声。卫生一般', 'star': 5}
{'descr': '过道有点压抑，位置不错，就是喜来登酒店对面。', 'star': 5}
{'descr': '酒店离市中心近，比较方便。早餐也不错，只是房间里的淋浴的水量较小。希望能改进一下。\n', 'star': 5}
{'descr': '酒店环境还可以，酒店位置还是很不错就在马路边上，服务还是比较满意，价格还是一般。', 'star': 3}
{'descr': '第二次入住了！都是标间，但是房间要小很多！为什么呢？还好这间的空调效果要比之前那间好！', 'star': 5}
{'descr': '位置不错，就在喜来登旁边。下面还有个永和豆浆。莫泰的房间基本都一样，\n简单，干净。', 'star': 5}
{'descr': '交通方便，房间也还算大！就是光线有些暗！', 'star': 5}
{'descr': '基本上还可以，房间的气味不太好，性价比还不错', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '位置挺好, 卫生还行. 楼下的小吃很方便, 也挺好吃.', 'star': 5}
{'descr': '地段较好，价格偏高。快捷酒店就图个干净便宜。但是靠街的那一排房间太吵，不能开窗。', 'star': 5}
{'descr': '空调不行，夜里冷。218价格，在快捷酒店中也不便宜。舒适度对不起这价。', 'star': 1}
{'descr': '地段和环境都不错，出行很方便，洗手间比较干净。', 'star': 5}
{'descr': '就在新街口上，地理位置很不错，不过大床间居然没有窗。', 'star': 5}
{'descr': '由于临马路，房间晚上很吵，隔音效果很差。', 'star': 1}
{'descr': '这个酒店一般，不是很方便，好多司机找不到。', 'star': 1}
{'descr': '挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的', 'star': 3}
{'descr': '房间有点小 可是还不错  周边也很方便  离地铁站也很近 下次还会考虑入住', 'star': 5}
{'descr': '好 黄广昌', 'star': 5}
{'descr': '还行,挺不错的我觉得,距离地铁站什么的都很近,就是周围没有超市', 'star': 5}
{'descr': '地段不錯,交通方便,物超所值,但房間內無冰箱有點遺憾,也不是啥大問題', 'star': 5}
{'descr': '酒店门口不显眼, 只是一条通道, 还有一部升降机, 大堂竟然在三楼, 不细心的真的会走漏眼. 虽然楼底较矮, 伸手轻易摸到天花, 估计只有2米多一点点, 但是房间还算舒适, 洗手间在这个价格来说是算大的, 特别的是, 这个洗手间是比睡觉的地方高一级的. 位置好, 方便, 到上海路地铁站也只需走5分钟左右.', 'star': 5}
{'descr': '真的很差劲 垃圾中的极品\r\nmotai caoni ma ', 'star': 3}
{'descr': '超时2个小时就扣半天房费  真TM恶心\r\n我住了7天，汉庭，如家，经常超时，从没多收钱。\r\n第一次住莫泰168，也是最后一次。 \r\n房间炒的要命，靠着马路，大家不要住这种 垃 圾 酒 店', 'star': 1}
{'descr': '楼层低，临街，很吵。窗户很小。停车不方便。', 'star': 5}
{'descr': '挺好的。。建议广大朋友选择这家酒店进行居住  地里位置挺好的  就是不怎么打的到的。。。。。', 'star': 5}
{'descr': '这个酒店位置很好，环境不错，服务态度很好，值得推荐。', 'star': 5}
{'descr': '位置挺好的，综合各方面，感觉还可以，总体不错', 'star': 5}
{'descr': '这个酒店位置很好，订的特价房，环境不错，值得推荐。', 'star': 5}
{'descr': '我出差工作的地方就在南京喜来登，所以这间店是最近的地方了，走过去才1分钟。\r\n唯一的缺点就是门面小了点，他的前台在三楼，上去了心理才踏实点，总体来说设施都很新。\r\n我住的特价房，卫生间是抬高式的，像一个小阁楼，很干净。地毯也比格林豪泰好多了，没有蟑螂。\r\n性价比高，推荐ing！！', 'star': 5}
{'descr': '在新街口这市中心的位置，这个价钱住这个酒店应该说还是马马虎虎的，算还可以吧。', 'star': 5}
{'descr': '自助早餐的服务还未做到位', 'star': 5}
{'descr': '住的是商务大床房，房间非常小，198的价格（不含早）觉得有点不值，服务还可以，总体感觉很一般吧。', 'star': 1}
{'descr': '房间不错，但前台服务态度差', 'star': 3}
{'descr': '服务态度很好，但是位置偏，不太好找哎', 'star': 5}
{'descr': 'The attitude of the front desk clerk is very bad!', 'star': 1}
{'descr': '挺好的，地理位置蛮好', 'star': 5}
{'descr': '，环境还好，就是隔音效果太差，服务也还好。', 'star': 5}
{'descr': '服务不好，鸡有点老', 'star': 1}
{'descr': '挺难找的 隔音效果差 如果附近有别家 还是住别家吧', 'star': 1}
{'descr': '我觉得一般', 'star': 3}
{'descr': '商务酒店，很适合工薪阶层', 'star': 5}
{'descr': '一般，不是太好找', 'star': 1}
{'descr': '差', 'star': 3}
{'descr': '隔音效果差   会员每优惠', 'star': 3}
{'descr': '我只想说一句~那墙是纸糊的吗？？？！！！隔壁人说话听的一清二楚！而且晚上隔壁XX的声音太大太大！估计整栋楼都没睡好吧？！（一下子激动说多了，不好意思）\r\n\r\n你听见了吗？莫泰~', 'star': 1}
{'descr': 'fdb', 'star': 5}
{'descr': '交通便利，价格适中，服务态度也很不错，环境也挺好，总的来说挺满意的！', 'star': 5}
{'descr': '还算不错，位置很好的宾馆。', 'star': 5}
{'descr': '商标还行，比较大，环境还可以\r\n普标很吵', 'star': 5}
{'descr': '天花板非常底 我160都觉得底\n房间很小 窗户是在厕所的 而且只能开一点点\n电梯坏了要饶一大圈到后门才能进酒店 酒店在3楼\n 晚上一直有小姐打电话来提供特殊服务\n房间的灯很暗 加上装修和床铺都是深绿色的 让人感觉很不舒服', 'star': 1}
{'descr': '不推荐住最低一层，晚上声音有些大，楼上还算不错。', 'star': 5}
{'descr': '很不幸的订到一间没有窗帘的房间，就是窗户在厕所里面，可是却是用玻璃门隔着的。而且隔音真的就不多说了。我顶的是特价房？！难道特价房都这样？！', 'star': 1}
{'descr': 'good', 'star': 5}
{'descr': '住的是虽然临街，但晚上并不吵，可能是住在六楼的关系。\r\n室内还算干净，但是电视机不是很好，洗澡时水量不大，隔音效果很不理想，主要时临近两个房间的门离的很近，一个房间开门，关门隔壁都听的很清楚。但总体来说还是比较满意的。', 'star': 5}
{'descr': '交通还算方便，舒适度还好，只是服务一般', 'star': 5}
{'descr': 'hao', 'star': 5}
{'descr': '不错，就是有点吵', 'star': 3}
{'descr': '不错不错', 'star': 5}
{'descr': '99元的特价房环境很好，价格也划算。。不错！！！', 'star': 5}
{'descr': '太假了！我一开始只订了一天，后来续住了一天，结果结帐的时候第二天要了我178，说什么第二天没有预定！这里居然还显示我是99元结帐的！给个说法！！！！', 'star': 5}
{'descr': '99元 很值啦 房间很温馨', 'star': 5}
{'descr': '淋浴水有点小，其他的都蛮好的。', 'star': 5}
{'descr': '不错，希望优惠能活动能一直有，使我们的出外旅行更加安心！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '酒店内部环境不错，东西配备也很齐全。。尤其是这件特价房，超级划算！可惜只能订两天。。。', 'star': 5}
{'descr': '性价比还不错', 'star': 5}
{'descr': '位置还行，交通是很方便的，房间的卫生和设施还行，服务也可以，整体感觉性价比还是不错的', 'star': 3}
{'descr': '几乎都成定点酒店了，下次还会去的', 'star': 5}
{'descr': '酒店比较好的地方,就是离市心中相对比较近,不满意的地方就是房间空调噪音比较大,影响休息,其它方便感觉比较一般.', 'star': 3}
{'descr': '99特价房性价比很好，但是我发现床单上既然有毛发。。。。。', 'star': 5}
{'descr': '酒店前台服务不热情,而且速度比较慢,房间里面还比较干净,就是空调噪音有些大,位置不算太好,价格有些偏贵.', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '这家酒店的环境还是不错的,卫生打扫的也很干净,住着很舒适,唯一一点就是房间的隔音效果不太好.', 'star': 3}
{'descr': '房间是挺一般的,价格和内部的环境还是挺匹配的,就是酒店的位置不是特别好找,服务态度还可以.还是挺不错的酒店.', 'star': 3}
{'descr': '住的真是太满意了。由于不好加床，我们便把床拼起来睡，宾馆方面加被子，加枕头，什么都加，服务热情，没有任何费用。而且离市中心非常近，走路到新街口只要10分钟。公交便利。', 'star': 5}
{'descr': '除了价格其他没说的', 'star': 5}
{'descr': '位置非常好,位于市中心,出行很方便,卫生服务方面也都不错,但就是我住的房间对面就是厨房,油烟味太大了,感觉不太舒适.', 'star': 3}
{'descr': '在南京医科大学的对面，如果你是去南医大的话，住这里是不错的选择，地铁里这里也不算太远，但是附近的交通状况有点差，常塞车。住宿条件不错。', 'star': 5}
{'descr': '服务态度不错', 'star': 3}
{'descr': '卫生服务方面做的非常好,呆着很舒适,就是位置离市中心稍微有点远,不过交通还是很方便的,唯一一点就是酒店没有停车场,不太方便.', 'star': 3}
{'descr': '位置方便,将来地铁2号线开通就更方便了.房间设施虽简单但很温馨.唯一不足就是窗户是开在浴室里的,所以房间基本等于无窗,但对于99元的价格来说很超值啦.若是两个人出行,住这里再合适不过了.', 'star': 5}
{'descr': '99元特价房性价比不错', 'star': 5}
{'descr': '酒店的条件还可以，位置算是方便的，都是经济型酒店，条件基本上都过的去，价格也适中。', 'star': 3}
{'descr': '总的来说内部环境干净整洁，就是地理位置稍微差了点，总体来说性价比不错。', 'star': 5}
{'descr': '99的特价房超值，服务也很好', 'star': 3}
{'descr': '交通非常方便，就在金斯利喜来登旁边，环境比较嘈杂，楼下的永和豆浆解决了吃饭问题！\n房间的设施还可以，比较新，卫生间一如既往的大，就是房间太小了。', 'star': 5}
{'descr': '很满意', 'star': 3}
{'descr': '定的99的特价房，真是超值！', 'star': 5}
{'descr': '房间的隔音不太好，位置很不错，出行很方便，价格非常便宜，当时住的特价房99元的', 'star': 3}
{'descr': '这家酒店还是挺不错的,房间的设施还行,服务还可以,位置还是好找的,性价比挺不错的.', 'star': 3}
{'descr': '地理位置非常好,离地铁站很近,出行都很方便,房间的卫生和设施方面也都不错,住着很舒适,但就是前台办理有点慢.', 'star': 3}
{'descr': '整体感觉很好，服务态度很好，房间设施也很好，性价比还是比较高的。交通方便。', 'star': 3}
{'descr': '非常好，这次住在六楼，水压很好，也很安静', 'star': 3}
{'descr': '卫生还可以，很干净。设施完善，地理位置交通方便，服务热情周到，性价比不粗的酒店，值得推荐', 'star': 3}
{'descr': '99元特价房，总体上还可以，就是对面厨房的油烟太重', 'star': 3}
{'descr': '我住的是99元特价房，总体上还可以。但是门对厨房，早上6点钟左右会有炸金馒头的油烟从门缝钻进来。如果早起有事的话就不会有影响，但是想睡懒觉还是比较困难的。\r\n床单很好看。\r\n建议浴室门口增加防滑垫，我有好几次在厕所里差点滑倒。\r\n', 'star': 5}
{'descr': '就是外面空调机子噪音比较大，一阵一阵的，由于是特价房，性价比还不错，值得推荐', 'star': 5}
{'descr': '很不错，就是卫生间水小了点', 'star': 5}
{'descr': '交通方便，离新街口地铁大约2公里，房间有点小', 'star': 3}
