{'短评内容': '出行方便，床有点硬。', '短评打分': 4}
{'短评内容': '性价比高，环境不错。好。。就是房间内插座少', '短评打分': 5}
{'短评内容': '酒店干净，价格合理，还是三星级的，比较合适，下次还回来的', '短评打分': 5}
{'短评内容': '第一次去亲身感受，确实不错。我定的是金蓝港大酒店，而且不用交押金，感觉非常好。感谢这个中介', '短评打分': 5}
{'短评内容': '还是挺划算的，跟以前一样划算。但是窗户不干净了啊。这次我去，服务员没有给认真打扫房间啊，连穿过的拖鞋都没换啊，态度问题啊。别的不说了啊。建议大家去火车站的人，提前1小时去啊，那边修路，堵车严重啊！上次我没有赶上车啊', '短评打分': 5}
{'短评内容': '环境很好,服务也不错', '短评打分': 3}
{'短评内容': '一如既往的好。。。。。。。推荐推荐推荐推荐推荐推荐', '短评打分': 5}
{'短评内容': '很好，是我住过性价比最高的酒店。。。。。', '短评打分': 5}
{'短评内容': '不错！物有所值！交通也比较方便！下次还会订这的。。。', '短评打分': 5}
{'短评内容': '＋已入住，非常不错', '短评打分': 3}
{'短评内容': '不送早点了，，，反正还不错啊啊 啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '性价比很高，很好～', '短评打分': 3}
{'短评内容': '好，还算性价较高的。以后还来.推荐大家订些酒店', '短评打分': 5}
{'短评内容': '感觉不错，干净卫生，服务也不错。以后还会光顾的。', '短评打分': 5}
{'短评内容': '洗澡池的塞子没有绳子   弄上水就拿不出来了   没有早点', '短评打分': 5}
{'短评内容': '，这是第二次住了，服务态度还是一如继往的好，不过我这次住的房间热水不怎么热，还有就是隔音不太好，隔壁的几位叔大姨吵的我半宿没睡着！', '短评打分': 3}
{'短评内容': 'hao 很好  一直住这个  不错啊  哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '这个酒店环境很好，早餐也不错，吃的很丰盛；下次一定再来！', '短评打分': 5}
{'短评内容': '酒店条件是不错！但是发票上盖的是餐饮的章子！', '短评打分': 5}
{'短评内容': '虽然房间小了点，但卫生还可以，服务也很好。下次去还住', '短评打分': 5}
{'短评内容': '好地方，设施全，服务好。房间舒服。适合休闲入住。', '短评打分': 5}
{'短评内容': '三星酒店，设施都还不错。唯一的缺憾是离市区优点远，而且车还不太好打', '短评打分': 5}
{'短评内容': '服务不错 很干净 交通还算方便 在呼市这么高的消费情况下 这个酒店性价比已经很高了 下次来还定这边 ', '短评打分': 5}
{'短评内容': '88元住这样的酒店绝对是物超所值！\n房间没有异味，很干净，隔音效果也不错，温度始终在22度左右。\n很喜欢这里的早餐，各种食品都是自助的，算一下我这种食量的，在外面吃这些东西起码要20块。\n缺点是宽带有问题，浏览网页和下载速度都保持在1M宽带的速度，但白天就是打不开邮箱，晚间就没事，难道是酒店做了限制？\n', '短评打分': 5}
{'短评内容': '非常好的酒店。比我预想的要好。各方面都很好，安全、安静。虽然是单人小房间，但是，同样还有冰箱和保险箱，虽然我没有使用，但是感觉酒店想的很周到。还有早餐供应，早餐很是满意。值得推荐。', '短评打分': 5}
{'短评内容': '干净服务好，早餐也很好，环境也很好，离火车站很近及客运站。', '短评打分': 5}
{'短评内容': '酒店不错，位置貌似有点偏，但是消费适中，相当不错。', '短评打分': 5}
{'短评内容': '我已入住，房间很不错，值得好评', '短评打分': 3}
{'短评内容': '我以入住', '短评打分': 3}
{'短评内容': '非常好的酒店。各方面都很好，安全、安静。硬件也很好。虽然是单人小房间，但是，同样还有冰箱和保险箱。还有早餐供应，如果是自助早餐就更好了。值得推荐。', '短评打分': 5}
{'短评内容': '设施齐备，交通也很便利，性价比高！总之，要是这个价位真的很难得，机会不容错过！', '短评打分': 5}
{'短评内容': '酒店挺干净，设施也很齐全。缺点同样突出，位置有点偏，最差劲的就是那个一次性拖鞋，是我见过所有酒店里最次的（包括家庭旅馆），估计是市场上最最便宜的那种，和这个酒店的档次非常不相配。', '短评打分': 5}
{'短评内容': '很不错！条件很好，性价比见过比较高的酒店了', '短评打分': 5}
{'短评内容': '好，每次都住，性价比超高，就是打车不是很方便', '短评打分': 5}
{'短评内容': '酒店外面和大堂看着要比同价格其他酒店高档得多。。屋子很小，单人够了', '短评打分': 5}
{'短评内容': '服务好，房间也不错，              物有所值！', '短评打分': 5}
{'短评内容': '酒店大堂富丽堂皇，但是房间实在是小，浴缸不能放水，烧水壶坏的，地毯不干净，被罩上有污渍，，，', '短评打分': 1}
{'短评内容': '性价比真高，服务员也漂亮。唯一不好的地方就是宾馆门前出租车难打﹑有个破桥堵车特厉害！我提前一小时坐车去火车站结果差点没赶上！', '短评打分': 3}
{'短评内容': '卫生干净，设施一般，关键服务态度较好，网络一开始不通，电话后立即帮助解决，值得赞赏！', '短评打分': 5}
{'短评内容': '设施稍微陈旧了一些，总体感觉还是很不错！老三星标准', '短评打分': 5}
{'短评内容': '总体不错,位置稍偏点', '短评打分': 3}
{'短评内容': '挺不错的，服务态度和质量都挺好的，就是窗户漏风啊！', '短评打分': 5}
{'短评内容': '除了空调有些冷，其他一切很满意，性价比很高。', '短评打分': 3}
{'短评内容': '实惠、态度好、有冰箱、浴缸、中央空调、暖气、电梯、早餐挺丰富。\n交通不太方便，不过到车站近，51路，打车8元。\n88元地毯不算干净，暖水壶开关是坏的（还是塑料的，跟档次不匹配）。\n我QQ493038239，有机会一起定宾馆哦。', '短评打分': 5}
{'短评内容': '不错，态度好，环境好', '短评打分': 3}
{'短评内容': '整体不错，性价比很高', '短评打分': 3}
{'短评内容': '不错，很好', '短评打分': 3}
{'短评内容': '太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了', '短评打分': 5}
{'短评内容': '非常好~干净，安静，早餐也不错，不过个人不喜欢羊杂汤', '短评打分': 5}
{'短评内容': '价格便宜，早餐丰富（正宗的燕麦奶茶），就是中央空调不是很热', '短评打分': 5}
{'短评内容': '酒店外观有点旧了！但是里面还不错，很干净！物超所值！\r\n白大夫程黎莹', '短评打分': 3}
{'短评内容': '非常好，态度也很好！', '短评打分': 3}
{'短评内容': ' 这地方太好了，快赶上四星级酒店了，饭也很好吃，真没想到这么划算', '短评打分': 3}
{'短评内容': '很不错呢 安静 然后呼市的暖气不好，还帮我解决了', '短评打分': 5}
{'短评内容': '优点：便宜又好，屋里有小冰箱很实用，卫生间挺敞亮的。\n缺点：设施有点旧，位置太偏不好打车，但是出门就有公交车。晚上优点冷，空调吹的感觉一会是热风一会是凉风，玻璃也有点透风。\n88块钱太对得起这个房间了，下次还会住。', '短评打分': 5}
{'短评内容': '前台客服妹妹超级漂亮.今年是12月6号,我刚入住.\n进门大堂经理就过来热情的问候你,问你有预定吗.然后带你去办理手续.\n服务态度真的太好,太好了.\n进酒店,谁敢说这不是五星级的装修?\n大厅很豪华.房间很OK,我住的88的房间,里面居然有很大很大一个浴缸.\n洗澡太爽了,暖气很足,我都开窗了.\n房间绝对是三星标准来的,不比如家差,呵呵 由于很激动,床还没睡就来点评了.\n12月6号早班的那个MM,如果能', '短评打分': 5}
{'短评内容': '经济实惠 ，还会光顾。服务好 ，早餐丰富 。就是退房时间是中午12点。', '短评打分': 5}
{'短评内容': '服务很好，价格很便宜，物超所值，大厅装修和服务也非常好', '短评打分': 5}
{'短评内容': '房间太冷，中央空调温度不高，服务很好，电视有点老了', '短评打分': 5}
{'短评内容': '己入住三一九房很好', '短评打分': 3}
{'短评内容': '酒店很好！当时是八十八订的，结果来了之后看到酒店金碧辉煌的，还以为是网上弄错了，怎么会那么便宜！去的时候赶上酒店活动，住一天送一天，，平均每天才六十四！除了有点冷！服务员态度也很好！总之超值！', '短评打分': 5}
{'短评内容': '环境和设施都还不错，可能是由于在西边的原因（位置较偏），住的人不多；原来的自助早餐都改成定餐了，但早餐还可以，每天均不一样。', '短评打分': 5}
{'短评内容': '很不错的酒店，就一个字，干净！\n房间太干净了，很喜欢。还有早餐也很丰富。应有尽有。终于在呼市找到想住第二次的酒店了。下次还去。', '短评打分': 5}
{'短评内容': '这回真是绝对超值了，房间设施没的说，服务也挺好的。如果来呼市，不住这里就亏大发了！', '短评打分': 5}
{'短评内容': '房间比较小，位置稍偏，淋浴是个喷头，不像商务酒店的淋浴房花洒！好在价格实惠、早餐稍微显得单一，不是自助', '短评打分': 5}
{'短评内容': '非常好，早餐好，交通好，房间好，就是洗澡不太好，水很小', '短评打分': 5}
{'短评内容': '出差首选啊，性价比高。非常好！！！！非常好！！！！非常好！！！！非常好！！！！', '短评打分': 5}
{'短评内容': '相当好！！！相当好！！！相当好！！！相当好！！！相当好！！！相当好！！！相当好！！！', '短评打分': 5}
{'短评内容': '挺好的，很便宜，很方便，上档次，就是交通不是很方便', '短评打分': 5}
{'短评内容': '非常好！！！非常好！！！非常好！！！非常好！！！非常好！！！非常好！！！', '短评打分': 5}
{'短评内容': '非常好，早餐很好，服务员很好，交通较便利，非常棒！', '短评打分': 5}
{'短评内容': '非常好！！非常好！！非常好！！非常好！！非常好！！', '短评打分': 5}
{'短评内容': '交通便利，环境上档次，早餐丰富，支持！！！！', '短评打分': 5}
{'短评内容': '非常好！出差首选，交通便利，性价比高。。。', '短评打分': 5}
{'短评内容': '非常好，离火车站和市中心都很近，住宿环境也不错', '短评打分': 5}
{'短评内容': '已经连续住好了几天，早点品种不是太多，其它服务都不错。下次还会住', '短评打分': 5}
{'短评内容': '不错的酒店，大厅也很上档次。位置有点偏，但交通还是很便利', '短评打分': 5}
{'短评内容': '服务不错，卫生不错。设施都是三星标准。位置有点偏，早点品种有点少。总体不错', '短评打分': 5}
{'短评内容': '酒店环境服务等还不错，就是地点略偏。附近配套设施较少。', '短评打分': 5}
{'短评内容': '性价比极高的一家酒店，唯一的缺点就是酒店所处区域是呼和浩特落后的一个区。', '短评打分': 5}
{'短评内容': '真是物超所值，就是位置稍微有点偏。\n卫生条件好，休息特别舒服。', '短评打分': 5}
{'短评内容': '环境不错，住的很舒服。', '短评打分': 3}
{'短评内容': '很好，物有所值\n下次还去住，非常不错！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店位置不错，设施也可以，具备一定性价比，很好！', '短评打分': 3}
{'短评内容': '酒店还可以，吃饭购物都还方便，离火车站距离也不是很远，打的也就10元之内。出差首选。', '短评打分': 5}
{'短评内容': '不错，很好。在呼市的性价比很高，服务也不错，就是洗澡的喷头该换了，洒水不均匀。', '短评打分': 3}
{'短评内容': '不错，性价比超高，出差首选。位置很安静，房间很简洁，早餐也不错。挺！', '短评打分': 5}
{'短评内容': '这家店总体还是可以的，向大家推荐，环境比较安静，服务也可以，去市中心坐公交就可以了', '短评打分': 5}
{'短评内容': '非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 ', '短评打分': 3}
{'短评内容': '非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 ', '短评打分': 3}
{'短评内容': '非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 非常好 ', '短评打分': 5}
{'短评内容': ' 周边环境有点乱不过服务态度很好 还有就是洗澡喷头水太小很冷 其余地都还可以 性价比高', '短评打分': 5}
{'短评内容': ' 设施及服务均佳  出差至呼市选此酒店性价比较高', '短评打分': 5}
{'短评内容': '酒店的早餐很好，种类多，味道好，特别喜欢他家的羊杂做的很正宗，服务员的服务很贴心，问我用不用再加床被子，很暖心的服务', '短评打分': 5}
{'短评内容': '酒店的性价比还可以，服务不错，服务员态度很好，比较周到热情，住宿环境蛮好', '短评打分': 5}
{'短评内容': '价格不错，房间大小正合适，设施齐全，就是距离火车站比我理解的要远好多。所以下车后一直走来，结果越走越远。', '短评打分': 3}
{'短评内容': '价格不错，房间大小正合适，设施齐全，就是距离火车站比我理解的要远好多。所以下车后一直走来，结果越走越远。', '短评打分': 5}
{'短评内容': '位置有点儿偏 房间小 床小 其它的还好了', '短评打分': 5}
{'短评内容': '房间有异味，窗外有噪声。不推荐。', '短评打分': 1}
{'短评内容': '卫生倒是可以，里面的设施有些陈旧。客房服务员的态度还行但是前台其他的服务不是太好，价格还可以吧但是酒店的设施确实是很陈旧了感觉和三星级的 标准不是很符合。', '短评打分': 1}
