{'短评内容': '在这个位置算便宜了，只是不能开增专', '短评打分': 5}
{'短评内容': '房间确实有点小,环境还可以', '短评打分': 3}
{'短评内容': '比想象差很远!不太好找', '短评打分': 3}
{'短评内容': '这个宾馆还不错，位置好，有简单早餐，适合家庭居住', '短评打分': 5}
{'短评内容': '服务态度非常差，东北服务员态度恶劣还要打人最厚报警了，劝大家不要去。', '短评打分': 3}
{'短评内容': '老实说不是为了看球不会订这个酒店，300多的价格实在很一般，甚至不如一些快捷酒店，房间、浴室都让人感觉脏脏的，不知道是不是灯光的原因。', '短评打分': 1}
{'短评内容': ' 房间设施旧，感觉不好，洗澡用的淋浴器坏了，床不舒适，与480元的价格不配。', '短评打分': 3}
{'短评内容': ' 不知道为什么，房间押金退不了，在其他饭店都是可以的。', '短评打分': 3}
{'短评内容': '酒店服务部 错，也干净。就是 房间太小了点。卫生间特大。', '短评打分': 5}
{'短评内容': '房间小，离地铁远，早餐不好，服务员态度不好，电视台数很少，说是可以上网，根本上不了说坏了，也没人修', '短评打分': 1}
{'短评内容': '不谈他了，网络全坏，素手无策，还叫我半夜12点换酒店，真是噩梦。', '短评打分': 1}
{'短评内容': '卫生还可以,电视频道太少', '短评打分': 3}
{'短评内容': '严重不推荐此酒店,原因:1,自带电脑无法上网(因为WIN7),奇怪.2,早餐实在太差.3,房间太小,卫生间倒是很大,大浴缸莫名其妙.4,门卫似乎精神有问题,差点和客人打起来.5,建议: 不如选择假日(对门)或如家(200米远).', '短评打分': 1}
{'短评内容': '环境还不错，卫生间很大，房间面积偏小，价格稍贵些，总体还是不错的。', '短评打分': 5}
{'短评内容': '宾馆房间很一般,浴盆却很独特。网络也不错。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店浴室够大，还有大大的双人浴池，不错。电脑不能接电视音频比较遗憾，另外电脑的分辨率貌似有点低。', '短评打分': 5}
{'短评内容': '家喜红宾馆房间很一般,浴盆却很独特。网络也不错。', '短评打分': 5}
{'短评内容': '家喜红宾馆房间很一般,浴盆却很不一般.', '短评打分': 3}
{'短评内容': '房间设置不太合理，卫生间和卧室布局不协调。\n这种价位的酒店早餐水平有点差。 ', '短评打分': 5}
{'短评内容': '1、房间设计超不合理，厕所那么大，卧室小的可怜。厕所异味重；\n2、外送早餐，只有面包片、鸡蛋、牛奶；\n3、天花板有污染，隔音效果不好。', '短评打分': 1}
{'短评内容': '住了很多次了。大浴缸超赞！！现在旁边在装修。不过还是支持一下啦！！\n', '短评打分': 5}
{'短评内容': '乘坐飞机住宿之首选，收费也相对合理，服务不错，以后有机会还会入住。', '短评打分': 5}
{'短评内容': '条件不如以前好了 服务也没有以前好 房间卫生也有问题 管理上有漏洞', '短评打分': 1}
{'短评内容': '还可以房间 就是有点味道 就是现在早餐没有以前好了 服务态度一般 有的新服务员业务不熟练', '短评打分': 5}
{'短评内容': '酒店房間環境很好 説是賓館但已經算上3 4星級了 房間裏紫色的沙發光線很好 衛生間全透明就在大床的後邊 還是雙人大浴缸 推薦給情侶', '短评打分': 5}
{'短评内容': '交通很便利，但房间有点小，价位有点高。早点太简单。不过在北京三里屯这一带还算不错了。', '短评打分': 5}
{'短评内容': 'the room is too small.', '短评打分': 1}
{'短评内容': '酒店里面不错，服务态度也很好，凌晨叫服务也回来给办，而且感觉不出有不耐烦的感觉。', '短评打分': 5}
{'短评内容': '一个人住还可以，房间有点小，卫生间内大浴缸不实用。', '短评打分': 5}
{'短评内容': '房间不太好，卫生状况令人难受。。。有个超大的浴缸，因卫生缘故，不敢使用。', '短评打分': 1}
{'短评内容': '同四星级的噱头跟房间实在差距太大。服务不行，没有四星级的任何可比性。除了地理位置还行外，其他都不推荐。', '短评打分': 1}
{'短评内容': '第3次入住了，一次比一次差。 第一次印象很好，第二次连不上网，洗手液发臭了，这次网上去了，可是慢的连QQ空间都开不出来，灯开关被修改过了，以前门口的小灯可以单独开着的，现在要不开一排灯要不一盏灯也没有。 价钱还是￥398，离地铁站也要走上15分钟，感觉越来越不值了，以后不会来住了。', '短评打分': 1}
{'短评内容': '住的地方还行，就是冬天还有蚊子，没怎么睡好。但是离大使馆很近，很方便。', '短评打分': 5}
{'短评内容': '酒店很不错.浴缸超级大.很舒服.!!!!!', '短评打分': 5}
{'短评内容': '酒店性价比还不错', '短评打分': 3}
{'短评内容': '床小了点，没有照片上看的好，性价比不高。', '短评打分': 1}
{'短评内容': '这家酒店总体比较好，尤其是卫生间内浴缸很大，在北京很少看到这么大的浴缸。卫生间也比较大的。', '短评打分': 5}
{'短评内容': '\r\n第三次入住，仍然感觉不错。楼下韩国餐厅很不错，好吃不贵。', '短评打分': 3}
{'短评内容': '不错，方便，卫生间大', '短评打分': 3}
{'短评内容': '非常好,不错,就是有电脑不能上网,希望以后能改进,不要把电脑当摆设', '短评打分': 3}
{'短评内容': '离东直门地铁站大约十多分钟路程。房间挺大，浴缸是亮点，不过卫生不敢保证。\n棉被有点糙，腿上有被轻微磨破诶...', '短评打分': 5}
{'短评内容': '交通方便，设施现代，韩国人经常去的哦。。。就是有点吵。。哦，早饭有待于提高啊', '短评打分': 5}
{'短评内容': '还可以，卫生间比较大，网络不大好，还是推荐一个！', '短评打分': 3}
{'短评内容': '环境还行吧，就是电脑没有声音', '短评打分': 3}
{'短评内容': '第2次入住，房间条件还是一样不错的，有饮水机有小冰箱，超大浴缸就是我回去的原因。 但是这次他们的上网出了问题，第一天上不去，第2天上去了可是超级慢频频掉线，第3天还是没有好转所以忍不住搬走了。', '短评打分': 5}
{'短评内容': '订的家庭房，还不错，就是毛巾都应该换新的了。', '短评打分': 5}
{'短评内容': '酒店挺好，浴缸也挺好的。', '短评打分': 3}
{'短评内容': '经常在全国各地出差，一个月有大半个月都住在酒店，来北京住在东直门附件主要是因为第二天早晨赶飞机方便。这里是我住的比较起来条件和价格相差比较大的酒店之一（价格348,398/晚），酒店价格不便宜，条件却很差，卫生间毛巾感觉都不是很干净，灯光昏暗，一度还不能供电（插卡供电设备有问题）。总之，这里条件甚至不如旁边的北京红驿站酒店。', '短评打分': 1}
{'短评内容': ' 房间布置不错，还有电脑，就是浴巾有点旧', '短评打分': 3}
{'短评内容': '第二次入住，还是喜欢这个酒店的浴缸。浴缸大的非常舒服。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '是建筑改建成的，房间中最惊喜的是卫生间的大浴缸，很少有小型商务酒店有这样的设施，还不错。', '短评打分': 3}
{'短评内容': '酒店房间很差，去三里屯很近.距东直门地铁站15分钟脚程', '短评打分': 1}
{'短评内容': '房间是分体的空调，酒店没有四星的标准，服务一般', '短评打分': 1}
{'短评内容': '虽然说是四星级酒店，但是有点小小失望；不过周边饮食还是不错的……', '短评打分': 5}
{'短评内容': '非常失望！订的398的大床房，1）地毯，房间整个感觉脏兮兮的。2）除了床，连个坐的地方都没有 3）浴缸是很大，可就那个卫生状态，我可不敢坐在里面慢慢享受 4）浴室和房间之间居然完全没有任何间隔，睡在床上还能闻到下水道的味道。5）前台服务很差。6）房费包早餐，但是根本就没有什么东西吃。', '短评打分': 1}
{'短评内容': '地理位置方便，有电脑，但是没有声卡，入住的房间洗澡的喷头漏水，洗手台也漏水。。。望及时整修', '短评打分': 5}
{'短评内容': '很不错！一定会推荐给身边的朋友们！很好预定~ 服务也很好~~~记得早餐早点去吃啊~要不到后来都没什么东西了~', '短评打分': 5}
{'短评内容': '定的高級大床房 酒店的設施很好 床頭和沙發都是紫色的 浴室是最大的亮點 有個雙人的大浴缸 很氣派很浪漫 熱水一開就有 燈都是電子在墻上的按鈕 服務周到 房間很乾淨 這個價格和設施算同類裏性价比很高的了  以後就來這裡了', '短评打分': 5}
{'短评内容': '房价始终，设施良好，卫生不错。值得考虑推荐\n', '短评打分': 5}
{'短评内容': '挺干净，离使馆区很近，坐地铁也很方便。。。。。。', '短评打分': 5}
{'短评内容': '酒店位于东直门外大街春秀路，酒店洗浴间特大，有四分之一个圆双人大浴盆，适合于夫妻或情侣使用。建议酒店进行如下改进：1、适当调整房间床、柜、沙发等家具的位置，使房间更适用，空间更大；2、整修网络使房间网络可用（我住的房间2个网络口均不可用）；3、房间虽然配置了上网电脑，但无法用，建议增加电脑显示器（现无显示器，用电视代替）。', '短评打分': 5}
{'短评内容': '比预期的要好，外表一般内饰还不错很舒服，给80分', '短评打分': 5}
{'短评内容': '酒店不错，浴室很大。', '短评打分': 3}
{'短评内容': '酒店很差！', '短评打分': 3}
{'短评内容': '上网很慢，电视不知如何开启，环境也很一般般，早餐也一般般，性价比低，毛巾也不是新的，已经起毛了还不更换······', '短评打分': 1}
{'短评内容': '环境还可以，设施也还好，服务也不错的，周边的设施也还好，银座吃饭逛街都很方便。只是可惜地毯和床下边不是很干净的样子。而且这五天里，电脑一直都没有用中，什么网管没来之类的各种借口。。五天都米有解决上网问题！还有一点不好的就是，床单竟然米有每天换！！！希望可以改进，以后还会考虑入住。', '短评打分': 5}
{'短评内容': '去三里屯很近.距东直门地铁站15分钟脚程.\n不太理解酒店的自助早餐,用3,4个炒菜充数.电视频道较少,15个左右.\n房间部分墙纸驳落.\n酒店总体还行,', '短评打分': 5}
{'短评内容': '酒店设施很好，性价比很高，价格也不是很高，在北京东直门附近的话是很好的选择了                                    ', '短评打分': 5}
{'短评内容': '浴室果然很大，离大使馆也算近。  ', '短评打分': 3}
{'短评内容': 'j酒店房间很大很舒服', '短评打分': 3}
{'短评内容': '服务态度很好，宾馆设施也不错。美中不足的是早餐不是很好吃。\n周围很安静，旁边吃饭，购物，特别是去机场都比较方便', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店的房间有点紧凑，主要是卫生间占地面积太大，都赶上房间大了，如果以卫生间来评比绝对够得上4星的了。电视的台太少，而且电脑不能用，最逗的是显示器居然是电视，服务员的态度还不错，总的来讲，在东直门这个位置，喜家红的性价比还算是不错的了～～：）', '短评打分': 5}
{'短评内容': '其实东直门的话智选假日会更好一些，如果是会员价的话也就450左右。喜家红呢，其实还可以，就是1.光线太暗，2.不是很干净，尤其是洗漱用品，用起来很不舒服，剃须刀刀片居然发黄，看来是重复利用了很多次，都不敢用，沐浴露明显参水的。优点是床还慢大的，价格也不算贵。\n\n', '短评打分': 5}
{'短评内容': '因为离开酒店后什么地方都没有去过，而且整天都没有拿过手机，所以可以断定手机100%漏在房间的枕头底下，回头却没有了，而且服务员表示十分厌烦…我们感到极度失望…连基本的服务素质都没有…', '短评打分': 1}
{'短评内容': '酒店的浴缸比较舒服，非常大，估计在那里泡个泡泡浴会比较舒服。酒店的房间不是很大，但是下次还入住这里。', '短评打分': 5}
{'短评内容': '酒店很干净', '短评打分': 3}
{'短评内容': '房间整体色调比较暗，另外服务人员的态度建议改善。房间内的布局建议把那个屏风去掉，否则会感觉房间狭小，拥簇！！！！！！！！', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '总体还不错的，有点像家庭管理的旅馆性质。离地铁还是远了些。', '短评打分': 5}
{'短评内容': '酒店的格调是不错的 不过好像达不到4星级的标准，另外房间布局有些仓促，显得有些拥挤。', '短评打分': 5}
{'短评内容': '总的来说还算过得去，但是绝对不是四星级的标准。早餐非常一般，而且毛巾浴巾看起来脏脏的，希望只是“看上去”\n浴缸不错，唯一的亮点了。', '短评打分': 5}
{'短评内容': '浴缸是很大很好，但是卫生间总体格调太暗了，其它还好', '短评打分': 5}
{'短评内容': '房间还不错，只是和网站上公布的房间设置（照片）稍有不同。卫生间确实很大，大的不知道要怎么用。由于办事只住了一晚，没顾上细细品味，不过印象还可以的。宾馆所在地距离东直门外大街只要2分钟路程，去德国、加拿大等使馆签证很方便。', '短评打分': 5}
{'短评内容': '房间住宿可以，家庭房很方便，但是电脑用电视做显示器，电视都不清楚，电脑就没法用。其他还可以，建议自己带电脑。\n早餐很差。', '短评打分': 5}
{'短评内容': '房间布置很有特色， 特别是卫生间。 但早餐很简单。 和四星（据说该酒店是四星）不符合', '短评打分': 1}
{'短评内容': '非常好的一家宾馆.宾馆到英国签证中心好近。下次还去哪家.', '短评打分': 5}
{'短评内容': '停车较难，电视遥控器不好使，电脑不好吃，服务很好，早餐过于简单，房间浴室非常棒大浴缸。', '短评打分': 5}
{'短评内容': '位置还不错后面有市场可以买蘸酱菜吃，屋里的浴室非常好大浴缸可以两个人一起洗，服务也很好，停车不好停，电视操作相当难，因为遥控需要有大力金刚指的力度才能起作用，电脑也是坏的根本用不了还好自己带的。', '短评打分': 5}
{'短评内容': '宾馆地理位置还何以，离东直门地铁（2号线）站走要十多分钟，交通基本比较方便，周围吃饭的饭店不多，主要都是烤肉一类的饭店，宾馆自己有一个韩式烤肉店，饮食偏向辣一点。宾馆服务很好，房间也很干净，8楼的浴室很大，房间的电视效果一般，每个房间的窗户外面有广告牌（透光），早餐种类不多。按性价比来说，我给打80分。', '短评打分': 5}
{'短评内容': '酒店设施还可以干净 早餐不错 服务态度还可以 去时一开始说没预订上没房后来经过协调才可以入住就这点令我不满意', '短评打分': 5}
{'短评内容': '不错的宾馆，很安静的，也挺干净的！交通也很便利！', '短评打分': 5}
{'短评内容': '位置不错，出行非常方便，房间设施也可以。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，比我预想的好很多，酒店地理位置出门很便捷，房间内物品配备的很人性化，最最喜欢的就是那个超大的卫生间以及里面的双人浴缸，好有爱呀~酒店一楼有个韩餐厅可以吃早饭，马路对面就是汉拿山，买东西也方便，不错呀下次去北京还订这。', '短评打分': 5}
{'短评内容': '浴缸很大卫生不錯', '短评打分': 3}
{'短评内容': '不错，地理位置很好。，，，，，，以后还会去', '短评打分': 5}
{'短评内容': '服务态度差。', '短评打分': 3}
{'短评内容': '很好 ，很方便，地理位置不错，就是大堂太小了点，服务不错', '短评打分': 5}
{'短评内容': '酒店卫生一般！但是硬件设施还可以！蛮不错的！', '短评打分': 3}
{'短评内容': '价格稍高，考虑到离使馆区较近，办事较方便，整体还可以服务态度不错', '短评打分': 5}
{'短评内容': '装饰有特点，浴室超大，客房有些小，交通方便', '短评打分': 5}
{'短评内容': '离地铁不算远，如果到外国使馆办事很方便。就是靠近街道的房间窗户被广告的牌遮住。房间大，卫生间也大，有浴缸，就是卫生间的门不能反锁，带着小孩不太方便', '短评打分': 5}
{'短评内容': '总体还算可以,房间比较小,不知道为什么浴缸搞那么大,3个人在里面洗都可以.', '短评打分': 1}
{'短评内容': '酒店布置不错，浴缸很大。隔音效果不错。服务态度一般。就是餐厅有点小，早餐不丰富', '短评打分': 5}
{'短评内容': '装修很精致，隔音效果好。就是酒店的门面不是很好，早餐的种类比较少。\n物有所值。', '短评打分': 5}
{'短评内容': '浴室很大很干净很舒服，房间里有电脑，床也很大很舒服，还可以开窗，有饮水机有小冰箱还很贴心的准备了电子蚊香。 离地铁站走路7分钟左右，但是比起较近的如家各方面的条件都好多了，也就贵了40块左右，但是享受多了。', '短评打分': 5}
{'短评内容': '交通方便，早餐品种少。', '短评打分': 3}
{'短评内容': '还可以吧,房间小卫生间大.服务尚可.早餐马马虎虎.', '短评打分': 1}
{'短评内容': '已入住，房间可以，大厅小气些。', '短评打分': 3}
{'短评内容': '性价比很好，位置不错。 卫生间和浴池都很大，房间还有电脑。 服务不错', '短评打分': 5}
{'短评内容': '我住的单间,卫生间很大很干净,晚上也很安静.不错.', '短评打分': 3}
{'短评内容': '最多三星级水准……还不如住如家……房间透气很差，一直有股味道，卫生间倒是很大，还不如让房间大一点。。。设施也非常一般，桌椅空间很窄，要用电脑很不舒服；早餐7点30才开始，这对于要办事情的人来说，真是太晚了，非常不方便。', '短评打分': 1}
{'短评内容': '酒店位置还可以 环境条件一般 但是标间虽然有窗户但是被大牌子挡着跟没有一样 很闷不透风 也没有光 宽带基本不好用电脑也没有声音 第一晚订的房间开关都是坏的不能关灯 第二天才给换了对面窗户的 真的差好多 第一天要换就是说没有 第二天要不是我看到对面房间开着门没人 也说没有呢 哎~~', '短评打分': 1}
{'短评内容': '住了很多次了，就感觉交通特方便。设施也不错，就是房间的电影该更新了。。', '短评打分': 3}
{'短评内容': '\r\n成功入住。感觉不错。房间内部设施强过外表很多！服务质量好，有电脑、浴池，卫生也不错，不是一般快捷酒店能做到的！推荐！', '短评打分': 3}
{'短评内容': '房间太小，卫生间大。早餐没吃成，不知如何。总体感觉还行吧', '短评打分': 5}
{'短评内容': '很不错很大 服务也很好  很干净\n卫浴很不错 可以泡澡   总体感觉还是蛮不错的 不过就是大床房要398  还行把  可能是地段好', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '前台很客气，卫生也还行，这个地段这个价位不错了。', '短评打分': 5}
{'短评内容': '一般吧，', '短评打分': 3}
{'短评内容': 'bu hao  bu hao  bbbbbbbbb', '短评打分': 1}
{'短评内容': '喜家红酒店根本到不了四星级标准,下次你们向客人推荐时不要说四星级的!', '短评打分': 3}
{'短评内容': '去法国签证的时候，在这住过，性价比太差。入住后，准备烧电热水喝，结果，一接通电源，全部跳闸了。', '短评打分': 1}
{'短评内容': '刚刚入住，酒店很干净，设施较齐全，能免费上网，房间内有电脑，洗手间较大！', '短评打分': 5}
{'短评内容': '位置不错，服务态度较好。但硬件设施需要提高', '短评打分': 1}
{'短评内容': '房间很小，早餐太一般般了。说是家庭房其实感觉就是双人间把其中一个床加大了。设施还行。停车位太小了。', '短评打分': 1}
{'短评内容': '服务员很热情，房间有点小。房间的开关不太好用。', '短评打分': 3}
{'短评内容': '位置还可以 附近有几家韩国餐馆 可门面太小 都没有中国人概念中的大堂 前台好小 很客人订的 我自己都觉得不好意思了', '短评打分': 1}
{'短评内容': '酒店很不错的，在北京这个价很便宜了，设施也还不错的。', '短评打分': 5}
{'短评内容': '這家酒店整體服務挺不錯的，雖然價位是有高一點點，不過裡面的設施不錯，電腦跟電視是共用螢幕，應該有42吋吧!!浴室很大浴缸也很大，一個人住有點浪費!! 呵呵!!', '短评打分': 5}
{'短评内容': '在北京找到这样的宾馆实属不易。服务好、卫生好、管理好、环境好、性价比高。不足是床略小。', '短评打分': 5}
{'短评内容': '就是还不错，已经注过几次，地点相当好，在北京不算贵', '短评打分': 5}
{'短评内容': '很好，很喜欢。卫生和服务特好。有一种回家的感觉。 \n', '短评打分': 5}
{'短评内容': '每次签证都住这里，很不错，去使馆很方便   啊', '短评打分': 5}
{'短评内容': '地理位置好，签证非常方便，条件也  不错', '短评打分': 5}
{'短评内容': '酒店早餐不是一般的差啊，那个粥煮的....唉', '短评打分': 1}
{'短评内容': '一般，房间的味道挺大!\n网线很短，很不方便！', '短评打分': 1}
{'短评内容': '帮朋友订的，不错。交通方便，价格也适中，就是房间面积比较小。朋友从美国来，觉得有点转不开身。', '短评打分': 3}
{'短评内容': '给我爹妈定的。房间比较小，但是卫生间超大，我妈说浴缸太大容易摔跤，哈哈哈。另外，她比较担心的是桶装水是不是新鲜。早餐一般。如果你去使馆区三里屯什么的，还是挺方便的。', '短评打分': 5}
{'短评内容': '超级满意的入住环境！还会再去的！！！浴缸很大~~~很干净。床也很舒服~~总之十分满意！', '短评打分': 3}
{'短评内容': '除了有点贵，其他的都很好，还有连接电视的电脑可以用，网速也挺快的~', '短评打分': 5}
{'短评内容': 'goodgoodgoodgooodgoood', '短评打分': 5}
{'短评内容': '豪华双人床房，十分满意！干净，舒适，温馨，享受...下次还会选择这里的。', '短评打分': 3}
{'短评内容': '非常满意！首先说房间，很温馨，也很安静。大小刚刚好。其次说浴室，超级大的浴室，一个双人浴缸很是吸引。服务员的态度也很好，我们在外订餐用餐后的餐盒，服务员都帮我们收拾的很干净。要求额外加两条面巾，服务员也是很快就给送来了。我认为喜家红宾馆的性价比很高，希望朋友们都能去体验一下~~~下次我还会义无反顾的选择这里！实在是太满意了！！！', '短评打分': 5}
{'短评内容': '地理位置非常好，酒店干净卫生，服务挺好。隔音差。', '短评打分': 5}
{'短评内容': '房间不错，挺干净。服务挺周到。', '短评打分': 5}
{'短评内容': '挺好的酒店，又来入住啦。。该店南边的川菜馆很好。。', '短评打分': 5}
{'短评内容': '卫生间超级大，早餐一般，交通方便。 房间小，大厅装潢也一般。\r\n去地铁站步行10分钟，去机场很便利', '短评打分': 5}
{'短评内容': '电脑与电视的结合非常好，美中不足就是上网时距离“显示屏”太近，看的眼花、脖子疼，如果能把键盘放远一点就好了', '短评打分': 5}
{'短评内容': '交通还算便利。酒店设施较新，早餐还不错。', '短评打分': 5}
{'短评内容': '卫生间超级大，浴缸也非常舒服。早餐一般，交通方便。', '短评打分': 5}
{'短评内容': '离三里屯很近，房间也大，只是我那一间房的马桶堵了。总体上值得推荐，毕竟在这一地区算是性价比很高的了。', '短评打分': 3}
{'短评内容': '酒店还行，就是早饭确实一般，不过在北京这样的酒店就算是便宜的了。', '短评打分': 5}
{'短评内容': '不错！位置便利，性价比很高，除了房间小点。', '短评打分': 5}
{'短评内容': '很不错的酒店，在酒店管理、服务上令人满意。各项设施也还完备。总之，是个再来北京，还是愿意住这家宾馆。', '短评打分': 5}
{'短评内容': '1. 房间小，大厅装潢也一般。\n2. 房间内设施很好，卫生间感觉不错。\n3. 早上韩国料理很不错。\n4. 外面要15分钟左右才能到广场， 一般单行或少人数出差合适。\n5. 性价比非常划算，在附近找不到几家。因为包含早餐。\n总体感觉很不错，再次附近出差还是优先选择。', '短评打分': 5}
{'短评内容': '+一般', '短评打分': 5}
{'短评内容': '其他还好，就是房间太小点', '短评打分': 5}
{'短评内容': '经常去的一家店，主要是交通便利，挨着地铁、商场，楼下还有一个小菜市场和超市~~~~', '短评打分': 5}
{'短评内容': '房间比较大，但可惜房内附带的电脑坏了，视频点播也一直没用上。除此之外一切都还不错', '短评打分': 3}
{'短评内容': '在三里屯、工人体育场一带算是性价比比较好的宾馆了，楼下有个餐厅还不错，要从边门进去。', '短评打分': 5}
{'短评内容': '豪华间卫生间有双人浴缸,很不错,但房间不大', '短评打分': 5}
{'短评内容': '还好，位置不错，不过真的不喜欢这个酒店的名字，怎么感觉像农家乐？', '短评打分': 5}
{'短评内容': '入住喜家红已经两次了，如果是商务的，我想那个地理位置应该还是比较方便的，去机场，去中心都比较方便。因为旁边是居民区，所以买一点吃的或是买点特产都比较方便。说说服务，喜家红的卫生间还是蛮不错的，超大的浴缸，适合泡澡，还是双人的。房间里还有一个小沙发，还是比较人性的。所以我想下次还会去住，提一个建议，就是价格最近调的比较快。对于我们这一些比较忠实的用户，希望能更优惠一些！', '短评打分': 5}
{'短评内容': '我是夏天住的蚊子太多', '短评打分': 5}
{'短评内容': '总体来说不错，吃饭还能打折，价格适中。。。', '短评打分': 5}
{'短评内容': '总体不错,服务很好.电视和电脑搞在一起操作很麻烦,建议取消,把电视调的简便易用就更好', '短评打分': 5}
{'短评内容': '酒店位置不错，去地铁站步行10分钟，去机场很便利。楼下餐厅吃饭不错，自助早餐太简单，房间太小。', '短评打分': 5}
{'短评内容': '九点就停止供应，早餐结束的太早了，供应品种也有待改善。\r\n从卫生的角度讲，我不敢放心的使用浴缸。', '短评打分': 1}
{'短评内容': '房间虽然小，但是设施齐全，超级大的双人浴缸。喜欢大床，舒适干净。\r\n缺点是电视节目少，早餐不丰富，早餐服务人员态度也不好。\r\n前台服务人员和走廊服务人员热情、好助，问路的时候还上网帮助我们查找地图，感谢感谢\r\n', '短评打分': 5}
{'短评内容': '还可以吧，电脑不是很好用，房间一般情况。周边比较方便。', '短评打分': 5}
{'短评内容': '酒店位置还不错，房价很小，床也小，卫生间安装了双人的浴缸，占据很大空间但没有什么作用，浪费空间了。', '短评打分': 5}
{'短评内容': '位置不错，价格合理，豪华房间大浴缸很舒适，房间配有电脑很方便，我下次还会光临这里！！', '短评打分': 5}
{'短评内容': '环境很好，装修也不错，推荐！', '短评打分': 5}
{'短评内容': '帮朋友订的，第二次住这个酒店了，整体还不错，只是房间里的电脑超级不好用。在电脑上编辑点东西都不行，存了三次都没存下来，最后不知道怎么搞的居然是WPS共享文件。估计是酒店用的系统不对。那个所谓的电脑就是个摆设，顶多是屏幕当电视用而已。', '短评打分': 5}
{'短评内容': '一般还行有味道一般还行有味道一般还行有味道一般还行有味道', '短评打分': 1}
{'短评内容': '酒店装修的不错，特别是卫生间的浴缸，只是早餐结束的太早，我9点多一点点去吃就已经结束了。', '短评打分': 5}
{'短评内容': '，硬件不错，周边环境一般，准四星有些免强。', '短评打分': 5}
{'短评内容': '很不错性价比很高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '一般，房间打扫不是很干净，电脑和电视是同个显示器，不是很好用。', '短评打分': 3}
{'短评内容': '很干净，很舒适，', '短评打分': 5}
