{'descr': '没有早餐', 'star': 5}
{'descr': '运气比较好订到最后一间大床，感觉上比较干净设施比较齐全，比较安全，推荐的', 'star': 5}
{'descr': '没什么大印象', 'star': 1}
{'descr': '位置和价格还是很合适的，出门公交，外加离七宝、莘庄都很近，总体感觉还可以，就是房间隔音不是太好，隔壁房间的声音都听的很清楚哦', 'star': 3}
{'descr': '感觉在上海住宿的条件还是可以的了，出门就有公交，可以到七宝、莘庄的。真是不好意思，我离开的那天才发现公交车离出门很近的地方', 'star': 5}
{'descr': '真的不错，服务员也很热情', 'star': 5}
{'descr': '卫生和公交位置还好，坐1号线到莘庄直接坐莘纪线就到。就是房间隔音差了点，同楼层有人在房里吵架，隔了几间房都觉得声音太大', 'star': 5}
{'descr': '卫生条件很好，硬件完善，服务不错，下次还会再住的。', 'star': 5}
{'descr': '除了宽带有时连接不上，速率比较慢.位置稍有些偏之外其它各方面条件都不错.整体水平挺好的.', 'star': 5}
{'descr': '服务一般，其他都还不错的，房间很干净，配套设施完善，性价比较高，下次还会住的。', 'star': 5}
{'descr': '都还可以', 'star': 5}
