{'短评内容': '酒店位置优越，临近商场。房间大，适合商务、带孩子', '短评打分': 5}
{'短评内容': '房间比较大，在市商业区中心位置，周边超市和酒店很多。', '短评打分': 5}
{'短评内容': '条件不错，挺宽敞的，卫生也非常好，但是服务方面要提高啊', '短评打分': 5}
{'短评内容': '酒店环境不错，商务套房型很好。', '短评打分': 3}
{'短评内容': '酒店的设施还有服务都很好，交通和购物都很方便，就是价格稍贵。', '短评打分': 5}
{'短评内容': '酒店很好，房间很大，很干净。', '短评打分': 3}
{'短评内容': '交通方便,楼下就是人民购物广场,临近唐山远洋城!', '短评打分': 5}
{'短评内容': '每次住都带着美好的心情来，每次走都是很不愉快！前台的素质太差，总和客人顶嘴，服务不人性化，房间冷的要命，水龙头放十分 中也不会出热水，开发票要税号，要双拖鞋居然说收十元钱！', '短评打分': 1}
{'短评内容': '地理位置不错，就在主干线旁边，和人民百货是一个楼，楼下有24小时便利店，车可以免费停地下车库，前台服务挺热情。房间很大很明亮，傢俬用的很好，光沙发就有5个，挺漂亮的。床垫很厚，床单很舒服，空调很给力，两台，开一台就足以了，还好带了加湿器，呵呵。唯一不足的是没有手持花洒，两个固定花洒都不太好用。淋浴间的花洒整个一个天女散花，四处喷水。浴缸处的花洒经过自行除垢勉强可以用。该维修了。', '短评打分': 5}
{'短评内容': '位置环境很喜欢 价格较高  不知道为什么对床单被单过敏了', '短评打分': 5}
{'短评内容': '早餐不好，原先是自助早餐现在改套餐，没法比了。', '短评打分': 5}
{'短评内容': '希望内部的设施能够经常检查维修 ，由其是卫生间的沐浴喷头及浴盆。价格要是再合理点就好了。', '短评打分': 5}
{'短评内容': '朋友推荐的酒店还是相当不错的至少在唐山这个地方。可以住下次还会选这里。', '短评打分': 5}
{'短评内容': '不知道为什么总涨价  早餐费暗含在住宿费中不吃就白花了不合理  性价比开始降低了', '短评打分': 5}
{'短评内容': '位置比较喜欢 环境不错  在餐厅用餐开水还收费有点不合理 ', '短评打分': 5}
{'短评内容': '环境位置都好，停车场小，下次还住。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐贵了点，总体上很不错。属于档次比较高的酒店了！\n', '短评打分': 5}
{'短评内容': '性价比一般吧，但酒店在唐山还算不错。地段可以', '短评打分': 5}
{'短评内容': '挺不错的，价格还可以，卫生也还可以，总体来说我还会再住的撒', '短评打分': 5}
{'短评内容': '酒店很闪，干净，整洁，宽敞，舒适，隔音效果也很好，我很满意! \n', '短评打分': 5}
{'短评内容': '很安静，房间也很大，很干净，停车还免费，下次继续住！', '短评打分': 5}
{'短评内容': '替客户定的，客户反映很不错，干净，豪华，尤其提出的是餐厅非常不错。', '短评打分': 5}
{'短评内容': ' 酒店很闪，干净，整洁，宽敞，舒适，隔音效果也很好，我很满意!', '短评打分': 3}
{'短评内容': '唐山爱时特套房酒店酒店很新，设施也不错，早餐没什么吃的,周围有小吃还可以。\n', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度也好，值得推荐，下次如果有机会还会去那里。', '短评打分': 5}
{'短评内容': '酒店环境不错硬件设施齐全,就是停车位太少', '短评打分': 3}
{'短评内容': '酒店很新，设施也不错，整体感觉比唐山锦江国际还好，但是价格比它便宜多了。不过我住的楼层就在平台一层，感觉不好，没能换到其他楼层。早餐没什么吃的', '短评打分': 5}
{'短评内容': '交通方便，环境优雅，服务好，下次继续入住！！', '短评打分': 5}
{'短评内容': '好，不错，方便 实用，出差还著他！！！！', '短评打分': 5}
{'短评内容': '南大附近的酒店，从豪华单间升级到行政单人间，房间非常舒适，下次还住这里。', '短评打分': 3}
{'短评内容': '+酒店非常干净，房间非常大，餐厅饭菜贵点。特别推荐！', '短评打分': 5}
{'短评内容': '我们住的这个酒店的行政套房，房间卫生很一般，杯子和赠送的矿泉水上厚厚的一层土，卫生间淋浴房会漏的满地都是水，而且洗澡的热水很微弱，花洒也太廉价了，洗澡好辛苦啊！屋子的装修材料和工艺都属于廉价品，卧室的空调口在床的正中间，客厅的空调风机滋滋的响，客厅有电视接口但没有电视机，房间里的冰箱不制冷，还好的就是服务员很热情，也算是一种安慰吧！价格收得五星，对外宣称也是五星，“赝品”呀！', '短评打分': 1}
{'短评内容': '对酒店整体印象很好，会经常选择该酒店，设施要不断维护最好', '短评打分': 5}
{'短评内容': '车位不多，房间很大很舒服，早餐不错就是收费而且有点贵。', '短评打分': 3}
{'短评内容': '位置在唐山市的北边，离市中心不近。但因为自驾车，没感觉不方便。\r\n酒店硬件很不错，很新，服务员培训的也算到位。\r\n唯一遗憾的是，客房打扫得不够细致。洗手间的棉签和化妆棉的小塑料袋竟然是上一位客人撕开用过的，没有更换。开水壶里面还有半壶水。', '短评打分': 5}
{'短评内容': '不错的酒店，房间很大，停车场有点小，稍有些贵了', '短评打分': 3}
{'短评内容': '订的458价位的房间，我们3个人，本来想加床的，结果说没床可加了，前台态度还特别生硬。房间里空调温度不能调，晚上有点热。\r\n房间很大，很干净，设施也比较先进，算是比较不错的四星级酒店。地理位置很好，因为是去师范学院参加考试的，所以很近，走路或者坐一个三轮车就能到。\r\n没有在酒店吃早餐，感觉价格有点高，而且如果是非入住时交钱就是68，太黑了。在酒店吃了一顿午餐，价格还可以，但是量少，不过味道不错，榴', '短评打分': 3}
{'短评内容': '酒店挺好,很新很干净,就是窗户没有办法打开透气', '短评打分': 5}
{'短评内容': '+设施不错，但是本来要加床的结果说没有床了，感觉很可笑。前台态度太差。', '短评打分': 5}
{'短评内容': '~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '毛巾浴巾可以更新的快些，有的很旧，近期入住时有脏的地方。带浴缸的卫生间，淋浴时爱向外溢水，弄得卫生间很湿。其实入住整体感觉很好，我长期选这里。', '短评打分': 5}
{'短评内容': '房间挺大，挺舒服，唯独不好的就是卫生间的浴盆太高了，不小心会摔跤的', '短评打分': 5}
{'短评内容': '酒店的位置还是很好的，卫生设施都很好毕竟是刚开业的酒店环境还是非常不错的，价格还行。', '短评打分': 5}
{'短评内容': '服务非常好，设施也很新，不太好打车，其他都不错！', '短评打分': 3}
{'短评内容': '不错的酒店，硬件设施达到五星级，标准套房很宽敞。下次还会住这里。', '短评打分': 5}
{'短评内容': '位置挺好，设施挺好，服务也挺好，在唐山是不错的选择。', '短评打分': 3}
{'短评内容': '除了没早餐，其他都还不错。新装修的，位置也不错，', '短评打分': 5}
{'短评内容': '总体一般，位置不错。', '短评打分': 5}
{'短评内容': '酒店卫生干净 ', '短评打分': 5}
{'短评内容': '很舒服。挺安静的。', '短评打分': 5}
{'短评内容': '酒店房间比较大，很卫生，服务还可以，价格有点高。', '短评打分': 3}
{'短评内容': '价格比较高，房间很大，还不错。', '短评打分': 5}
{'短评内容': '总体酒店还可以，服务有待提高！硬件还不错', '短评打分': 5}
{'短评内容': '总体来说不错哦。是我在内地住过最满意的', '短评打分': 5}
{'短评内容': '一个字“好”，两个字“舒服”，三个字“还要来”', '短评打分': 3}
{'短评内容': '很适合中国人住，但是服务员不会说英语，不适合外宾入住。', '短评打分': 5}
{'短评内容': '这是一家比较新的酒店，设施很新，房间大且温馨，就是早餐小贵。以后来唐山还要住这里。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '挺安静的。', '短评打分': 3}
{'短评内容': '房间环境很好服务态度很好，就是房间有点闷热，没有空调。', '短评打分': 5}
{'短评内容': '住宿性价比要比唐山锦江饭店要好。', '短评打分': 5}
{'短评内容': '相当不错  我们很满意', '短评打分': 5}
{'短评内容': '是商旅好住处', '短评打分': 5}
{'短评内容': '房间真的很大，没有一点压迫感！设施也很新啊！真的可以配的上舒适二字！我家老头说：“虽然有点奢侈，但是这个钱花的很值！”', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '第二次来了', '短评打分': 5}
{'短评内容': 'GOOD', '短评打分': 3}
{'短评内容': 'GOOD', '短评打分': 5}
{'短评内容': '经济套房不大，和普通酒店的标间大小差不多，比照片小多了，起个套房名字而已。\r\n不过服务还不错，入住当天是生日，刚进房间服务台就打来电话，送了一个生日蛋糕和一个果盘，感觉很好。', '短评打分': 5}
{'短评内容': '非常好！！！！！', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '客房很大。名副其实！早餐要38元贵了一点,不值！', '短评打分': 5}
{'短评内容': '无敌\r\n这酒店在市中心  那就没有新华大酒店的位置了', '短评打分': 5}
{'短评内容': '位置不错，楼下就是商场，停车场有点小，房间很大很舒服，总体感觉不错~', '短评打分': 5}
{'短评内容': '很新很时尚! 但服务员有些业务不熟', '短评打分': 3}
{'短评内容': '酒店地理位置 很好，房间也比较干净，如果价格再便宜一点就好了！', '短评打分': 5}
{'短评内容': '比较新 装修很时尚 值得推荐 位置稍微偏一点点', '短评打分': 5}
{'短评内容': '这家店房间够大,比较舒服,价格也可以', '短评打分': 5}
{'短评内容': '上下电梯还要刷卡,太麻烦了!!望改进...', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店不错,位置稍偏,性价比一般,不过唐山的酒店都偏贵', '短评打分': 5}
{'短评内容': '各方面都挺好.', '短评打分': 5}
{'短评内容': '唐山出差时的首选，非常不错。', '短评打分': 5}
{'短评内容': '上电梯还得刷房卡。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '设施是新的,服务员的服务也是新的,取行李用了10分钟,而且我去的时候,酒店进行打折活动,299一间,服务员不肯给我降价,开发票时还开299,让我十分郁闷,如果不想和宾馆打仗的话,还是推荐这里,设施还是不错的', '短评打分': 5}
{'短评内容': '房间很小，手机没有信号', '短评打分': 1}
{'短评内容': '总体来说还不错的酒店就是位置稍微有些偏，但还是不影响推荐！', '短评打分': 5}
{'短评内容': '不错\r\n', '短评打分': 5}
{'短评内容': '又一次入住了，只不过这次想提点意见，退房时把一个U盾丢在房间，服务员查房居然都不说一声，等我都回北京以后打电话去前台查，前台才说是发现了，已经存在前台了，只好让朋友帮忙去拿。我一个朋友也是，将一件衣服丢在衣柜里了，居然也不提醒。即使退房当时服务员没有发现客人遗漏东西，入住时都留过联系方式给前台的，难道发现后不能主动通知一声吗？!!', '短评打分': 5}
{'短评内容': '已经多次入住了，一直是我到唐山出差的首选。靠近远洋城，晚上没事的时候逛逛也很方便。但是最近房价不含早餐了。原来是含单早的。', '短评打分': 5}
{'短评内容': '很舒适,早餐服务应该更灵活,质量应该再提高', '短评打分': 5}
{'短评内容': '09年开业的酒店，装修和设备都很好，房间很宽敞，早餐也很好。以后去还住这家！', '短评打分': 5}
{'短评内容': '以这个价位住这个酒店算是物超所值了，对酒店很满意，但是位置是有些偏了交通不是很方便。', '短评打分': 3}
{'短评内容': '酒店是今年新开的很新设施很好,以前就住了,印象很好,位置在市中心出行很方便,唯一有件事就是我在那丢了一件东西,酒店说没有很奇怪.', '短评打分': 3}
{'短评内容': '非常不错的酒店，位置靠近远洋城，吃饭、购物都很方便。房间面积比较大，装修也不错，感觉比唐山锦江国际的好。性价比很高。下次来唐山还会入住。唯一一点，酒店的供暖是由市政提供的，我们入住时正好赶上尚未供暖，空调又没有暖风，所以房间略有点凉。', '短评打分': 5}
{'短评内容': '酒店住着还是比较舒服的,但就是当时订的房间是住了两个人,但是只送了一份早餐,所以觉得不太方便,不过位置与网上介绍的还是有些处处的,离欧上超市挺远的,不过价格还是比较实惠的.', '短评打分': 3}
{'短评内容': '我经常住这家酒店性价比很好,就是的位置稍微偏了一些,卫生服务也很满意.', '短评打分': 3}
{'短评内容': '客房服务还好', '短评打分': 5}
{'短评内容': '总的来说还是不错的，比较舒适。已经去住过两次了。和我一起的外宾也一再说不错。就是退房的时候太慢了，等了很久。希望该进', '短评打分': 5}
{'短评内容': '还好啊~', '短评打分': 5}
{'短评内容': '总体来说,还是比较好的，环境闹中取静,比较好,最好的感觉是床和床上用品很好,睡觉很舒服,卫生感觉也不错.交通便利.', '短评打分': 5}
{'短评内容': '刚才的点评有两处错误，自纠一下“3.......喝粥的碗太少（小），仿佛是茶杯！ 4、名为套房，其实是因为房间进深太长而设置了休息区，没什么感觉，而且服务员解释说准备装有(的)隔帘还没到位“', '短评打分': 3}
{'短评内容': '1、酒店藏在商场的后身，不方便找到；\r\n2、服务员当面答应给送报纸，可是就是没给送，不可理喻；\r\n3、酒店仅有一个餐厅，不建议去尝试午晚餐，因为入住当天吃的午餐不仅贵，而且没有什么可选择，口味一般；早餐尚可，但是服务员安排太少，饭菜断档，青菜盘里还有水，给人清洗不净的印象；煎蛋一锅同时煎好几个，厨师用铲子一分为四，完全没食欲，喝粥的碗太少，仿佛是茶杯！\r\n4、名为套房，其实是因为房间进深太长而设置', '短评打分': 5}
{'短评内容': '我和家人都很喜欢,有机会还会去的', '短评打分': 5}
