{'短评内容': '就是有点老了，房间太小', '短评打分': 4}
{'短评内容': '该店服务还可以、卫生一般、早餐一般、总的来说还可以。', '短评打分': 5}
{'短评内容': '房间小，设备一般，性价比不高，可取之处是可以中午两点退房', '短评打分': 5}
{'短评内容': '性价比不错，去湖南大学北校区和财院很方便，前台服务很好，还会去的。', '短评打分': 5}
{'短评内容': '本酒店位置便利，前台服务人员友善，条件设施完备ADO ', '短评打分': 3}
{'短评内容': '服务好，干净，价格适当，以后到了河西，还会去住，很满意', '短评打分': 5}
{'短评内容': '服务态度很好   环境也不错   很满意', '短评打分': 5}
{'短评内容': '还不错  就是房间一开始有种怪味  打开窗户通风后就好多了', '短评打分': 5}
{'短评内容': '不错的。', '短评打分': 3}
{'短评内容': '酒店服务很不错，我是指定房间入住的，酒店都能一一满足，房间也是一如既往的干净，只是电视机稍显老旧了，有条件的话还是要改进', '短评打分': 5}
{'短评内容': '价格上还算合理，房间还好，挺干净，采光也挺好，位置很好，出行挺方便。', '短评打分': 5}
{'短评内容': '服务态度挺好，卫生也不错，设施简单了点 ，位置很好，出行挺方便。', '短评打分': 3}
{'短评内容': '房间蛮大的，隔音效果挺好，也挺干净卫生，晚上休息的挺好。', '短评打分': 5}
{'短评内容': '服务上挺热情的，房间大小还好，卫生打扫的挺干净，网速也不慢，整体感觉不错。', '短评打分': 5}
{'短评内容': '这家酒店的服务还是蛮到位的，房间卫生打扫也不错，这次住的还算舒适。', '短评打分': 5}
{'短评内容': '挺不错，住的蛮舒适的，还能提供早餐，价格也合理，值得推荐。', '短评打分': 5}
{'短评内容': '前台办事效率挺快的，房间舒适度还好，设施还不错，有的房间还提供电脑，感觉挺不错的。', '短评打分': 5}
{'短评内容': '酒店位置还不错，交通挺便利，住宿条件也还好，价格如果再实惠点就更好了。', '短评打分': 3}
{'短评内容': '环境挺安静也挺干净，出行交通挺便利，总体感觉不错。', '短评打分': 5}
{'短评内容': '地段挺不错，靠近汽车站火车站，周边交通购物都挺方便。', '短评打分': 5}
