{'descr': '离地铁站500米，房间稍有点小，去方庄也方便', 'star': 4}
{'descr': '因为去的太晚也没有太多感受，整体感觉还可以，反正都是便捷酒店，大家都知道的', 'star': 5}
{'descr': '一般,周围环境不大喜欢,还在施工', 'star': 3}
{'descr': '周围环境不是很好，一般', 'star': 3}
{'descr': '楼下是一家中医院，有点别扭。其他的还好。', 'star': 5}
{'descr': '很失望，卫生差，毛巾都是旧的，服务也不怎么样，尤其是位置不好，坐车、坐地铁都不方便，太偏僻！', 'star': 1}
{'descr': '性价比较好，交通便利，网速慢', 'star': 3}
{'descr': '环境可以，交通便利，网有点慢。', 'star': 3}
{'descr': '网速有点慢，环境很好', 'star': 5}
{'descr': '周边环境一般，也许因为在修桥吧', 'star': 1}
{'descr': '这个酒店性价比还可以', 'star': 5}
{'descr': '房间舒适，卫生。服务热情。交通方便，适宜旅行入住。', 'star': 3}
{'descr': '酒店服务设施较好，服务态度很好。房间舒适宽敞。比较适合工薪族旅游观光居住。门前公交站点很多，出行方便', 'star': 5}
{'descr': '酒店周边设施很少，没有找到吃饭的地方，需要打车才能到。酒店内的设施跟锦江之星的酒店差不多。唯一不好是赶上修什么东西，电视机一直没有影响，太糟糕了。', 'star': 5}
{'descr': '这是超级烂的锦江之星\r\n1.小卖部买东西不能寄帐，原因，小卖部人员怕麻烦\r\n2.早餐卷不能晚上取，原因，规定\r\n3.房间没打扫，原因，忘了，但前柜人员态度不佳\r\n', 'star': 1}
{'descr': '住了五天，总体来说性价比还是蛮高的。公交比较方便，就在门口。但做地铁就要转一下。服务水平一般。早餐拿房卡也要十五块钱一位，东西味道一般，不太划算。', 'star': 5}
{'descr': '房间比较新，服务也很满意，调换房间之类的都很痛快，就是位置有些偏，附近没有什么超市，购物比较困难', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '其他都不错 就是没有在退房之前打电话来提醒我 导致我睡过时间了', 'star': 5}
{'descr': '一层大厅提供饮料很单一,没有如家提供的饮料多,好多东西都需要自己出去买,服务的不是很好,附近也是在施工,有点脏,其他方面也比较一般.', 'star': 3}
{'descr': '居住还比较舒适,晚上比较安静,门前坐公汽比较方便.但离地铁站比较远.', 'star': 5}
{'descr': '这个锦江之星我觉得在北京来说价格是比较合理的，而且位置挺好挺方便的，我只要来北京就会住锦江之星，他们的环境不错很干净，服务也很好，总的来说很不错。', 'star': 5}
{'descr': '符合锦江的一贯风格，就是周围的环境有点不很好，可能是拆迁或改建的设施比较多，\u3000有点感觉乱．', 'star': 5}
