{'短评内容': '锦江之星还是一如既往的好！快捷酒店里不错的了', '短评打分': 5}
{'短评内容': '锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！锦江之星的床很舒服！', '短评打分': 5}
{'短评内容': '非常不错，房间宽敞，屋内干净优雅，入住十分舒适，非常满意', '短评打分': 5}
{'短评内容': '不错，很干净，空间很大很舒服，地理位置也不错，很好找。办理入住速度很快', '短评打分': 5}
{'短评内容': '酒店挺温馨的。', '短评打分': 3}
{'短评内容': '   个人住宾馆很在意卫生间的设施和卫生情况，这个部分很满意，很干净，淋浴空间的导水槽设计得很好，有一次性卫生用品；电视是比较老式的，如果是液晶就比较好了；有中央空调而且开的很足，但239元的价格不含早餐，感觉性价比不高，另酒店位置比较偏不是太好找，综合评价还是不错的！', '短评打分': 5}
{'短评内容': '环境不错，早餐丰富有营养。', '短评打分': 3}
{'短评内容': '出差不见客户端时候，住经济性酒店都会选择锦江之星，干净整洁，不想如家太花哨，适合学生住。', '短评打分': 5}
{'短评内容': '酒店干净舒适,服务态度佳  !', '短评打分': 3}
{'短评内容': '建议如考虑北京南站就近住宿的话，不要选择该酒店入住，一个是距离确实不是像该酒店所宣传的，另一个是该位置路段正在施工，环境较差。这是我11年10月21日入住个人感受，仅供参考。', '短评打分': 1}
{'短评内容': '酒店有停车场，可以提供停车。而且空间很大，周边非常安静。\n前台服务员态度很好，而且有自助洗衣，衣服换洗方便。\n唯一不好就是地方不好找，找了半天。\n', '短评打分': 5}
{'短评内容': '酒店规模较大，卫生比较干净，早餐品种也不少！就是晚上12点在北京南站下车后，找不到交通工具，公交、地铁、出租全没有。建议酒店能代客叫出租车。', '短评打分': 5}
{'短评内容': '锦江之星一贯的满意，性价比不错，酒店还算舒服，不吵，地段不错，离地铁近，去哪里都方便，饮食也方便，服务还不错 \n', '短评打分': 5}
{'短评内容': '离我们公司近，一般都是推荐客户住这家，早餐不错。', '短评打分': 5}
{'短评内容': '服务不错,干净、整洁；虽说与地铁站同名，但还是有一段距离。', '短评打分': 5}
{'短评内容': '周围环境一般，好像在小区边上，一般一般。', '短评打分': 5}
{'短评内容': '房间很干净，设施齐全，有网线。离地铁4号线走路20左右，不好找，可以打个小摩托过去5元，很方便。前台很忙，服务还可以。', '短评打分': 3}
{'短评内容': '干净、服务很好，交通方便，就餐也便利，下次还住', '短评打分': 5}
{'短评内容': '不错，挺干净，房子虽然小点，但是五脏俱全，呵呵，会推荐朋友入住！！！！', '短评打分': 5}
{'短评内容': '快捷酒店，较干净，安静，整体可以，较好，推荐入住', '短评打分': 5}
{'短评内容': '房间隔音差，服务态度还好。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '半夜晚上去的，没看清路。舒适性对得起这个价格了，简约型的。', '短评打分': 5}
{'短评内容': '比较喜欢他家的早餐，挺丰盛的，还有新鲜的煎饺，还有酸奶，不错不错', '短评打分': 5}
{'短评内容': '房间挺干净，服务也很规范，总之比较满意和放心', '短评打分': 5}
{'短评内容': '多次入住这家酒店了，每次来出差就过来了，都是熟悉的服务员，感觉很好，呵呵', '短评打分': 5}
{'短评内容': '住了很多次了。不错,离地铁很近的。推荐入住', '短评打分': 3}
{'短评内容': '酒店比较清洁干净，但位置不好找，好在服务员态度较好，在服务员耐心的电话指路下终于找到了。另外，建议一下早餐再丰富一点。。', '短评打分': 5}
{'短评内容': '挺安静的，离地铁距离还可以，还可以享受一下全聚德的烤鸭，就在店旁边', '短评打分': 5}
{'短评内容': '整体环境不错\n', '短评打分': 3}
{'短评内容': '挺干净的,还行', '短评打分': 3}
{'短评内容': '这里保持了锦江之星酒店一贯的特点，干净，卫生，舒适，下次还会定这里。', '短评打分': 5}
{'短评内容': '这里保持了锦江之星酒店一贯的特点，干净，卫生，舒适，下次继续住。', '短评打分': 5}
{'短评内容': '不错！家里装修住了多日，感觉非常好，房间舒适，除了热水不如七天，其他完胜', '短评打分': 5}
{'短评内容': '酒店一如既往的不错，但就是位置稍微偏了点，不太好找，没有人接送还是有些出行不便。', '短评打分': 5}
{'短评内容': '住着感觉还可以，就是每天晚上都有人从门缝往里噻色情小广告，感觉不是很安全！', '短评打分': 1}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '还是挺整洁，其他一般，价钱比较便宜，但不容易找，不方便', '短评打分': 5}
{'短评内容': '交通不太方便，很难找，附近吃饭的地方不多，道路较窄很难打车', '短评打分': 1}
{'短评内容': '干净方便。干净方便。干净方便。干净方便。干净方便。干净方便。干净方便干净方便。。干净方便。', '短评打分': 5}
{'短评内容': '服务很好，我们初次来不知地铁站远近，前台很详细地告知我们怎么走，很感谢！', '短评打分': 5}
{'短评内容': '还可以,就是房间有霉味.....................', '短评打分': 5}
{'短评内容': '离火车站很近，坐车10分钟，店内环境卫生整洁，餐厅自助早餐品种丰富', '短评打分': 5}
{'短评内容': '地理位置不错，晚上挺安静的，装修一如锦江之星的风格，值得推荐', '短评打分': 5}
{'短评内容': '酒店卫生还不错，就是总机告诉客人人该酒店位置时方位不清，害的我多跑许多冤枉路。', '短评打分': 3}
{'短评内容': '餐厅柜台服务态度不耐烦，', '短评打分': 3}
{'短评内容': '挺好的，入住前还会提醒，还有天气预报什么的，。', '短评打分': 5}
{'短评内容': '挺好，就是有点偏，地理位置不大好，找不到 吃饭的地方', '短评打分': 5}
{'短评内容': '还算比较满意，房间很干净，设施也比较新，周围商场比较多，出行也还算方便。不太满意的地方：房间隔音不好，走廊里面有人说话听的清清楚楚。\n另外提一个建议：我们入住后发现房间温度定的太高（感觉有28、9度），由于是中央空调供暖，不知道其他没有住人的房间是不是也这样（入住率不高），这样对能源的浪费太大了，以后能不能等客人入住后再调高房间温度。', '短评打分': 5}
{'短评内容': 'OK。', '短评打分': 3}
{'短评内容': '基本条件还可以，入住手续比较繁琐，周围不是很方便', '短评打分': 5}
{'短评内容': '房间还可以，交通不是很方便，到西客站很远！', '短评打分': 5}
{'短评内容': '性价比较高，就是晚上有人从门缝往里面塞小广告！', '短评打分': 5}
{'短评内容': '环境这些还不错，唯一感觉不是很好的就是每天晚上有人往门缝里塞小广告！', '短评打分': 5}
{'短评内容': '就冲锦江标间一张大床一张小床去的。各方面都不错，就是离地铁口有点远，走过去不方便。', '短评打分': 5}
{'短评内容': '不错，很干净，就电视机小了点，还有就是不太好找。', '短评打分': 5}
{'短评内容': '就是卫生间小了点，服务一般吧，性价比算是高的了。', '短评打分': 5}
{'短评内容': '不错，干净舒适，也很安静！', '短评打分': 5}
{'短评内容': '锦江的招牌就代表着高一年级的水准呵呵 支持！', '短评打分': 5}
{'短评内容': '整体感觉还可以！就是十二点就要求退房了！', '短评打分': 5}
{'短评内容': '酒店还不错，很干净，服务也很到位，就是交通不是特别的方便。', '短评打分': 3}
{'短评内容': '住这边就是距离南站近一点，酒店还不错，但是附件没有地铁，不是很方便。', '短评打分': 5}
{'短评内容': '+酒店较干净，管理严格', '短评打分': 5}
{'短评内容': '这个酒店设施还不错，就是位置有点偏，周围吃饭的地方少', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '晚上骚扰的特别多往门缝里面塞那些卡片特别乱，位置还行，卫生设施还凑合。价格的话也还行。', '短评打分': 1}
{'短评内容': '还可以，值得推荐，卫生干净，就是电视小点啦，房间也小点', '短评打分': 5}
{'短评内容': '还成，就是凳子ms有些潮。\r\n位置不好找。', '短评打分': 5}
{'短评内容': '就因为卫生很好，服务很好，我出差就喜欢住锦江之星的连锁店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '就是离地铁站还是有点距离，其他还是不错的！', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '锦江宾馆还不错，讲究整体装修墙面，卫生间都是整体的，洗澡时脚下流水槽设计的不错！', '短评打分': 5}
{'短评内容': '总体来说，干净舒适。房价好像在逐步上涨，不过幅度不大。', '短评打分': 5}
{'短评内容': '上次就住的这里，房间小点其它还不错。', '短评打分': 5}
{'短评内容': '马马虎虎', '短评打分': 3}
{'短评内容': '过的去', '短评打分': 1}
{'短评内容': '很不错，价格又实惠，离南苑机场近', '短评打分': 5}
{'短评内容': '早餐品种少，没有小商品买', '短评打分': 5}
{'短评内容': '就是位置偏了一点，去哪玩的话坐车都有点远，其它条件都不错！', '短评打分': 5}
{'短评内容': '不错,住的很舒服,性价比相对于其他酒店来说还是很不错的!', '短评打分': 5}
{'短评内容': '性价比高，虽然单间有点儿小\r\n', '短评打分': 5}
{'短评内容': '环境不错，服务好，房间虽小但是装修的很温馨。价位也不贵。', '短评打分': 5}
{'短评内容': '服务挺好，但房间较小。\r\n总体比较满意。', '短评打分': 5}
{'短评内容': '酒店的服务很好。但硬件条件不到位，比如走廊是地砖的，没铺地毯，影响休息。', '短评打分': 5}
{'短评内容': '和如家比起来，房间太小。', '短评打分': 1}
{'短评内容': '酒店里没有商务大床房，感觉比较欠缺。另外应该增加无线上网设施。', '短评打分': 5}
{'短评内容': '现在的地面是瓷砖的，如果能在走廊里的地面铺上地毯就好了，这样就不会影响其他人休息了。', '短评打分': 5}
{'短评内容': '房间干净，服务周到，早餐丰盛。', '短评打分': 3}
{'短评内容': '环境好，服务好，早餐很丰盛。', '短评打分': 5}
{'短评内容': '如果房间再大些就更好了', '短评打分': 5}
{'短评内容': '酒店的服务很不错，设施条件也还可以，他这个店的位置挺方便的，价格合适。', '短评打分': 3}
{'短评内容': '锦江之星的品牌还是不错的，整体管理和服务比较好。经济性酒店中还算不错的。交通和周边餐饮都不错，开车上南四环比较方便，在北京也算性价比不错的了。', '短评打分': 5}
{'短评内容': '经济型的酒店也就这样了，房间里挺干净舒适的，价格也不算贵。', '短评打分': 5}
{'短评内容': '酒店的服务环境，硬件设施都不错，条件挺好的，就是位置稍微有点偏，不过如果在这个附近办事还是可以的，而且我觉得锦江之星条件挺好的。', '短评打分': 5}
{'短评内容': '酒店不好找，服务还可以', '短评打分': 5}
{'短评内容': '酒店大体来说还是挺满意的,就是安全性也还不错,住的挺满意的,不过酒店不是在市中心的,只是当时去那办事,所以也要看个人需要了', '短评打分': 5}
{'短评内容': '就是房间偏小了一点', '短评打分': 5}
{'短评内容': '房间面积太小,入住不是很舒适,房间有霉味,但是价格还算优惠', '短评打分': 1}
{'短评内容': '服务卫生都挺好的 ,挺符合经济酒店的类型', '短评打分': 5}
{'短评内容': '服务卫生都挺好的 ,挺符合经济酒店的类型', '短评打分': 5}
{'短评内容': '服务卫生都挺好的 ,挺符合经济酒店的类型', '短评打分': 5}
{'短评内容': '酒店床铺不是很舒服。', '短评打分': 1}
{'短评内容': '&amp;lt;P&amp;gt;离洋桥很近的,&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;房间很干净,这样的价格在北京真是物超所值&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;打车到西单20多块,还算方便&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;g', '短评打分': 3}
{'短评内容': '很好,酒店房间很温馨,很干净', '短评打分': 5}
{'短评内容': '我的信用卡他们多刷我的钱，到现在还没有归还。打电话去，每次都说马上就办理。有个叫王建的人说这事情让他来处理。结果。。。', '短评打分': 3}
{'短评内容': '刷卡要当心，他们的服务员会乱刷的！！！', '短评打分': 3}
{'短评内容': '一切很好，但是实在太偏僻，北京很大', '短评打分': 3}
{'短评内容': '宾馆干净,价格便宜,房间的设计很欧化,不愧是大的连锁集团', '短评打分': 5}
{'短评内容': '不错,就是隔音不好,隔壁的情侣昼夜鏖战,也不知道真的假的,折腾了一夜,那个女的也不渴,希望可以加强隔音的设施', '短评打分': 5}
{'短评内容': '十一期间，我们一家三口在这里住了六天，感觉挺好！可谓价廉舒适。是非常值得依赖的。', '短评打分': 3}
{'短评内容': '真的很不错，麻雀随小、五脏俱全，房间随小但从细微处见其精神，以人为本，很多地方很周到。干净整洁，经济实惠。', '短评打分': 5}
{'短评内容': '真正的物美价廉，虽说远了点，但是便宜，大院里很干净，房间更干净。虽说房间小了点，但感觉很舒服，很超值。安全性也不错。向大家推荐。', '短评打分': 5}
{'短评内容': '不错的小店!我住了两天，感觉很不错！可惜，离市中心远了点，有一路车通到西单，好象还能方便点。挺干净的，还很温馨。只不过，餐饮方面有点贵，再平民华一点就好了！', '短评打分': 5}
{'短评内容': '本店真的是物美价廉~里面设施很干净~装修很好，单人间稍微小那么点，但是中央空调，电视，单独浴室搞的很不错~房间非常卫生，而且是仿木制地板，唯一差的可能是位置不在市中心了，本人住了2天，感觉很不错！赞', '短评打分': 5}
{'短评内容': '请问下本酒的单人间和标准间有什么不通？都有单独的卫生间、暖气和电视吗？环境干净吗？请速回信junpiabd@163.net', '短评打分': 5}
{'短评内容': '有图片吗？这么便宜，不是很老吧！', '短评打分': 3}
{'短评内容': '请问普通标准间有没有独立的卫生间，和24小时热水以及暖气供应？房间押金是多少 &lt;br /&gt;\n请速回复 xhkay@yahoo.com.cn', '短评打分': 3}
