{'descr': '经济实惠，出行方便，服务很好!', 'star': 5}
{'descr': '吉兴宾馆交通方便.离地铁站不远.公交车站在路口转弯就到.而且房价相宜.住这样的觉得可以了.', 'star': 3}
{'descr': '服务态度蛮好的，条件一般，但这价钱值了。。。就是隔音有点差啊。。。', 'star': 5}
{'descr': '地段位置不错，就在中山北路地铁站旁，性价比较高，各方面都较满意！', 'star': 3}
{'descr': '还行，就是隔音太差', 'star': 3}
{'descr': '地理位置很不错，服务员很热情、耐心，只不过房间隔音效果不好，不过还是推荐！~', 'star': 5}
{'descr': '蛮不错嘚。离地铁很近，楼下刚好iyouge兰州拉面，吃饭也很方便。洗澡的水也很热。就是我住的那间屋子空调声音太大了。晚上很响', 'star': 5}
{'descr': '一般的小旅馆，隔音效果比较差，设施比较旧了', 'star': 1}
{'descr': '98的特价房住着不舒服 老妈早上还吐了\n但是服务态度还不错 东西掉了再去拿还能拿回来 上面贴着名字', 'star': 5}
{'descr': '房间干净，交通方便，不错。以后还会去住。', 'star': 5}
{'descr': '还不错，工作人员比较热情。离地铁口也不是很远', 'star': 5}
{'descr': '宾馆很小，准确说就一层，一进去，前台一男一女蛮礼貌，但是居然要给我开不带窗户的房间，那种98元的特价。拒绝之后，拿房卡上楼，感觉房间很密，光线很暗。进去后，发现空间狭小，格局都是歪的，不成款。电视很小，距离床比较远，屋内就一把椅子，空调声音响。唯一好的，就是安静，床比较舒服。', 'star': 1}
{'descr': '  挺干净的 交通很方便 特别好找 出地铁口拐个弯 走几分钟就到   服务态度也挺好的 房间隔音效果一般 房间挺大的 就是空调声音有点大 挺不错的 价格也很实惠', 'star': 5}
{'descr': '不错，，，，房间蛮大，我住了3天，被子  床单天天换。空调很热，，，', 'star': 5}
{'descr': '房间很大很干净交通方便就在一号线边上', 'star': 3}
{'descr': '环境不错，交通方便，服务热情~这个价位得到这个服务是不错的了~推荐~  \n就是房间找的有点迷糊~', 'star': 5}
{'descr': '用品很齐全，对出门在外旅行的人来说，是很不错的选择！', 'star': 5}
{'descr': '房间干净交通方便', 'star': 3}
{'descr': '这家酒店还不错，就在中山北路地铁站旁边，交通方便，就是房间稍微有点小，不过对应98块的价格也值了，总体还行！', 'star': 5}
{'descr': '还蛮干净的', 'star': 3}
{'descr': '，已入住，感觉不错', 'star': 3}
{'descr': '＋交通便利设施简陋', 'star': 3}
{'descr': '地方很方便,房间很干净,下次再来', 'star': 3}
{'descr': '一般，也就值这个价钱，不过交通很便利，', 'star': 3}
{'descr': '不错，前台很热情', 'star': 3}
{'descr': '这个价位能找到这样的旅馆很不错，环境舒适，强烈推荐。', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '优点：交通方便，服务态度不错\n缺点：设施陈旧，卫生不是太好，居然有蟑螂\n总体来说，以其低廉的价格，可以住到这么便利的交通，服务热情的宾馆还是极有很性价比的，值得推荐', 'star': 5}
{'descr': ' 百视通看电视卡的 特价房主要是便宜', 'star': 3}
{'descr': '装修不错，价格实惠，但是隔音不好，卫生间干湿不分', 'star': 3}
{'descr': '该酒店交通比较方便,乘坐地铁一号线在中山北路东侧出口非常近。服务态度挺满意，房间不大，但是挺干净，电视宽带洗浴齐全，这个价格挺实惠的，推荐。', 'star': 5}
{'descr': '服务态度很好，到火车站很近。房间很清爽，这个价格很值。', 'star': 5}
{'descr': '附近交通方便，步行一分钟到地铁站，屋子也很干净', 'star': 5}
{'descr': '总体来说还是不错，就是服务不是很到位，附近的商店很少，购物不方便。', 'star': 5}
{'descr': '空调不给力，就一条薄被，有点凉', 'star': 3}
