{'短评内容': '一直都出汗就非常好京东的价格也很低', '短评打分': 5}
{'短评内容': '很不错，值得推荐，比较干净，房间里没有异味，晚上也比较安静，出行方便。', '短评打分': 5}
{'短评内容': '特价房敢觉房间较小，并切入住发现床单未换新，叫服务态度很好，总体还算不错！', '短评打分': 3}
{'短评内容': '是汉庭一贯的.各方面都不错,包括位置设施和服务等', '短评打分': 5}
{'短评内容': '整体还不错……', '短评打分': 3}
{'短评内容': '交通位置优越，卫生条件好。觉得挺不错的，下次还是会来的。', '短评打分': 5}
{'短评内容': '比较干净，觉得物有所值，正好在海事局考试所以住下了。', '短评打分': 5}
{'短评内容': '服务态度很好，也很干净，但是房价和预定的时候不一样，涨了10块钱，走的急，也忘了问为什么，随便住住还是可以的。', '短评打分': 5}
{'短评内容': '已经住了很多次了！一如既往的好~\n就是地板被水泡了之后鼓起来了~希望下次能返修一下！\n其他一切都很好', '短评打分': 5}
{'短评内容': '房间的床够大 就是电视接收的电视节目太少了 辛亏带着电脑 网速挺好 每天都有人打扫 很是干净 ', '短评打分': 5}
{'短评内容': '房间格局很好 而且也很宽敞 住了五天 很舒服 下次还会继续住 ', '短评打分': 5}
{'短评内容': '入住汉庭快捷《大连港湾广场店》有如到家的感觉，酒店的地理位置优越，交通便捷，服务态度和蔼可亲，房间设计高雅，布局合理实用，干净卫生，是公务旅游首选的酒店。', '短评打分': 5}
{'短评内容': '环境不错， 挺干净的。.........', '短评打分': 5}
{'短评内容': '最近几天由于天气变化很大，放假暖气应该更暖和点就好了', '短评打分': 5}
{'短评内容': '住的很舒心，服务员服务很周到。\n\n大厅的无线不错\n\n喜欢阳面的大床房。\n\n闹中取静。\n\n周边便利店、彩票投注站也就五分钟的路程，配套设施完善。', '短评打分': 5}
{'短评内容': '酒店内部环境非常好，干净整洁，特价房房间也很宽敞，床也很舒服！', '短评打分': 5}
{'短评内容': '不错的房间，还是无烟房，我喜欢\n大大的房间，明亮的窗户，来大连居然下雪了，太开心了', '短评打分': 5}
{'短评内容': '给友人订的，反映还不错', '短评打分': 3}
{'短评内容': '服务员打扫房间很及时，态度也不错。一楼大厅的无线网速很快，自助饮料机想的很周到。就是楼道里里偶然有发服务卡片的扰人，人防保安监控需改进。\n下次来还住这里。', '短评打分': 5}
{'短评内容': '挺干净的，挺好。前台如果会说英语就好了。', '短评打分': 5}
{'短评内容': '第一次去大连，房间不错，服务也热情，门的隔音不怎么好', '短评打分': 5}
{'短评内容': '房间新装修，值得向朋友推荐。房间新装修，值得向朋友推荐。房间新装修，值得向朋友推荐。房间新装修，值得向朋友推荐。', '短评打分': 5}
{'短评内容': '因为定的是特价房，还能返现金，去之前想着房间肯定不大好，就凑活着住吧。结果打开房门的时候真的感觉挺惊喜的，房间很干净明亮，颜色搭配不错，面积可能不大，不过很会利用空间，东西的放置也很巧妙，住起来一点也不会觉得挤，而且我很喜欢那个大大的试衣镜~', '短评打分': 5}
{'短评内容': '服务很周到，客房很干净，热水很足，晚上没有讨厌的骚扰电话。\n楼下街对面有家味正好的快餐店味道不错，价格也很合理。\n附近购物、公交、菜市场一应俱全，很适合家庭旅游。\n最重要的是该店经常有优惠活动，在周边的同类宾馆来说性价比很高。\n下次来大连还住这里。', '短评打分': 5}
{'短评内容': '还是汗庭好啊、住着舒心、下次还是汗庭', '短评打分': 3}
{'短评内容': '酒店环境不错，挺干净的，也挺安静的,周围做公交车也算方便', '短评打分': 5}
{'短评内容': '酒店房间比较小，隔音稍差，浴室和卫生间共用一个门的设计挺有意思，浴巾和毛巾很好，用起来很舒服。', '短评打分': 3}
{'短评内容': '挺好！挺干净的。\n但是因为我们出门的早，如果早餐能提前一些就好了。', '短评打分': 5}
{'短评内容': '酒店符合汉庭一贯风格，就在人民路上，地理位置较好，方便。', '短评打分': 1}
{'短评内容': '很好的坏境，一点都不吵，收拾卫生及时，服务态度很好', '短评打分': 5}
{'短评内容': '酒店不错，服务很好，但是是淡季，旺季就不知道了', '短评打分': 3}
{'短评内容': '外边挺安静的，车声好小，就是有点不怎么隔音', '短评打分': 5}
{'短评内容': '比较清洁，交通便利', '短评打分': 3}
{'短评内容': '淋浴不错，位置也不错，电风吹不够，望改进', '短评打分': 5}
{'短评内容': '酒店的服务人员态度很差，打电话还没有说完就直接挂掉，快捷酒店住过很多，没有一家想他们这样的', '短评打分': 1}
{'短评内容': '已经住习惯了，到大连不会选择别的地方，只是这次入住的时候洗澡途中热水除了一点毛病，突然没有热水，让正在洗澡的我不知所措，不过其他还算好！\n希望能够做的更好，挺支持汉庭的！', '短评打分': 5}
{'短评内容': '还不错，挺干净的，但浴室有些小。室内也太大，不过整体还是可以吧。', '短评打分': 5}
{'短评内容': '门脸不大，在汉庭里也是很一般的。隔音一般。网络很差，经常断线。没有客房服务员。就一个前台。住这家不如住其他酒店，价格也不便宜。边上的酒店很多。', '短评打分': 1}
{'短评内容': '不错的连锁酒店，位置很方便，靠近码头，服务也不错！不错的连锁酒店，位置很方便，靠近码头，服务也不错！', '短评打分': 5}
{'短评内容': '整体感觉较好，服务较好，安全措施较好，上房间的电梯要用房卡才行，周边吃的东西也不少，比较方便！', '短评打分': 5}
{'短评内容': '房间略旧，卫生间虽大，但没有以前住的汉庭那种简洁的感觉，热水很大，但汉庭的水龙头是冷热水两边分开的，有点手忙脚乱的感觉。马路对面的如家我也去住了。对比起来，还是那边性价比高一点。隔壁名典咖啡的隔壁有家玲珑馄饨店味道不错，关键是管收账的女孩子很漂亮，真养眼。\n另外，如机场进市区，2人以上建议打的，一般到市区最多30元，民航大巴10元一位，如果2个人，就要20元，还不能直接到宾馆，再打车起步价8元，和', '短评打分': 1}
{'短评内容': '服务那是非常好得，周边有好多好吃的地方，下次来还住这里\n', '短评打分': 5}
{'短评内容': '服务周到、价格适中、位置理想，周边都是吃饭的地方。', '短评打分': 5}
{'短评内容': '酒店环境不错.位置也不错', '短评打分': 3}
{'短评内容': '周围环境不错 交通也很便利 房间还比较干净', '短评打分': 5}
{'短评内容': '不错的酒店，交通比较方便，尤其是距离大连港码头非常的近！', '短评打分': 5}
{'短评内容': '应该算繁华地段吧 用餐出行购物娱乐都十分方便 但距离宾馆最近的港湾广场现在在修地铁 实在谈不上有什么好风景 \n订的是特价房 貌似给我们升级了 床很大很舒服 浴室热水出的不是特别快 但出来后很稳定 水量也不错 插卡取电好像只能用汉庭的卡 身份证什么的不管用 不过有一个不间断电源 还是很贴心的 网速算中等偏下的水准 看个网页还是够用的 电视没几个台 虽然台多了也没什么必要吧 我们更习惯用电脑 但就我的', '短评打分': 5}
{'短评内容': '不错，位置不错，环境尚可，餐厅服务很好！不错，位置不错，环境尚可，餐厅服务很好！', '短评打分': 5}
{'短评内容': '入住条件挺好比较方便', '短评打分': 3}
{'短评内容': 'New, clean, service was good.  Wireless internet in the lobby.  Wired internet in the room was fast.  The surrounding area has a number of Korean restaurants.  There is a breakfast place serving wanto', '短评打分': 5}
{'短评内容': '还不错，交通方便，一切都很好，不错不错，推荐推荐推荐，哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '很好的经济型快捷酒店，很简单很干净，但是按照酒店标准价格稍贵。', '短评打分': 5}
{'短评内容': '还不错，很方便的', '短评打分': 3}
{'短评内容': '地段好，价格便宜，性价比高，紧领香格里拉。大床房的床非常非常大', '短评打分': 5}
{'短评内容': '服务不错，地理位置不错，美中不足卫生间没窗帘和前台沟通后换房间了。', '短评打分': 5}
{'短评内容': '觉得前台小了点，房间还是蛮干净的，床是6尺的。旁边逛街也蛮方便的，想吃饭买东西什么的也很方便，从机场到这个酒店打车39~40，晚上11点以后。', '短评打分': 5}
{'短评内容': '各方面都很好阿！不过是卫生还是服务还是地段。\n\n好评 非常好评！\n\n于是我为了凑够50个字  于是我为了凑够50个字 于是我为了凑够50个字 于是我为了凑够50个字', '短评打分': 5}
{'短评内容': '水准实在不敢恭维，床单都已经发黄，枕头上还有黑乎乎的，不知道是什么东西，房间很小，跟价格实在不匹配。需要房卡才能进入电梯的酒店，居然一晚上有2次被塞进房门小卡片，什么按摩服务，还有白领、模特、学生服务。下次不会再住这样的酒店了。', '短评打分': 1}
{'短评内容': '价格合适，出差住住还不错.。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间很干净，整体感觉很舒适，只是定的是特价房，所以临街有点吵，睡觉时需要观赏窗户。总体很喜欢，地理位置也不错', '短评打分': 5}
{'短评内容': '酒店交通便利。离大连港很近，步行10分钟左右。', '短评打分': 5}
{'短评内容': '酒店房间干净卫生，就是感觉价格不算便宜，大床房351/间，但在旅游旺季可能已经不错了。附近一家大连上馆子老菜馆价廉物美（距离300米，西面一路口往南走）', '短评打分': 5}
{'短评内容': '向其他朋友评价的一样，酒店位置很好找，交通也很方便。附近的桶饭也很好吃，离大连港很近，步行10分钟左右，去坐船很方便的。说下房间，挺紧凑，和从前住的汉庭都一样，服务员也很好，推荐给去大连的朋友，还有离火车站也很近的。。 \n', '短评打分': 5}
{'短评内容': '向其他朋友评价的一样，酒店位置很好找，交通也很方便。附近的桶饭也很好吃，离大连港很近，步行10分钟左右，去坐船很方便的。说下房间，挺紧凑，和从前住的汉庭都一样，服务员也很好，推荐给去大连的朋友，还有离火车站也很近的。。', '短评打分': 5}
{'短评内容': '酒店干净，离火车站近 出行也比较方便，推荐大家入住，服务不错！', '短评打分': 5}
{'短评内容': '给朋友定的，他很满意啊，下次还会来住的，在大连性价比不错的酒店。位置闹中取静。很方便', '短评打分': 5}
{'短评内容': '交通很方便、服务态度很好', '短评打分': 3}
{'短评内容': '地段也可以  卫生     服务都很好   评房卡还能喝到免费的咖啡', '短评打分': 3}
{'短评内容': '上次就住的这里，下次准备还住这里，交通方便，饭馆多，咋都方便。', '短评打分': 5}
{'短评内容': '服务态度很好！环境也不错，四周静谧，是休息的好地方~', '短评打分': 5}
{'短评内容': '很不错的小店，干净舒适', '短评打分': 3}
{'短评内容': '性价比比较饿的高，地理位置也非常的有优势，综合来说还是比较推荐', '短评打分': 5}
{'短评内容': '地理位置很方便  服务也不错 房间不大 也挺不错的', '短评打分': 5}
{'短评内容': '大力支持。。。\n真的非常好哟···\n位置好，环境好，卫生也好···\n总之一切都好···', '短评打分': 5}
{'短评内容': '还不错 房间整洁 服务良好 就是房间有点小', '短评打分': 3}
{'短评内容': '地理位置不错，挺方便的，服务也很好，房间格局比较小，但是设计合理，足够用了，快捷酒店嘛，这样已经不错了', '短评打分': 3}
{'短评内容': '＋挺好', '短评打分': 3}
{'短评内容': '上电梯要刷卡，管理貌似比较严，但房间门缝仍有小广告。总体来说还行吧', '短评打分': 5}
{'短评内容': '房间较小，比较干净，上电梯要刷房卡，，貌似管理严格，但依然门缝被塞小广告。总体感觉还算可以吧', '短评打分': 5}
{'短评内容': '价值合适 一如既往的快捷和方便 而且留房后还主动联系入住人', '短评打分': 5}
{'短评内容': '环境一般，服务还不错', '短评打分': 3}
{'短评内容': '景色不错，设施也可以，美中不足的是空调不好使，吹的都是冷风', '短评打分': 5}
{'短评内容': ' 酒店比较干净，房间小隔音差，感觉一般', '短评打分': 3}
{'短评内容': '第二次住，依然是好评，挑不出任何毛病，希望继续努力。', '短评打分': 5}
{'短评内容': '酒店位置很不错，楼下就有公交车站，去哪都很方便。订的是特价房，所以房间有点小，但也够用了。很喜欢卫生间的格局。早餐15块钱，去的有点晚，东西凉了。一楼可以免费上网一个小时，还有免费的咖啡喝，很香。前台的服务员很热情，很亲切。不足就是电视节目有点少。屋子有点潮，袜子在屋里晾了两天都没干。', '短评打分': 5}
{'短评内容': '每一次，都在如家和汉庭之间犹豫。但每一次，选择的都是汉庭。这一次，也不例外。这家快捷店的位置，比较好找，公交到各个景点很方便，挨着居民区，大小餐馆随便选择，房间内部，麻雀虽小五脏俱全，温馨的感觉一如既往。价格合理。可以考虑的。', '短评打分': 5}
{'短评内容': '交通很方便。房间也比我想象得舒适一点，床很大，枕头很给力。下次再去大连，还是有特价房的话，还会住这里', '短评打分': 5}
{'短评内容': '干净，安静，舒适。服务好。', '短评打分': 3}
{'短评内容': '房间有点小，不过格局和卫生条件都不错，硬件设备很一般', '短评打分': 5}
{'短评内容': ' 服务很好，满意，价格也算便宜，下次到大连还住这 ', '短评打分': 3}
{'短评内容': '非常满意。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净整洁 服务态度好 交通方便 安静 周围有好吃的 离家乐福也近~', '短评打分': 5}
{'短评内容': '很干净；设备维护的很好，感觉很新；门锁很有安全感；隔音效果还可以；浴室的隔墙是玻璃的，不是毛玻璃，这个各有喜好吧。', '短评打分': 5}
{'短评内容': '酒店很温馨，感觉不错', '短评打分': 3}
{'短评内容': '地点好，干净整洁，环境舒适，免费的奶茶很好。推荐！！', '短评打分': 5}
{'短评内容': '安全，干净，安静，总之还是挺不错的，价格也相当便宜\n', '短评打分': 5}
{'短评内容': '安全，干净，安静，总之还是挺不错的，价格也相当便宜', '短评打分': 5}
{'短评内容': '酒店服务不错，环境也挺好的。下次有机会还住这里', '短评打分': 5}
{'短评内容': '第一次入住，满意，房间空间利用非常好，干净，热水也好，离市中心也非常近，服务态度也好，总的来说非常满意！', '短评打分': 5}
{'短评内容': '服务态度真的很好，而且快捷迅速。周围很多韩国日本的饭馆，烤肉很不错。', '短评打分': 5}
{'短评内容': '处在金融中心，地段很好，离火车站也近。房间很温馨，服务态度很好。', '短评打分': 5}
{'短评内容': '条件还可以，环境好住着舒适，而且服务也很到位，很不错的酒店值得表扬.', '短评打分': 5}
{'短评内容': ' 第二次住了，性价比挺好，还会再来', '短评打分': 3}
{'短评内容': '环境不错，服务好，而且配套设施不错，我推荐这家！', '短评打分': 5}
{'短评内容': '客房面积不大，显得有些局促.室内的配置设施也比较一般化，没有太多的心意.', '短评打分': 3}
{'短评内容': ' 酒店服务非常满意，下次还会来！', '短评打分': 3}
{'短评内容': '很方便; 交通, 吃饭. 晚上也很安静.我晚上12点到,还有能哟饭吃.太好了.\n里面的设施也很干净.\n相当不错.', '短评打分': 5}
{'短评内容': '速度比较快，快捷的理念体现的很好。房间也不错，因为住的是新春百元房，觉得还是很超值的。不足的是房间的网线比较松，前一天还能上网，第二天就上不去了。还有就是在网上看到延迟退房至下午2点，前台却说是中午12点退房。总的来说还是不错的。', '短评打分': 5}
{'短评内容': '都很好，总体很满意，就是屋内墙的地脚线看起来很脏，掉皮现象严重，尤其是厕所内', '短评打分': 5}
{'短评内容': '价格很适中，服务挺好的，在这个繁华区挺便宜了~热水很好~', '短评打分': 5}
{'短评内容': '挺实惠的,交通方便!设施挺齐全的!', '短评打分': 3}
{'短评内容': '前台服务很好，很贴心。房间内很干净，布局合理，我表示非常喜欢。下次一定再来！', '短评打分': 5}
{'短评内容': '很好，满意！符合我的标准！环境及设施都很不错！', '短评打分': 5}
{'短评内容': '酒店不错啊！！服务，条件都不错！！推荐入住！', '短评打分': 5}
{'短评内容': '在北京住过，感觉非常舒服\n来大连一住感觉一样，干净舒适\n很喜欢', '短评打分': 5}
{'短评内容': '整体还可以 洗澡水时热时冷的 无法掌握水温 希望酒店调整一下', '短评打分': 5}
{'短评内容': '整体还不错 但是卫生间 条件一般 墙壁有酶点 看起来不是很舒服', '短评打分': 5}
{'短评内容': '服务员态度极好；酒店开水温度也合适，交通也比较方便', '短评打分': 5}
{'短评内容': '很满意啊', '短评打分': 3}
{'短评内容': '酒店地理位置优越，服务号，房间干净，很适合商旅.', '短评打分': 5}
{'短评内容': '酒店整体感觉还好，位置离港口挺近的，价格还是可以接受。', '短评打分': 5}
{'短评内容': '酒店不错,呵呵。', '短评打分': 3}
{'短评内容': '房间很干净舒适，楼层服务也不错。可能是特价房的原因 3层窗口旁正好是招牌灯箱 不过窗帘拉起来的话就不影响了。\r\n地理位置不错，交通也方便。 ', '短评打分': 5}
{'短评内容': '+十分干净，交通也很便利！火车站做30路到港湾桥站下，立即就到酒店。值得再来！', '短评打分': 5}
{'短评内容': '能满足基本的休息需要，地理位置不错，比较繁华', '短评打分': 5}
{'短评内容': '房间面积太小，酒店位置不太好找， 在周边绕了4全都没找到， 标志不明显。内部设施还可以， 设计的太紧凑低碳了。', '短评打分': 3}
{'短评内容': '其他都好，位置还行出门有好几条公交车方便出行，唯一缺点就是房间面积是在太太小了。', '短评打分': 5}
