{'短评内容': '酒店位置很好！房间也大！', '短评打分': 5}
{'短评内容': '性价比还好，洗手间和浴室较小，美中不足！', '短评打分': 5}
{'短评内容': '万通是我到金华的首选入住酒店，如果早餐再好些就更good了！', '短评打分': 5}
{'短评内容': '物超所值！方便便利！早餐一般！每次到金华都住该酒店。', '短评打分': 5}
{'短评内容': '很好，房间很大，住在19层，视野也很好，性价比高，就是早餐实在不好。', '短评打分': 3}
{'短评内容': '还不错在相应的价位来说，只是地毯清洁不好，', '短评打分': 5}
{'短评内容': '空间很宽敞。环境干净。高层，风景很不错。距离金华江南的福泰隆商业中心也近。很不错。', '短评打分': 5}
{'短评内容': '房间很好，早餐一般，大堂不大，门脸较小，门口车仃得很乱。总的说性价比较高的酒店。', '短评打分': 5}
{'短评内容': '入住金华的首选酒店，方便，宽敞，服务佳！', '短评打分': 5}
{'短评内容': '算是在市中心位置吧，只是的士很难打，和几个靓女一起打你都不好意思抢了。酒店真不错，有个飘景阳台当茶吧，早餐是在西餐厅用的，也很丰富。就是没有多少商务套餐，多是面条啥的。', '短评打分': 5}
{'短评内容': '性价比非常高，我订的是城景双床房，有个飘窗，可以坐在上面喝茶。房间比较宽敞，床也比较舒适，电视节目比较多。楼层较高，比较安静。唯一有些遗憾的是早餐差了点，服务员的水平也一般大早上的都扎堆聊天呢，进去票也不收，白吃了。还有水果，对商务酒店来说，还是不错了。到金华办事，自己开车建议入住，交通要道，打车比较麻烦的。', '短评打分': 5}
{'短评内容': '性价比不错，飘窗不是很实用；房间要再大点就更好了', '短评打分': 5}
{'短评内容': '这次是第二次入住了,和上一次相隔了有一年,感觉差了一些,卫生没以前好了.其他的都一样.就这个价格的话,出差住住是不错的.', '短评打分': 5}
{'短评内容': '还算不错的酒店，住了很多次了', '短评打分': 3}
{'短评内容': '还可以，早餐差。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '金华较不错的酒店，出差经常住着，还可以，环境不错', '短评打分': 5}
{'短评内容': '市中心位置，打车也很难打啊！！早餐不错，中餐晚餐就只有炒饭面条啥的了。房间要说真的不错，又宽敞还有窗台可以喝茶用，就是房间灯光太暗了，书台上看字也看不清，还好酒店给了台灯解决了问题。', '短评打分': 5}
{'短评内容': '酒店房间还算可以，但是周围的环境不敢恭维，同一楼上好像还有别的酒店和一娱乐场，所以停车场一片狼藉。早餐的时候，因为带了孩子要加收15元，经理追到取餐的地方问房号，怕跑掉似的，很不爽。', '短评打分': 5}
{'短评内容': '地点方便！赶上有结婚的，才知道这里还有中餐，早餐一般般了！', '短评打分': 5}
{'短评内容': '周边便利，物有所值！房间很大，不过这次入住，酒店里居然没有放矿泉水！', '短评打分': 5}
{'短评内容': '什么都好，就是床有点软！不过类似级别的都是这样！', '短评打分': 5}
{'短评内容': 'HAI SHI LAO YANGZI TUIJIAN,YIZHI ZHUDE ZHELI', '短评打分': 5}
{'短评内容': '每次出差到金华都住这家。酒店干净卫生，房间设施齐全，交通也比较方便，就是早餐越做越差了，都没啥好吃的了', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 3}
{'短评内容': '很不错的一家酒店，每次来金华都会入住，但是不知道是网络问题还是我的那个房间网络老是掉线，电视也总是掉线', '短评打分': 5}
{'短评内容': '很不错的一家酒店，性价比很高，个人还是比较喜欢这家酒店的，下次还会入住的，早餐很丰盛，相当 不错，11111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '酒店服务很好.房间很大很干净.第一次去金华住这家.下次还会选择万通', '短评打分': 3}
{'短评内容': '早上没来得及吃早餐，不知道早餐怎么样，房间不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '金华万通不错，尤其是飘床上的品茶台，很有特色，三星价格四星享受。', '短评打分': 3}
{'短评内容': '性价比还是比较高的，早餐也很丰盛，就是房间的网络有点问题，希望下次没有', '短评打分': 5}
{'短评内容': '各方面都不错。比较满意。只是晚上的时候，餐厅没有晚饭。有点不是最方便', '短评打分': 5}
{'短评内容': '还不错，在市区，附近也有吃的,停车比较头痛，地下停车场比较脏', '短评打分': 5}
{'短评内容': '不错，就是不要我每次去都是同一个房间，有点吓人。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格合理，位于市中心，住的城景房还不错，有停车位，早餐还可以吧，说没咖啡的，竟然有咖啡，呵呵\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '价格合理，位于市中心，住的城景房还不错，早餐马马虎虎吧，说没咖啡的，竟然有咖啡，呵呵', '短评打分': 5}
{'短评内容': '金华非常不错的酒店，会一直去的。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '金华万通商务酒店', '短评打分': 3}
{'短评内容': '还不错啦。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境很好,价格优惠,房间很大,很干净,下次还是住这个宾馆', '短评打分': 5}
{'短评内容': '好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~··', '短评打分': 5}
{'短评内容': '还可以，价格合理，。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '和朋友一起第二次入住，这次订的是4个有电脑的普通大床房，电脑速度基本很慢，不好使，而且面积好像也没有介绍的33平方那样大，我住的是2108。但这不影响我到金华会再选择入住，因为该酒店的性价比还是很高的，尤其对第一次入住的城景双床房高性价比印象很深。', '短评打分': 5}
{'短评内容': '房间很宽敞，飘窗很美，位置方便，性价比高', '短评打分': 5}
{'短评内容': '硬件还可以，软件需要加强', '短评打分': 3}
{'短评内容': '饭菜实在不怎么样，而且还很贵！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '总体还可以！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '别的酒店都有个小东东之类的礼品，你们酒店应该学习一下', '短评打分': 5}
{'短评内容': '返还金额低，能提高的话，性价比会更理想！！！！！！', '短评打分': 5}
{'短评内容': '餐饮有待提高！实在吃不下去啊！！！！！！！', '短评打分': 5}
{'短评内容': '酒店的房间真的很大，床边的小坐台有点情调，总的来说性价比还不错。', '短评打分': 5}
{'短评内容': '一家三星级标准酒店，配套设施都挺好，价格实惠，交通方便，服务态度好，下次会再住！', '短评打分': 5}
{'短评内容': '还可以。。。。。。。。。推荐！！！！！！！', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '万通商务酒店无论是硬件还是软件都是值这个价的，下次来还是会入住的，就是装修久了，显得有点旧了。', '短评打分': 3}
{'短评内容': '还行啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '同价位中非常不错的一家酒店，以后来金华会一直住这家。。。。。。。。。。', '短评打分': 5}
{'短评内容': '我住的是单人间，房间还是比较大的，卫生还可以，服务也不错，性价比蛮高的，下次还会来住。', '短评打分': 5}
{'短评内容': '住的是副楼的房间，里面也都还可以反正就是设施有些老，位置的话是挺好找，价格还是比较合适。', '短评打分': 5}
{'短评内容': '蛮不错的酒店。价格要是能在优惠些。竞争力更好。毕竟新开的不少了', '短评打分': 5}
{'短评内容': '房间比较大,但服务差,电视节目很少,甚至数字电视都没有.还有早饭后电梯上人多,因为16层以下有许多单位,上班也坐同几个电梯.', '短评打分': 3}
{'短评内容': '酒店设施很不错，以后还要来住', '短评打分': 3}
{'短评内容': '.对入住万通商务酒店很满意.', '短评打分': 3}
{'短评内容': '平时都住这家酒店的。这次去酒店前面的马路在修路...酒店还好，就是出门的时候修路的灰尘好大...', '短评打分': 5}
{'短评内容': '房间还是蛮大的，就是有点旧了，不过还可住住。', '短评打分': 5}
{'短评内容': '位置很好，房间比较大。交通一般，离有名的小吃一条街不远', '短评打分': 5}
{'短评内容': '入住2天。床单的轻微血渍，让我赔付50，虽最后改为30.但是我觉得似乎有点过了。总的来说酒店不错。但是遥控器不好。给卫生员说换。最后也不灵，电脑机箱噪音很大。', '短评打分': 5}
{'短评内容': '一个字，差！总之，以后不可能再来这家了！', '短评打分': 5}
{'短评内容': '酒店服务非常好，房间大而且干净，是性价比非常不错的酒店。', '短评打分': 5}
{'短评内容': '很好,房间很大,干净,早餐也很丰富,服务很好,下次还是住这家', '短评打分': 5}
{'短评内容': '房间很宽敞,早餐品种多。', '短评打分': 5}
{'短评内容': '酒店城景房的飘窗设计很不错，喝茶赏景，别有一番情致', '短评打分': 3}
{'短评内容': '房间的飘窗很经典，环境不错，品茶香赏城景', '短评打分': 5}
{'短评内容': '位置在市区，离龙腾数码广场和富泰隆广场都很近，旁边就是联华超市，很方便。性价比很高！', '短评打分': 5}
{'短评内容': '总体来说还可以，性价比一般，但是服务态度不好', '短评打分': 3}
{'短评内容': '除了早餐非常一般外，周边吃饭地方较少，其他各方面都比较不错，酒店旁边还有个很大的联华超市，买点东西方便。总体而言，性价比很高，以后还会来住。', '短评打分': 5}
{'短评内容': '这次出差金华，还是选择了入住万通。不错~', '短评打分': 5}
{'短评内容': '服务比较差，人员业务水平不熟练\r\n', '短评打分': 1}
{'短评内容': '该酒店位置好找，车子好停。入住以后，本人感觉该酒店正如网友们的一致评价：性价比高且舒适度好。酒店不仅房间大，而且服务热情，一早下一楼吃早餐，就连清洁员工也会主动向你询问是否用早，并指引餐厅位置。一个小小建议：不宜将外地游客和本地人同层安排，有可能的最好分层安排房间。', '短评打分': 5}
{'短评内容': '好，下次再来。', '短评打分': 5}
{'短评内容': '不错的一家酒店', '短评打分': 5}
{'短评内容': '房间很大，还有茶吧，就休闲而言，挺舒服的。还有，价钱也挺可爱的。', '短评打分': 5}
{'短评内容': '位處金華江南\r\n附近吃的東西比較少\r\n晚上入住停車不是很方便\r\n但是房間設施都還不錯\r\n特別是在窗邊設置的日式茶坐很有味道 ', '短评打分': 5}
{'短评内容': '性价挺高的', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '酒店的房间很大，圆床房很有特色，非常适合情侣入住。不足的是房间设施有一点陈旧，个别服务员态度一般。总体还是比较不错的，是商务出差的不错之选。', '短评打分': 5}
{'短评内容': '酒店的房间还算比较大，楼层很高 入住的23楼，景色还不错。有一些细节不是很满意，比如进门就是洗手台，竟然没有隔离，这个还是头一次见到，而且洗澡间灯光昏暗了一些，感觉不是很舒服。 还有迷你吧竟然连 价格详单都没有。。。酒店上网的IP 设置也很混乱，不能自动获取，也没有任何提示，后来服务员给我设置了一个固定IP才能上。', '短评打分': 5}
{'短评内容': '酒店卫生条件很好，房间大的可以用夸张来形容，从床脚到电视机的距离至少有3米，换成其他酒店，两间改三间一点问题都没有，早餐中规中矩，对得起这个价位。\r\n说一点小小的不足：房间的电脑是无盘工作站，所以启动以及运行都很慢，服务器关机后单机都启动不了。不过满足一般浏览网页问题不大，耐心一点。\r\n地理位置还行，旁边就有一家超市，不过要逛街购物，还是到离酒店3公里多的人民广场（好像是这个名字）才行，那里是一个', '短评打分': 5}
{'短评内容': '房间很宽敞，这个是最大的优点，感觉比较舒服。', '短评打分': 5}
{'短评内容': '房间挺大 价钱也不贵 服务态度也挺好 个人感觉房间少了一盏亮一点的灯 总的来说还是蛮好的 下次去应该还会入住', '短评打分': 5}
{'短评内容': '订的是圆床房，很不错，也很喜欢，唯一有点遗憾的是洗澡间小了点，而且没有浴缸。', '短评打分': 5}
{'短评内容': '位置比较好', '短评打分': 5}
{'短评内容': '配套设施可以，价格适中，地段也属于中心地段，服务也不错', '短评打分': 3}
{'短评内容': '不错的酒店，房间很大，环境还不错', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '房间装修的很漂亮,也很宽敞,位置也不错!', '短评打分': 5}
{'短评内容': '房间很大，就是前台服务人员态度生硬，速度慢，带忘记给清单。', '短评打分': 5}
{'短评内容': '总台服务员态度不怎样', '短评打分': 1}
{'短评内容': '230元的特价商务房特别值，推荐！', '短评打分': 5}
{'短评内容': '唯一不够周到的就是电脑内置软件太旧,希望能经常更新.', '短评打分': 5}
{'短评内容': '酒店很舒适，绝对物超所值！房间还有茶艺，可惜入住一晚，没有时间享受。', '短评打分': 5}
{'短评内容': '酒店的硬件条件算是挺不错的，环境和服务都挺满意的，而且三星级酒店这个价格也算是可以。', '短评打分': 3}
{'短评内容': '总体来说是很不错的。每次去都是住这家酒店', '短评打分': 5}
{'短评内容': '位置很方便,房间里面环境也不错.物有所值', '短评打分': 5}
{'短评内容': '房间不错。床很大。还配有电脑。虽然有股挥不去的尿骚味，但总的来说还是不错。下次来出差还住这！', '短评打分': 5}
{'短评内容': '酒店的服务各方面都很到位，所在位置交通方便', '短评打分': 5}
{'短评内容': '房间比较大，晚上睡觉能听到外面汽车的声音，地毯是白灰色的，比较容易脏。性价比还可以~~~', '短评打分': 5}
{'短评内容': '我和老公一致认为是个性价比很不错的酒店，唯一遗憾的就是地毯比较脏，不过这个也是没办法控制的事情，客人搞脏的。', '短评打分': 5}
{'短评内容': '酒店性价比挺高的,很干净,位置也不错,交通很便利', '短评打分': 5}
{'短评内容': '万通作为一家规模装修设施都算不错的新酒店，只被列入经济型酒店，令我有点意外。圆床房是它的一大卖点，居清扫的服务员说，这类400元一夜的房间是卖得最好。早上的自助餐也算中规中距，性价比还是可以的，就是酒店位置可能是在高档商务区，附近没什么小商业，想买点小商品得走好多路。&lt;br /&gt;\n要说说这圆床房：这大圆床的确别致，被子也是圆的，仔细看看，这床是两个半圆形的席梦思拼合的，随便怎么睡，不容', '短评打分': 3}
{'短评内容': '房间装修还好，古典。&lt;br /&gt;\n餐厅吃的东西除了套餐没有别的。服务很一般，金华的酒店服务都很普通。', '短评打分': 3}
