{'短评内容': '不推荐旅游和公务出差的人去', '短评打分': 4}
{'短评内容': '很好!干净安静!谢谢了', '短评打分': 5}
{'短评内容': '地铁10号线D出口，十分方便，早餐一般哟', '短评打分': 1}
{'短评内容': '酒店不错，交通方便，价格适中，推荐。会计法；水利局哦啊色浆粕啊规范身份撒旦建立', '短评打分': 3}
{'短评内容': '位置特别方便，60米到地铁10号线，价格也合适，性价比不错，总之很好。', '短评打分': 5}
{'短评内容': '除了交通比较方便以外没有什么过人之处，设施也显陈旧，居然还涨价了，性价比差！', '短评打分': 3}
{'短评内容': '房间很小，特别是浴室，就是用玻璃做的隔间，跟其他地方的汉庭比有差距', '短评打分': 5}
{'短评内容': '位置不错，不过我住的时候有装修的，有点吵~', '短评打分': 5}
{'短评内容': '还不错。性价比可以。', '短评打分': 3}
{'短评内容': '挺好，交通方便，安靜，一樓餐廳的菜價有些貴。', '短评打分': 5}
{'短评内容': '前台好热情啊 不过有点潮湿哦&#183;&#183;  交通方便', '短评打分': 5}
{'短评内容': '交通方便，房间稍小点，其他还不错，安静', '短评打分': 5}
{'短评内容': '出差都住这里，很方便', '短评打分': 5}
{'短评内容': '7月12日晚入住，7月14日早离店，当天晚上回到家发现，忘记一条裤子在酒店。立刻打电话给酒店询问，对方称查询一下，稍后回电。但是始终未等到回复的电话。顾客丢失东西，查房是怎么做的？电话也不回，什么服务态度啊！？\r\n', '短评打分': 1}
{'短评内容': '还可以，不过交通不是很方便，比较难找', '短评打分': 5}
{'短评内容': '性价比很不错！下次还来住。', '短评打分': 5}
{'短评内容': '总体条件还算可以，酒店位置不挺好。综合性价比还不错。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店房间和走廊有些异味，刚进去有些潮湿！卫生间太小！', '短评打分': 1}
{'短评内容': '交通便利，快捷酒店算起来是不错的了', '短评打分': 5}
{'短评内容': '还是不错的，能免费提供早餐就更好了。', '短评打分': 3}
{'短评内容': '位置非常好，出行方便。除了高级房，其他房稍小。', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '地点不错！性价比可以！', '短评打分': 5}
{'短评内容': '干净，舒适，地理位置好。门口就有地铁站，方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，周边环境不错！但房间内不开抽风有异样气味。', '短评打分': 5}
{'短评内容': '挺好的，位置不错！', '短评打分': 5}
{'短评内容': '位置很好，周围餐饮店也很多', '短评打分': 3}
{'短评内容': '酒店位置很好，离地铁出口很近。\r\n房间有2个网络接口，上网非常方便', '短评打分': 5}
{'短评内容': '很好，位置不错', '短评打分': 5}
{'短评内容': '卫生很好，但位置太不好找了，门口的牌子也很小。', '短评打分': 5}
{'短评内容': '位置非常好找，适合使馆签证。服务较好，值得推荐', '短评打分': 5}
{'短评内容': '房间很干净 地方也很好找 真正就在地铁边上', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很干净，空间也很大，只是去的时候外面在装修，不过服务都是很好的', '短评打分': 5}
{'短评内容': '住的大床房,性价比还是不错的,服务也不错.', '短评打分': 5}
{'短评内容': '交通很便利，地铁很方便的。卫生还不错的。', '短评打分': 5}
{'短评内容': '方便，离地铁近，里头的小饭店比较便宜卫生。', '短评打分': 5}
{'短评内容': '这次住的房间感觉比从前小了很多,密封也不太好,脚下明显有凉气,北京近期很冷,办理入住结帐时比较前台靠近风口,望改善.', '短评打分': 5}
{'短评内容': '不错，住的很舒服。', '短评打分': 3}
{'短评内容': '各方面都挺好，服务员也很热情，就是房间隔音不太好。下次有优惠的时候还选这家。', '短评打分': 5}
{'短评内容': '入住后发现房间紧靠操作间,所以每次服务员干活的时候就比较吵,对于这样的房型希望酒店考虑到客人的休息问题,好在晚上休息的还可以.卫生间的味道较重,可以是消毒水的用的不适量,希望酒店注意细节上的管理和维护!', '短评打分': 5}
{'短评内容': '酒店位置近10号线团结湖地铁站，交通比较方便。酒店大堂有免费的咖啡红茶糖果，服务态度不错。只是感觉将近300的价格与酒店实际配套不符。个别房间有异味，电视有点小，没有机顶盒可以看到的台很少。（这也许是北京酒店的共性？）', '短评打分': 1}
{'短评内容': '酒店外置很好，门口就是团结湖地铁站。早餐15元一位比较不满意。汉庭酒店有个优点是全天在大堂有免费咖啡供应。', '短评打分': 5}
{'短评内容': '汉庭长虹桥店在一个安静的大院里，休息很好。交通便利，离地铁站很近。住的商务大床房，设施很人性化，设计了两处网络端口。前台真的很热情，办理业务速度也很快，很有礼貌。离蓝色港湾，三里屯都很近。推荐', '短评打分': 5}
{'短评内容': '很安静，坐地铁方便。', '短评打分': 3}
{'短评内容': '很安静，坐地铁非常方便', '短评打分': 5}
{'短评内容': '住的是周末百元特价房,性价比很高,环境条件都和平时住房一样,酒店服务人员很热情,总体评价很好.', '短评打分': 5}
{'短评内容': '100元周日特价房，信价比很高，如果平时也能推出的话多好啊\r\n门缝比较大，隔音有点不好，不过楼道还算安静', '短评打分': 5}
{'短评内容': '位置很好，就在长虹桥的东北角。周围酒店和餐厅都很多。步行去三里屯village大概15分钟。', '短评打分': 5}
{'短评内容': '总体比较好，也值得推荐', '短评打分': 5}
{'短评内容': '就像其他汉庭酒店一样，地理位置不错，好找，就在东三环旁边，服务也很温馨。没什么可挑剔的。一句话，值得推荐。', '短评打分': 5}
{'短评内容': '地理位置方便，服务热情到位，房间舒适安静，好好好好好好。', '短评打分': 5}
{'短评内容': '酒店很干净,位置很好在三环边上很好找,交通公家地铁出门就是很方便,设施很齐全,性价比很好.', '短评打分': 3}
{'短评内容': '感觉还可以。地利不叫有优势。', '短评打分': 5}
{'短评内容': '地理位置好，离地铁十号线很近，交通便利。设施新，卫生好，百元房物超所值！', '短评打分': 3}
{'短评内容': '在汉庭里，长虹桥店可能没有东单店有名，但是我觉得卫生和房屋卫生设施都是不输东单店的，离地铁十号线也很近，交通很方便，而且百元房比东单店好定些，十个不错的选择。', '短评打分': 3}
{'短评内容': '性价比很不错哦', '短评打分': 5}
{'短评内容': '很好!住3次了吧应该', '短评打分': 3}
{'短评内容': '很好!', '短评打分': 5}
{'短评内容': '酒店挺干净的，服务也还不错，就是卫生间的设施相对比较简单，床也不是特别舒服，其他的都还不错，而且他位置非常好，交通很方便，价格合理，很不错。', '短评打分': 5}
{'短评内容': '交通方便，出门就有地铁站。酒店的卫生、设施等都很好。最好平时也搞一些优惠活动！', '短评打分': 3}
{'短评内容': '服务卫生以及设施都很好的，酒店的位置很方便的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店的住宿环境不错的，酒店的位置不错的，出行很方便的，酒店的价格还可以的', '短评打分': 5}
{'短评内容': '这家经济型酒店还是蛮不错的,前台服务还是蛮热情周到的,房间打扫服务一般,房间里的设施方面还是不错的,酒店的周边环境还是可以的,吃饭挺方便的,就是交通不太方便,因为那条路是单行线.打车很不方便.价格方面还是比较合适的.', '短评打分': 5}
{'短评内容': '价格挺合理的，而且离我去的地方比较方便，酒店本身环境也不错，挺干净的', '短评打分': 5}
{'短评内容': '酒店的房间面积比较大，很宽敞的，酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的。性价比不错的酒店', '短评打分': 5}
{'短评内容': '\n酒店挺不错的,而且当时住的百元特价房,很值,不过要不是周日入住,感觉就有些贵了.', '短评打分': 5}
{'短评内容': '住的是周日特价房，房价便宜，前台接待态度很好，卫生不错，环境交通都很便利，出门就有地铁站。很不错\n\n', '短评打分': 5}
{'短评内容': '长虹桥店 给我很大的惊喜，在北京的汉庭里，我觉得是仅次于东单和王府井的店，房间比其他店要宽敞些，位置也不错，从十号线团结湖A口出来就能看见，房间很干净 空气也比较好，通常订不到东单，我都会订长虹桥，很不错！', '短评打分': 5}
{'短评内容': '对于周日百元特价房来说，这样的价位能够住到这么好的房子，简直就是超值，赞一个，酒店服务业蛮好，交通方便，值得推荐。', '短评打分': 5}
{'短评内容': '赶上周末有这样的优惠很不错，如果平时也会推出各种优惠政策才好。', '短评打分': 5}
{'短评内容': '整体感觉比较满意，房间挺干净的，位置也特别方便，价格实惠，值得推荐', '短评打分': 5}
{'短评内容': '住的是周日特价房，房价便宜，前台接待态度很好，卫生不错，环境交通都很便利，出门就有地铁站。\r\n很不错', '短评打分': 5}
{'短评内容': '酒店的服务特别好，位置也不错，外出方便，价格也比较适中，值得推荐 ', '短评打分': 5}
{'短评内容': '超值的服务，很满意。', '短评打分': 5}
{'短评内容': '去', '短评打分': 5}
{'短评内容': '位置比较好，就在农业部隔壁，里面还可以免费停车，就是房价偏高了些！', '短评打分': 5}
{'短评内容': '位置不错，下地铁就可以看到，大床房感觉设施有点少，基本没有可以使用的桌子，房间比较大，比较干净，服务还可以。', '短评打分': 3}
{'短评内容': '酒店的服务卫生方面蛮不错的,价格也比较合适了.', '短评打分': 5}
{'短评内容': '离工体很近，夜店玩完了可以直接去', '短评打分': 5}
{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '感觉酒店还可以，房间比较干净，设施也不错，就是价格有点高', '短评打分': 5}
{'短评内容': '酒店整体服务都挺不错,而且当时订的特价房,所以价格很便宜,酒店周边交通很便利,出行很方便', '短评打分': 5}
{'短评内容': '地理位置不错，地铁10号线上来就看到了，来往火车站免堵车之苦；前台服务员接待态度非常好，保持微笑服务。缺点么，大床特价房没有窗户，再有价格稍高了一些。', '短评打分': 5}
{'短评内容': '是家很不错的酒店。\n环境、位置还挺好的。\n说点缺点吧：大厅的打印机不好用 印出的墨很淡。大厅供应的茶水，虽然免费供应，但是一次性的纸杯却据前台说是一天有限，用完了就没有了，不知道是什么原因……  ', '短评打分': 5}
{'短评内容': '这次住的是新春特价房，所以价格没得说。房间非常的干净，而且设施也很完备，小空间大利用。只是隔音稍微差一点，深夜的时候有可能会被隔壁的电话铃声吵醒。酒店在地铁十号线团结湖站，从B口出来就能看到酒店的招牌，很方便。而且酒店服务人员也很热情，帮忙复印打印了些资料也没有收费：） 总起来说很满意，以后去使馆区还住这。', '短评打分': 5}
{'短评内容': '物超所值', '短评打分': 5}
{'短评内容': '最开始觉得地址在什么院里，可能会不太好找，但是实际到的时候又很醒目的牌子，就在农业部的左边，好伦哥的右边。到门口的时候有保安拦，因为里面还有个什么餐厅，所以大多数车位不让住酒店的停，只有酒店门口的几个车位可以停。\r\n进入酒店，虽然感觉接待处不大，但是服务员的服务还是很好的，可以非常热情为客人寻找预定，然后办理入住。我订的是周末特价房，住一天只要一百块，真的相当便宜，感觉自己好赚好赚。楼最高六层，电', '短评打分': 5}
{'短评内容': '酒店的服务和环境设施都算不错，连锁酒店肯定都不会相差太多，不过这个店的位置很好，交通很方便。', '短评打分': 5}
