{'短评内容': '酒店管理你还好，位置不错', '短评打分': 5}
{'短评内容': '第一天白天还好，晚上上厕所就要打着雨伞了，棚漏\r\n第二天换了个三人房，结果纱窗是坏的，让蚊子给欺负了！\r\n不过其它条件还行，价格稍高', '短评打分': 5}
{'短评内容': '西安市南京郊的酒店，陕西师范大学大门对面，酒店对门就是超市、还有大排档，生活相对方便，大堂太小，不象是中档酒店。', '短评打分': 3}
{'短评内容': '首先这个酒店部分房型是非常不错的。但是好多都不能开到。给这个服务评价的时候我很纠结，因为前台的服务极其恶劣，但是楼层服务员的态度却很热情。床，空调，沙发，电视，洗浴都是比较好的。', '短评打分': 5}
{'短评内容': '客房客服不错，房间干净！', '短评打分': 5}
{'短评内容': '整体条件挺好的，卫生设施都还可以，价格服务基本上比较符合。就是早餐比较简单。', '短评打分': 5}
{'短评内容': '周围环境差，离陕西师大、外院近，酒店服务一般', '短评打分': 1}
{'短评内容': '距离西外很近 很方便', '短评打分': 5}
{'短评内容': '内部环境看起来比较不错，服务态度也还行，位置的话还是挺方便的，房间也很舒适，价格也不是很贵，性价比还是挺高的酒店还是很满意的。很不错。', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施都还不错，内部环境还是比较好的，也很舒适。但是酒店周围环境非常差，位置比较一般，性价比算是合理吧，价格不算最优惠的，但还是可以推荐入住。', '短评打分': 5}
{'短评内容': '很一般,不过离办事的地方近.性价比还可以', '短评打分': 5}
{'短评内容': '酒店服务挺一般的，不过硬件设施和卫生条件还不错.整体感觉还行.', '短评打分': 5}
{'短评内容': '位置还是挺好找就在路边出行都特别方便，房间的卫生和设施都还行，服务态度挺一般的，唯一有一点不好的就是酒店连信用卡都不能用这点我感觉就不是很方便，像其他方便内部环境什么的都是比较不错的。', '短评打分': 5}
{'短评内容': '服务好 设施好 床垫有点硬，停车的地方不太理想，太嘈杂，有点不放心。总体来说很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
