{'短评内容': '价格合适，运气好。', '短评打分': 5}
{'短评内容': '酒店房间小了点其他还可以。', '短评打分': 3}
{'短评内容': '可能是当地最好的酒店了，但是设施较旧了！服务还可以。位置很方便，下了高速直走就到了。', '短评打分': 5}
{'短评内容': '应该是这个城市很好的酒店,地理位置不错,方便.', '短评打分': 5}
{'短评内容': '益阳最好的酒店了，整体不错，内部结构不是很合理，早餐很不错', '短评打分': 5}
{'短评内容': '这酒店很好的。', '短评打分': 3}
{'短评内容': '老牌国有酒店连锁，质量有保证，住的9楼豪华双人间，房间很大很舒服，美中不足窗外楼下平台是酒店餐厅的排烟机，有点油烟味。是此行湖南住得最好的酒店之一。', '短评打分': 5}
{'短评内容': '益阳最好的一家酒店，何时去都对客人很热情，但是几张速度不敢恭维', '短评打分': 5}
{'短评内容': '这个地方不错的酒店,价格,位置都合适. 办事方便', '短评打分': 5}
{'短评内容': '可能那里就这样吧，没有什么好酒店。装修老，餐饮到可以。\n华天的牌子，应该安全什么的好了。', '短评打分': 1}
{'短评内容': '装修老了，太旧了。早餐也不够丰富。不过底楼吃饭的地方到可以。', '短评打分': 1}
{'短评内容': '服务态度好，早餐不错，装修有点旧，希望更新。', '短评打分': 5}
{'短评内容': '性价比高,早餐还不错，在益阳算不错的酒店了。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': 'GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG', '短评打分': 5}
{'短评内容': '地理位置好，非常方便，房间设施一般，服务一般', '短评打分': 5}
{'短评内容': '还好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店性价比非常低，早餐也不咋的！所谓高级单人房，真的非常差。与价钱相差较远。与东莞 深圳 广州相价位的酒店比起来，差太多了。', '短评打分': 1}
{'短评内容': '益阳华天大酒店在当地知名度高，交通方便，是商务约会见面的最佳选择。一楼的美食广场菜品丰富，环境好，凉爽，客人可以免受高温日晒便可满足肚子的要求；客房面积比较大，开敞，电视节目丰富，多个海外电台可以消愁解闷；早餐也不错；一言以蔽之，值得再来，值得推荐！', '短评打分': 5}
{'短评内容': '酒店外观看上去较旧 房间为刚装修 看上去很舒服 床上用品较好 ', '短评打分': 5}
{'短评内容': '10多年没有在益阳，感觉变法很大，这次入住华天，感觉不错，各方面都可以接受，', '短评打分': 5}
{'短评内容': '益阳最好的一个宾馆了吧，这个地方不是很大，也就这个样子了', '短评打分': 5}
{'短评内容': '硬件还可以,服务比较死板,早饭不错,性价比也还将就', '短评打分': 5}
{'短评内容': '价位合理 ,服务到位', '短评打分': 3}
{'短评内容': '很好益阳第一，这个地方值得推荐，除非益阳还有新的宾馆推出，那里是个好地方', '短评打分': 5}
{'短评内容': '这算是益阳最好的酒店，住得舒适，但就是附近找吃的比较少，毕竟益阳是个小城市。', '短评打分': 5}
{'短评内容': '酒店很高档，早餐也不错，就是里面的装修稍显得旧了点，不过肯定够4星级标准了。', '短评打分': 5}
{'短评内容': 'bucuo............................', '短评打分': 5}
{'短评内容': '在益阳这间酒店性价比算高，但周边吃饭的地方比较难找！', '短评打分': 5}
{'短评内容': '性价比高，不错的酒店。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '帮同事预定的，她反映说在益阳这家酒店算是挺不错的，房间干净舒适', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '真的不行,房间设施太陈旧,不过饮食还可以!', '短评打分': 5}
{'短评内容': '不是发过评论了吗？怎么还要发啊？可以的啦！！！ 就是太旧了！！！ \n', '短评打分': 5}
{'短评内容': '不是发过评论了吗？怎么还要发啊？可以的啦！！！', '短评打分': 5}
{'短评内容': '房间很一般，老旧厉害，比益阳佳宁娜差远了。真的不知道这也算五星级，唉。。。。。。。', '短评打分': 1}
{'短评内容': '903', '短评打分': 3}
{'短评内容': '入住不是很理想，房间比较老了，设施比较陈旧。', '短评打分': 1}
{'短评内容': '酒店总体服务还不错', '短评打分': 3}
{'短评内容': '性价比很高，服务业到位。就是自助餐八点就收，推出巴西烤肉也一般般。但总体来说还是相当不错的。', '短评打分': 5}
{'短评内容': '整个益阳确实找不到很合适的中档的星级酒店。所以，选择华天也是没办法的。相对还是不错的', '短评打分': 5}
{'短评内容': '喝多了，很迟住了一晚，一早出发，冲着是华天这块牌子住的。', '短评打分': 5}
{'短评内容': '基本还好，就是这次住的豪华单间不见得比上次的普通单间好，并且单间只送一瓶矿泉水也太抠门了吧！', '短评打分': 5}
{'短评内容': '才入住不久，酒店位置很好，但是比较陈旧，听说B座新装修过还不错，我住的A座很一般，房间连免费矿泉水都没有！！！希望以后订房时可以明确提示是A座的还是B座的房间。', '短评打分': 5}
{'短评内容': '酒店设施比较老，空调不凉快，感觉在益阳这个小地方378元的豪华双人间，性价比不高，贵了，不过位置比较好。', '短评打分': 1}
{'短评内容': '酒店总体看来还好，卫生不错，设施简单了点，和大堂不符。', '短评打分': 5}
{'短评内容': '感觉舒适；亲切；不错的酒店', '短评打分': 3}
{'短评内容': '酒店地理位置很好，但是比较陈旧，性价比的话，看怎么说，四星级酒店的话呢，算是很不好的，因为设施都很旧。但是就益阳来说，因为地理位置十分优越，所以就没办法了。为了方便的朋友，还是可以选择的。', '短评打分': 5}
{'短评内容': '益阳的华天；让我的感觉似乎在长沙入住；没想到会有这样的服务；', '短评打分': 5}
{'短评内容': '很不错 益阳当地的首选', '短评打分': 5}
{'短评内容': '感觉华天没有想象中的好，房间内设施一般，都是常规操作。性价比不如距离没多远的今天连锁酒店。早餐也一般。', '短评打分': 1}
{'短评内容': '湖南界内较好的酒店，地段好，服务好！', '短评打分': 5}
{'短评内容': '非常好的一家酒店，性价比非常高，各方面都非常好，早餐也非常丰富', '短评打分': 5}
{'短评内容': '我很早就在网上订了房间 可安排的房间却是靠电梯旁 吵死了', '短评打分': 1}
{'短评内容': '在益阳算不错的了 标间性价比最高', '短评打分': 5}
{'短评内容': '在当地还算是数一数二的。', '短评打分': 5}
{'短评内容': '设施有点老了，但在益阳应该是最好的酒店之一了', '短评打分': 5}
{'短评内容': '桑拿中心服务很到位', '短评打分': 5}
{'短评内容': 'hen  hao ', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务还不错,比硬件强一些', '短评打分': 3}
{'短评内容': '房间老旧,狭小,但是服务还蛮不错的', '短评打分': 5}
{'短评内容': '地理位置好，设施一般。', '短评打分': 1}
{'短评内容': '设施比较旧，但人气很旺，服务水平比较高。推荐一下', '短评打分': 5}
{'短评内容': '修新楼子后比以前好多了，不过还是贵了一点，老楼不值那个钱在这个小地方', '短评打分': 5}
{'短评内容': '益阳唯一的一家四星级酒店，地理位置好，早餐还不错', '短评打分': 5}
{'短评内容': '益阳也没什么别的可以住的了，总的来说将就', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店的设施服务等与其写的四星级极为不符，不过去那个地方不住在那里也没有地方可住了', '短评打分': 3}
