{'短评内容': '房间看起来有点旧，早餐挺好，设施很齐全，地点也不错', '短评打分': 5}
{'短评内容': '感觉酒店不错比快捷要好得多', '短评打分': 3}
{'短评内容': '帮同事预定的，听说完全不符合酒店的价格，像个小旅馆。', '短评打分': 1}
{'短评内容': '1）服务人员不错，服务质量也不错，比较专业；2）房间还算可以，设施还行吧，就是没有吹风机，其他该有的也都有了；3）位置一般，虽然到青泥街3站路，到游玩的海边可就远了；4）正赶上二楼中餐厅装修，只有一楼欧米奇西餐厅，想吃中餐的另外找地方；5）酒店提示只提供有线网络', '短评打分': 5}
{'短评内容': '设施比较陈旧，房间很小。比较安静，早餐一般。周围环境安静。', '短评打分': 5}
{'短评内容': '前台服务态度较好，酒店比较一般，个人感觉床不是很舒服', '短评打分': 5}
{'短评内容': '不供应早餐很不方便，楼下西餐厅不怎么样。但房间卫生间比较干净。', '短评打分': 5}
{'短评内容': '位置好，酒店干净卫生！值得推荐一下！！！！！！！！！', '短评打分': 5}
{'短评内容': '干净,服务水准较之前有提升.但晚上有打到房间的骚扰电话.有点小遗憾.', '短评打分': 5}
{'短评内容': '服务人员很热情，有老式涉外酒店的遗风，管理很规范，安全、安心。我们住的是特价房，性价比不错，适合家庭自费旅游。就是大床房的床垫很硬，要是多铺一层褥子就好了。周边安静但是出行非常方便，门口就有多路公交车，尤其是16路，几乎就是观光巴士。一层的咖啡厅也不错。', '短评打分': 5}
{'短评内容': '一如既往的好 但是进入6月 就要涨价 而且房间有蚊子 很苦恼', '短评打分': 5}
{'短评内容': '宾馆干净，服务态度好，地处大连繁华地带。', '短评打分': 5}
{'短评内容': '不错 已经是第二次入住了 主要是办事方便 楼下的咖啡厅还可以', '短评打分': 5}
{'短评内容': '性价比较高，地理位置较优越，离火车站挺近的', '短评打分': 5}
{'短评内容': '值得推荐，位置很好，距离火车站很近。性价比也不错，就是空调的声音稍微大些', '短评打分': 5}
{'短评内容': '酒店设施一般，价格便宜，选择主要是因为要到国运大厦办事情', '短评打分': 5}
{'短评内容': '朋友说很不错，价格公道，干净卫生，交通便利。酒店大堂内的餐厅也不错，就是意面的味道差一点。', '短评打分': 5}
{'短评内容': '不错，干净卫生，交通食宿都很便利，下次去大连还选择这家酒店。', '短评打分': 5}
{'短评内容': '很干净,服务热情', '短评打分': 3}
{'短评内容': '住了N次了，个人感觉性价比很高，以后来应该还会入住。', '短评打分': 5}
{'短评内容': '服务很热情，不错。', '短评打分': 3}
{'短评内容': '好像每次来大连都住这里......每次都住，性价比还不错', '短评打分': 5}
{'短评内容': '已经是第三次入住了，感觉还不错，位置也挺好的。', '短评打分': 5}
{'短评内容': '价位不高，但设施旧了， 服务还可以， 免费上网，总的来说还算可以吧。', '短评打分': 1}
{'短评内容': '位置比较不错，交通方便抵达周边商业区。已经第三次入住', '短评打分': 5}
{'短评内容': '非常不错,住的是标准间,舒服,卫生,服务态度也很好!', '短评打分': 5}
{'短评内容': '好’ 比较方便的地方。设施比经济型酒店好多了。zzzzzzzzz', '短评打分': 5}
{'短评内容': ' 酒店不是很大位置靠近港口,后院还有小型停车场,房子是老式风格,比一些在大厦中租用几间房的所谓公寓式酒店住起来舒服很多,值得推荐!', '短评打分': 3}
{'短评内容': '离码头较近的宾馆，不错。', '短评打分': 5}
{'短评内容': '最大的优势在于位置极佳，但由于在人民路边，停车不是很方便。大家也都提到，设施较为陈旧，服务没有特别之处。', '短评打分': 5}
{'短评内容': '地理位置很好,出行也方便,就是靠近窗户的房间可能因风大的缘故有点冷.其他的还可以吧.性价比不错,值得推荐!', '短评打分': 5}
{'短评内容': '房间里很暖和，卫生条件也好。', '短评打分': 5}
{'短评内容': '很喜欢，不错！继续努力！', '短评打分': 5}
{'短评内容': '原来以为是国营单位，对于服务方面以为较差，但入住后发现，这里的服务人员态度非常好，热情礼貌，房间很干净，以后还会住。', '短评打分': 5}
{'短评内容': '酒店的设施稍微旧了点，服务比较周到，而且地理位置也很好，交通比较便利', '短评打分': 3}
{'短评内容': '比较老的一家酒店，不过设施卫生都很好，吃早点也很方便。出门就有很多公交车，很便利，值得推荐', '短评打分': 5}
{'短评内容': '酒店新开业的,设施条件挺新的,价格也蛮合适的,挺不错的值得推荐了.', '短评打分': 5}
{'短评内容': '还算凑付吧', '短评打分': 5}
{'短评内容': '其他都一般，\r\n但是服务上还是让人头疼，非得赖我喝了冰箱里的饮料一口，这感觉真是很不好！', '短评打分': 3}
