{'短评内容': '非常非常非常好', '短评打分': 5}
{'短评内容': '价钱还行，但是服务一般，由于是睡着顶层，半夜被机器吵醒了，很不爽，还好后来他们把机子关了才没有声音。', '短评打分': 5}
{'短评内容': '很值，卫生好，还给配电脑，性价比还是很高的。', '短评打分': 5}
{'短评内容': '房间较为干净,整洁,安静. 洗手间看到过1只小强,单人间空间紧凑,可以推荐给要求不高,追求性价比的住客.                                                ', '短评打分': 5}
{'短评内容': '这里的服务态度很好·周围环境都OK~·要吃要玩的地方就在旁边~·是一个很好的选择~~下次还会来~~·呵呵·~', '短评打分': 5}
{'短评内容': '还不错，可惜那个消费券怎么不能抵房费的。还不错，可惜那个消费券怎么不能抵房费的。还不错，可惜那个消费券怎么不能抵房费的。', '短评打分': 5}
{'短评内容': '物有所值，对得起这个价位。                                                                             在附近逛了一下，周围的饭店、商店、超市还是比较方便的。', '短评打分': 5}
{'短评内容': '地理位置不错，周围有很多小吃店，饭店，东西都不贵，就是房子有点旧，墙壁不是很干净，毛巾有点旧，有的还是破的，服务生很好，蛮热情的。不过对于深圳这个物价，性价比还是不错的。', '短评打分': 5}
{'短评内容': '這次訂的是電腦房·沒想到比之前訂的要好那麼多~·下次還是會訂電腦房·~超值~~下次都會繼續來~~·嘻嘻·~~(*^__^*) 嘻嘻……', '短评打分': 5}
{'短评内容': '服务不错，房间也还好，就是有点小，但是在深圳这个价位也就这样了。', '短评打分': 3}
{'短评内容': '其他的不用說· 因為都去過好幾次了~·但是這次去到被子有點潮，空調不知道是不是有點小問題~·有點吵~·其他的就很好·~~', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '就这个价位来说，酒店是一般般啦。', '短评打分': 3}
{'短评内容': '宾馆外面的环境不怎么样，不过室内还是比较温馨、比较干净，价格也合适。最主要是交通比较方便，下次有时间到哪边的话考虑会再去.', '短评打分': 5}
{'短评内容': '我去過兩次啦~·感覺很好·~·我很喜歡，下次還會去·~·就是洗澡的地方不是很好·~會把頭髮搞濕~~但還是好贊·~', '短评打分': 5}
{'短评内容': '房间小了点，但是感觉还是不错的！整体环境还是可以的！下次还会去！网线好像没看到，似乎需要自己去前台去要！', '短评打分': 5}
{'短评内容': '地方還好啦~~沒想像中吵·~下次還會再去·~', '短评打分': 5}
{'短评内容': '酒店设施一般，被子有点潮。。。环境比较安静', '短评打分': 5}
{'短评内容': '地点在一个靠里的街道上，脏乱差，让人住了很没安全感！', '短评打分': 1}
{'短评内容': '已成功入住,周围的环境不错,有大型的超市和麦当劳.虽然找宾馆的时候有点难,但房间满干净的!', '短评打分': 3}
{'短评内容': '酒店比较干净卫生，用具齐全，价格也比较合适，推荐', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错', '短评打分': 5}
{'短评内容': '服务.卫生都好，只是地方不太好找。', '短评打分': 3}
{'短评内容': '酒店附近交通方便，离医院和银行都挺近。服务态度不错，我的房间不能上网就给我安排了另外一个。', '短评打分': 5}
{'短评内容': '这个价位也就值了，网络不好用，配赠的电脑很不好用的！', '短评打分': 5}
{'短评内容': '交通方便，水温有点低，地毯好像挺不干净的。', '短评打分': 5}
{'短评内容': '只是窗户太小，隔音不好，位置还算不错，坐车方便，离南头沃尔玛不远', '短评打分': 5}
{'短评内容': '王春雨、房间8611', '短评打分': 3}
{'短评内容': '房间很大，交通方便，附近饮食多，考试必选！', '短评打分': 5}
{'短评内容': '感觉还好，不过浴室的玻璃太薄了，怕不安全!', '短评打分': 3}
{'短评内容': 'Clean hotel, with the money!', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境设施还不错，就是网速太卡了，电脑房多出的房费不太值', '短评打分': 5}
{'短评内容': '位置交通比较方便，酒店内部环境也还不错，性价比不错。', '短评打分': 5}
{'短评内容': '价格适中,地理位置好,交通方便,总体来说不错.', '短评打分': 5}
{'短评内容': '性价比很值，地段很好。离南山汽车站很近，晚上吃宵夜也很方便。', '短评打分': 5}
{'短评内容': '我进房看到蟑螂。', '短评打分': 3}
{'短评内容': '还不错,挺划算的,就是小了的,没窗户。', '短评打分': 3}
{'短评内容': '地方一开始的确不好找，该店所在的“关口路”很多司机都不知道，要说去南新路、南山区法院对面的那条路进去，路口有棵大榕树。楼比较旧，电梯很小，其他楼层是台球啥的，进了去玩的人就很挤了。价格还不错，房间整洁干净，日用品整齐，但没有吹风机；我选住的是提供电脑的房间，在宾馆招牌那个门的对面的贵宾楼，要在这边刷卡再到那边交押金。周围环境很家常，是生活区；交通便利。', '短评打分': 5}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '环境还可以，入住刷卡有点繁琐！', '短评打分': 3}
{'短评内容': '环境还不错，周围吃东西也方便，价格也挺实惠，只不过附近好像在施工，关了窗基本听不见了，总体来说性价比不错。', '短评打分': 5}
{'短评内容': '不錯，價格比較公道，環境比較好，安全舒適。', '短评打分': 5}
{'短评内容': '枕头有问题 睡的头很痒，其他还好，电视不是液晶的。', '短评打分': 1}
{'短评内容': '环境挺不错 140的豪华单间比起上海的2、300的好多了 设备齐全不错 隔音一般 隔壁房间自来水声很清楚 总体来说挺满意', '短评打分': 3}
{'短评内容': '不错，物美价廉，各方面都不错，就是电脑房和无电脑房要分开两栋楼，电视机和电脑都不错，电脑稍微有点慢，其他都很好。可是这个宾馆非常难找，本来就在南新路口车站旁边，可是页面那个宾馆的地图实在太不给力了，都是错的，白找了半天。', '短评打分': 5}
{'短评内容': '挺安静，也很舒服，还靠近逛街的地方，吃饭什么的很方便~', '短评打分': 5}
{'短评内容': '性价比还可以，床头有设计。不过床很短，一米八的，而且进门就是洗刷台不好，酒店周围环境感觉比较乱。', '短评打分': 3}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '不错 好找', '短评打分': 3}
{'短评内容': '房间挺干净，不错的。。。晚上也比较安静。。。。', '短评打分': 5}
{'短评内容': '很不错。服务态度也很好，房内设施很完美！极力推荐', '短评打分': 5}
{'短评内容': '装修不错，干净，住得挺舒适的！', '短评打分': 3}
{'短评内容': '超级好 性价比超好  地理位置优越 什么都好 去了就去这里 打的就说去南山法院对面', '短评打分': 5}
{'短评内容': '性价比高，但是有点难找，建议大家打车的时候直接说到蓝新路，这样会方便很多，房间不大，不过够了，通风不是很好，有电脑，但是不知道怎么了，晚上的时候电脑一直登不上。总体来说不错，会考虑第二次去。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '非常好，比七天好，比七天大，交通方便，而且便宜 有电脑很方便', '短评打分': 5}
{'短评内容': '总体还行，不过网速很慢，超级慢！选择上网的房间不划算！', '短评打分': 5}
{'短评内容': '刚住过，酒店很干净，位置也好，交通方便，价格实惠，下次还住这里。 \n', '短评打分': 5}
{'短评内容': '不错，服务也挺好', '短评打分': 3}
{'短评内容': '没有浴缸没电风筒', '短评打分': 3}
{'短评内容': '价格还行，虽然房间小了点，电梯必须打卡才能进入', '短评打分': 5}
{'短评内容': '卫生不好，还算实惠；\n将就一下的还可以，\n讲究的不要来；', '短评打分': 5}
{'短评内容': '房间有点小，价格还可以，经济实用。遗憾的一点就是经济大床房的空调不能送暖风。', '短评打分': 5}
{'短评内容': '环境很好，挺舒适的，服务很周到，周围交通便利，在市里这个价位确实很实惠', '短评打分': 5}
{'短评内容': '酒店性价比不错，周围吃的也较多，去蛇口港、深圳西站、深圳大学等都很方便。', '短评打分': 5}
{'短评内容': '比较一般的旅店，应该再便宜一点，呵呵，难道是因为深圳的物价太高吗？', '短评打分': 1}
{'短评内容': '位置好，停产也方便，室内条件一般，房间较小，希望再改善，', '短评打分': 1}
{'短评内容': '确实很不错，比起别的酒店的都好，而且交通特别方便，去哪个景区都很方便。', '短评打分': 5}
{'短评内容': '价格合适 交通便利 隔音效果少差点~~\n总体不错', '短评打分': 5}
{'短评内容': '还蛮好的，住了好多次了，周围也很方便，就是电脑的房间床太短了，要是个子再高一点脚就伸出去了。', '短评打分': 5}
{'短评内容': '环境还算可以吧，在关内南山区，离各大购物中心都很近，关键是服务员态度很好，我的充电器忘在了宾馆还帮忙发了快递。很不错，下次有机会还会去。', '短评打分': 5}
{'短评内容': '＋还可以,房间够大', '短评打分': 3}
{'短评内容': '很实惠，服务还不错，交通也很便利，地理位置对于在南山办事的人来说很好', '短评打分': 5}
{'短评内容': '环境还可以，价钱合理，附近有大型沃尔玛超市，还是比较方便。\n属于经济型酒店。', '短评打分': 5}
{'短评内容': '环境还可以，价钱合理，附近有大型超市，还是比较方便的', '短评打分': 5}
{'短评内容': '只能算是旅馆，门面实在太简陋，电梯开门后对着一堆乱糟糟的东西。以后不会再贪便宜住这种招待所', '短评打分': 1}
{'短评内容': '设施老旧，马桶坏，插座松动，房屋潮。离景山公园近。', '短评打分': 1}
{'短评内容': '小宾馆。很简陋。不喜欢。不过这个价格在这个地段也只能这样。', '短评打分': 1}
{'短评内容': '比较安静，近学校，交通方便比较实惠，很容易在网上订住', '短评打分': 5}
{'短评内容': '环境不错,净', '短评打分': 5}
{'短评内容': '虽然距离居民区近了些\r\n但是性价比挺好，服务不错', '短评打分': 5}
{'短评内容': '地方好难找。 房间较小，挺干净的 其他都OK …… 周围环境一般般 像关外的小摊摊很多', '短评打分': 3}
{'短评内容': '这是第一次，初找起来确实感到很偏僻。但后来熟悉了一下周边后，又感觉其实挺便利的——交通、饮食都不错。有人反映水盆放在卫生间外面不方便，我也是头一次遇见这样的——但也只能如此了。 ', '短评打分': 3}
{'短评内容': '第一次时，找起来确实感到很偏僻。但住下来熟悉一下周边后，又感觉其实挺便利的——交通、饮食都不错。前面的朋友有反映水盆方在卫生间外面的问题，我也是头一次遇见——但实地看了后，好像也只能如此了。', '短评打分': 5}
{'短评内容': '总之，这里的住宿环境还是对得起这个价钱的。', '短评打分': 5}
{'短评内容': '+感觉还是很不错的!就是房间有点小!下次还会来!', '短评打分': 5}
{'短评内容': '交通方便 干净卫生 设施齐全 唯一不好的就是有蟑螂 可能因为南方的气候有关', '短评打分': 5}
{'短评内容': '干净卫生 设施齐全 位置还算好找离需要去玩的地方较近 坐车方便', '短评打分': 5}
{'短评内容': '+还不错，性价比高，去见女朋友常在那住。', '短评打分': 5}
{'短评内容': '这间宾馆的位置,很多的士司机居然不知道.然后,2种房间是在不同楼层,我订的是B类的,想用信用卡的时候居然要去对面那栋刷,表示很不方便.', '短评打分': 1}
{'短评内容': '招待所式，很破旧，感觉非常不好，不会再推荐朋友去入住啦', '短评打分': 1}
{'短评内容': '+挺好，不过浴巾有股怪味。', '短评打分': 5}
{'短评内容': '还行，洗手台的设计的确有问题，墙壁都发霉了。', '短评打分': 5}
{'短评内容': '卫生间设备老化 服务态度不好 房间插座、窗户锁有故障 结帐时莫名其妙地说我消费了一个打火机 后来解释后才作罢 ', '短评打分': 1}
{'短评内容': '唯一的一点好处就是它交通方便，出门购物很是方便，再发现不出其他的好处。', '短评打分': 3}
{'短评内容': '+酒店环境还可以，就是地方难找…打的打了两个，都不知道关口路在哪儿…后来打了几个电话到酒店，边问边找到的', '短评打分': 5}
{'短评内容': '的确很小，但五脏俱全，隔音欠缺，不过就一个人睡睡觉，能休息好就行', '短评打分': 5}
{'短评内容': '我原计划订两天的 看来要换了 有点像住鸟笼的感觉', '短评打分': 1}
{'短评内容': ' 不多说，反正不会去第二次，很失望，原计划是订两天的，提前退房了。', '短评打分': 1}
{'短评内容': '住在顶楼的最西的一间房，感觉住进去时前一分钟象有人刚走似的，下次不会选择在这住了', '短评打分': 1}
{'短评内容': '+还不错，性价比挺高的，已经住了好几次了，以后还会入住。', '短评打分': 5}
{'短评内容': '不错，第二次入住了，去的晚了，没有单人房了，给我开了双人房，价格还是一样的，挺好的。', '短评打分': 5}
{'短评内容': '房间光线很好，窗户很大，总体还是不错的！值得推荐', '短评打分': 5}
{'短评内容': '还可以，对于在深圳逗留几天的客人来说，洗完衣服还有可以晾晒的地方，比较方便。', '短评打分': 5}
{'短评内容': '还好，下次还会考虑入住。离欢乐谷、世界之窗还是比较方便的。', '短评打分': 3}
{'短评内容': '还不错，都挺好的，就是冲凉沐浴的淋浴头不好用，水太大了。', '短评打分': 5}
{'短评内容': '位置好出行很方便,其它硬件和软件条件方面一般,服务也有不到位的地方,我不是很喜欢这家酒店.', '短评打分': 1}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间有异味，而且酒店分两个区，要确定好自己在哪栋楼哦，我住的房间电脑坏的，空调内机滴水，洗漱台洗手间跟房间太紧凑了&#183;&#183;&#183;', '短评打分': 3}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '房间有异味，房间设施真是有够紧凑的，但是对这价格在这深圳还是可以了', '短评打分': 1}
{'短评内容': '总体来说还是不错的，有股味道', '短评打分': 5}
{'短评内容': '位置还不错，交通便利，周边公交车、出租车都很容易找到，省时省力啊！', '短评打分': 5}
{'短评内容': '我出差时住的这家宾馆，感觉还不错，方便我办事，环境也很温馨。', '短评打分': 5}
{'短评内容': '环境很舒适，周边交通便利，还有公园、超市等等，很不错。', '短评打分': 5}
{'短评内容': '服务很到位，办理住退房手续很快，处理别的事情也很利索。', '短评打分': 5}
{'短评内容': '房间打扫的很感觉，床上用品也很好用，住起来很舒服的。', '短评打分': 5}
