{'短评内容': '房间很干净就是有点小', '短评打分': 5}
{'短评内容': '酒店本身不错，服务和软件都满意，早餐比较喜欢，价格有些贵。', '短评打分': 5}
{'短评内容': '酒店服务很热情，床上用品很舒适，早餐品种多，口味好，就是打车小有不便。', '短评打分': 5}
{'短评内容': '绝对值得推荐的酒店，很注意细节，服务相当好，只是大堂里放了餐桌，使大堂里有股酒菜味，但房间里很不错，服务也很人性化，还会去住。', '短评打分': 5}
{'短评内容': '服务周到，挺好的，房间再大点能够提供免费早餐就耕好乐', '短评打分': 5}
{'短评内容': '环境可以,服务不错,价格也合适', '短评打分': 3}
{'短评内容': '几年前就住过这家酒店，一如既往的温馨服务。这次酒店前台犯了一个低级而对酒店管理来说又是致命的错误，一方面有以前酒店的好印象，在加上前厅尹经理的周到和细致化解了客人的不满。在北方同档次的酒店中，舜和天禧的服务是很不错的，所以价格比一般商务型酒店要高。推荐！！！', '短评打分': 5}
{'短评内容': '房间很舒适 给的水果很新鲜 看出来酒店很用心 下次还回来', '短评打分': 3}
{'短评内容': '服务不错 可能因为是新开的 房间也很干净 还送小礼物 赞一个', '短评打分': 5}
{'短评内容': '门口就是经十路，周围饭店不少，酒店夜宵到凌晨，服务和所有舜和一样热情，但是房间也一样有点小挤，装修有些年头了，走廊地毯有味，其他都很好', '短评打分': 5}
{'短评内容': '很好有家的感觉，服务周到热情，感觉温馨。', '短评打分': 5}
{'短评内容': '第一次入住济南的天禧舜和酒店，给我留下深刻印象，服务超棒，从进入酒店开始见到的每位服务人员都会微笑的问好，弄得我都有些不好意思了，办理入住挺快的，而且还享受到了贵宾似的待遇，凉毛巾和果汁，服务员送我去房间的，并详细介绍了酒店服务项目和房间设施，等到我晚上外出回来后，房间里竟然有一杯豆浆和服务员给我的写的留言，让我有些吃惊，所以这家酒店的服务对我印象深刻，下次来济南，肯定还会住天禧舜和！挺你！', '短评打分': 5}
{'短评内容': '服务员很细心，主动。感觉很舒心！', '短评打分': 3}
{'短评内容': '   很不错.房间不大但东西全.支持!', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '一直没有登录点评过，住了很多次，今天索性一次点评完毕，不错的酒店，舜和连锁都不错，建议大家入住。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '一直没有登录点评过，住了很多次，今天索性一次点评完毕，不错的酒店，舜和连锁都不错，建议大家入住。', '短评打分': 5}
{'短评内容': '很不错的，性价比很高，服务人员很热情，强烈推荐', '短评打分': 5}
{'短评内容': '酒店性价比很高，服务态度很好，环境卫生也不错，有家的感觉，每次回都会住，下次还要选择这里', '短评打分': 5}
{'短评内容': '在济南换了几家四星酒店，相比来说该酒店不错，房间虽然略小但很干净卫生（本人住商务单人间），员工素质高，友好热情，还免费送水果和豆浆。', '短评打分': 5}
{'短评内容': '舜和国际的备份，就是老点，硬件需跟上，巴西烤肉不错', '短评打分': 5}
{'短评内容': '服务热情，很喜欢', '短评打分': 3}
{'短评内容': '酒店很温馨，很干净，性价比很高，很满意，支持下，下回还要来', '短评打分': 3}
{'短评内容': '房间超小，而且价位蛮高的，只是旁边的烤肉不错', '短评打分': 1}
{'短评内容': '酒店在经十路上，去哪里都很方便，离体育场也很近，酒店的服务很好，上次住酒店的时候正好赶上有球赛，鲁能泰山就住在这个酒店，会再次光顾！这个酒店的饭也很好吃，推荐豆腐馅饺子', '短评打分': 5}
{'短评内容': '服务态度非常好 环境也不错 就是停车场小了点和退房时间改到两点就好了 给本店九十八分 下次一定再光临', '短评打分': 3}
{'短评内容': '这是济南我最喜欢的酒店！服务很周到，硬件设施也说的过去，会一直选择这里滴~', '短评打分': 3}
{'短评内容': '房间超小，而且价位蛮高的，只是旁边的烤肉不错', '短评打分': 1}
{'短评内容': '很好的商务酒店，服务员也很贴心。吃饭就在楼下，非常方便。建议入住。', '短评打分': 5}
{'短评内容': '交通很便利，在经十路上。酒店内部布置也很温馨，服务员很客气。房间里面很有感觉，单间和标间看着都让人舒服。不错的酒店。', '短评打分': 5}
{'短评内容': '设施较新，地处闹市，寻找不易，服务员态度很好，温馨。', '短评打分': 5}
{'短评内容': '酒店服务好，有的房间刚装修过，性价比高。', '短评打分': 5}
{'短评内容': '酒店服务好，有些房间刚装修过，性价比高。', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '正如评价，服务一流，无论从前台到保洁阿姨，都赶上香格里拉的服务水平了，当然还有一些硬伤，比如房间没有分无烟房，我入住的时候正是装修，气味很大等，但总体上还是可以的。', '短评打分': 5}
{'短评内容': '服务非常好，有家的感觉，餐厅的饭也非常好吃，下次还会住这里。', '短评打分': 5}
{'短评内容': '服务不错，房间慢干净的', '短评打分': 3}
{'短评内容': '客房一般，也就三星吧。早餐不错，所以房费不含餐性价比不高！', '短评打分': 3}
{'短评内容': '每天有小礼物赠送，客服服务不错。但过年前在这里开会议的人多，前台人手不足，登记、结算等待的时间很长', '短评打分': 5}
{'短评内容': '房间设施很好，最关键的是服务非常非常的好，每天有豆浆、还有小礼物。\n唯一的缺点就是早餐有点儿贵……', '短评打分': 5}
{'短评内容': '山东舜和天禧商务酒店的确不错，下次来济南还会住这。', '短评打分': 5}
{'短评内容': '第2次住在这，很不错哦，看来下次还要来这住。值得推荐~！', '短评打分': 5}
{'短评内容': '酒店很干净，服务人员素质高，下次的首选！', '短评打分': 3}
{'短评内容': '服务很好，房间太小，价格有点偏高，性价比有点不合适', '短评打分': 5}
{'短评内容': '这次没有大床房比较遗憾。服务还是一如既往的好', '短评打分': 3}
{'短评内容': '不错，还会入住。服务很热情，饭菜也比较好吃。', '短评打分': 5}
{'短评内容': '卫生不错。酒店赠送的小礼物很可爱！房间挺宽敞的，服务态度也很好！', '短评打分': 5}
{'短评内容': '服务超星级，贴心，细致。早餐非常丰富。超级棒！！！！', '短评打分': 5}
{'短评内容': '很亲切，服务很好，装修和硬件也不错，下次去，还会入住。房间的小礼物很可爱，继续支持', '短评打分': 5}
{'短评内容': '对酒店的服务很满意', '短评打分': 3}
{'短评内容': '很好，第二次住在这里。吃的也好，中餐、巴西烤肉都值得推荐~！', '短评打分': 5}
{'短评内容': '服务很细心、周到，有点小贵，而且不含早餐', '短评打分': 5}
{'短评内容': '酒店提供的服务非常周到，也很有特色。晚上的水果、热豆浆、还有温馨的提示卡片，让出门在外的人感到温暖\r\n下次还会选择这里的~\r\n饭费不含早餐有点小遗憾。。。', '短评打分': 5}
{'短评内容': '刚才点错键了，是推荐。', '短评打分': 3}
{'短评内容': '值得一住', '短评打分': 1}
{'短评内容': '预定的时候居然丢失了确认传真，差点耽误大事。。', '短评打分': 1}
{'短评内容': '很注重细节的酒店，服务非常好，床很舒服，有家的感觉。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店服务员的服务意识不错，房间每天赠送水果和小礼物，比较贴心。', '短评打分': 5}
{'短评内容': '非常注重细节的一个酒店。服务方面没的说，下回还会住这里。但是，卫生间的布置有不合理的地方。装修的追求似乎有点过份，比方说走廊的地毯就过份的炫目，让人有点不适。', '短评打分': 5}
{'短评内容': '服务非常好，室内很干净还有附送的水果，就是门缝不太严，有点漏光。', '短评打分': 5}
{'短评内容': '住了好多次，很舒适', '短评打分': 5}
{'短评内容': '很不错，是一家很温馨，很人性化的酒店。', '短评打分': 5}
{'短评内容': '第三次住了，比较新，挺舒服~', '短评打分': 5}
{'短评内容': '服务很好的一家酒店，这个价位性价比已经很不错了。\r\n\r\n位置略有些偏，但济南打车还比较方面，所以推荐。', '短评打分': 3}
{'短评内容': '房间不大但是很舒服，还送一个小玩具，很有新意。', '短评打分': 5}
{'短评内容': '名不虚传，服务非常好，300以内来说，装修也很漂亮，小东西很多，很细心\r\n液晶电脑加24小时免费上网很无敌~~，我基本没开过电视\r\n不太好的大概要数那个淋浴了，不能拿在手里。。。。另外浴帘也靠得太近，没法拉上，总分：99分~', '短评打分': 5}
{'短评内容': '服务非常到位的酒店，所有服务员都训练有素，房间布局也不错，如果不是太计较豪华，这家酒店比很多五星级酒店都要好。', '短评打分': 5}
{'短评内容': '服务态度非常的温馨 ，还送了客人小熊玩具作为礼物。房间里面每天还有水果和酸奶送，尤其是山东的苹果真的味道很好。设施也比较的新，总的说很舒服，有种到家的感觉。以后出差还是会预定这酒店的', '短评打分': 5}
{'短评内容': '此店不错，来回住了二次。', '短评打分': 5}
{'短评内容': '比较适合商务人士进行短暂的休息，服务很好也非常卫生安静，唯一缺陷就是空间比较小，价位稍高', '短评打分': 5}
{'短评内容': '挺干净的，想的周到。', '短评打分': 5}
{'短评内容': '位置不错，交通也方便，服务那是没有话说的，价格是有点贵的（特别是早餐38每位，没有多少东西吃）。如果对价格不敏感的商务人士，可推荐入住。', '短评打分': 5}
{'短评内容': 'too small room, and too noisy if you choose suit.', '短评打分': 1}
{'短评内容': '酒店的价格有点贵，宽带上网网速慢了点，不过他们的服务和黄精还不错，也挺舒服的，位置交通都比较方便。', '短评打分': 5}
{'短评内容': '酒店的服务卫生包括硬件都比较满意,环境也不错,就是有装修的味道,酒店不是新装修的,但是还是有味道.其它的都很满意.', '短评打分': 5}
{'短评内容': '很好的体验，是我在出差时住到的服务最好的酒店，仅仅是CHECKING时旁边服务人员递上的那杯热气腾腾的咖啡，已经是很多号称五星级的酒店做不到的了---', '短评打分': 5}
{'短评内容': '应为11月,特此纠正', '短评打分': 3}
{'短评内容': '12月27日至30日入住该酒店,由于急性肠胃炎让我足足的停留在酒店2天,感受到了优质和人性化的服务,特别是四楼的生活管家的善良让我永远记住她.我在自己的博客详细叙事了整个服务的感受,以后来济南我会再次走进这里.&lt;br /&gt;\n博客地址:&lt;a href=&quot;http://blog.sina.com.cn/s/blog_4b2bdb1c01000cz6.html&quot; t', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;服务很好，但是房间面积由点小，电脑里面的软件更新不及时，运行速度很慢，总体不错，下次还住这里。不过这里的内部协议价格更合理&amp;lt;/P&amp;gt;', '短评打分': 5}
