{'短评内容': '不行', '短评打分': 1}
{'短评内容': '环境不错，很安静，但是骚扰电话很多', '短评打分': 3}
{'短评内容': '＋酒店环境不错，就是服务不及如家和七天，应该是管理上的问题。', '短评打分': 3}
{'短评内容': '房间整洁干净，感觉还不错！', '短评打分': 3}
{'短评内容': '价格适中，位于城中心，只是房间有点小，设施还可以，比较新。\n我们是帮家里来的客人定的，之前在成都也住的是凯宾家庭套房，成都香槟店的卫生感觉一般，洗手池还有水垢那些....', '短评打分': 5}
{'短评内容': '还行吧，还是感觉如家好些，只是凯宾位置好点', '短评打分': 3}
{'短评内容': '除了房间够大以外 毫无可取之处 客厅居然没有空调 不可理解', '短评打分': 1}
{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '还不错，挺方便的！便捷酒店，算是不错了。', '短评打分': 5}
{'短评内容': '鞋子\n牙刷\n肥皂都要錢\n入住不小心..就要收錢了', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '比较干净 属于比较实惠的快捷酒店 位置也不错 高层', '短评打分': 5}
{'短评内容': '服务等方面尚可，但地板和墙面略显老旧且不很干净。\n床单总体干净，但不知为何有两个黑点', '短评打分': 5}
{'短评内容': '设施比较久，其他还行', '短评打分': 3}
{'短评内容': '酒店位置太方便了，小吃很多', '短评打分': 3}
{'短评内容': '位置很不错，就在市中心位置，远眺还看得到江边。\n房间还算干净，但卫生间的瓷砖装修貌似还有未完工的地方，需要改进！\n早餐的人太多了，几乎找不到位子，可选样很有限，早餐很不好', '短评打分': 5}
{'短评内容': '酒店卫生，环境还不错，楼下有人人乐，有自己的停车位，很方便，就是在市中心有点吵', '短评打分': 5}
{'短评内容': '位子还是还是不错,设施也行,但说好刷卡,但...', '短评打分': 5}
{'短评内容': '交通方便 附近逛街吃东西也方便  价格还算合理 没吹风机好用', '短评打分': 5}
{'短评内容': '不错 观景还可以 就是楼层有声音可以听到 其他的都还可以', '短评打分': 5}
{'短评内容': '房间的卫生设施都一般，服务也还好，位置还可以，价格也就还好能接受的范围。', '短评打分': 5}
{'短评内容': '位置还行算是市中心的位置了，房间还不错算对的起它的价格，不过也不是特别的好也就一般，大堂前厅都比较小，服务态度还行吧。', '短评打分': 5}
{'短评内容': '我订的是商务间设施和性价比还都可以 前台服务有点跟不上 值得推荐吧', '短评打分': 5}
{'短评内容': '还不错，挺干净的…', '短评打分': 5}
{'短评内容': '位置不错，环境很好，性价比高，去大佛也很方便', '短评打分': 5}
{'短评内容': '总体来说还不错，可能开业时间不长，有些细节还需完善！', '短评打分': 5}
{'短评内容': '不错的酒店哦！刚开业不久比较新。而且黄金周还保持这个价格已经很仁道了。', '短评打分': 5}
{'短评内容': '房间干净整洁，服务态度好，临街房间太吵，早餐稍差！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间还可以,早餐一般,酒店地理位置出行很方便', '短评打分': 5}
{'短评内容': '环境，舒适度，卫生，性价比都不错，不好就是早餐不太好，可能是刚开业吧！', '短评打分': 5}
