{'短评内容': '位置很好找，而且免费升级了标准大床房。', '短评打分': 5}
{'短评内容': '位置还可以出行还是蛮方便，价格倒是挺好的，房间的装修卫生都还不错。', '短评打分': 5}
{'短评内容': '酒店不行，电梯有问题，而且饭厅也小，关键是方位离开火车站很远，不是很好，不推荐！', '短评打分': 3}
{'短评内容': '位置和卫生感觉还不错，作为低价的商务酒店足够了，所以还是可以考虑的', '短评打分': 5}
{'短评内容': '还可以的睡觉的地方.地理位置尚可,服务一般,房间备品也就是经济性旅馆的标准,不能要求太高...', '短评打分': 1}
{'短评内容': '实在很差,服务很差,环境很差,配置很差,浴巾不是棉的,根本不吸水.', '短评打分': 3}
{'短评内容': '总体来说都很不错，价格也还可以，推荐大家入住！', '短评打分': 5}
{'短评内容': '没有热水.而且服务不到位,服务人员态度也不是很好.我感觉这家酒店不如其它格林豪泰.', '短评打分': 1}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '酒店的硬件设施比较差.太简单感觉不太好.位置还行挺方便出行,其它各方面都很一般,我本人不是很喜欢.', '短评打分': 1}
{'短评内容': '一如既往的连锁型商务酒店风格，对硬件没有太高要求的而又正好要到相关政务区公干的朋友可以考虑这里。', '短评打分': 5}
{'短评内容': '不错 值得推荐', '短评打分': 3}
{'短评内容': '地段不错！设施有点陈旧！整体还不错', '短评打分': 5}
{'短评内容': '地点不好，离开火车站太远了，酒店也一般，卫生和设施也一般，还和其他公司共用一个大楼，开始的时候电梯都坏的，上去下来都非常慢，每层楼都停！', '短评打分': 1}
{'短评内容': '还可以了，交通方便。', '短评打分': 5}
{'短评内容': '安静又方便，不错！', '短评打分': 5}
{'短评内容': '性价比不错的酒店，卫生条件很好，服务也不错，下次还会住的。', '短评打分': 5}
{'短评内容': '整体比错，房间很大，床也很大，空调不错。', '短评打分': 5}
{'短评内容': '餐厅环境和餐点比较差了一点，其它各方面还不错.整体水平还算可以.', '短评打分': 5}
{'短评内容': '酒店的周围环境不错，比较安静。但是交通不方便，最近的公交站要走7-8分钟。出门右转有一些小吃店。总体来说比较好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '有些老化，停车位置不安全', '短评打分': 5}
{'短评内容': '不错的过夜酒店.个人认为房间面积和设施比&quot;?家&quot;和&quot;?天&quot;好.就是夜间有小姐骚扰电话持续到凌晨五点每隔二十分钟打进一次.即便告诉她们是Gay只喜欢男的，她们照样坚持要给派人，最后只能把电话线拔掉。', '短评打分': 5}
{'短评内容': '服务不错房间的卫生打扫挺干净的，位置还是挺好找的，价格也很合适，性价比还是挺高的。', '短评打分': 5}
{'短评内容': '服务不错房间的卫生打扫挺干净的，位置还是挺好找的，价格也很合适，性价比还是挺高的。', '短评打分': 5}
{'短评内容': '位置还是可以，价格一般房间还行吧卫生设施也不差。和一般商务酒店都差不多，', '短评打分': 5}
{'短评内容': '位置不错，价格便宜', '短评打分': 5}
{'短评内容': '位置优越，环境优雅，服务一流， 设施完备。推荐朋友来。', '短评打分': 3}
{'短评内容': '环境优雅，设施完备，服务周到，性价比较高。', '短评打分': 5}
{'短评内容': '各方面都很好的酒店，就是洗澡间的门太小了，估计胖点的都进不去了，呵呵。', '短评打分': 5}
{'短评内容': '价格还是有些偏高。服务还可以，而且酒店也没有提供早餐本身它的那个位置就不是很好出去吃的话有感觉不安全就是这点挺不好的，位置倒是很安静很安全但是打车确实很不方便，房间还行很干净也很舒适。关键就是位置真的不是很好，而且也没有早餐。', '短评打分': 1}
{'短评内容': '环境不错，位置很好。\r\n服务一般，点蚊香片第二天没主动换。\r\n厕纸没有了要了一次也没拿来。', '短评打分': 1}
{'短评内容': '不错的酒店，价格合适，卫生也很干净，设施很完善，性价比蛮高的。', '短评打分': 5}
{'短评内容': '地理位置不错，卫生蛮好的，服务也很到位，就是早餐品种单一，其他都不错。', '短评打分': 5}
{'短评内容': '房间大  位置还可以，床也舒服 就是无餐厅', '短评打分': 5}
