{'短评内容': '非常好 下次还住这里', '短评打分': 5}
{'短评内容': '前台服务很好，房间很干净。比较遗憾的是给的枕头套有脏印迹，估计是洗不掉留下的。幸好商务大床房有三个枕头，所以还好。整体不错。', '短评打分': 3}
{'短评内容': '离鼓楼步行15分钟，房间卫生、也挺大，服务态度好。', '短评打分': 5}
{'短评内容': '位置好旅游方便', '短评打分': 3}
{'短评内容': '酒店很不错，周围不少吃的，去火车站也方便，晚上比较安静，去钟楼步行2 0分钟左右', '短评打分': 3}
{'短评内容': '环境很好，交通便利，距钟楼步行十分钟左右，酒店旁边是东厅门小学，附近很多吃饭的地方，购买水果也很方便，有水果超市价格也不贵，下次还会入住该店，退房时间可延迟到下午两点之前很好！', '短评打分': 5}
{'短评内容': '服务很好，值得信赖…', '短评打分': 3}
{'短评内容': '客服服务很好,交通还算方便,离钟楼比较近,房间比较干净卫生,价格很合理~', '短评打分': 5}
{'短评内容': ' 很不错的地方，价格也合适，赞个', '短评打分': 3}
{'短评内容': '房间很大，环境好', '短评打分': 3}
{'短评内容': '酒店在靠近东大街的位置，离钟楼步行大概10-15分钟，处在居民区内，晚上楼下有夜宵摊，旁边还有菜场，出行还是挺方便的，离南大街也不远，一不留神就会发现走到景点或者步行街，骡马市步行街那里就有个沃尔玛超市，没仔细看还没发现。酒店紧挨着东厅门小学，感觉很安全，这家店选的还算满意。', '短评打分': 5}
{'短评内容': '服务态度还不错，就是洗漱用品房间都忘放了！地理位置稍有些偏，出去打车有点难！房间空调比较吵！', '短评打分': 5}
{'短评内容': '还行吧，交通还方便。环境也还行。可以入住。', '短评打分': 5}
{'短评内容': '位置不错，周边吃的很多~离东大街也很近，购物很方便！', '短评打分': 5}
{'短评内容': '很好，很干净，唯一的缺点就是网络不太给力。还是很值的推荐的！！', '短评打分': 5}
{'短评内容': '酒店不环境不错！服务态度非常令人满意，下次去还会住', '短评打分': 5}
{'短评内容': '房间超乎想象的好，很温馨，离景点很近，步行就可以到附近钟楼鼓楼以及各大商场，很方便，客服态度也是相当的好，下次到西安还会住这里。', '短评打分': 5}
{'短评内容': '这是第一次在这个店住 前台态度不怎么样 尤其是在办完check in不告诉我房号也不告诉我电梯在哪里 到最后我还是看别的客人从哪出来自己找的电梯 这点感觉真的不是很好', '短评打分': 5}
{'短评内容': '作为自驾游，不能有一个固定而放心的车位实在是件悲催的的事。天天早上看到为车位的事楼下在吵架，另外由于过于靠近市中心，消耗在路上的时间也实在太长了些，不如选择靠外一些的。', '短评打分': 1}
{'短评内容': '已入住，条件满意，谢谢。', '短评打分': 3}
{'短评内容': '这个酒店的房间还是比较大的，是最大的优点，房间比较干净，整理感觉不错。但是地理位置有点不好找，找了好久才找到，是缺点。\n\n总体而言还是比较好的', '短评打分': 5}
{'短评内容': ' 酒店服务不错，很干净', '短评打分': 3}
{'短评内容': '房间内很干净，设施齐全，服务态度很好，住的比较舒适', '短评打分': 5}
{'短评内容': '相当干净整洁，位置也不错，价钱还能接受吧，反正不便宜……', '短评打分': 5}
{'短评内容': '服务满意、卫生良好、位置优越、价格合理。推荐！', '短评打分': 5}
{'短评内容': '服务满意、价格合理、卫生良好，位置优越。', '短评打分': 5}
{'短评内容': '这个季节，这个价位，这个地段，这种服务的酒店，在西安性价比较高。', '短评打分': 5}
{'短评内容': '位置挺好的，但就是有一点点小难找，离骡马市很近。离钟鼓楼也很近。\n房间挺干净舒适。', '短评打分': 5}
{'短评内容': '闹中取静，交通方便，只是隔音有点差，有网线，没有可供上网的电脑。', '短评打分': 5}
{'短评内容': '比较干净,服务态度也好,早上七点去了就有房,不用等到下午两点', '短评打分': 5}
{'短评内容': '酒店清洁、干净。有一小学在附近，我们如住时正在放假，所以很安静。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '位置不错，还算干净。。。............', '短评打分': 5}
{'短评内容': '很舒适。\r\n李建忠', '短评打分': 3}
{'短评内容': '房间整洁,床比较宽.服务员的态度也很好.就是位置太偏了,而且我也没见到宾馆的路标.不过这次认识地方了,下次来西安还住.', '短评打分': 3}
{'短评内容': '房间比较宽敞，窗户面向小学，放假了，很安静。从机场坐大巴到钟楼，直行到南大街，向右走第二个路口到东木头市，直走第三个路口就到。', '短评打分': 3}
{'短评内容': '总体还是不错的。洗澡水很舒服，房间也比较安静。楼下夜市很繁华。不足之处是设施稍显陈旧，最后一天电梯还坏了。特别提出，有一天服务员居然没有打扫房间，累了一天，晚上回去很是不高兴。', '短评打分': 5}
{'短评内容': '一如既往的如家,没有批评,也没特别要表扬的', '短评打分': 5}
{'短评内容': '推荐的原因是因为比较便宜，交通也还好，就是位置不好找，很不好找，google地图上也没有，不好查到。另外侧门开着，是一个安全隐患', '短评打分': 5}
{'短评内容': '不错  如家一向不错  但房子小了点  不过还是推荐', '短评打分': 5}
{'短评内容': '交通便利，楼下有个李鹏烤肉还卖早餐，不错，就是前台服务不好。建议心理承受能力不好的人不要去。', '短评打分': 5}
{'短评内容': '房间空气有异味，服务还可以', '短评打分': 3}
{'短评内容': '交通，住宿条件满意，店员对周边交通不熟悉，有待加强培训', '短评打分': 5}
{'短评内容': '房间大.干净整洁，服务热情.浴巾毛巾不干净还有味.临近第八中学.早上做操特别嘈.', '短评打分': 3}
{'短评内容': '周围晚上吃宵夜的地方很多，距离秦豫肉夹馍走路也很近', '短评打分': 5}
{'短评内容': '很好很好，很小，距市中心很近，但是挤在小胡同里面超级难找，到时门口有很多好吃的，不错的地方', '短评打分': 5}
{'短评内容': '还不错、、、、、、、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '·······························································不错', '短评打分': 5}
{'短评内容': '房间内地板有灰尘死角，洗手间台面有水渍，地砖有污垢。12月24日晚上10点多才入住，房间里温度不是一般的低，暖气的温度只能用“不冰手”来形容，空调开到30度，高风吹了一夜，盖了2床被子，居然没感觉到热！\n第二天特意把房卡留在房间里取电，空调继续30度吹了一天，晚上回来终于觉得房间里有点热气了，鼓起勇气洗了个澡，然后被告知吹风机已经借光了，崩溃——很彻底！', '短评打分': 1}
{'短评内容': '离钟楼很近 出行方便 尤其是吃饭方便 有许多小吃 大力推荐 住的很舒心！！！！！！下次去西安 还会选择住这里！！！', '短评打分': 5}
{'短评内容': '离碑林博物馆比较近，走路十几分钟就到了（随便推荐一下碑林博物馆，真的很值得一去）。酒店对面有小饭馆，晚上可以吃东西，也比较方便。唯一不足是，酒店房间的卫生可以改善，地面比较脏。', '短评打分': 5}
{'短评内容': '+西安如家碑林店房间干净,很满意.', '短评打分': 5}
{'短评内容': ' 感觉还行', '短评打分': 5}
{'短评内容': '位置不算太好找，不过酒店对面吃的很多，各式宵夜', '短评打分': 5}
{'短评内容': '总体不错 标准的连锁式  地理位置不错 门口小摊很多 就是被罩让人看着不舒服  感觉旧旧的', '短评打分': 5}
{'短评内容': '位置 很方便 离鼓楼近， 而且周围小吃多，吃饭也很好，就是稍微有些吵 不过完全值得住！', '短评打分': 5}
{'短评内容': '房间干净整洁，位置绝佳，周边小吃众多。房间隔音不太好，环境比较嘈杂。', '短评打分': 5}
{'短评内容': '服务态度非常之好 环境也很好 离东大街很近 唯一的缺憾是不好找 ', '短评打分': 5}
{'短评内容': '交通表利，只是大床间较小，比较压抑，总体还可以。', '短评打分': 5}
{'短评内容': '去景点还是挺方便的，比如钟楼鼓楼之类的，服务人员很热情，还给我推荐了哪里好玩呢', '短评打分': 5}
{'短评内容': '酒店位置不错，离火车站比较近，楼下还有夜市，房间设施也比较齐全，下次还会住', '短评打分': 5}
{'短评内容': '位置还是不错的，楼下小吃很多，周边交通比较便利，整体感觉价格也比较合适。', '短评打分': 5}
{'短评内容': '这家酒店可以满足我的爱好－－坐公车，呵呵，去门坐公交很方面，而且购物也很方便呢', '短评打分': 5}
{'短评内容': '房间面积挺大的，也很干净，按经济型的标准来衡量算不错的啦，很满意的', '短评打分': 5}
{'短评内容': '酒店在西安闹市区，旁边有好多卖小吃的，很有特色，我最喜欢这点了，呵呵', '短评打分': 5}
{'短评内容': '觉得服务比较不错，房里的布局和设施都很温馨，只是稍有些不好找，打听一下就好', '短评打分': 5}
{'短评内容': '里面的环境还是比较卫生干净，房间的话设施都挺简单挺实用的，位置第一次还不是很好找比较偏如果熟悉之后这个位置还是挺不错的附近交通还是挺方便，价格还算比较适中但是当时五一的时候价格还算比较高了，其他的都还不错，这家酒店总体看起来还是很不错的。', '短评打分': 5}
{'短评内容': '这家如家环境硬件设施都还不错，卫生服务也很好。平时价格也算是合理适中的，性价比合适的酒店，可以推荐入住！', '短评打分': 5}
{'短评内容': '和一年前相比感觉差了好多了，服务也没有那么好了。打扫卫生也没有以前那么仔细了。不过总体来讲，位置好，出行方便。性价比高。下次去西安还会入住的。', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '\r\n1.酒店地理位置比较好,周边有小吃店,适合出游.\r\n2.酒店今年新开业,装修新,环境舒适,房间配套也考虑到游客的需求,比较人性化.\r\n3.感觉有个小缺点就是:房间没有设置吹风筒,如果能完善就更加美满了.\r\n4.房价稍微过高.', '短评打分': 3}
{'短评内容': '我很喜欢这家酒店,地理位置非常好,离市中心很近,出行都很分,而且酒店也是新开业的很干净,住着很舒适,如果价位能再低点就更好了.', '短评打分': 3}
{'短评内容': '如家的大床，是其他酒店不能比的，放松`', '短评打分': 5}
