{'descr': '房间设施旧了，有异味。早餐是地下小馆子。', 'star': 1}
{'descr': '酒店的位置很好，侧对古运河，过一条马路就是东关街，附近有66路车到达何园、个园、大明寺、瘦西湖非常方便，卫生条件还不错，性价比非常高！', 'star': 5}
{'descr': '交通便利，环境不错', 'star': 5}
{'descr': '地理位置很方便，总体来说还是很超值的~', 'star': 5}
{'descr': '   选择这家酒店是因为之前在南京时住过，感觉比较好，但显然这次的这家与南京有差距，房间墙壁有破洞，就只用一幅纸画遮挡，没有电吹风，房间也比较小，卫生间很大，但淋浴不是推拉门，占了一点空间，门锁有点问题，下次不会选择了。', 'star': 1}
{'descr': '1，酒店服务一般，特别前台。\r\n2，设施都比较陈旧，淋浴都坏掉了的。\r\n3，位置比想象中的市中心远了点。', 'star': 1}
{'descr': '这家酒店都还不错性价比挺好的，卫生服务也很达标，配置硬件设施都还好，位置出行交通方便，整体来讲算是比较达标的酒店，值得推荐入住。', 'star': 5}
{'descr': '地理位置和服务都不错哦', 'star': 3}
{'descr': '地理位置很好，服务也不错。', 'star': 5}
{'descr': 'VERY GOOD!', 'star': 3}
{'descr': '酒店还算是很干净，比之前一次干净多了，服务态度也是很好。', 'star': 5}
{'descr': '下次还会选择这里.', 'star': 3}
{'descr': '位置非常好，在古运河旁边，晚上可以去大东门街逛逛', 'star': 5}
{'descr': '整体感觉不好，服务质量差，居然毛巾都没有放，找总台虽然解决了，可见管理差。没有市话，开通居然要4毛一分钟，快赶上手机漫游了！没有放衣服的袋子、没有洗澡的塑料拖鞋，感觉真的很不好。', 'star': 1}
{'descr': '每次来扬州都会选择这家酒店。', 'star': 5}
{'descr': '可以看到运河夜景，不错。', 'star': 5}
{'descr': '硬件有待提高。', 'star': 5}
{'descr': '整体感觉不是很好，床确实很大，但是房间很小。', 'star': 1}
{'descr': '算是很不错的一家了', 'star': 5}
{'descr': '性价比相当高。', 'star': 3}
{'descr': '感觉很值，位置也不错，走走就到东关街那边了，晚上也挺安静的。新装修了吧，感觉不错。', 'star': 5}
{'descr': '很舒服', 'star': 5}
{'descr': '在外面住，讲究的就是卫生问题，该酒店卫生问题没话说，非常好，环境设施也不错，值得推荐', 'star': 5}
{'descr': '还不错，床单很干净，就是被子有点嫌冷了', 'star': 5}
{'descr': '感觉不是很好，选择失误了，总结两点吧：1，房间太小，我定的是大床房B，183元，房间小的可怜。2，卫生搞得很不到位，主要是卫生间卫生。', 'star': 1}
{'descr': '离市中心太远，不是他们说的500M，2500m差不多。\r\n', 'star': 1}
{'descr': '还行吧，比较宽敞，卫生也还不错，就是态度有点冷而已', 'star': 5}
{'descr': '位置一般，离商业中心有点距离', 'star': 5}
{'descr': '大冬天的，酒店空调居然是间歇性工作的，冷死了。\r\n洗澡水也不热，还从淋浴房漏水！\r\n房间虽然打扫还可以，但是房间墙壁什么的看上去很脏！', 'star': 1}
{'descr': '毕竟是老酒店了，做得很不错了。', 'star': 1}
{'descr': '硬件设施不好，空调制热不好，冻了一夜，床太硬，总体还不错', 'star': 5}
{'descr': '总的来说这家酒店还行。', 'star': 5}
{'descr': '酒店设施有些陈旧，不是很舒服', 'star': 1}
{'descr': '房间小了点，有点压抑，但是性价比还是比较高的。服务态度也不错', 'star': 5}
{'descr': '豪华套房，设施还不错，看得出用心和诚意哦。不过就是房子有点旧，朝向也不太好，窗户更是小得可怜。。。套房的电视、网线都在房间里，小厅里只有沙发和很多插座。。这个布局不是很合理吧。\r\n不过总体来说，性价比可以。', 'star': 5}
{'descr': '就在大运河边，也算得上景观房。洗漱和床都蛮舒服的，就是灯光差点，空调噪音大。', 'star': 5}
{'descr': '设施还算可以，卫生也行。不过存在安全隐患，入住当晚半夜时分被不明女子野蛮叫门，严重影响休息。', 'star': 1}
{'descr': '早餐不好，品种不多', 'star': 5}
{'descr': '还行。', 'star': 5}
{'descr': '位置不错,离市区很近', 'star': 5}
{'descr': '价格适中，服务非常好。可是装修有点旧了。', 'star': 5}
{'descr': '服务还算OK  住在不靠马路一边  还是比较安静的  在城东算交通方便的', 'star': 3}
{'descr': '房间还算大，但是连个挂衣服的衣柜都没有，空调象个抽风机声音太大了，免费的宽带除了上QQ，网站根本开不开，有和没有差不多。住了三天说是送双早，除了第一天入住时给了两张早餐票就再没给过了，不去要也不会主动给。头一天因为没房给安排了一个带麻将桌的房，说是第二天给换，第二天就没有下文了。住了第二天就想换地方，想想只住三晚，怕麻烦也就算了。', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '我觉得酒店实在不怎么样，房间小，很不舒服，而且他卫生间的毛巾感觉也很不舒服，这样的设施价格不成比例，就是离我办事地方近，其他都不怎么样。', 'star': 1}
{'descr': '环境挺好的，而且服务人员的态度也比较热情，价格也经济，我和朋友一起住，都感觉很好', 'star': 5}
{'descr': '酒店的设施还是挺新挺齐全的，地理位置也不错交通挺方便的，服务态度不热情不主动。', 'star': 1}
{'descr': '挺好的，服务很不错，出行也很方便', 'star': 5}
{'descr': '我是3月28日入住格林豪泰酒店的，以前没有住过，但是听说过好像还不错，我住的是单人大床房，床的确还不错，蛮大的，很舒服，就是房间空间有点小了，不过网速还蛮快的，感觉环境还不错，蛮干净的，离个园还比较近，不过不行也要十几分钟，离市中心打的就起步价吧。酒店服务还不错，我记得那天下雨的，我外出的时候向服务员借伞，服务员二话没说拿了把给我，我一出去结果发现是坏的。。然后我又换了把伞，在外走了会发现那伞会自', 'star': 3}
{'descr': '硬件还不错,只是地理位置貌似不怎么好,出行不便', 'star': 3}
{'descr': '我十分喜欢格林,经济型的价格却有不错挺舒适的享受,可是CHECK IN CHECK OUT的速度实在太慢了，由于我房间少了一副拖鞋,让前台送来 ,一个保安送来了，脸很臭!!!很讨厌!!!', 'star': 3}
{'descr': '酒店的地理位置就在古运河边,扬州城本也不大,到哪大多只要7元起步费.但网上的房间面积描述与实际相差很远。入住的豪华大床房，网上说有22平米，实际最多17平米。卫生间够大，床也够大，但除了这些以外连转身的地方都没有。还从未住过这么小的大床房，和上海的格林泰豪没法比。下次绝对不会入住，我也奉劝各位不要入住。扬州已有莫泰168，大家可以去哪里', 'star': 1}
