{'短评内容': '很好，很快，很给力！', '短评打分': 5}
{'短评内容': '酒店位置远离市区，距离高速口很近，适合过路。很安静。对面的大广场不错。早餐有点拥挤。', '短评打分': 5}
{'短评内容': '非常气派的酒店，应该是本溪地标建筑。房间宽敞明亮，窗外风景怡人，早餐丰富！大床房适合三口之家，可惜大床房赠送单早餐。', '短评打分': 3}
{'短评内容': '设施较好，房间大。淋浴的水不太热，略遗憾！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '第二次入住酒店没想到同样价格的房间居然和第一次的不一样。比前天入住的房间小了很多，卫生间没有了淋浴间了。问前台后才知道上次住的是高级单间。电视台还是少的可怜，而且还有好几个频道是黑白的。但值得推荐的是房间干净整洁，空调也很好。', '短评打分': 5}
{'短评内容': '酒店设施新，房间宽敞、干净，床也很舒服，性价比很高。酒店服务态度不错。早餐种类虽然不是很多，但做的味道很好。值得推荐。不足是电视节目太少了。', '短评打分': 5}
{'短评内容': '五星的硬件,无星的软件.\n不要求服务的话,这个酒店还是不错的.', '短评打分': 5}
{'短评内容': '打车稍微有些不方便，其他还算可以，尤其早餐不错。', '短评打分': 5}
{'短评内容': '价格还算可以不贵。设施也还算齐全。就是酒店好像没有自己的接待车。四、五星级标准的酒店应该都有的。我住的房间窗户被锁上了打不开。如果有机会再去本溪应该还会住这。', '短评打分': 5}
{'短评内容': '在外乡工作会家乡探亲住进这样的酒店很自豪，服务热情方便，存车方便，离高速出口很近，具有五星的质量。下次回本溪还来这里住。', '短评打分': 5}
{'短评内容': '值得推荐的本溪酒店，性价比高，舒适安静，服务热情，代表了本溪地区酒店业的高端形象。', '短评打分': 5}
{'短评内容': '性价比非常高，就是前台不会微笑，房间很好啦~', '短评打分': 5}
{'短评内容': '酒店硬件非常不错，价格便宜，性价比非常高', '短评打分': 5}
{'短评内容': '性价比高，就是马桶有些问题。服务挺好，估计能很快修好。', '短评打分': 5}
{'短评内容': '除了电视效果不好以外，别的都 很好。一会在来本溪一定会再次光临', '短评打分': 5}
{'短评内容': '挺好的。干净，整洁，就是不是太方便，常常要打车出去吃饭，购物。', '短评打分': 5}
{'短评内容': ' 硬件、环境都不错,性价比高,推荐入住', '短评打分': 3}
{'短评内容': '酒店很不错！早餐很赞！服务素质总体很高！可惜个别不服务员不怎么样，尤其是前台服务态度很冷淡，不是很热情，大有爱住不住的感觉。号称申请五星级的酒店难道上岗之前不需要培训吗。连基本的微笑都没有。板个老脸跟我欠她钱一样。本来预订的是高层，结果到了之后居然告诉我是3楼。我就先不跟她计较了，交钱领房卡。上楼门居然打不开，我气愤的下楼理论，她居然教我怎么用房卡，真是把我当农村人看一样。气的我带着她上楼去让她开', '短评打分': 5}
{'短评内容': '还可以，设施不错，床品不是很舒服。sssss', '短评打分': 5}
{'短评内容': '酒店硬件，服务都不错，290的价格也可以，但是特价房没有网络这个不好，如果房价里含早餐就性价比很高了', '短评打分': 5}
{'短评内容': ':非常好.', '短评打分': 3}
{'短评内容': '这个酒店很好~ 提个小建议，早餐时间能否提前到6：30呢？', '短评打分': 5}
{'短评内容': '酒店不错，开车更方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店装修风格很好，价钱也很合理，而且屋子也很干净，服务态度超棒\n 上次我没带充电器，服务员给我跑了2躺 帮我取的万能充，', '短评打分': 5}
{'短评内容': '酒店各方面条件都很好', '短评打分': 3}
{'短评内容': '酒店不错，环境很好，屋子里面暖和~\n很舒服，值得推荐', '短评打分': 5}
{'短评内容': '很好,留给我回忆的地方,未来会见证我的爱情', '短评打分': 5}
{'短评内容': '装修还不错，床被一搬，不性价比高，下次还会入住', '短评打分': 5}
{'短评内容': '不错的酒店.好象在申请五星.在当地算最好的啦价格也好', '短评打分': 5}
{'短评内容': '很不错  性价比很高  远看有点像帆船酒店呢~呵呵。在本溪应该算数一数二的了吧~', '短评打分': 5}
{'短评内容': '非常超值!环境价钱服务都很好,而且我住的河景房很美!', '短评打分': 5}
{'短评内容': '非常好的酒店，环境和设施都特别完善，服务也很好。推荐！下次还会去！', '短评打分': 5}
{'短评内容': '酒店紧靠太子河\u3000景色不错\u3000大堂相当气派\u3000床也很舒服\u3000房间按假日酒店的标准装修的\n卫生间我看比一般的假日还要好\u3000是我这次十一自驾', '短评打分': 5}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '0总体硬件还不错 只是软件服务需要加强 ', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '应该接近四星标准，开车入住方便些，有浴缸的房间没浴帘。', '短评打分': 5}
{'短评内容': '值得推荐!!!', '短评打分': 5}
{'短评内容': '很不错，性价比很高。本溪不大，开车到哪都很方便。', '短评打分': 5}
{'短评内容': '房间很好，看到太子河。但是。。。。。。酒店服务太不规范了！\r\n1/ 我身份证在办别的事情，所以近来都用护照，但是前台说中国人不能用护照入住。在任何酒店我都没遇到这样的情况，更何况乘机我都用的护照。前台非常小农意识。\r\n2/ 换汇，要等非常非常长的时间，还是我坚持要换，否则就没钱了。才答应可以换。\r\n3/ 在酒吧消费，结帐的账单要在商务中心打印，等了快20分钟才有账单！\r\n4/ 早餐做的也很没水准！', '短评打分': 1}
{'短评内容': '这家酒店从外部看不太起眼， 进去之后感觉内部装修还挺不错的，让人感觉挺舒适的，房间里唯一不足就是洗手间排水不畅通。隔音效果也不是很好。酒店离高速口挺近 离市区稍微远点，但是也还可以 整体感觉性价比还不错。', '短评打分': 5}
{'短评内容': '位置还行下了高速就能看到酒店，房间的硬件设施都还行，但是我是感觉像软件服务方面还是需要加强一下，酒店的价格还是能接受的也不是很贵，性价比总体来说还是挺不错的。', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '在当地来讲酒店还可以了.', '短评打分': 3}
{'短评内容': '酒店设施很新，非常舒适，坐落在河边，清晨和夜景都非常好看。酒店的早餐很丰盛，但88元每位的价格略显贵', '短评打分': 5}
{'短评内容': '各方面条件都不多错，值得一住。', '短评打分': 5}
{'短评内容': '酒店还是挺满意的，环境不错，位置也方便，要是价格能在低点就更好了 ', '短评打分': 5}
{'短评内容': '还算可以', '短评打分': 5}
