{'短评内容': '从来没住过这样的酒店，卫生差，态度差，', '短评打分': 1}
{'短评内容': '我没有住但是进去看了看。很不错的 周围环境很好', '短评打分': 5}
{'短评内容': '酒店很干净，不错，价格也便宜，离清水湾有点距离不止500米呵呵', '短评打分': 5}
{'短评内容': '酒店还是比较实惠，和温泉也不远，就是热水不够热，早饭要赶早吃', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '离开清水湾温泉很近，相对于清水湾的住宿价格，这里的性价比是绝对高的。但是其他的也不能奢求过多了，早餐和其他服务只能勉强凑合，如果对早餐要求不高，出门在外自驾旅游的人来说这里的性价比还是不错的。', '短评打分': 5}
{'短评内容': '感觉不错很干净很舒服', '短评打分': 3}
{'短评内容': '一般吧，挺干净的，但由于是过年期间去的，价格太高', '短评打分': 5}
{'短评内容': '房间不错,很静,设施很齐,饭菜也可以,很实惠,步行到清水湾温泉也就15来分钟.', '短评打分': 5}
{'短评内容': '还比较方便,离清水湾温泉较近.只是周边比较冷清.', '短评打分': 3}
{'短评内容': '还行，实惠又方便~~~~\n交通有点不方便', '短评打分': 5}
{'短评内容': '酒店本身设施其实还可以，但还是推荐住在县城。可能入住是因为春节的时候，天气冷，四周景色显得很荒。离清水湾.沁温泉距离也有一段。', '短评打分': 1}
{'短评内容': '干净，环境好。', '短评打分': 3}
{'短评内容': '离清水湾温泉山庄十分近的一家酒店，由于是刚刚开业，各项基础设施都很新，价格也比较合理，推荐。', '短评打分': 5}
{'短评内容': '不错，特别是楼下的餐厅价廉物美。房间不能靠电梯太近，因为电梯是老式的，声音比较闹。', '短评打分': 5}
{'短评内容': '看错了 到了之后才发现 环境还好……………………', '短评打分': 5}
{'短评内容': '总的来说还不错，就是白天的时候水不大热，性价比高的', '短评打分': 3}
{'短评内容': '不错哦，经济实惠，比较有性价比的一所酒店离温泉500米。', '短评打分': 5}
{'短评内容': '新开业不久，隔音效果差，离街道太近了早上汽车声音响，早餐样数少。', '短评打分': 1}
{'短评内容': '酒店其他各方面都还不错,就是前台服务员不太专业,CHECK IN 和CHENK OUT的速度很慢.', '短评打分': 5}
{'短评内容': '离清水湾温泉很近，步行十几分钟就到，房间设施还不错', '短评打分': 3}
{'短评内容': '酒店离温泉很近，最值得推荐的是酒店的餐厅，那里的菜真的很好吃，而且量足，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '+房间很干净，位置有点偏，适合自驾', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '真的不错！！服务也超级好。。。下次还回来', '短评打分': 3}
{'短评内容': '+挺不错的,店员姐姐超级好的!离温泉很近支持', '短评打分': 5}
{'短评内容': '不错，可以接受。特别楼下的餐厅价廉物美。离郭洞，清水湾都很近！', '短评打分': 5}
{'短评内容': '酒店位置不错，工作人员态度认真，服务周到，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店离清水湾不算远，房间设施齐全，蛮好的。', '短评打分': 5}
{'短评内容': '有提供早餐，不过不是自助形式.周边交通不太方便，位置有些偏.其它各方面还不错.', '短评打分': 5}
{'短评内容': 'gfgfg', '短评打分': 5}
{'短评内容': '这酒店性价比超好，就在清水湾温泉斜对面，对于自驾来泡温泉的游客来说是再合适不过了。', '短评打分': 5}
{'短评内容': '卫生间浴室设计不是很合理，位置比较偏僻，早餐品种太少', '短评打分': 1}
