{'短评内容': '没有停车场', '短评打分': 3}
{'短评内容': '位置方便，周边设施齐全，房间大，卫生也很好，装修够得上4星级，价格是真的实惠。\n不足的地方是内部没有中餐厅，吃饭不太方便，再就是房间临街的话有点吵。', '短评打分': 5}
{'短评内容': '环境很好   视野很好   早餐自助   性价比很高  ', '短评打分': 5}
{'短评内容': '酒店很新，装修还可以，卫生不错，但内部没有餐厅，不算太方便。\n普通标间的话有点吵，豪华间好一些。\n不过价格真的便宜。', '短评打分': 5}
{'短评内容': '酒店很新，有装修的味道，房间很宽敞，但是晚上有点吵，价格便宜，总的来说还不错。', '短评打分': 5}
{'短评内容': '价格便宜,房间新，够大，服务好，早餐品种多，就是挨着马路有点吵。\n', '短评打分': 5}
{'短评内容': '非常不错的酒店 诚实推荐 我下次还会住', '短评打分': 3}
{'短评内容': '非常好，刚刚装修过，附近也有很多酒店都去看了，但设施实在不敢恭维，这间性价比相当高，虽然位置有点偏，但基本能达到4星的水平~', '短评打分': 5}
{'短评内容': '房间简洁干净，可惜竟然没有送瓶装水。洗漱用品还是挺好的。早餐是个败笔。淡水的服务一向一般。', '短评打分': 3}
{'短评内容': '价格便宜！里面配置还挺高\n早餐有点寒酸\n酒店外面吃饭也不方便', '短评打分': 5}
{'短评内容': '＋房间新，位置方便，性价比高，服务还有待提高', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '不错，面积很大', '短评打分': 3}
{'短评内容': '＋房间宽敞，价格便宜，不错', '短评打分': 3}
{'短评内容': '性价比很高，房间也很新，不错', '短评打分': 3}
