{'短评内容': '位置好，但早餐很一般', '短评打分': 3}
{'短评内容': '价格很公道，酒店很新，三星以上的标准，沐浴水量很大，住着很舒服，会推荐给同事住！', '短评打分': 5}
{'短评内容': '不知道原来协议价可以更低的。。\n条件还不错\n因为要早早出行\n就没有吃早餐\n。。。。。。\n。。。。。。\n4星级？真假？', '短评打分': 5}
{'短评内容': 'good。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。good。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '满意\r\r\r', '短评打分': 3}
{'短评内容': '酒店位置很好,服务也很周道,但是有点冷,还是可以推荐的', '短评打分': 3}
{'短评内容': '希望还不错………………………………………………………………………………', '短评打分': 5}
{'短评内容': '酒店较新，设施较齐全，但旅游旺季，价格较高，性价比不高。', '短评打分': 5}
{'短评内容': '非常不错的酒店。下次希望还能来入住，强烈推荐', '短评打分': 5}
{'短评内容': '酒店各方面还可以，毕竟在大连，感觉还行，还会入住', '短评打分': 5}
{'短评内容': '帮外地来玩的亲戚订的。听他们说床小了点，早餐不好，服务也不好，不够4星酒店标准。', '短评打分': 1}
{'短评内容': '我订的是标房，床可以，房间环境还不错，我订了三间。早餐不行，不是四星应有的，肉都看不到，品种太少了，就五、六个菜，二样粥，几种馒头，建议要好好的改进。', '短评打分': 5}
{'短评内容': '综合来看还不错。但是不巧酒店在升级门卡系统，门卡不能用，开门要叫服务员。希望酒店尽快把系统升级好。', '短评打分': 5}
{'短评内容': '早餐丰富，酒店位置佳，服务态度优良，就是楼层房间数太少了。', '短评打分': 5}
{'短评内容': '不错，位置比较方便，酒店环境也很好。还赠送两份早餐，就是价位有些小贵……', '短评打分': 5}
{'短评内容': '没有前台，没有客房服务，卫生用品匮乏，性价比很差', '短评打分': 1}
{'短评内容': '酒店服务不错，到了没标准间就给免费升级到豪华间，酒店位置交通方便', '短评打分': 3}
{'短评内容': '新开没多久的酒店，价格适中，270的单间，设施设备都比较新。\n听出租车司机说，旅游季节可住不了这么便宜的价格（我是1月份住的）\n早餐一般般，作为一家餐饮为主的酒店应该可以把早餐做好点', '短评打分': 5}
{'短评内容': '房间很大,电视机很新,早餐一般,不是很丰富,交通便利,到星海广场8元起步费就行.', '短评打分': 5}
{'短评内容': '优点:\n    酒店前台服务态度比较好,客房很干净,房内设施很新且比较齐全,电视是大屏液晶的,躺在床上看非常舒服,早餐种类很多,口味也不错;\n缺点:\n    很多同类酒店都提供2瓶免费的矿泉水,这次入住的房间是没有的;\n    房间内有一桶收费的3L装饮用水,开封视为启用,入住时已经发现开封了,就没当回事,结账时被要求付费,经过和前台交涉才免于付费,不知后续客人入住时是否还会有此遭遇?\n    餐', '短评打分': 1}
{'短评内容': '安静房间挺新', '短评打分': 3}
{'短评内容': '整体感觉很好，就是因为酒店比较新，因此电梯里房间里还稍有油漆味道，服务态度很好，卫生人员也认真，值得说的是，谁说他们早餐不好吃的，我觉得挺好，很适合我这种南方人的口味', '短评打分': 5}
{'短评内容': '还不错啊， 又被免费升了级。工作人员太多很好，很温馨', '短评打分': 5}
{'短评内容': '酒店房间挺舒适的，位置挺好的，但热水不太热，有时有点凉，早餐只是中餐，还可以，但没有水果和饮料，只有豆浆和牛奶，酒店的餐厅挺大的，有包房，海鲜做的挺好的，但价格比较贵，自带海鲜加工费非常贵，不太划算。\n总的讲还可以吧。', '短评打分': 5}
{'短评内容': '位置不错在五一路，但是从机场打车过来司机一脸颓丧，可能是离机场较近吧。干净整齐，但早餐实在不敢恭维，连点肉腥都没有。', '短评打分': 1}
{'短评内容': '房间很大，很舒服。', '短评打分': 3}
{'短评内容': '房间整洁,无异味。食府的潮州菜很正宗。早餐一般,没有西餐,与酒店星级不符', '短评打分': 3}
{'短评内容': '还不错。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '没有空调,房间比较凉,应该有空调,建议酒店,但没有回复', '短评打分': 1}
{'短评内容': '酒店很新，出行也很方便，设施不错，但不提供免费水。', '短评打分': 5}
{'短评内容': '酒店位置还可以，规模不大，周边吃饭的地方不是很多。', '短评打分': 3}
{'短评内容': '房间干净、床品新，早餐还可以，花色不多但味道不错。住了3天，有点不爽的是住到最后一天晚上发现当天服务员没有补充新的牙具（一次性的牙具已用过2次就不能再用了，毛都倒了）打电话给客房服务，居然说没有了，要等几天才进货，推荐用房间的收费套装(28元），真好意思说出口，没有一点抱歉的意思。好在通过投诉，最后服务员还是送来了（说明不是真的没有啊），这点要批评一下，节约成本也不能这样啊！', '短评打分': 5}
{'短评内容': '出差去住的 还行，性价比一般吧。硬件还算不错', '短评打分': 5}
{'短评内容': '總體感覺很好，服務員態度很好，房間很舒適，下回還是會去住的', '短评打分': 5}
{'短评内容': '房间太差了。。服务员太牛。。不能去阿。。一定管理观念都没有的酒店', '短评打分': 1}
{'短评内容': '环境很好，硬件，软件都不错，还可以免费上网，性价比很高', '短评打分': 5}
{'短评内容': '，很好啊！下次还来啊！', '短评打分': 3}
{'短评内容': '酒店房间面积可以，隔音好，设施较新，性价比不错，下次还会入住。', '短评打分': 5}
{'短评内容': '不错的酒店,朋友来了住着挺好的,冬季价格挺好,夏天也许就住不起了,呵呵', '短评打分': 5}
{'短评内容': '房间整洁，床很舒适，酒店里的潮州馆子有点特色。但如果是开车去的话，GPS是没有信息的，最好给前台打个电话问一下附近的标志性建筑。', '短评打分': 5}
{'短评内容': '还好，下次还可以考虑！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '感觉还不错，以后还会住这里！！！！！！！！', '短评打分': 5}
{'短评内容': '能以低于300大元的价格入住这间酒店的确不错，附属的潮州餐厅有档次。就是早餐有点遗憾，有待改进。', '短评打分': 5}
{'短评内容': 'I came together with my friend and we both enjoy the stays but one thing I need to point out is the quality of bed. Most of the foreigners would like to have soft beds. Your bed is too hard!!!', '短评打分': 5}
{'短评内容': 'Good hotel with good restaurant. I really enjoy the Chinese food over there.', '短评打分': 5}
{'短评内容': '一連住七天\n乾淨明亮\n整體上還不錯\n地點還不錯離商圈近', '短评打分': 5}
{'短评内容': '服務態度良好 設施新穎   環境整潔\n離羅斯福商圈近~~~', '短评打分': 5}
{'短评内容': '明亮乾淨  設備尚新  服務不錯 浴室排水孔有些阻塞', '短评打分': 5}
{'短评内容': '同等价位中硬件算比较好的，可能是新开的酒店，早餐品种再多些就更好了。总之性价比还是不错，比较干净，交通还算方便。', '短评打分': 5}
{'短评内容': '房间还不错，就是早餐质量不高，没什么可以吃的东西，品种太少了。', '短评打分': 5}
{'短评内容': ' 定的豪华大床免费升极到套房，房间设施新且舒适，卫生间大；大堂小，早餐差。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间装潢不错，大堂比较小，看起来不像四星级宾馆。', '短评打分': 5}
{'短评内容': '感觉酒店各方面还不错，去哈仙岛玩回来又住在了潮悦国际酒店。', '短评打分': 3}
{'短评内容': '大连潮悦国际酒店是一家开业不久的酒店，设施和用品较新，卫生条件较好；服务还是不错的，但服务人员新手较多，服务水平还有待提高；位置较好，交通方便，比较舒适，性价比还可以（大连300元/标准间带双早的酒店不多）。但早餐一般，与28元价格不符（可能大连物价较高），没有咖啡，没有水果，品种与花色都不多，卫生不错，果腹可以，吃好就免谈了。值得一提的是：1.如果旅客7点前离开酒店无法去餐厅吃早餐，酒店应备一份', '短评打分': 5}
{'短评内容': '隔音稍差,服务生打扫卫生时需注意别影响到客人休息,比如走廊里吸尘的时候老撞门.其他基本满意,还会住!', '短评打分': 5}
{'短评内容': '酒店的环境还可以，位置还可以，但是级别还是不够！性价比还是不错的', '短评打分': 5}
{'短评内容': '酒店大堂和显得有些局促，房间卫生和设施还好，早餐花样不多，望改进。', '短评打分': 5}
{'短评内容': '实在不怎么样，酒店设施很新，但是整个很差，也就是经济型酒店的水平，但是还要300多，性价比还不如经济型酒店。\r\n早餐8点半去吃的时候已经全部凉掉了，而且超级烂。\r\n地理位置也不好。强烈不建议入住。', '短评打分': 1}
{'短评内容': '总体感觉还不错，服务热情周到，设施一般，但是卫生条件比较好，下次来大连还住这里。', '短评打分': 5}
{'短评内容': '总体一般吧\r\n价位高设施一般\r\n妈妈评价还好\r\n呵呵呵', '短评打分': 5}
{'短评内容': '装修味道稍浓！但位置好，房间干净，服务也不错，相信以后会更好！', '短评打分': 5}
{'短评内容': '服务热情，房间干净！', '短评打分': 5}
{'短评内容': '酒店位置还不错挺方便出行的,不过就是室内条件不是很好,硬件和软件条件有些不太达标,价格略高,如果在400以下的话还算值得推荐.', '短评打分': 1}
{'短评内容': '环境不错,住宿条件也很好.酒店的餐厅提供的菜品及价位都不是很好.感觉有些不太达标.不过除了菜品及价格之外,其它各方面都不错.', '短评打分': 5}
{'短评内容': '地理位置不错，新装修的酒店卫生还算干净，也很舒适，就是价格偏高，早餐还算可以吧！下次还会选择！', '短评打分': 5}
{'短评内容': '房间很大 但是床有点儿硬 也许是刚装修的关系 能感觉还有甲醛的味道。交通不是很方便。附近去哪里都必须坐车。酒店卫生还是不错，就是洗浴的时候水不是很热。', '短评打分': 5}
{'短评内容': '一个不错的商旅酒店', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 5}
{'短评内容': '床很大，服务也还行，与四星有差距。早餐太差了，根本不是四星标准。建议丰富早餐，418元的房价不至于吃不起一顿早餐。', '短评打分': 5}
{'短评内容': '酒店设施很新，服务也不错。可能是旅游旺季，价格偏高。', '短评打分': 3}
{'短评内容': '新开的酒店，机场打车过来20块，就是酒店招牌不太明显，司机一路问具体地址。', '短评打分': 5}
{'短评内容': '服务和卫生很好，位置不错，酒店设施很新。早餐一般，人多时就没东西吃了。', '短评打分': 5}
