{'descr': '不不错错，挺好的，被子有点薄，网络不好！别的还可以', 'star': 5}
{'descr': '挺干净的，就在血液病研究所对面。对于看病的人来说很方便。前台的小姑娘服务态度不错。就是卫生纸给的太少了。这个价格是含早餐的价格就更实惠了。', 'star': 5}
{'descr': '以前就住过这家酒店。位置好，出行方便，价格也还行，在天津属于中等价位。大床房都靠窗，比较吵，在路边。其他都还好。', 'star': 5}
{'descr': '天津市旅游地图上没印如家南京路店在地图上找半天没找着说是免费上网屋里没安电脑怎么上网', 'star': 3}
{'descr': '房间很小，但是交通位置不错,临街略微有些吵。', 'star': 5}
{'descr': '整体还不错 交通便利 房间采光卫生都还好 唯一缺点就是因为紧临大街太吵 对睡眠有些影响', 'star': 3}
{'descr': '因为在天津这里比较方便，快捷服务还可以所以我们选择如家快捷酒店', 'star': 5}
{'descr': '整体感觉不是很好，特别是房间的硬件条件上不是很好', 'star': 1}
{'descr': '酒店服务不错 如家连锁酒店无论我去哪肯定都是首选 ', 'star': 5}
{'descr': '不错，很干净，确实有种家的感觉，设施齐全，服务态度也很好！对面就是血液病医院，位置顶好！', 'star': 5}
{'descr': '位置不错，临马路，就是略微有点吵，出行还算方便。', 'star': 5}
{'descr': '干净整洁，服务员看上去很专业，很体贴。非常好的感觉', 'star': 5}
{'descr': '还行吧！价格不贵，就是大路边上，有点小吵，但还能接受了。', 'star': 3}
{'descr': '酒店不错，就是早餐不免费，离血液病研究所很近。', 'star': 5}
{'descr': '服务周到，工作人员很好，距离滨江道很近，住过好几次了，嘿嘿', 'star': 5}
{'descr': '总的来说很不错，屋子虽然小了点，但是该有的东西都有，洗澡非常舒服，地理位置也很不错，离滨江道走路10分钟。\n不过唯一觉得不是很完美的地方，就是屋内卫生稍微有点差，洗手间毛巾都有点黑了，被子也稍微有点异味，不过我有自备毛巾，所以这点无所谓了\n整体能打4分（5分满分）', 'star': 5}
{'descr': '位置离我办事的地方非常近，交通便利，就是房间小！', 'star': 5}
{'descr': '我住的普通大床，一个人住还行，两人住太小！网速较差！服务还可以！', 'star': 1}
{'descr': '房间可以，只是入住的时候房间还没收拾好，然后工作人员收了好久。。。\n地理位置很不错，就在地铁旁边，而且走15分钟就到天津最繁华的购物区。', 'star': 5}
{'descr': '非常好，第五次住了！', 'star': 3}
{'descr': '环境不错，交通方便，出去逛街也方便，价格合理，下次还会来', 'star': 5}
{'descr': '住过哈尔滨、沈阳、长春、太原、呼和浩特、包头、厦门等多个城市的如家，这家给我感觉是最差劲的，洗浴用毛巾很脏、喝水的茶杯里面还有灰尘，都怀疑没打扫，毕竟是加盟啊。为了省钱啊，还有早点啊，是遇到的如家里面最差劲的！', 'star': 1}
{'descr': '酒店很干净，服务很好。下次还会入住。位置也不错。', 'star': 5}
{'descr': '挺好的,环境很不错.服务也很好.周围也特别方便.给好评', 'star': 5}
{'descr': '比较新，环境不错，地点距离滨江道商业区近，就是临南京路的一侧有点吵', 'star': 5}
{'descr': '房间设计不错，就是偏小，在路边的位置，晚上太吵', 'star': 5}
{'descr': '虽然隔音效果不太好 但是交通方便 不方便的是没有吹风机 希望可以改进', 'star': 5}
{'descr': '总体不错，就是电脑等贵重物品没地方寄存。', 'star': 5}
{'descr': '周边还算热闹，离古文化街较近，不过去时太晚了都关门了。', 'star': 5}
{'descr': '很好的服务！', 'star': 3}
{'descr': '不错，只是临街那边的有点吵。比如，“三星手机给您带来的无限乐趣；三星手机将有一款适合您，欢迎您选购！”这样的噪音有点让人心烦。', 'star': 5}
{'descr': '住了很多次，总体不错。但有个前台的服务员服务稍逊色些，比较遗憾。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '  温馨,整洁,服务态度好,地理位置也不错,是个不错的快捷店。如果能再添几个衣架，增加一个肥皂盒就更理想了。', 'star': 3}
{'descr': '位置不错，恩，卫生干净，服务态度也很不错，觉得大堂经理有点凶，以下是我的建议：肥皂用完后没有皂盒可以放，衣架不够，房间比较紧凑。其他的呢！暖气是相当的给力，下次还回来。总体很不错~继续加油哈。', 'star': 5}
{'descr': '非常好。', 'star': 3}
{'descr': '很不错的地方，里滨江道很近，附近还有海光寺家乐福，买东西吃饭都很方便', 'star': 5}
{'descr': '周围环境太乱了，一整晚都没睡好，做卫生的服务人员素质太差，说话的声音很大，打扰休息，隔音效果不是很好，晚上从外面回来，从楼道里经过都是女性朋友们发出的爽快的呻吟声。。。', 'star': 1}
{'descr': '服务还可以，基本满意。 就是房间有点小，别的没什么了', 'star': 5}
{'descr': '地理位置不错，逛街挺方便的，楼底下就是地铁一号线，在房间里面会听到地铁通过的时候发出的轰轰隆隆的声音，影响休息\n', 'star': 5}
{'descr': ' 环境还好 就是晚上有点吵 晚上水不太热', 'star': 3}
{'descr': '房间很小，但是很温馨。不过电视节目比较少，呵呵。洗澡间的热水很好，交通四通八达，天津的CBD中心区，非常不错，性价比高', 'star': 5}
{'descr': '如家真是越来越差了，以后，万不得已不住如家，请各位选择其他快捷酒店入住吧。', 'star': 1}
{'descr': '套房还不如标准间呢 南京路边 繁华地带 交通方便\n就是汽车旅馆了', 'star': 5}
{'descr': '不错，就是房间感觉上小了点，卫生间洗澡时水容易溅出来。。', 'star': 5}
{'descr': '南京路如家，住了一天半，整体都不错，满中不足的是屋内有暖气管道，不停地有流水的声音，影响休息，希望下回入住的时候不要再住这样的房间', 'star': 3}
{'descr': '很温暖，不开空调都很暖和，网速还不错就是有线的，总体不错，性价比挺高的，自己花钱住酒店的话是个不错的选择', 'star': 5}
{'descr': '酒店位置不错，距离商业中心挺近。卫生也不错，距离天津市血液病研究所特别近，看病方便。', 'star': 5}
{'descr': '就是网速慢了一些，还有窗户的隔音不好，晚上外边的车比较吵。。其他的都很好。', 'star': 5}
{'descr': '总起来说还是不好的。尤其是早餐。在我所住过的酒店里，性价比几乎就是最差的。 \n', 'star': 1}
{'descr': '?没有吹风机，冬天有点麻烦，洗澡水在热点就好了，总体还行', 'star': 3}
{'descr': '还不错，就是吹风机太少了，等了一个晚上才有。房间暖气流水的声音太大了，饮水机上都贴着，让晚上拔去电源一面噪声影响睡眠，和暖气的流水声比起来，饮水机的声音简直小屋见大屋了。', 'star': 5}
{'descr': '离我们天津的公司很近，每次出差就住在这里。装修后更显得舒适。很好，再次推荐。', 'star': 5}
{'descr': '地理位置不错 就是房间有些小 网络用的是中国电信的', 'star': 5}
{'descr': '南京路如家很干净，服务也很好。', 'star': 3}
{'descr': '还行吧，挺好的，汉庭一直都很不错，以后还是会去住的\n', 'star': 5}
{'descr': '位置还不错，逛街很方便。但是有一点需要改进：如家在我们心目中是大品牌，竟然没有住宿发票！影响如家形象！由于这个问题的存在，我们已经不选择如家了。', 'star': 3}
{'descr': '性价比高,服务可以,交通算便利,今后还会入住,电脑网速还可以', 'star': 3}
{'descr': '我们一行4人，一个标间，一个大床房。标间挺好，大床房间面积就很小，感到有些不适，屋里有些潮味，希望酒店这点能提高，卫生还好，临街出行方便。', 'star': 3}
{'descr': '地理位置好，服务态度很好。房间隔音不好，其他还OK了。', 'star': 5}
{'descr': ',616,521', 'star': 5}
{'descr': '交通比较方便 就是靠马路的房间 车辆路过那喇叭声比较吵', 'star': 3}
{'descr': '还可以 出行也挺方便', 'star': 5}
{'descr': '地段很好 如果去联通办事 推荐首选入住 房间有些小 卫生间地漏有异味', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '不错，就是去的时候大概在装修吧，外面没有牌子，虽然在路边但是不好找到', 'star': 5}
{'descr': '枕头很舒适，位置也不错，但是洗发水用完后，头发就像枯草一样，洗头两次以后才恢复原来的发质。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '这家店还不错，就是靠街，早上的时候有点吵', 'star': 5}
{'descr': '房间漂亮卫生干净，价格标准如果包早餐就会更理想。', 'star': 5}
{'descr': '离劝业场很近，附近还有超市，早上就听到装修的声音，有点无语。\r\n我结账的时候男朋友坐在电脑前面，因为沙发没有地方了。\r\n不知道前台小姐要去电脑那里做什么？\r\n看着我朋友就骂真讨厌！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！\r\n这位小姐不知道我和我朋友的关系！\r\n可见素质很差。我没有告诉我男朋友，要不他一定大打出手', 'star': 1}
{'descr': '所有的方面都很好，唯一的不足就是房间里面总是有股味道。', 'star': 5}
{'descr': '各方面都还可以，就是房间有发霉刺鼻的味道', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '已经是第二次入住如家天津南京路店，房间不大但很舒适，也很安静。\r\n要是水管没有声音就更好了。\r\n服务很好！', 'star': 3}
{'descr': '服务不错 比较安静 以前出差住过，这次又来。很好，值得推荐！', 'star': 5}
{'descr': '店比较新所以设施也都很新蛮干净的，处于闹市区比较方便，不过因为是过来考试的，感觉窗外噪音比较大不容易专心学习，总体来说还不错\r\nps：服务台mm 挺pl的', 'star': 5}
{'descr': '有史以来入住最不顺心的如家酒店\r\n\r\n1、酒店房间配的电脑经常不能上网，酒店工程部回复时好时坏，没办法维修\r\n2、酒店房间内淋浴间的沐浴液和洗发液盒子是空的，真怀疑退房时服务员有没有检查的，通知前台补充，迟迟不来，没法洗澡了\r\n', 'star': 1}
{'descr': '这间如家新开业的，一如既往的如家的精神，感觉很好，地理位置都是很理想的，家乐福步行5分钟、商业街都是很近的。下次还住这家。希望早餐能够做的再好一些，品种多些。', 'star': 5}
{'descr': '性价比蛮好的酒店，就是水管处总是有流水的声音，其他都很不错的，下次还会入住的。', 'star': 5}
{'descr': '位置也很好找，当时我去的时候外面在装修标志物就不是太明显，价格也很适中，卫生设施还行。服务态度很一般，其实和一般的快捷型酒店都差不多。', 'star': 5}
{'descr': '位置也很好找，当时我去的时候外面在装修标志物就不是太明显，价格也很适中，卫生设施还行。服务态度很一般，其实和一般的快捷型酒店都差不多。', 'star': 5}
{'descr': '总体还好 要的套间  很宽敞  性价比不错', 'star': 5}
{'descr': '酒店条件还不错，就是餐点种类不多，应该多加一些.硬件和软件设施都得说比较好.整体水平还行.', 'star': 5}
{'descr': '位置有些偏在胡同里面不太好找.其它各方面服务还不错，整体水平还可以.', 'star': 5}
{'descr': '整体还好，不过确实有点吵。睡眠质量不佳的请谨慎选择。', 'star': 5}
{'descr': '服务很热情.对待客人总是保持微笑服务不错.不过热水器出水总是冷热不均.位置属于繁华地段出行很方便.', 'star': 5}
{'descr': '这家酒店的卫生很好，很干净，配置硬件设施也很达标，服务也还好，地理位置也很忠心出行交通方便，可以推荐入住。', 'star': 5}
{'descr': '酒店挺新，不错，就是服务速度有点慢！', 'star': 3}
{'descr': '位置不错，房间稍微有点小，标准间的大小还可以，只是前台办事效率有点低！', 'star': 5}
