{'descr': '不错 很好 很方便 吃的方便 房间太小 没窗子 后来跟前台换了 好多了 我为了这30积分也是拼了！！！！', 'star': 5}
{'descr': '还不错的酒店和位置，去住了两次了  感觉细节上做的非常不错\r\n是很多其他同行值得学习和借鉴的', 'star': 5}
{'descr': '还不错的酒店和位置，去住了两次了  感觉细节上做的非常不错\r\n是很多其他同行值得学习和借鉴的', 'star': 5}
{'descr': '性价比蛮好，就是停车要收费，其他都不错', 'star': 5}
{'descr': '性价比蛮好，就是停车要收费，其他都不错', 'star': 5}
{'descr': '位置极佳，周边购物很方便，离火车汽车站也很近，交通也很便利。', 'star': 5}
{'descr': '位置极佳，周边购物很方便，离火车汽车站也很近，交通也很便利。', 'star': 5}
{'descr': '各个方面都很一般，下次会在看看其他酒店的。', 'star': 1}
{'descr': '各个方面都很一般，下次会在看看其他酒店的。', 'star': 1}
{'descr': '各个方面都很一般，下次会在看看其他酒店的。', 'star': 1}
{'descr': '各个方面都很一般，下次会在看看其他酒店的。', 'star': 1}
{'descr': 'OK', 'star': 5}
{'descr': 'OK', 'star': 5}
{'descr': '不错，还会去的 \r\n', 'star': 5}
{'descr': '不错，还会去的 \r\n', 'star': 5}
{'descr': '我之前也住过这家酒店,位置很好,出行很方便,房间的卫生和设施方面也都不错,住着很舒适,我很满意.', 'star': 3}
{'descr': '我之前也住过这家酒店,位置很好,出行很方便,房间的卫生和设施方面也都不错,住着很舒适,我很满意.', 'star': 3}
