{'descr': '一直住的锦江之星。服务，环境都很好。', 'star': 5}
{'descr': '房间够大，不错,房间够大，不错,房间够大，不错,房间够大，不错,', 'star': 5}
{'descr': '房间宽敞、亮堂，价钱也还好，不是很贵。住着非常舒服。', 'star': 5}
{'descr': '各方面都可以  就是门口打车不方便   其他没有问题 ', 'star': 5}
{'descr': '房间还算可以，那个机顶盒放在电视机后面，按遥控器反映不灵敏，其他还性。', 'star': 5}
{'descr': '酒店比较干净，热水很大，吃早惨的时候居然刷了两边', 'star': 5}
{'descr': '房间设施很新，客房服务员服务不错。但总台服务员服务水平参次不齐，有待提高。早餐是所到过的锦江之星中最差的，不但品种少，还是冷的，早餐结束时间还未到，东西就没有了，也不再添加，餐费照收，且没有半点欠意。住可以，吃也就算了。', 'star': 1}
{'descr': '酒店不错，就是吃晚饭要走一段，速8边上的茶餐厅不错，24小时营业的', 'star': 5}
{'descr': '不错的商务房，宽敞的大床，还有点播的iTV', 'star': 5}
{'descr': '标间的床一个是1.35一个是1.2的\n电视是itv可以点播，不错哦', 'star': 5}
{'descr': '不错的房间干净整洁，住靠南的房间比较好，这次是11层 看风景不错的', 'star': 5}
{'descr': '酒店不错，很干净，是个新开的，离沭阳汽车站不远，就是周边吃饭的地有点少', 'star': 5}
{'descr': '这家酒店位置不错 房间很干净 睡了一晚很舒服 下次有机会还会在住', 'star': 5}
{'descr': '很好，很不错，锦江之星就是不一样的感觉，原来在南京住过几次！遗憾的就是不很普及', 'star': 5}
{'descr': '坏境很好，因为是刚健的，里面的用品都比较新', 'star': 5}
{'descr': '连续住了2个晚上，感觉还可以，定起来比较方便，不错', 'star': 5}
