{'短评内容': '好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '年初订的瑞吉，SPG会员酒店用餐免服务费！每天换着餐厅吃，每个餐厅都很有特色！宝宝餐尤其推荐！色香味俱全！', '短评打分': 5}
{'短评内容': '入住退房等待时间挺长，其他服务都很到位，就算你在海边散步打扫卫生的大叔，大妈见到客人都会主动问好打招呼。', '短评打分': 5}
{'短评内容': '酒店服务还是不错的，晚餐品种比较丰富，客房的迷你吧是全免费的而且喝完不够可以免费补充不限量的！就是顶级海景房直面大海的只有5间其他的都是在阳台侧身才能看到海有点坑。其他的都还是很不错的！', '短评打分': 5}
{'短评内容': '家庭出游、带两个孩子，整体服务在三亚应该是数一数二了，尤其是海边餐厅的amy非常不错，服务亲切周到、对待孩子微笑、耐心！下次再来瑞吉还是首选！！！', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务很贴心，吃饭时给房间补了瓶装水，很开心。', '短评打分': 5}
{'短评内容': '三亚之行的第一站，入住6层的房间。酒店地理位置在亚龙湾最西边，人少幽静，周边没什么配套，但酒店里设施很全，有不少游艇停靠，电影院超赞，屏幕和音效比预期好很多，无边泳池还不错，能望海。床品非常舒适，设施备品不错，房间面积够大，早餐比较丰富，喜欢现做的芝心鸡蛋饼。管家会登门拜访，每天两件衣物免费熨烫，欢迎咖啡和水果最好自己主动要。不足是，服务没有预期的那么好，行李是自己拖到房间，服务人员不怎么微笑的，', '短评打分': 5}
{'短评内容': '非常棒！', '短评打分': 5}
{'短评内容': '不错 装修很豪华海滩也很美  就是楼的走道有点长', '短评打分': 5}
{'短评内容': '推荐，但不代表这家酒店的服务等与价位相乘——硬件极佳、服务烂到极致。到店感觉很棒，金发碧眼的女迎宾、给每位客人献上兰花花环、饮料，气派的门厅、豪华的大堂，体贴的check in服务，让人兴奋。因是spg会员，获得升级到海景房。其后的感受就不是那么地道了。升级的2间海景房2258、2262朝向偏、楼层低，基本上看不到海——对此非常有意见！因为房间离大堂实在太远，就没打算再交涉换房了。房间设施很豪华、', '短评打分': 5}
{'短评内容': '最喜欢的一家酒店，我住的是套房，感觉很是不错，最满意的一家服务也好', '短评打分': 5}
{'短评内容': '服务不及丽思等，但价格有优惠的话可以去尝个鲜。', '短评打分': 5}
{'短评内容': '优点：1、硬件不错。2、依山傍海，既有一线海景，也有山景和港湾。\n缺点：1、总共3个餐厅，多住几晚的话会感觉饮食略显单调。2、服务有待提高。在大堂吧点了一份饮料，等了1小时没来，最后撤单。门口不许正规出租车等候，只有黑车或者和门童有关系的出租车，坐的话都是加价的，而且只喜欢跑亚龙湾内的短途，打表也就10元左右，给20才肯走。想要打表的出租车，得自己在门口等正好拉客人进酒店的车。\n', '短评打分': 5}
{'短评内容': '不像瑞吉酒店应有的品质，所以物不如所值。', '短评打分': 1}
{'短评内容': '太舒服了', '短评打分': 3}
{'短评内容': '酒店很新，还在试营业阶段，缺少温馨的感觉，其它都挺好的。', '短评打分': 3}
{'短评内容': '硬件一般，装修半年了都还有味道 浴缸居然都变色了 前台服务一般，管家服务还不错，总体感觉不如大品牌的5星级规范，不过价格上有优势的话 住住也无妨。', '短评打分': 5}
{'短评内容': '酒店房间很大，服务和景色也不错，不过如果没有自驾车的话，出行可能不是十分方便，（当然酒店也有班车）。', '短评打分': 5}
{'短评内容': '瑞吉酒店入住的体验不错，服务很好，景色也不错，当然如果有辆自驾车的话，出行可以更方便。', '短评打分': 3}
{'短评内容': '酒店很漂亮，幸运的升级了房间！可能是新开的酒店！所以一切都是新的，很舒服！值得推荐！不过价钱小贵，不过值了。妈妈很满意！', '短评打分': 3}
{'短评内容': '酒店很新很奢华，只是还要适应一下房间的按钮，太多了', '短评打分': 3}
{'短评内容': '很好的酒店，院子很漂亮，今后会再来住这家酒店', '短评打分': 5}
{'短评内容': '太没得说的酒店了，本来订了一天，后来又加订了', '短评打分': 5}
{'短评内容': '这个酒店比较新，房间很大很舒服，服务也很好。不过酒店花园绿化 浴场没有丽思卡尔顿那边好。', '短评打分': 5}
