{'短评内容': '有点旧了 周围环境挺好的', '短评打分': 5}
{'短评内容': '本来预定了6个晚上，住了一晚就退了，房间超级小，因为无线上网太慢，就搬了凳子到桌子前上网，可凳子一放，没空间走路，只能跳上床再跳下。厕所没有门，只有拉帘，隔音效果很差，房间里吹风筒什么的都要打电话才有，服务也不好。本来预定时是410RMB一晚，退房时却说因没住满预定的时间，要收取458RMB一晚，投诉一下退房的原因，服务员却说那我也没办法啊。这样的价格极其物不所值。', '短评打分': 1}
{'短评内容': '房间很安静，卫生基本能满足需要，不足的是没有备用棉被！', '短评打分': 5}
{'短评内容': '酒店就在港湾广场，很好找，与旁边的渔人码头饭店应该是一家，停车要开到里面，可惜车位不是很够，好像都被占满了。酒店的前台服务态度还好，但是不是很清楚，为什么我订的商务至尊房，最后变成了商务大床房，也没人和我说清楚，这是早上吃早餐时，服务员说我们的房间应该只有一份早餐时，才知道的。服务意识也很差，多要一床被，告诉每个房间只有一床被，没有多的，倒是很节俭，给客户感觉很差。早餐就在一楼，花样不是很多，提供', '短评打分': 5}
{'短评内容': '酒店整体感觉还可以，不过睡觉时隔壁房间在吵架，表示有点尴尬。。', '短评打分': 5}
{'短评内容': '挺喜欢这家酒店的，环境不错，交通便利，我比较喜欢那个沐浴盆，很不错，就是床小了一些！下次还会再去', '短评打分': 5}
{'短评内容': '蛮不错的。干净舒适，地理位置也不错，一切都很满意。', '短评打分': 5}
{'短评内容': '总体来说还可以吧，出差过去办事情，刚刚在办事地点的旁边，很方便。房间也算干净，服务也可以。下次过去还会住那里。', '短评打分': 5}
{'短评内容': '酒店硬件设施很好,只是房间景色不够好.床太小.早餐价格太贵.酒店周边正在建设地铁,很煞风景.', '短评打分': 5}
{'短评内容': '酒店安静，干净，体验中，明天看早餐如何，周围比较繁华', '短评打分': 5}
{'短评内容': '木有水果盘和小饼干啊！！木有啊！问了前台，也说木有啊！\n酒店门面在里面的，很不显眼哦，要穿过一个弄堂才能找到。曲径通幽吧。。\n大厅很像SPA会所，音乐也很像。傍晚的大厅公关很好，很亲切。\n\n早上有报纸，确实软件不错的。就是窗外木有景色。。\n\n早餐也很好，很喜欢熏肉+吐司，很香很脆很好吃。餐厅大厨服务也很好的。\n', '短评打分': 5}
{'短评内容': ' 房间干净，大小也可以，但展望看得不太好', '短评打分': 3}
{'短评内容': '床有点小，别的还可以', '短评打分': 3}
{'短评内容': '酒店的整体环境不错的，服务卫生以及设施都很好的，酒店的位置不错的，价格还可以的', '短评打分': 5}
{'短评内容': '5.1入住了2天，卫生，服务，位置都挺好的。\r\n就是在房间往外看是一面墙，什么也看不见，挺失望的。', '短评打分': 1}
{'短评内容': '可能是5.1假期的原因,感觉有点贵,不过别的方面都好', '短评打分': 5}
{'短评内容': '房间比较干净，服务也不错，酒店的位置也行，外出方便，不过这家酒店有的房间是没有浴缸的', '短评打分': 5}
{'短评内容': '08年国庆节和老婆去大连，住了3天，因为预订的房间下面挨着一间餐厅厨房，要求换房间时前台态度很不友好，但最终还是换了，面积比之前那间小，不知道后面服务态度有没有改善。\r\n总体来说硬件设施不错，性价比较好，房间隔音好，安静，很干净，壁挂电视不错。\r\n推荐：★★★★☆', '短评打分': 5}
{'短评内容': '在增加一些服务（好的）', '短评打分': 5}
{'短评内容': '本月19日 -21日因出差在此住了3晚,感觉不错,推荐给到大连出差或旅游的朋友.&lt;br /&gt;\n248元的价位适合中小型公司员工因控制成本而选择. 因酒店比较新所以内部设施装修都还是挺新的. 属于时尚型, 房间面积不很大但够用. 电视是东芝液晶壁挂（好象是32寸）。房间之间的隔音效果很好，不象有些经济型酒店隔壁房间的声音听得一清二楚！我们住四层楼层打扫的服务员大姐亲切可人，态度很好。&l', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店新装修有点味道 房间有些小 装修比较糙 没有保险箱是个问题 不过前台的工作人员比较热情', '短评打分': 3}
