{'短评内容': '酒店非常舒适，干净卫生，价格超便宜还，入住首选哦', '短评打分': 5}
{'短评内容': '如果仅仅是因为吵的话，我不说什么，地理位置，客观因素，无法改变，但是一进去就让一只死蟑螂来迎接客人，这也未免太有点那个什么了吧，我还会去永川，但绝不会再住这个酒店', '短评打分': 1}
{'短评内容': '酒店外面看着装修很差，里面还好，所以建议酒店装修一下外部环境', '短评打分': 5}
{'短评内容': '设施不错，干净。早上有听到隔壁打电话，隔音差点，晚上空调很劲。', '短评打分': 5}
{'短评内容': '还行，就是服务差了点，连个接待都没有。', '短评打分': 3}
{'短评内容': '一般般.就是总台的服务不是很到位.还有就是那里很偏僻.早上起来的时候很堵出都出来不到', '短评打分': 1}
{'短评内容': '第二次住。不错。副楼性价比比较高。但是有些房间有桌子，有的房间没桌子。需要有桌子写东西的客人可以和前台说好。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好!', '短评打分': 5}
{'短评内容': '住的是主楼对面副楼最便宜的房间。120块钱。房间还是很干净，隔音也还不错。但唯一不好的地方就是房间没有一张椅子和座子，想写个东西还真不方便。但总的来说还是不错的。你值得拥有。。。', '短评打分': 5}
{'短评内容': '已是第三次入住了，这次入住的是主楼，确实要比副楼的120的要好得多，建议朋友们住168的豪华标间，一样可以接劵，挺不错的，主楼的隔音、方方面面都要不副楼好.', '短评打分': 5}
{'短评内容': '很好。。环境很舒服。。。服务也好。。。。', '短评打分': 5}
{'短评内容': '不错，经济又实惠，已是第二次入住了，下次有机会去永川还会选择此酒店，', '短评打分': 5}
{'短评内容': '还可以，只是隔音有点差。交通还是多方便的哈。位置有点偏', '短评打分': 5}
{'短评内容': '一直来这家店，尤其是副楼，性价比在永川绝对算是很好的~~\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '一直来这家店，尤其是副楼，性价比在永川绝对算是很好的~~', '短评打分': 5}
{'短评内容': '综合都很好，房间舒适，性价比很高，唯独就是：热水比较慢、房间隔音效果有待改善，期待！！！', '短评打分': 5}
{'短评内容': '价廉物美，我们第一次由永川客运站去找，还是问了两次', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '总体感觉不错，房间很干净，还有免费早餐，下次有机会还有去住', '短评打分': 5}
{'短评内容': '是在副楼的。房间太小，卫生间不干净，窗户只是一个小洞，通风很差。更糟糕的是，早上起来到离台时候一直停水，而服务台居然不给任何通知。有两个客人因为停水的事情要求免单，结果把110都出动了。好像后来打折了，只听大堂经理还讪笑：他就想不给钱。O,MY LADY GAGA,这种经理的素质，显然服务跟不上。', '短评打分': 1}
{'短评内容': '感觉就是方便，好，我都给我的朋友推荐了，他们都说要去试一试。', '短评打分': 5}
{'短评内容': '感觉不怎么样，不过这个价格住这种酒店还是算可以的了', '短评打分': 5}
{'短评内容': '地理位置，房间内设施，价格都是不错的哦。', '短评打分': 5}
{'短评内容': '条件不是很好，晚上睡觉隔音效果不好，希望改进', '短评打分': 5}
{'短评内容': '三星级的标准，挺不错的，行政房很宽敞，内饰也很好，物有所值。', '短评打分': 5}
{'短评内容': '酒店的装修很有特色，大床房很舒服，住起来很温馨。', '短评打分': 5}
{'短评内容': '凑合着用吧,说服务吧，谈不上，硬件一般，反正性价比还是合适', '短评打分': 5}
{'短评内容': '我倒是有个疑问，豪华单间怎么没了？？？郁闷 标间坐着不舒服', '短评打分': 5}
{'短评内容': '房间还是不错，但是就是车位太少，而且乱停。保安居然让10多辆车停在酒店道路上，害的中午我们车出不去，等待移车30分钟，差点耽误我的工作。', '短评打分': 5}
{'短评内容': '挺不错的，房间也干净，价钱合理，就是出热水很慢，起码要10多分钟', '短评打分': 5}
{'短评内容': '很好！性价比很高的酒店。虽然在旧区，座落在旧楼中，但是吃的买的都比较近，还有双早，酒店设备也非常齐全。值得住！', '短评打分': 5}
{'短评内容': '这家酒店还可以', '短评打分': 3}
{'短评内容': '这次去居然忘记带身份证了，晕死，但是庆幸一位貌似大堂经理的正好在，他便开着车带我去看身份证明，外面虽然寒冷但心里真是温暖啊，我想哪个酒店应该都没有这种服务吧，永川大酒店，大赞~~~~', '短评打分': 5}
{'短评内容': '来了N多次啦，感觉任然不错~~，就是还是不能用券，悲哀..', '短评打分': 5}
{'短评内容': '房间不错，价格合理~就是房间的空间稍微小了点，还有隔音差了一点点~', '短评打分': 5}
{'短评内容': '永川大酒店，超值享受，挺好的，下次来这里还是首选！', '短评打分': 5}
{'短评内容': '还不错，装修的挺好，也很卫生。房间也不临街，比较清净。不过周围买点东西不是很方便，好像旁边就是一个批发市场和一条河。', '短评打分': 5}
{'短评内容': '酒店总体很好，设施呀，环境呀都还不错。\n但是前台接待小姐的素质有待提高，\n\n可以用一些大学刚毕业的专业学生\n这样酒店的整体环境素质就不一样了\n', '短评打分': 5}
{'短评内容': '这是第几次来都不记得了，总的来说是值得推荐的，确实不错', '短评打分': 5}
{'短评内容': '不错，整体性价比还可以，值得推荐，下次可以再来', '短评打分': 5}
{'短评内容': '这次房间安排不是很好，无窗......上次也是这个价位，安排的房间就很好了~~~', '短评打分': 5}
{'短评内容': '\n    不错， 就是手纸质量太不行了， 建议改善一下。', '短评打分': 5}
{'短评内容': '还行吧，果然能直接看见卫生间，有创意，只是电视遥控器几乎失灵，害得我每次都要跑到面前去按', '短评打分': 5}
{'短评内容': '很好 环境很好 就是酒店位置有点偏了 其它的都很不错了', '短评打分': 5}
{'短评内容': '来过很多次了，确实很好的，就是不能用券，不实惠了', '短评打分': 5}
{'短评内容': '来了很多次了，一如既往的好~~价格实惠，就是不能用券了，很郁闷..', '短评打分': 5}
{'短评内容': '离市中心比较近，周边环境不行，酒店内部还可以，服务比较周到，房间淋浴很舒服，就是卫生间和床之间是玻璃，蹲厕所都能被看到，很不方便', '短评打分': 5}
{'短评内容': ' 差不多', '短评打分': 3}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '过的去                                                                             ', '短评打分': 5}
{'短评内容': ' 第二次 感觉还是那样 一般吧 这个价在永川不便宜', '短评打分': 5}
{'短评内容': ' 房间很大 也干净 这个价钱在永川来说不算贵 当然也不便宜 吃早餐很打挤    总的来说还是不错的', '短评打分': 5}
{'短评内容': '酒店位置不怎么中心，周边环境不是很好，但是酒店性价比非常好，房间因为重新装修过，非常舒适，这个价格能住到这样的酒店完全是超值的~\r\n', '短评打分': 5}
{'短评内容': '这个价位，能享受到这么优质的服务，很惊喜，非常值得推荐入住~~', '短评打分': 5}
{'短评内容': '酒店内环境还是不错的，就是酒店周边环境太乱了些！', '短评打分': 5}
{'短评内容': '住宿条件不错,价格还很便宜!', '短评打分': 5}
{'短评内容': '酒店的性价比还可以，就是需要加强一下管理。', '短评打分': 5}
{'短评内容': '前厅接待员没有在我入住的时候提醒我晚上没有热水，导致我及另外的朋友没有洗澡，全身都汗臭了。打电话到前台质询，服务员推三推四的，说法对不同的客人都不一样，提别对外地口音的客人更是推脱自身责任。', '短评打分': 1}
{'短评内容': '卫生设施不错，位置相对来说稍微是有些偏，价格还行，也没有怎么接触到服务，挺一般的。', '短评打分': 5}
{'短评内容': '永川服务还是很不错的，员工都很耐心热情。', '短评打分': 5}
{'短评内容': '酒店的配置设施整体来讲还算是比较不错的，设施很新的酒店。', '短评打分': 5}
{'短评内容': '卫生还可以，房间算是干净舒适，配置也比较全。', '短评打分': 5}
{'短评内容': '酒店的配置设施都比较全，使用的配置都还好。', '短评打分': 5}
