{'短评内容': '酒店方便。', '短评打分': 3}
{'短评内容': '各方面还不错吧。就是房间总是给小的。希望能再便宜些', '短评打分': 5}
{'短评内容': '酒店硬件设施太差了，而且非常冷，在也不住了', '短评打分': 3}
{'短评内容': '方便的话很~就在 泉城广场附近，方便的话很~就在 泉城广场附近，很好找的', '短评打分': 5}
{'短评内容': '环境一般，不过位置还好，在窗户上可以看见泉城广场', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 3}
{'短评内容': '比较旧了，很一般', '短评打分': 3}
{'短评内容': '酒店位置很好，设施陈旧些了，楼下面包房气味传入房间。', '短评打分': 3}
{'短评内容': '住着很舒适，交通太方便了，从窗外就直接可以欣赏到音乐喷泉！！', '短评打分': 5}
{'短评内容': '环境挺舒适优雅的，服务也好，推荐 建议 拖鞋能不能给一次性的', '短评打分': 5}
{'短评内容': '如果是200元以下住宿费用，可选这里，很一般，勉强干净，只是在泉城广场旁边，阳面面朝广场视线不错', '短评打分': 5}
{'短评内容': '还不错，就是窗户隔音不好', '短评打分': 3}
{'短评内容': '服务态度很好，位置离恒隆，万达，贵和，银座都很近。就是内设有点陈旧，这个价位这个地段性价比还蛮高的。', '短评打分': 3}
{'短评内容': '交通便利，和泉城广场、趵突泉、芙蓉街、恒隆广场紧挨着，总的来说很不错，挺实惠的', '短评打分': 5}
{'短评内容': '泉城广场附近应该算是最便宜的就点了，虽然有点旧，但是这价格很值，不过就是上午单间洗手间全没有排气扇，而且空调不管用啊。。。', '短评打分': 5}
{'短评内容': '不错的酒店！有停车场！交通 购物都挺方便', '短评打分': 3}
{'短评内容': '酒店位置相当方便！就在泉城广场北侧，西边紧挨趵突泉，离大明湖也不远。就是房间内有点设施陈旧！房间面积倒是很宽敞！希望能改进一下墙面及卫生间。', '短评打分': 5}
{'短评内容': '地理位置很不错，但是房间内设施比较陈旧了，但愿下次过来时能够是新的设施，这样住得会舒服点！', '短评打分': 5}
{'短评内容': '交通方便，泉城广场对面，离趵突泉步行3分钟。', '短评打分': 5}
{'短评内容': '非常方便的酒店，非常适合出行，只是早餐不方便，电梯太少。', '短评打分': 5}
{'短评内容': '位置不错，卫生一般', '短评打分': 3}
{'短评内容': '位置很好。价格实惠。就是设施有点旧。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店暖气很足，就是设施陈旧，墙皮都老化了！位置太好，所以有些吵！服务一般！', '短评打分': 3}
{'短评内容': '还有没早餐，旁边就是西点店，真小气，位置占95%', '短评打分': 5}
{'短评内容': '位置好，停车场口有个禁止左拐弯的标志，但拐了，有点忐忑', '短评打分': 5}
{'短评内容': '位置可以，房间差，厕所也不行，同价位的没法与莫泰如家等连锁相比。', '短评打分': 3}
{'短评内容': '上网速度奇慢开不开邮箱都  房间没空调我是被冻醒的', '短评打分': 1}
{'短评内容': '感觉里面的设施比较老了,但是还算干净,而且晚上睡觉也很安静.地段超级方便,距离趵突泉5分钟,离大明湖也不远,后院有停车场,紧挨着商业街,小吃街,很方便.', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便，服务很好，预定的房间登记错了立马给换了间大的，缺点就是比较旧，然后噪音很大，不过这位置和这价位，已经相当不错了，如果能刷卡的话那就更好了', '短评打分': 5}
{'短评内容': '大床间的床短了点', '短评打分': 3}
{'短评内容': '这个酒店最好的就是地段，就在泉城广场边上。但是房间实在太一般，而且去的时候电梯坏了，只能爬楼梯。可能这个价位这个位置只能这样了。', '短评打分': 3}
{'短评内容': '酒店一般,床品较差,', '短评打分': 3}
{'短评内容': '条件很一般  但是地段绝了  这个价格也很值了   ', '短评打分': 1}
{'短评内容': '位置不错，价格还可以，房间面积小了点，还算可以吧', '短评打分': 5}
{'短评内容': '正如前面住过的顾客所说:—是服务态度太冷淡,二是卫生太差,无人打扫。以后不打算再去住了，', '短评打分': 3}
{'短评内容': '入住很不愉快  洗手间漏水  服务员态度差', '短评打分': 1}
{'短评内容': '饭店的位置不错。吃饭，景点都方便，停车方便安全。前台接待不好，信用卡不能预授权，押金要付现金，结账可以卡，不懂。。。', '短评打分': 1}
{'短评内容': '位置不错，还可以停车，到趵突泉走路不过3分钟，赞一个', '短评打分': 5}
{'短评内容': '酒店卫生打扫不是很干净，卫生间淋浴处建议加独立格断！因为临街所以休息不太好，但位置方便。', '短评打分': 3}
{'短评内容': '位置优越、环境一般、设施陈旧、交通方便、服务优良、价位适中。建议改用一次性拖鞋。', '短评打分': 5}
{'短评内容': '地理位置不错，游玩、购物都比较方便，房间设施比较齐全，卫生条件还行。。。', '短评打分': 5}
{'短评内容': '阿尔山阿尔山 特邀请您对预订的山东丽舍商务酒店（济南泉城广场店）进行点评，您的意见对其他客人计划旅程以及酒店未来改进服务都非常重要。您办理酒店入住手续后，即可发表点评。  \n立即发表点评        查看其它客户点评 \n', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错，我喜欢那，有些吵，因离泉城广场太近的原因，但能接受', '短评打分': 5}
{'短评内容': '坐落于市中心交通方便、地理位置优越，购物、游玩、餐饮都很方便，临街窗外是泉城广场环境也很好，价格还很便宜。值得商务、旅游来此入住。', '短评打分': 5}
{'短评内容': ' 位置及卫生还不错,卫生间淋浴头需修修,出水不好,总体值得推荐.', '短评打分': 3}
{'短评内容': '条件一般,卫生稍差', '短评打分': 3}
{'短评内容': '推荐入住', '短评打分': 3}
{'短评内容': '酒店地理位置不错，离各景点很近，就是房间设施老旧了点', '短评打分': 5}
{'短评内容': '商务单间设施有点陈旧。其他还可以。交通是非常便利。周围环境也好。', '短评打分': 5}
{'短评内容': '酒店的地理位置非常好，离趵突泉，大明湖和泉城广场都非常近。房间还算干净，卫生间没有浴帘或者是玻璃隔断，这点有点遗憾。', '短评打分': 5}
{'短评内容': '入住手续办理的挺迅速的，服务也不错，感到很满意', '短评打分': 5}
{'短评内容': '枕头和被子太硬了,睡得不舒服,可能是我睡习惯了软的的原因吧.靠马路的房间比较吵,想睡懒觉的千万别住.', '短评打分': 1}
{'短评内容': '位置不错，靠近泉城广场，房间装修略显简陋，设施一般', '短评打分': 1}
{'短评内容': '房间设施还可以 位置不错 在泉城广场边上 下次继续入住~', '短评打分': 5}
{'短评内容': '位置相当好，离趵突泉大明湖，泉城广场都非常非常的近，但是也只有这一个优势，酒店的整体环境都不太好，隔音不好，临街晚上吵不过到11点以后就安静了，同层的有人关门使劲点，在屋里都能感到震动，空调不太凉而且声音非常大，晚上开着太吵了，被罩上有明显的脏印，浴室里没有晾毛巾的杆，一个都没有，衣服和毛巾都没法晾。不过最后还要再重申，地理位置真的是挺好的，仅此而已。', '短评打分': 1}
{'短评内容': '酒店新装修，干净整洁，位置优越，便于出行、购物、游玩。', '短评打分': 5}
{'短评内容': '以前住过一次，在泉城广场和泉城路附近，方便，后院有停车场，有专人看护停着很放心，缺点就是我住的是优惠房，面积太小', '短评打分': 3}
{'短评内容': ' 还可以吧', '短评打分': 3}
{'短评内容': '比较便宜，地处泉城广场旁边，地理位置优越，性价比比较高。第一次来可能稍微有点难找。在趵突泉附近，解放阁以西大约一公里处', '短评打分': 5}
{'短评内容': '服务态度很不好！服务员脾气很大哦～我迟到了大概一小时，服务员非常不耐烦，说“你怎么也不知道打个电话说一声！真是的！”结账过程中与同事聊天时候才会笑！', '短评打分': 1}
{'短评内容': '一般般，晚上过十二点没地吃饭', '短评打分': 3}
{'短评内容': '都还不错，价钱能便宜些就好了。 洪家樓的那個比較便宜。', '短评打分': 5}
{'短评内容': '酒店清净', '短评打分': 3}
{'短评内容': '广场边交通方便，卫生可以做得更好些。', '短评打分': 3}
{'短评内容': '干净\\服务质量好\\地理环境特别不错,紧靠泉城广场边上', '短评打分': 5}
{'短评内容': '服务质量太差了，房间有味道。没有免费矿泉水，上网速度慢。', '短评打分': 3}
{'短评内容': '地理位置优越，不足就是有的房间潮湿，卫生一般，停车场太小，前台服务态度不好', '短评打分': 5}
{'短评内容': '关键是地点很好，介于济南三大名胜中间。步行五分钟到趵突泉，步行15分钟到大明湖，打车到千佛山只要十分钟的样子（9块钱）', '短评打分': 5}
{'短评内容': ':枕头很脏，其它还好。', '短评打分': 3}
{'短评内容': '位置不错，交通很方便，离泉广很近，就是有点旧了，环境不是很好', '短评打分': 5}
{'短评内容': '地理位置优越，对面便是泉城广场；室内设施齐全，整洁，卫生。', '短评打分': 5}
{'短评内容': '地理位置很好,就在泉城广场边,唯一不足的是网速实在太慢.', '短评打分': 5}
{'短评内容': '还行，正对着泉城广场，值这一百几十块钱、、、、、、', '短评打分': 5}
{'短评内容': '酒店位置不错！', '短评打分': 3}
{'短评内容': '晚上11点入住的   服务态度爱搭不理 也没有停车位  不会在选择入住', '短评打分': 3}
{'短评内容': '十满意', '短评打分': 3}
{'短评内容': '地段位置很好 就在市中心 房间很一般 单间玻璃不隔音 又是在临街这边 车来车往的 非常吵 晚上睡不好 早上早早被吵醒 ', '短评打分': 3}
{'短评内容': '对用品检查不合理，入住离店，检查房间不是顾客用的消费品非说用了', '短评打分': 3}
{'短评内容': '电脑桌连个插座都没有，很远有一个....厕所里连卫生纸都不给放，真够了...', '短评打分': 1}
{'短评内容': '房间太小。房间气味很难闻。电源插座太少很不方便。', '短评打分': 1}
{'短评内容': '卫生状况良好。', '短评打分': 3}
{'短评内容': '这个价住,还算行吧。', '短评打分': 3}
{'短评内容': '洒店热水压力太小。', '短评打分': 3}
{'短评内容': '酒店条件很不好，热水不热，而且水流很小，导致我们三天都没有洗成澡。卫生状况差，被子很小，后加的被子上有很多头发。中央空调，目前只有自然风，没有额外的加热设备，房间非常冷。除了位置还可以，没有值得住的理由。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '服务很好，就是设施有些旧，再就是隔音不好。影响休息。', '短评打分': 5}
{'短评内容': '商务标准间真是超级旧的，后来价钱换了电脑房，卫生间没有门，下水道的异味一阵一阵传过来让人无法忍受，住了一天就换走了', '短评打分': 1}
{'短评内容': '房间太差了.除了位置好点没有任何优势。空调噪声很大，房间也很破旧。', '短评打分': 1}
{'短评内容': '向阳的房间不错~~这次住的是阴面窗户很小，外面还就是墙面，很不好~服务态度很不错！', '短评打分': 5}
{'短评内容': '服务.交通方便都是一流的，感觉像回家一样。', '短评打分': 5}
{'短评内容': '`酒店服务态度还好，交通也挺方便，就是设施显的有点陈旧。', '短评打分': 5}
{'短评内容': '酒店位于济南市黄金地段，离泉城广场很，近位置很好，而且房间始终热水温度很好，不足就是房间空间较小，总起来说很不错。', '短评打分': 5}
{'短评内容': '环境不错，性价比较好', '短评打分': 3}
{'短评内容': '帮朋友订的，朋友住了还算满意，离机场大巴站很近。', '短评打分': 5}
{'短评内容': '房间还可以，就是卫生间比较简陋，但地段不错，到泉城广场就、很近。', '短评打分': 5}
{'短评内容': '地理位置来讲，这个价性价比还是很高的。房间里面当然能有多简单就多简单，经济酒店嘛。就是床单洗得有点洗不出来了，发黑了。', '短评打分': 3}
{'短评内容': '最大的优势位置很好 就是床太硬了 住的房间窗户很小  打不开 有点味道 \n', '短评打分': 5}
{'短评内容': '房间小，相对同等价位之下没连锁宾馆干好', '短评打分': 3}
{'短评内容': '酒店位置真的很好，离趵突泉，大明湖，芙蓉街，银座都很近，只有一点房间太小，整体还可以吧', '短评打分': 5}
{'短评内容': '酒店啦，位置好，设施陈旧，硬件需要更新了', '短评打分': 5}
{'短评内容': '很温暖，我很喜欢。。窗户外面就是泉城广场，白天阳光好，晚上灯光好', '短评打分': 5}
{'短评内容': '地理位置挺好·就是房间不怎么样··很陈旧', '短评打分': 1}
{'短评内容': '这酒店服务不错，停车场实在小的无法再小了，车挨的很近，保安非要让你车离得很近，很担心别人开车门不注意碰到自己的车出去花钱停的。位置是很好，就是房间设施陈旧。和图上的不一样。房间简单的不能再简单了，有线电视就三个台，机顶盒都没有，害得我很郁闷蹲在房间里。如果重新装修下一定很好，床单枕巾有很多男女留下的印记好像洗不掉了发黄的点点。有点恶心。总体不错。服务很好，入住的时候那几个服务员非常热情，退房的时候', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '位置挺不错，方便！环境也可以！推荐一下！', '短评打分': 3}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': ',非常方便,价格一般.', '短评打分': 3}
{'短评内容': '设备旧了些，整体一般\n(徐卫明)', '短评打分': 3}
{'短评内容': '紧邻泉城广场和大明湖，地理位置优越，卫生条件很好，不过就是没有一次性的拖鞋，虽然很环保但是总觉得不是很放心消过毒的拖鞋', '短评打分': 5}
{'短评内容': '环境不错  位置优越  就是房间不太隔音  另外 如果有早餐就更好了', '短评打分': 5}
{'短评内容': '交通方便，性价比好～值得住，我都住了两次了～', '短评打分': 5}
{'短评内容': '酒店还不错，位置很好，这个价格在泉城路算是难得了', '短评打分': 5}
{'短评内容': '房间蛮宽敞 地理位置超好 就是隔音太差 太吵', '短评打分': 5}
{'短评内容': '地理位置相当优越， 服务一般，有噪音，不过总体还不错', '短评打分': 5}
{'短评内容': '酒店门口的道路正在封闭大修，晚上到很晚都是很吵。', '短评打分': 1}
{'短评内容': '酒店前的马路在封闭大修，整整一夜工程的震耳噪音不停，暂时不住为好。', '短评打分': 3}
{'短评内容': '交通非常方便，就在泉城广场泉标北边正对面，去趵突泉、泉城路、逛街购物都很方便，推荐入住，就是美中不足的是房间小了一点，店里的饭一般', '短评打分': 5}
{'短评内容': '地理位置极佳，不过去的时候正赶上修路，门口不通车，要自己走好远才能走到。不修路的时候交通是很便利的，出门就是泉城广场，购物餐饮也很方便。', '短评打分': 5}
{'短评内容': '标准的招待所。不过价格在那里，所以也没啥说的。', '短评打分': 1}
{'短评内容': '还行，以它的位置而言，价格还不错。但房间设施已经比较陈旧了。', '短评打分': 1}
{'短评内容': '酒店性价比高很舒适', '短评打分': 5}
{'短评内容': '房间设施有些旧，装毛巾的篮子上有很多灰。位置绝佳。', '短评打分': 3}
{'短评内容': '卫生一般、服务一般、硬件设施需要维修、我这屋里两个灯都不亮！还有个插做不好用！', '短评打分': 5}
{'短评内容': '我已经入住酒店了,酒店还行吧!', '短评打分': 5}
{'短评内容': '我是几个月前住的，现在才想起点评，呵。环境很好，干净，房间大，有电脑，出门穿着拖鞋就能逛泉城广场和银座，推开窗户就是泉城广场的标志性建筑，爽呆了。下次一定还是这里，必须地。\r\n如果非要找点缺点的话，可能就是没早餐。不过不远就是芙蓉街，多的是吃的。', '短评打分': 5}
{'短评内容': '位置还可以.但卫生、服务、设施、性价比都不好 比下属机构定的协议酒店差远了', '短评打分': 1}
{'短评内容': '周末都省城办事，入住后感觉位置挺好，相比价格在这地段的设施或服务性价比挺高！~推荐大家入住', '短评打分': 5}
{'短评内容': '非常满意,谢谢!', '短评打分': 5}
{'短评内容': '位置不错，环境一般，舒适程度也一般，交通比较方便，总的来说还可以。。。', '短评打分': 5}
{'短评内容': '前天，又住了次198的，感觉这个要好很多。', '短评打分': 3}
{'短评内容': '应该更便宜一些条件更好一些停车场应该大一些房间大一些床大一些', '短评打分': 5}
{'短评内容': '位置很好！内部装修不错！', '短评打分': 5}
{'短评内容': '没有早餐，离街道有些近，泉城广场经常早上组织活动，噪音很大影响休息。', '短评打分': 1}
{'短评内容': '基本满意，房间布局比较紧凑\r\n但是最关键的是房间隔音效果不好\r\n加之临街，所以休息不好', '短评打分': 3}
{'短评内容': '房间设施略显陈旧，放毛巾的筐子缝隙都是灰，窗子也没有纱窗。房间挺大，位置很好。前台也很慢。', '短评打分': 1}
{'短评内容': '酒店位置非常好！正对泉城广场，离芙蓉街，趵突泉，大明湖都不远。对一个设施较旧的酒店，卫生应该算不错的！', '短评打分': 5}
{'短评内容': '还有就是，158的门市价是168，188的门市价是198,218的门市价是228都含双早，大家可以对比一下，还有就是188的房间在旅游旺季的时候，如果去的比较晚就没有了，毕竟位置还可以了。', '短评打分': 3}
{'短评内容': '此酒店的位置非常好，离泉城广场非常近，酒店的背后就是济南市的步行街，西边就是趵突泉，旅游，购物都非常的方便，但是个人觉得198的商务标准间的性价比更好些，是朝阳的，而168的是朝北的，并且设施简单。', '短评打分': 5}
{'短评内容': '性价比还是可以的，客房布局也是不错\r\n但是房间的隔音效果太差，加之在马路旁边，早上休息很受影响\r\n希望能及时改进\r\n服务态度还是不错的', '短评打分': 5}
{'短评内容': '地理位置非常之好，泉城广场旁边。卫生也很好。', '短评打分': 5}
{'短评内容': '+酒店位置好,环境一般。', '短评打分': 5}
{'短评内容': '位置不错，冷气很足，设施一般。早餐一般，停车方便', '短评打分': 5}
{'短评内容': '位置，性价比都不错，环境和早餐只能算一般', '短评打分': 5}
{'短评内容': '位置很好，仅靠泉城广场，但是装修陈旧，水温不好调，性价比不高', '短评打分': 1}
{'短评内容': '位置非常好，就是床太硬了，翻身的时候床会响。', '短评打分': 5}
{'短评内容': '泉城广场旁边，十分方便！', '短评打分': 3}
{'短评内容': '距离泉城广场非常近，性价比很高', '短评打分': 5}
{'短评内容': '还行，位置不错，楼道有点窄，有点长', '短评打分': 3}
{'短评内容': 'weizhihao', '短评打分': 5}
{'短评内容': '位置很好的一家酒店，其他的倒是一般般', '短评打分': 5}
{'短评内容': '只有位置还不错这一个优点，\r\n觉得不是很干净，我住了3天，很明显第一天床铺脏了，但是一次都没有给我换过，只是整理了一下。\r\n而且旅店的毛巾太脏了，都有发黑的颜色。', '短评打分': 1}
{'短评内容': '位置，性价比都挺高。住过N次了，还有就是冷气足。', '短评打分': 3}
{'短评内容': '性价比不错，位置很好', '短评打分': 5}
{'短评内容': '位置太好了,很方便,房间也挺干净的', '短评打分': 5}
{'短评内容': '位置不错，毛巾有洞，还有味道', '短评打分': 5}
{'短评内容': '还可以,早餐需另付费,种类少－般', '短评打分': 5}
{'短评内容': '酒店位置很好，还含有早餐，不错，值得推荐', '短评打分': 5}
{'短评内容': '距离景点很近，出行很方便。', '短评打分': 5}
{'短评内容': '一般  住的2楼 晚上有两口子吵架 自杀的 折腾了半夜才睡觉', '短评打分': 3}
{'短评内容': '我定了三间房 门面表面上看挺好 ，入住的三零五 卫生间的墙皮都掉了  四月入住中央空调都关掉了 晚上挺冷的，插座电源有没有电的  一次性用品也很廉价 让服务员拿一个插排还不好用 看感觉走的是汉庭路线，但是做的不够精细，房间的各个开关也都安装的不好七扭八歪的 还不如七天或者如家呢 就是位置好 算对得住 这个价格了去泉城广场和泉城路都方便 \r\n关于服务，拿行驶证居然不能入住，最后实在没办法了 才勉强给', '短评打分': 1}
{'短评内容': '卫生，隔音，床的舒适度都很差，床硬的要命，不过就是占着一个好的地理位置，我们的房间正对着泉城广场地标，逛街都很方便，就是住着不舒服，性价比还算可以', '短评打分': 5}
{'短评内容': '房间小了点，我们住的315，317俩房间四个人住的，床小了点  卫生间的外墙很脏。总之在泉广边上这个价位还是比较不错的！', '短评打分': 5}
{'短评内容': '最满意的就是酒店的位置了，而且还有免费早餐，就是房间小点了，不过总体来说还是挺不错的', '短评打分': 5}
{'短评内容': '跟招待所没什么区别', '短评打分': 1}
{'短评内容': '位置不错，推开窗就是泉城广场，离趵突泉3分钟，可以走着去芙蓉街和沃尔玛超市。房间有桶装饮用水。。在桌子上还有个笔筒，里面有笔、尺子。。房间是中央空调，我们3月底入住的，没有暖气，空调没开，但不算冷。\r\n忘记说安静的房间，住的是临街的，又碰巧赶上济南搞什么活动，广场一直在敲大鼓，本来想睡自然醒的，呵呵。。\r\n值得提的是他家的早餐。很不错。符合我的习惯，就是早餐有菜。。菜的种类：藕片、豆芽、芹菜、海带', '短评打分': 5}
{'短评内容': '位置好，交通方便，卫生服务均可！', '短评打分': 3}
{'短评内容': '酒店很干净 周边购物的地方很多  离各个景点也很近 交通方便', '短评打分': 5}
{'短评内容': '还可以!', '短评打分': 3}
{'短评内容': '位置方便,环境还可以,不错!', '短评打分': 5}
{'短评内容': '不错，推荐。', '短评打分': 3}
{'短评内容': '总之，还可以。', '短评打分': 5}
{'短评内容': '235房间不能住,下面是空压房,很吵.', '短评打分': 5}
{'短评内容': '除位置较好外，其它设施一般', '短评打分': 5}
