{'短评内容': '早餐不好，房间有些旧', '短评打分': 3}
{'短评内容': '环境很不错  服务很好  设施很完善  下次继续来 ', '短评打分': 5}
{'短评内容': '条件很好，吧台服务员态度很好，酒店环境也不错！', '短评打分': 5}
{'短评内容': '第二次了,环境很好,值得拥有!', '短评打分': 3}
{'短评内容': '酒店设施不错，服务也很好！！！就是网速有点慢，呵呵！！！', '短评打分': 5}
{'短评内容': '酒店不错环境好', '短评打分': 3}
{'短评内容': '环境不错，就是附近吃饭的地方比较少，交通也不方便，在修路', '短评打分': 3}
{'短评内容': '房间挺好的，性价比比较高，就是空调好像温度始终上不去，我调30度，吹了一晚上还是21度，洗完澡出来冷死了！不过总体来说，环境还是很不错的，服务员态度很好，推荐大家去！', '短评打分': 5}
{'短评内容': '很安静，就是稍稍远了点，还有就是不带早餐不太好。。。', '短评打分': 5}
{'短评内容': '浴室的构造不太合理，洗澡的淋浴头呈喷射状，而且是那种固定在墙上的，洗澡不太方便。其他方面还好。', '短评打分': 5}
{'短评内容': '酒店设施很齐全，服务态度很好，房间比较大，很舒服', '短评打分': 5}
{'短评内容': '新装修的环境不错，价格便宜,最重要是旁边吃饭非常方便', '短评打分': 5}
{'短评内容': '前台服务人员太粗心，居然把我的订单取消了！到酒店是3点，结果到5点半才入住！', '短评打分': 1}
{'短评内容': '不错，        环境蛮好的。。。。。。。。。  ', '短评打分': 5}
{'短评内容': '不错，值得推荐!', '短评打分': 3}
{'短评内容': '还算是比较经济吧，就是客房有些设备不太好用，电视信号有点弱', '短评打分': 5}
{'短评内容': '给力……必须来！！！……………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '室内装饰不错，住的是无烟房，除了没窗，很干净', '短评打分': 5}
{'短评内容': '饭店很干净，服务员很贴心饭店很干净，服务员很贴心饭店很干净，服务员很贴心饭店很干净，服务员很贴心饭店很干净，服务员很贴心饭店很干净，服务员很贴心饭店很干净，服务员很贴心饭店很干净，服务员很贴心饭店很干净，服务员很贴心', '短评打分': 5}
{'短评内容': '酒店很新，干净舒适，酒店的楼十分醒目，全部红色。离华中农业大学比较近，在立交桥旁边，往华农走晚上有很多多排档。字够了没？', '短评打分': 5}
{'短评内容': '相当不错的酒店，干净、整洁，设施齐全，交通便利。这个价位很理想，在武汉这样的大都市肯定是物超所值的选择，下次还会光顾的。', '短评打分': 5}
