{'短评内容': '不错，空间还是小点，其他一切都ok', '短评打分': 4}
{'短评内容': '其他都还好，就是那个电视频道吧很少台，台数十有那么40吧真正有信号的就没几个了，拿着遥控器按下有个台，再按两三下才再有个，我累啊。。。。麻烦着电视多点太给我看啊。。。。。。。', '短评打分': 5}
{'短评内容': '卫生还可以  服务一般  环境一般  总的来说就是性价比一般', '短评打分': 5}
{'短评内容': '这家酒店我和朋友住过几次，很喜欢里面的情调而且离家很近所以再次选择了它。唯一不太好的就是浴室的水会积累在卫生间里，让人路过一脚湿不是很舒服。希望贵酒店有所改进，但是将来我依然会在合适的地点和时间下选择它的。', '短评打分': 5}
{'短评内容': '性价比低，服务态度差，整整一个酒店，公用一个吹风机，还不肯送上来，要自己从15楼坐电梯下去拿，拿了说只给用1小时，拿跟网线也要自己下去拿，隔天叫他打扫，还要加钱，今天去要吹风机，直接跟我说没有，真是太垃圾了，处女的价格，妓女的质量啊。', '短评打分': 1}
{'短评内容': '酒店服务太差，向前台人员询问如何乘大巴到机场，他竟说，不知道，因为他不是本地人？其实这个问题，他可以非常方便的了解到的；\n宾馆设施不好，房间里连洗手的肥皂都没有？就是为了环保，也应该给客人准备点洗手液吧！楼道不隔音，有人在楼道内大声说话，影响客人休息，也没有人去协调！！\n', '短评打分': 1}
{'短评内容': '在长沙算比较特别的酒店。。。但是感觉房间有点小有点脏~', '短评打分': 5}
{'短评内容': '总体感觉不是特别理想吧。房间有些灯还不亮。\n', '短评打分': 5}
{'短评内容': '整体还可以,就是床垫有点塌下去了,需要整修整修才好.', '短评打分': 5}
{'短评内容': '是家新开业的酒店，卫生方面很好，很干净，位置也不错，在长沙市中心繁华地段，房间隔音效果很好，住着很舒服', '短评打分': 5}
{'短评内容': '用半透明玻璃把房间和洗手间隔开了，感觉这样的设计很独特，这点给我印象很深刻。新开业的酒店，房间里很干净，住着很放心', '短评打分': 5}
{'短评内容': '房间布置的很温馨，住着很舒适，性价比也很高，房间卫生条件不错，住宿环境很好', '短评打分': 5}
{'短评内容': '没七天好。', '短评打分': 3}
{'短评内容': '前台服务很好，办事效率快，周边环境很好，购物逛街都很方便，座公交或者打车都没问题，各方面都不错', '短评打分': 5}
{'短评内容': '酒店位置不错，到橘子洲头，步行街15分钟左右就能到，服务很好，前台服务员都很热情周到的，卫生条件不错打扫的很干净，总体感觉不错的酒店', '短评打分': 5}
{'短评内容': '隔音效果欠佳', '短评打分': 3}
{'短评内容': '不错哦。虽在闹市，却一点也不吵！房间装修得有点像情趣酒店，正对着床的天花板安着一面好大的镜子，卫生间也是透明玻璃的，设计者很坏坏喔......只是卫生间的厕纸太差了，虽然不免费提供一次性用品，但不至于还要客人带着卫生纸来住店吧！', '短评打分': 5}
{'短评内容': '酒店位置不错，在市中心位置上，附近坐公交打车方便的很，周边有很多商场，吃饭的地也很多，酒店前台服务很好，态度很热情，房间里面很干净，住着很舒服', '短评打分': 5}
{'短评内容': '房间布置的很时尚新颖，住着很舒服，很潮流，硬件设施齐全还可以上网，网速蛮快的，酒店位置在市中心地段出行很方便，周围有大商场，购物方便，住宿环境还可以', '短评打分': 5}
{'短评内容': '位置不错，出行很方便，房间很宽敞，布置的很好，卫生条件不错，服务到位，下次还会住的', '短评打分': 5}
{'短评内容': '房间隔音效果很好，晚上休息时很安静，硬件设施齐全，服务到位，卫生状况良好，总体感觉住着很满意', '短评打分': 5}
{'短评内容': '位置靠近繁华的商业区，交通非常方便，意外的是不远处有家火宫殿分店，小吃非常多！酒店还蛮舒适干净但房间和浴室非常小，牙具要自备还', '短评打分': 5}
