{'短评内容': '交通方便环境优美，挺好的', '短评打分': 5}
{'短评内容': '老三星酒店，条件还可以，对得起价格。早餐稍差点。', '短评打分': 3}
{'短评内容': '酒店房间还可以，就是在入住的时候，前台告诉我们没有我们原先预订的房间了，说要升级的话加100元。我们不同意还是坚持原来的房间，最后又说有房间了。', '短评打分': 5}
{'短评内容': '周边环境较好，酒店里边硬件有些旧了，态度还行，结账退房很快', '短评打分': 1}
{'短评内容': '最初预定这里是距离办公室比较近，入住后发现各方面软硬件设施都不错，很值得这个价格，值得推荐。', '短评打分': 5}
{'短评内容': '最初预定这里是距离办公地比较近，入住后发现各方面软硬件设施都不错，很值得这个价格，值得推荐。', '短评打分': 5}
{'短评内容': '很不错~~~房间宽敞~~~设施齐全~~~地理位置佳~~~', '短评打分': 5}
{'短评内容': '住店客人停车收费每天10元、一次性用品使用后不补，每天780元的大床房价格。性价比太低！', '短评打分': 1}
{'短评内容': '不错的酒店,就是早饭时间太短,早晨九点已经没有早饭可吃,简直过分!', '短评打分': 5}
{'短评内容': '取消', '短评打分': 3}
{'短评内容': '我们住的是酒店的B栋，条件很差，装修已经很旧了 ，估计要住A栋才行', '短评打分': 1}
{'短评内容': '我们住的是酒店的B栋，条件很差，装修已经很旧了', '短评打分': 1}
{'短评内容': '空调效果很差，价格偏高，服务不错，位置不错', '短评打分': 5}
{'短评内容': 'B楼房间比较老，房间状况一般，貌似只是挂了大九华宾馆的名，其实只是一般的快捷酒店。', '短评打分': 3}
{'短评内容': 'B楼房间陈旧,性价比不高。', '短评打分': 3}
{'短评内容': '性价比不高，空调在维修，整体效果不好，建议加强内部装饰。', '短评打分': 1}
{'短评内容': '池州大九华宾馆一如既往还是那样的干净，但如果一次性卫生用品能用完就换那就好了。', '短评打分': 5}
{'短评内容': '我己入住.', '短评打分': 3}
{'短评内容': 'nice', '短评打分': 5}
{'短评内容': '池州大九华宾馆的性价比一般，主要是在池州它的价格相对有点高。不能上网，这点特别不好。', '短评打分': 5}
{'短评内容': '住的B楼，感觉不好，设施很旧，停车还要收费十元，对于这么个城市来说实在不应该。', '短评打分': 1}
{'短评内容': '挺好的，性价比比较高~但是设施不是很新~', '短评打分': 3}
{'短评内容': '日嘛贵。趁国庆节房价涨到568元。有趁火打劫之意，性价比绝对不高。', '短评打分': 1}
{'短评内容': '相对于假期来说是比较适合的酒店，下次还会入住。', '短评打分': 5}
{'短评内容': '宾馆不错 环境也好 就是没有说明有早上直接到达九华山的车 如果前台提醒下会更好 再说下池州的公共交通不好用 ', '短评打分': 3}
{'短评内容': '宾馆不过 不过应该提醒下客人这里可以直接去九华山 池州公共交通不好 ', '短评打分': 5}
{'短评内容': '是三星级的大九华连锁快捷酒店，环境还不错，房间比较宽敞，还有早餐~性价比不错~', '短评打分': 3}
{'短评内容': '在池州这算比较好的酒店了 ，卫生服务都还可以，但早点的口味不是特别好！', '短评打分': 5}
{'短评内容': '＋总体还不错', '短评打分': 5}
{'短评内容': '酒店挺干净的，房间也够大，东西很全，不过卫生间是浴缸～总体性价比不错～', '短评打分': 5}
{'短评内容': '很整洁，很舒服，服务员态度也很好，值得住', '短评打分': 5}
{'短评内容': '感觉不错，但在池州可能算是稍贵，池州上网的酒店好像不多。', '短评打分': 5}
{'短评内容': '新的大楼条件不错!', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '在池州也算可以了', '短评打分': 3}
{'短评内容': '半夜空调开始停机，睡不着，恐怖！', '短评打分': 5}
{'短评内容': '在池州还是不错的宾馆', '短评打分': 5}
{'短评内容': '池州唯一好的酒店，每次来都住，就是买卖店服务员懒散了点', '短评打分': 5}
{'短评内容': '不错的酒店，就是不应该收停车费，请立即反映管理部门。', '短评打分': 5}
{'短评内容': '200元住的是老楼，应该不到四星级。', '短评打分': 3}
{'短评内容': '在池州还算是比较好的一家酒店', '短评打分': 5}
{'短评内容': '本来以为花200元住到四星级酒店，物超所值。实际上是，该酒店分老楼和新楼。200元住的是老楼，除了房间大点，其余的最多只能是3星。连早餐都是和新楼分开吃的。', '短评打分': 1}
{'短评内容': '微笑服务还相差很远', '短评打分': 5}
{'短评内容': '虽然不算很好,价格也不便宜,但在池州还算是可以的一家酒店,', '短评打分': 5}
{'短评内容': '酒店真不错！', '短评打分': 5}
{'短评内容': '就是停车要收费觉得不太舒服，虽然收的比较少，十块。但到了酒店消费，还第一个碰到要收费的。', '短评打分': 3}
{'短评内容': '性价比还是可以的。定的是标间，才220块。比较便宜，入住后发现卫生也是比较干净的。第二天的早餐稍稍单调了些。面食做的不是很好吃。', '短评打分': 5}
{'短评内容': '基本可以', '短评打分': 5}
{'短评内容': '酒店新楼还不错，但是价格有些高，450元，快达到合肥的5星酒店价格！', '短评打分': 5}
{'短评内容': '没有电脑', '短评打分': 5}
{'短评内容': '如果不是因为要去九华山，不是因为黄金周房间紧张，谁还能走到池州这么个城市？ 谁又能去住这么一个性价比超级差的酒店呢？ 但是客观的说，池州这个城市还是很漂亮的！环境好，道路很宽，徽派建筑很多，比较雅致，印象很好！', '短评打分': 3}
{'短评内容': '黄金周，游九华山，住池州，印象：外边环境好。卫生凑合，但在床上发现两只长型小虫子，希望不是跳蚤。三百多的房间里没有宽带，也不赠送矿泉水。现在不论是一百多还是五百的酒店都有两瓶赠饮的矿泉水。总台态度一般偏下，退房的时候说我爸他们房间的枕头上弄了点染发的颜色，要求赔枕套，二十元。他出差过无数城市，染发剂把枕套弄黑一点也不是第一次了，但赔枕套的事情还是第一次遇到。赔就赔了，二十元能买两对品牌的枕套，他那', '短评打分': 1}
{'短评内容': '酒店不错，卫生干净，比较舒服。就是价格偏高了点', '短评打分': 5}
