{'短评内容': '房间到是可以，空调不热，电视弄老半天，', '短评打分': 5}
{'短评内容': '从没有见过这样的酒店宾馆  让人及其失望！', '短评打分': 1}
{'短评内容': '挺好，干净整洁！', '短评打分': 3}
{'短评内容': '还不错，住了很多次了，呵呵呵，一如既往的温馨啊。。。', '短评打分': 5}
{'短评内容': '昨天入住挺好', '短评打分': 3}
{'短评内容': '酒店整体不错，服务也很热情，下次到莱阳还会选择住这里！', '短评打分': 3}
{'短评内容': '很好，尤其是服务', '短评打分': 3}
{'短评内容': '同类酒店中，如家较规范，特别是硬件，但员工过度培训，机械多余的问候并不另人舒服。', '短评打分': 3}
{'短评内容': '旅店地理位置很好，地处中心地段，附近无论是购物还是餐饮都很便利。旅店卫生条件不错，服务态度也不错，而且店家还送了我一张会员卡~', '短评打分': 5}
{'短评内容': '服务不错房间也宽畅，好评！', '短评打分': 3}
{'短评内容': '还可以啊  ，，服务态度特别好。。很热情，，只是前台的结账速度太慢了。。。明明有两个人，，可是只开放一个服务台，，另一个人在那站着也不管', '短评打分': 5}
{'短评内容': '己入住。房间很满意！', '短评打分': 3}
{'短评内容': '前面毫无遮挡，视线和空间都不错，还真是不错。', '短评打分': 5}
{'短评内容': '空间挺大 挺不错的  但是一贯如家的破电视....', '短评打分': 5}
{'短评内容': '还不错，环境好，停车位少，服务态度好,价格有点高', '短评打分': 5}
{'短评内容': '不错  服务很好 环境也不错 服务员见到客人都会问好 很温馨的感觉 很好', '短评打分': 5}
{'短评内容': '一般般吧，服务人员挺热情的，没有中晚餐供应。', '短评打分': 5}
{'短评内容': '酒店环境很好 房间比较大 卫生也很好 地理位置也不错', '短评打分': 5}
{'短评内容': 'Good location! Value for money!', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店不错，位置还比较好，去哪里都方便。价格不如直接用如家的会员卡合算。', '短评打分': 5}
{'短评内容': '空间比较宽敞，总体比较不错，价格也比较合理，', '短评打分': 5}
{'短评内容': '床头没有插座，和其他城市的如家不一样。洗澡水不热，是温的，房间的灯坏了一盏！', '短评打分': 5}
{'短评内容': '满分，无可挑剔，服务很好。到莱阳，选如家。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '就是十二点要退房，觉得不太合理，不过服务员不错，会允许在一点前完成退房。', '短评打分': 3}
{'短评内容': '位置不错，服务不错。', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '在莱阳有如家比较出乎意外，不过位置还不错，就是房间里感觉有点冷，开了空调不是很明显了。不过还是不错的。', '短评打分': 5}
{'短评内容': '优点：洁净，服务规范。地理位置也不错，周边超市、饭店都很方便。\r\n缺点：总台服务员素质不高，很机械、不够热情，缺乏服务意识及微笑服务，倒是在走廊上见到打扫卫生的服务人员都非常热情，这以前在别的地方不太多见。白天的时候淋浴的只有温水，没有热水。另外门前车位很拥挤，停车不方便。\r\n', '短评打分': 5}
{'短评内容': '酒店不错，很温馨，有饮水机，不错，呵呵。。。。', '短评打分': 3}
{'短评内容': '人都很热情', '短评打分': 5}
{'短评内容': '感觉酒店的整体条件都还挺好的,没什么需要改进的地方,给人一种家的感觉,挺温馨的,就是位置有点偏.', '短评打分': 3}
{'短评内容': '暖气是坏的，无法理解在冬天暖气会没有，价格却没变', '短评打分': 1}
{'短评内容': '不错上网地方，位置在最繁华的地方，呵呵', '短评打分': 5}
{'短评内容': '酒店的服务很不错，房间也挺干净的，不过设施条件稍微差一点点，该有的虽然都有，但是像电视一类的，竟然没有信号，不过也能都怪酒店，在当地也没有什么特别好的酒店，其他都是小旅馆，出门也不敢住，所以还是如果放心，起码干净。', '短评打分': 3}
{'短评内容': '白天老是停电当时和酒店前台反映他们说是电路的问题反正是修了一下午才修好,酒店的位置有些偏了价格还行,房间的设施和卫生还是比较不错的,总体感觉还很好.', '短评打分': 3}
{'短评内容': '如家快捷都挺好的，服务方面管理的很不错，房间也都很干净，而且在这个位置的如家，交通什么也都挺方便的。', '短评打分': 3}
{'短评内容': '很舒适！', '短评打分': 5}
{'短评内容': '酒店的硬件设施有点不足,而且酒店大堂太小了,房间还是可以的,环境还可以,也蛮干净的,价格还算实惠.', '短评打分': 5}
{'短评内容': '............这个价钱值了', '短评打分': 5}
{'短评内容': '经常住如家酒店，价格也很优惠，挺干净的，就是酒店提供的早餐不便宜，而且分量也不多', '短评打分': 5}
{'短评内容': '位置服务卫生环境菜肴都很好，就是价格贵了，100元最多了，151可以住3星级了', '短评打分': 5}
{'短评内容': '和其它如家没什么区别.这家周边环境不错交通挺方便的,价格也蛮实惠的.', '短评打分': 5}
{'短评内容': '酒店的价格优惠，交通嘛还算挺方便的，服务也比较不错。', '短评打分': 5}
