{'短评内容': '还不错。。。。。以后还会来的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境、服务、卫生和餐饮都不错，交通也方便。有一点需改进，客人用6元买一套洗漱用品质量差，相当于2星酒店每天送的那种。小袋香波和沐浴液只够用一次，牙膏用两天，如住两天以上需再买，牙刷梳子又多余浪费了。此项措施名曰绿色环保， 实则让客人多花钱浪费资源。', '短评打分': 5}
{'短评内容': '宾馆环境幽静，距岳麓山和橘子洲很静，不错。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。一般', '短评打分': 1}
{'短评内容': '总体还是不错的，感觉很安静，空气也不错，周围购物也方便。只是可惜了，高级山景房几乎没看到山，哈哈哈！~', '短评打分': 5}
{'短评内容': '环境及周边配套及交通都不错,服务水准有待提高.', '短评打分': 5}
{'短评内容': '还行， 安静，服务好，早餐不错，就是打“的”有点困难', '短评打分': 5}
{'短评内容': '湖南大学、中南大学几个高校附近枫林算比较高档点的酒店了，前台的办事效率不敢恭维，慢得可以，值得推荐的是那里的自助早餐，品种较多，现做的粉面，还有好多小菜，比外面的好吃多了，每天早上都要吃一碗', '短评打分': 5}
{'短评内容': '酒店设施很一般 而且早餐也很差  房价偏高', '短评打分': 3}
{'短评内容': '长沙 枫林宾馆环境很好，离岳麓山贵院大门缆车站步行仅10分钟路程，这里位于荣湾镇湘江大桥西桥头，交通业十分便利。', '短评打分': 5}
{'短评内容': '早餐很好，品种非常多，而且味道不错，午餐晚餐一楼的餐厅也会让你很满意', '短评打分': 5}
{'短评内容': '豪华山景房比高级山景房没太大区别，所以推荐高级山景房', '短评打分': 5}
{'短评内容': '符合四星标准，就是太环保了，一次性洗漱用品6块一套', '短评打分': 5}
{'短评内容': '靠近岳麓山，离中南大学、湖南师范大学等学校比较近', '短评打分': 5}
{'短评内容': '宾馆很不错，设施还是可以的。就是没一次性洗漱用品', '短评打分': 5}
{'短评内容': '环境很好，推荐，价格也比较适中，在岳麓山附件', '短评打分': 5}
{'短评内容': '卫生不干净，基本没有服务，不符合四星级标准，', '短评打分': 1}
{'短评内容': '非常不错，强烈推荐\r\n\r\n非常不错，强烈推荐\r\n\r\n非常不错，强烈推荐\r\n', '短评打分': 5}
{'短评内容': '   宾馆条件不错，环境优美。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '就是有蚊子 ，前台服务员的服务态度不积极', '短评打分': 1}
{'短评内容': '这次是和父母、孩子一起入住，父母很满意。\r\n酒店离岳麓山很近，步行5分钟即可。早上可以去散步，山上不时茶香或花香扑鼻。\r\n对面有大型的商场，商场下面是超市，买东西很方便。\r\n酒店的服务人员很客气。\r\n早餐环境和品种都很满意。\r\n', '短评打分': 5}
{'短评内容': '空气不错，很安静，也很舒服，救是淋浴房太小，花洒不好，交通有点不方便，不过有车就好', '短评打分': 5}
{'短评内容': '还不错，靠近岳麓山,环境比较好啦\r\n随便到哪里都方便', '短评打分': 5}
{'短评内容': '位置很好，高楼层山景很好，也比较安静，设施和服务也很到位，前台价相对有点高，但会员价性比价还是可以的。不过，网络预订似乎不能指定要标准单人房，只能定到标准双人间。办入住的时候竟然说因为是标准双人间问我要两张身份证。\r\n', '短评打分': 3}
{'短评内容': '位置很好，高楼层山景很好，也比较安静，设施和服务也很到位，前台价相对有点高，但会员价性比价还是可以的。\r\n不过，网络预订似乎不能指定要标准单人房，只能定到标准双人间。办入住的时候竟然说因为是标准双人间问我要两张身份证。。。', '短评打分': 5}
{'短评内容': '靠近岳麓山，环境位置都不错，就是吃饭价格高一点', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '位于岳麓山脚，环境非常好，也便于游览景区。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这家酒店还是不错的，前台服务还是比较专业的，房间卫生打扫的也蛮干净的，设施方面也比较齐全，酒店位置很好，出行很方便的，价格方面整体感觉还是比较合适的。', '短评打分': 5}
{'短评内容': '宾馆背靠岳麓山，离橘子洲也不远，位置对来长沙旅游的人非常理想。但是也是由于靠山，屋内稍显潮湿，对于有风湿关节的旅客来说不是十分舒适。此外当天入住酒店的人员很多，所以前台人员对我们的询问表现的并不十分令人满意。', '短评打分': 5}
{'短评内容': '酒店比较新，周围环境比较好，卫生也较好，交通方便，离高校近', '短评打分': 5}
{'短评内容': '整体感觉不错，与其四星级别吻合', '短评打分': 5}
{'短评内容': '五楼麻将客房烟味太重', '短评打分': 1}
{'短评内容': '与星级酒店的服务不符！', '短评打分': 1}
{'短评内容': '第一次去这酒店很满意,位置市中心交通方便,服务很周到,卫生干净.性价比很高.', '短评打分': 3}
{'短评内容': '感觉还可以.', '短评打分': 5}
{'短评内容': '对这家酒店各方面基本还是比较满意的,实际情况与网上所看到都差不多,没有遇到什么问题.', '短评打分': 3}
