{'短评内容': '环境一般，', '短评打分': 3}
{'短评内容': '酒店服务及早餐较好，房内环境好，床超级的大。就是位置不好找，但也是旺中带静。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '暖气噪音很大', '短评打分': 3}
{'短评内容': 'very nice...very very very nice...will be back again...', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还是不错的，价格再便宜点是最好的~~~~~~~~~', '短评打分': 5}
{'短评内容': '非常可以啊~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '电吹风坏的，水龙头烂的，沙发脏的，而且价格还贵，下次不会入住。', '短评打分': 1}
{'短评内容': '+还挺好的，住的舒服，周遭小店吃饭洗脚的都很方便。', '短评打分': 5}
{'短评内容': '房间挺大，挺干净，设施也不错，床很大很舒适，', '短评打分': 5}
{'短评内容': '酒店很好，服务很周到，套房设施挺齐全，有电脑，还有浴缸。住很舒适。', '短评打分': 5}
{'短评内容': '各方面还不错，整体感觉性价比还是挺好的。', '短评打分': 5}
{'短评内容': '房间大，位置不错，早餐不错，只是电视有点杂声。', '短评打分': 5}
{'短评内容': '酒店还不错，干净舒适，出行交通便利，值得推荐一下。', '短评打分': 5}
{'短评内容': '房间里的家具用品比较粗糙，床单不干净，电视机奇小无比，恐怕博物馆都找不到了。总之，性价比不高，不值得推荐。', '短评打分': 1}
{'短评内容': '性价比不错，比较满意。', '短评打分': 5}
{'短评内容': '总体感觉除房间设施陈旧差点外,其他基本OK.', '短评打分': 5}
{'短评内容': '酒店很不错，环境很优雅，房间布置的挺温馨的，设施也挺齐全，周边交通也还行，整体感觉住的很舒适。', '短评打分': 5}
{'短评内容': '酒店各方面服务还可以，硬件设施和卫生条件一般.位置很好很方便出行.总体感觉还可以.', '短评打分': 5}
{'短评内容': '并不是太靠近中心，不过有了几分宁静。房间内感觉很好，建议选择楼层高的住、特别是大床房，好家伙，那床真够宽，并排几个人都没问题。', '短评打分': 5}
{'短评内容': 'very dood!', '短评打分': 5}
{'短评内容': '非常好.', '短评打分': 5}
{'短评内容': '酒店的管理很一般。服务生居然一大早打电话来房间问有没有洗衣，影响休息。', '短评打分': 5}
