{'短评内容': '早餐不错，可以去品尝下。旅行、出差、首选。', '短评打分': 5}
{'短评内容': '不错，就是地点有点偏僻，吃东西不方便。下次还是住索菲亚店', '短评打分': 5}
{'短评内容': '非常好，特别是吹风机。服务态度也非常好，还有前台的糖，我吃了5，6个。总之很满意', '短评打分': 3}
{'短评内容': '又干净又安静的酒店，旁边就是麦德龙，用锦江之星的房卡可以去麦德龙哦！东西很全的！', '短评打分': 5}
{'短评内容': '安静，但二楼偏凉，地板也有坏的，整体还好。', '短评打分': 3}
{'短评内容': '酒店不错~设施很好~服务态度也不错~赞一个~', '短评打分': 5}
{'短评内容': '离机场较近，住宿环境较好，交通方便。适合去机场人居住。', '短评打分': 5}
{'短评内容': '距离机场确实很近＇，但感觉不是很干净／，也没育无线上网', '短评打分': 5}
{'短评内容': 'room great, reservation so quickly', '短评打分': 5}
{'短评内容': '离机场较近，住宿环境较好，交通方便。适合去机场人居住，机场大巴就在附近有站。\n', '短评打分': 5}
{'短评内容': '很干净~服务态度也不错~赞个先~~~推荐~~~', '短评打分': 5}
{'短评内容': '酒店的卫生和服务还不错，就是房间有点小。', '短评打分': 5}
{'短评内容': '除位置偏、窗户小和早餐品种单一些，其余均是正统的锦江特色。', '短评打分': 5}
{'短评内容': '很不错!', '短评打分': 3}
{'短评内容': '挺干净的\n冬天室内温度也不错\n早餐也可以', '短评打分': 5}
{'短评内容': ' 酒店环境还不错，感觉很安静，希望能住得愉快。', '短评打分': 3}
{'短评内容': '市内来说空间最大的锦江了！不错的，就是离市中心较远', '短评打分': 5}
{'短评内容': '已经是第二次入住了，前台很热情，入住的时候已经很晚了，幸好还有车位，如果有地下或者室内的停车场就更好了。', '短评打分': 5}
{'短评内容': '基本满意，就是锦江替叫出租车比出租车司机自报多了50元。而且房价也比市区的房价贵!', '短评打分': 3}
{'短评内容': '不错，有早餐就更好啦！嘻嘻！', '短评打分': 3}
{'短评内容': '服务周到，环境安静，交通便利。下次还住。', '短评打分': 5}
{'短评内容': '价格相对而言较高，地理位置偏僻，周边没有什么可以吃东西的地方，房间设施比较简陋，房间比较窄。优点是：安静，房间清洁卫生，床很舒适，房间采暖非常好。', '短评打分': 1}
{'短评内容': '地方虽然偏一些，但周围什么都有，环境还不错。', '短评打分': 5}
{'短评内容': '很安静，位置离机场相对较近。房间很干净，不错！', '短评打分': 5}
{'短评内容': ' 没有电视 环境比较好', '短评打分': 5}
{'短评内容': '屋子有点小，而且没有电视，希望下次可以看上电视', '短评打分': 5}
{'短评内容': '干净，安静，还不错', '短评打分': 5}
{'短评内容': '还不错。旁边有家麦德龙超市，购物很方便。尤其是离机场巴士站很近，要是坐飞机的话很方便。', '短评打分': 5}
{'短评内容': '房间隔音效果不太好，走廊很吵，床单毛巾有些旧，电视比较小啊，服务倒是还好，要自己去找房间，没有人领路。由于地点需要，我其实住了好几次了，感觉有些退步了', '短评打分': 1}
{'短评内容': '感觉房间布局不错，装修也得体，就是毛巾床单枕套啥的有点旧了！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '感觉不错，服务不错，只是房间的隔音差点。', '短评打分': 5}
{'短评内容': '很满意 ', '短评打分': 5}
{'短评内容': '？？？??？？？？？？？？？？？？？？？？？？？？？？？', '短评打分': 3}
{'短评内容': '总的来讲还是可以，但是位置不大好找，需要有人领着你去', '短评打分': 5}
{'短评内容': '还不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '就是位置有点偏了。。。旁边有个麦德龙挺方便的', '短评打分': 5}
{'短评内容': '洗澡应该用沐浴露', '短评打分': 3}
{'短评内容': '卫生,早晚餐丰富', '短评打分': 5}
{'短评内容': '温馨、舒适', '短评打分': 5}
{'短评内容': '房间挺干净，也很清静。', '短评打分': 5}
{'短评内容': '该店门脸应该单独开辟一处进口和停车场。房间的说明书应该再详细些。', '短评打分': 5}
{'短评内容': '不错，服务挺好的，房间也很干净，就是早上打车难点。。', '短评打分': 5}
{'短评内容': '位置不错，条件比较好，住得很舒服。', '短评打分': 3}
{'短评内容': '不错的旅店，交通很方便。工作人员也很热情！以后有机会还会再去住的', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '总体来说还可以，价格也算适中，就是房间里有股味道，好像每个房间都这样，大堂里上网很不方便的，而且还要收费，其他店都是免费的，而且在大堂里上网环境蛮好的，这家点次一些，住着还算舒服。', '短评打分': 5}
{'短评内容': '很好的酒店下次还住', '短评打分': 5}
{'短评内容': '总体还是不错的。就是早自助更换不够及时，房间不隔音太吵，中央空调全开房间也不太暖和，且空调声音有够大，不关影响晚上休息。', '短评打分': 5}
{'短评内容': '不错,要了朝南的房间,有太阳晒,满舒服的...', '短评打分': 5}
{'短评内容': '屋子很大，很明亮，很舒适，就是隔音一般！', '短评打分': 5}
{'短评内容': '是帮一位外宾预订的，锦江之星一直是他出行的必选之一。无论服务、住宿条件都不错。', '短评打分': 5}
{'短评内容': '服务不错，', '短评打分': 5}
{'短评内容': '距离中央大街等旅游热点区稍微远了一点，跟散客团去滑雪要自己早上打的。前台很热情，但是房间有点异味，房间的床单有污迹，墙壁显得有些脏，居住感觉一般。价格中等。', '短评打分': 1}
{'短评内容': '整体不错！很干净，订单上写的付费宽带，实际上是免费宽带！！', '短评打分': 5}
{'短评内容': '此酒店性价比还不错，但是里边的卫生状况稍微差了一点，另外卫生间水龙头出水量太小了，不方便。', '短评打分': 5}
{'短评内容': '服务态度还是挺好的,位置还是比较好找的出行挺方便的,房间的卫生和设施还是挺不错的,性价比也挺高的,总体感觉还是挺不错的酒店.', '短评打分': 3}
{'短评内容': '房间和卫生间很干净，周边环境也不错，很安静，对面就有个派出所，旅馆院里有个很大的仓储式麦德龙超市，在马路对面可以直接坐20路公交1块钱直达中央大街，索非亚教堂，也很方便，旅馆服务态度也不错，还提供了周边的旅游景点以及坐车路线的小卡片，看着一目了然很舒服。酒店餐厅环境也很优雅，就是饭菜的品种很少，晚9点就没饭了，上网免费，但我没有使用，不知网速快不快，市话是免费的。总之这个价位的服务和旅店设施，清洁', '短评打分': 3}
