{'短评内容': '房間不错，環境不錯，以後出差，还会選擇這个酒店', '短评打分': 5}
{'短评内容': '背靠青山，面前湖水微波荡漾，景观雅致，服务规范', '短评打分': 5}
{'短评内容': '背靠青山，面前湖水微波荡漾，景观雅致，服务较好', '短评打分': 5}
{'短评内容': '一直住那里，非常好就是价格有点高', '短评打分': 5}
{'短评内容': '酒店还可以吧，服务有待提高', '短评打分': 3}
{'短评内容': '＋不错 就是预订价与前台报价无差别', '短评打分': 3}
{'短评内容': '给我的是3楼的湖景房，但是楼层太矮了，都被大树挡住了，看不到湖景，所以大家要湖景房，至少要4楼以上的。其他，就是嘉宾楼离主楼登记的对方有些距离。', '短评打分': 5}
{'短评内容': '早餐不错，从房间望出去的风景很漂亮，下次还会住', '短评打分': 5}
{'短评内容': '很不错的酒店，符合五星级的要求。\n酒店位置不错，就在云龙湖边。', '短评打分': 5}
{'短评内容': '景色还好，人手服务欠缺', '短评打分': 3}
{'短评内容': '不错的酒店，安静，舒适，有观景的阳台，还有赠送的水果。可以淋浴，也可泡澡。', '短评打分': 5}
{'短评内容': '不是第一次订了，一如既往地好\n不愧是五星级', '短评打分': 5}
{'短评内容': '徐州开元名都大酒店房间大，环境好，早餐不错，值得。', '短评打分': 5}
{'短评内容': '徐州开元名都大酒店挺干净，环境也好，下次出差换住这。', '短评打分': 5}
{'短评内容': '酒店很豪华，风景秀丽，湖光山水一色，早餐也不错', '短评打分': 5}
{'短评内容': '性价比太低了，除了景色不错，服务员不专业、设施陈旧、交通不便，不会再来了。', '短评打分': 1}
{'短评内容': '优点：1、客房服务员态度温柔，反应速度很快。\n      2、湖景不错，房间的香气也很舒服。\n      3、泊车员服务到位。\n      4、提供的枕头种类很多，十分方便。\n      5、处于风景区内，夜晚很安静，交通略有不便。\n\n缺点：1、前台接待人员专业性有待加强，在人手充足的情况下晾下一个你在服务的客人，不打声招呼就去服务另一拨客人完全没有理由；连笔都不提供还理所当然地等着客人签字也很滑', '短评打分': 1}
{'短评内容': '酒店创意挺好,卫生间没有门,浴缸下水没有处理好,房间很臭.', '短评打分': 3}
{'短评内容': '每次去徐州都只住开元，你懂的！酒店条件没得说，住的时候是9月初，还有很多蚊子！希望酒店在推拉门处多用一个纱门，这样既能开门，又能防蚊！', '短评打分': 5}
{'短评内容': '还不错，软件环境较好，卫生间挺大，可看见云龙湖', '短评打分': 5}
{'短评内容': '嘉宾楼下的餐厅整个大堂都没有暖气，8点去的时候早餐好多都已经凉了，与五星标准差的太远，服务人员的工作态度倒是非常好！', '短评打分': 5}
{'短评内容': '服务和硬件设施都不错，比金陵（电力宾馆）强多了，只是没早餐，有点掉价', '短评打分': 5}
{'短评内容': '服务设施都不错，已经推荐同事，下次再来。', '短评打分': 5}
{'短评内容': '我定的是湖景房，但房间前有一幢房，正好挡住湖景。。。这个也能叫湖景房？？？房间总体感觉一般，而且半夜有蚊子，作为五星实在是太。。。。。', '短评打分': 5}
{'短评内容': '酒店总体都很好，唯一的缺点是网络很不稳定。', '短评打分': 5}
{'短评内容': '早餐虽然还行，但是还要进一步精致，和我去过的国际酒店还有点差距，差距虽然微小，但是感受巨大。比如，徐州地方特色的早点应该更精致，码放打整齐，各种徐州地方汤品（辣汤）要保温，而不是反复加温，反复加温会对身体不好，而且低档，客人感觉不好。', '短评打分': 5}
{'短评内容': '酒店很有档次 据说是当地最好的了 就是离市中心稍有点远', '短评打分': 5}
{'短评内容': '硬件还行，就是到酒店门童收汽车钥匙的态度太差，也是酒店的漏洞，让人忍无可忍，提建议还被攻击，无语。。。', '短评打分': 1}
{'短评内容': '服务态度好,环境一流', '短评打分': 3}
{'短评内容': '服务实施，卫生都很好。饭菜的价格有点贵。以前还报早餐，不知为什么取消了？ 留点吸引人的地方不好吗？', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '很好，设施很好，服务不错，早餐很棒！还来！', '短评打分': 5}
{'短评内容': '环境不错，服务周到。有宾至如家的感觉。不愧是徐州最好的酒店。', '短评打分': 5}
{'短评内容': '客户对酒店要求高，就只能选这里了，软硬件环境都很不错。湖景房不错。', '短评打分': 5}
{'短评内容': '位置较好。停车管理不规范，保安说地上是临时停车，我明明看到有些车停放超过半天。靠近“V”形角落的湖景房只能看到小部分湖景，房费却一样，很不合理。', '短评打分': 5}
{'短评内容': '酒店的硬件一流，大堂很气派。周围的环境优美，临湖而建。', '短评打分': 5}
{'短评内容': '客房设施不错，前台服务很好，就是有些所谓的山景房明明只能看到房顶，下次能否改改名称。湖景房值得推荐。', '短评打分': 5}
{'短评内容': '挺好，就是有点远。湖光山色，很美。服务很好。', '短评打分': 5}
{'短评内容': '作为一五星级宾馆竟然有如此的霸王条款：\n1、车必须停到地下车库，地上不许停，满眼望去，地上全是车；\n2、车停在地上，必须把钥匙交给门童；\n3、门童在你交钥匙时，给你一张卡，卡上白纸黑字注明：车辆任何损失与酒店无关！\n4、大堂解释，卡上注明的内容只是书面意见，客户不必在意，真损失了我们会赔的。\n\n总之，我没住，闪人了。。。。。', '短评打分': 1}
{'短评内容': '这个酒店位置很好，就是宴会多影响休息，价格适中。总体来说徐州没有多少选择，不是这里就是小南湖', '短评打分': 5}
{'短评内容': '感觉很好', '短评打分': 3}
{'短评内容': '酒店位于云龙湖边，环境优美，酒店装修还可以！就是价格有点贵', '短评打分': 5}
{'短评内容': '除了位置以外，其他真的没有可以推荐的。早餐差，服务差。房间小。', '短评打分': 1}
{'短评内容': '环境非常好，空气也很好，完全属于那种曲径通幽处的感觉。唯一不足的是软件方面有待提升，不过在徐州也算是No.1的。', '短评打分': 5}
{'短评内容': '环境超赞 早餐很丰盛 五星级酒店名副其实 下次去徐州还会入住 向大家隆重推荐 价位也还可以接受毕竟物有所值吗', '短评打分': 5}
{'短评内容': ' 很好的酒店。', '短评打分': 3}
{'短评内容': '环环境优美 商务入住 没有问题了 早餐也不错', '短评打分': 5}
{'短评内容': '此店六月住过，感觉不错，本次携三代人旅游又住此店，刚进门，本次服务如何还不知？', '短评打分': 3}
{'短评内容': '价格不错，早餐也很好，酒店的设施整体都非常好', '短评打分': 5}
{'短评内容': '酒店服务挺好， 食品业比较好吃， 适合度假， 面湖的房间风景不错  ', '短评打分': 5}
{'短评内容': '下次还是会选择这家酒店的，性价比还是很高的', '短评打分': 5}
{'短评内容': '酒店很不错，就在湖边，风景很不错，就是远了一点', '短评打分': 5}
{'短评内容': '环境很好 背山面湖 没的说  当然价格在徐州也算高的了 ', '短评打分': 5}
{'短评内容': '酒店在云龙湖边，景色很美，气温都比市里低二度，房间设施也好，明卫生间很是漂亮', '短评打分': 5}
{'短评内容': '很不错的酒店，就是价钱有些贵。下次还会选择。', '短评打分': 5}
{'短评内容': '环境很好 价格在徐州算是比较高的 适合要求比较高的人群', '短评打分': 5}
{'短评内容': '酒店设施都还不错，但是软件比较差，入住结账都很慢。 在云龙湖边上，环境不错，但是比较潮湿。 定的是湖景房，但是看不到湖。', '短评打分': 5}
{'短评内容': '开元旗下的酒店，非常不错，而且免费办理会员卡，入住还可以积航空公司里程', '短评打分': 5}
{'短评内容': '高铁东站离市区太远，客户又在徐州西边，就在市区选了一家风景极佳的酒店。', '短评打分': 5}
{'短评内容': '早饭很给力，品种丰富，早起后到云龙湖边走一走很惬意', '短评打分': 5}
{'短评内容': '总体不错，价格也算合理，在当地，算得上首选', '短评打分': 5}
{'短评内容': '酒店周围景致不错，酒店设施也不错，蛮舒适的，适合度假', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '在徐州能够找到这样的酒店，真的是非常不错。\n苍蝇多了点。\n其他都很不错。强烈推荐。以后有机会还会过来。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '酒店还是不错的。很舒适，在房间里切西瓜没有刀子，服务员给拿来一个长长地长长地大刀。我们的朋友都说徐州的人热情，喜欢大家伙，连刀子都是特大号的。', '短评打分': 5}
{'短评内容': '应该说这是徐州最后的酒店之一。环境好，靠近云龙湖，徐州人没有不知道这的。服务也好，就是太安静了呵呵。', '短评打分': 5}
{'短评内容': '很好的酒店，在徐州这个地区还是因该算最好的吧。\n风景不错，没啥大毛病。\n不过卫生间没有润肤乳。没有刮胡刀。\n建议卫生间装个小喇叭，可以将电视机的音频信号接入，这样边洗澡就能边看电视拉。\n吃早饭时苍蝇多了点。\n走的时候掉了充电器，后来被完好的归还。\n总之非常满意。\n以后来肯定是首选。', '短评打分': 5}
{'短评内容': '舒适的酒店，设施比较新，湖景房风景不错。房间没有润肤乳。', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '每次来徐州都会入住的，环境很好，就是有点贵', '短评打分': 5}
{'短评内容': '喜欢开元的风格，是认真做酒店的人，看得到用心之处，推荐', '短评打分': 5}
{'短评内容': '不错,下次去的话还会入住，环境和服务都很不错', '短评打分': 5}
{'短评内容': '酒店设施服务都不错，山景房、湖景房都别有一番风味，推荐。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '酒店环境非常不错，服务人员也非常好，值得推荐啊！', '短评打分': 5}
{'短评内容': '很不错。就是前台接待再多弄几个就好了。。。。。。。房间的电视与酒店的档次不太匹配。可以考虑换成背投', '短评打分': 5}
{'短评内容': '房间设施有待改进，尤其是空调无暖风；\n服务费30%似乎超出业内标准。', '短评打分': 5}
{'短评内容': '位于云龙湖的西侧,景色很好,适合旅游住宿,不过现在住房间有些冷,空调不起作用', '短评打分': 5}
{'短评内容': '酒店挺好的，就是嘉宾楼比较远，且入口大堂没有服务员，Check-in后找电梯找了一会儿', '短评打分': 5}
{'短评内容': '酒店周围环境很好，但是嘉宾楼有些陈旧，应该不够五星标准。前台的工作人员比较认真，但是效率有些低，退房需要20多分钟。希望以后客人再提出意见时，能听到一句对不起，而不是各种理由', '短评打分': 5}
{'短评内容': '湖景房不错', '短评打分': 3}
{'短评内容': '开元名都经常住，早饭品种丰富值得推荐，娱乐设施一流。', '短评打分': 5}
{'短评内容': '？Dp66，不错', '短评打分': 3}
{'短评内容': '环境优美服务到位游泳池特别好', '短评打分': 3}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境不错，依山傍水，湖景房的风景很好。不足之处是多楼宇分布，但前台只有一处，若所订房间不在主楼，走到房间的时间较长，不是很方便。', '短评打分': 5}
{'短评内容': '入住服务及房间观景都很棒!', '短评打分': 3}
{'短评内容': '体重计是坏的没有显示', '短评打分': 3}
{'短评内容': '徐州最早的五星级酒店之一，环境设施都不错，就是楼房太分散，如果订不到主楼，要走几分钟才可以', '短评打分': 5}
{'短评内容': '绝佳风景区，非常值得入住。早餐有很多徐州特色小吃，很棒。', '短评打分': 5}
{'短评内容': '硬件还行，服务有待提高', '短评打分': 3}
{'短评内容': '酒店蛮新，硬件不错，靠着一个湖，风景也好，周边安静，但是有些偏。早餐种类丰富。', '短评打分': 3}
{'短评内容': 'eLong是不是签了便宜的房间啊，订的是标准大窗湖景房，在离大堂很远很远的嘉宾楼3308室。\n装修确实是五星级的风格，但是...............卫生间洗手台上都是干掉的水渍，很明显服务员没擦过，第一次住五星级遇上脏水台，衣橱橱门处还留着橱内的床单一角在外面。\n\n刚刚入住，有什么优点缺点我继续补。', '短评打分': 1}
{'短评内容': '非常好的酒店', '短评打分': 3}
{'短评内容': '           环境不错，早餐可以，有大阳台，就是楼层分布太远，不好找。', '短评打分': 5}
{'短评内容': '环境优越，但停车不太方便，（楼层分布远）', '短评打分': 5}
{'短评内容': '开元酒店总体不错，酒店位于云龙湖畔，风景很好，层内安静，卫生服务都好，就竖吃饭等的时问长了点。', '短评打分': 5}
{'短评内容': '好好好，会向我的朋友推荐这家酒店。会向我的朋友推荐这家酒店。', '短评打分': 5}
{'短评内容': '帮老外预订的，很好的酒店，游泳池很大就在大堂后面', '短评打分': 5}
{'短评内容': '非常棒的酒店，下次去徐州还住这里，门口的湖很漂亮', '短评打分': 5}
{'短评内容': '浴缸里面居然有只大大蜈蚣，而且没有任何一人出面为此事道歉或者负责！！！', '短评打分': 1}
{'短评内容': '房间舒适，有阳台可以赏景，酒店大堂气派，出门就是云龙湖早上起床后可以在湖边散步。', '短评打分': 5}
{'短评内容': '服务非常好，位置离市中心有点距离，但出门就是云龙湖，景色不错。推荐！', '短评打分': 5}
{'短评内容': '在徐州的酒店中设施和服务算不错的          ', '短评打分': 5}
{'短评内容': '保安的服务一般，前台小姐没什么笑容。酒店的早餐不如其他同等城市五星的早餐，较一般。', '短评打分': 5}
{'短评内容': '+06、07年曾几次住过这个酒店,整体感觉还不错,但总有施工不断的印象,显得有些零乱。', '短评打分': 5}
{'短评内容': '我帮我的国外客户订的这家酒店，原本想这是徐州一家不错的酒店，周围环境非常优美。但第二天客户抱怨说晚上一夜没睡好，原因是总听见有人穿高跟鞋走动的声音，特烦人。晚上还好浴室冷热水都有，但早上光有热水没有冷水，冷水管没有冷水出热水，辛亏矿泉水瓶里有冷水，只好用它洗漱了。非常郁闷。', '短评打分': 1}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '酒店确实不错，条件很好。是度假的好地方，英文不错。而且游泳方便', '短评打分': 3}
{'短评内容': '面湖的房间非常棒, 还有个大阳台可以品茶观景. 游泳池的水很干净,下次来徐州一定还是住这里!', '短评打分': 3}
{'短评内容': '面户的房间非常棒, 还有个大阳台可以品茶观景. 游泳池的水很干净,下次来徐州一定还是住这里!', '短评打分': 5}
{'短评内容': '酒店品牌是不错，值得推荐，但普通标间和大床房的毛巾浴巾已经慢慢变黑饿了，需要及时更换，总体来说，值得推荐', '短评打分': 5}
{'短评内容': '位置好，设施全，KTV，桑拿，游泳馆，餐厅美食，一应俱全，早饭丰富，性价比高。', '短评打分': 3}
{'短评内容': '位置很好，设施齐全。', '短评打分': 5}
{'短评内容': '应该算是当地最好的酒店了，非常舒适，交通方便，下次去徐州还会入住这家酒店。', '短评打分': 5}
{'短评内容': '服务可以，但房间地毯、床单、毛巾等用品质量需大力提高', '短评打分': 3}
{'短评内容': ' 服务可以，房内床单、毛巾、洗漱用品质量有待提高。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '很完善', '短评打分': 5}
{'短评内容': '性价比很差', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好酒店。', '短评打分': 3}
{'短评内容': '徐州最好的酒店，就是离市区有点远。', '短评打分': 3}
{'短评内容': '出门就能看到美丽的云龙湖，当然面湖的房间很贵。游泳池很别致在室外，但冬天容易着凉。', '短评打分': 5}
{'短评内容': '环境很不错，值得推荐！', '短评打分': 5}
{'短评内容': '绝对是值得入住的酒店，尤其是靠着云龙湖，很美。建议餐厅可以改进下', '短评打分': 5}
{'短评内容': '酒店早餐比较丰富，适合中国人的口味。', '短评打分': 5}
{'短评内容': '酒店不错,听说是徐州最好的酒店。服务设施也不少,卫生服务都可以.风景很好,在云龙湖边.', '短评打分': 3}
{'短评内容': '第二次住在这个酒店，都还不错.装修显得不太新了.卫生和其他方面都很好.', '短评打分': 5}
{'短评内容': '地理位置很好', '短评打分': 5}
{'短评内容': '环境很好，价格很适中', '短评打分': 5}
{'短评内容': '设施很好，位置略偏，周围没有饭店，好在打车也方便，毕竟是5星酒店。下次可以继续入住', '短评打分': 5}
{'短评内容': '位置好，面湖。有阳台。很舒服。就是前台太慢。', '短评打分': 3}
{'短评内容': '真不错的酒店，各个方面都值得推荐除了价格', '短评打分': 3}
{'短评内容': '硬件很好，但服务实在是太差了。', '短评打分': 5}
{'短评内容': '环境优雅，服务到位，价格合理，值得推荐', '短评打分': 5}
{'短评内容': '大堂太气派了，就是结账时服务员居然质疑我吃了小食品，但我根本没打开过冰箱，应该是布置房间时服务员忘了摆放了！', '短评打分': 5}
{'短评内容': '酒店位置虽然离市区有些远,但紧靠云龙湖,风景很优美,硬件设施和服务都很好,符合五星标准,适合度假及商务,也适合举办一些比较大型的会议.', '短评打分': 5}
{'短评内容': '目前算是徐州最好的酒店了。', '短评打分': 5}
{'短评内容': '环境不错,依山傍水，总体在徐州算是最好的。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '比较干净，价位比较合适', '短评打分': 5}
{'短评内容': '环境不错，就是服务员不够专业，尤其是商场的！', '短评打分': 1}
{'短评内容': '住的是迎宾楼最便宜的房，标间价格408。比较失望，房间装修陈旧，卫生间浴缸堵塞排水不通畅，房间有异味。因为就一晚，第二天就走，所以也没计较，也没换房间。一个好处，房间是正对湖景的，景色绝对一流。', '短评打分': 5}
