{'短评内容': '厕所卫生很差，梳妆台上看着很脏', '短评打分': 4}
{'短评内容': '还可以，交通也很方便，相比之下性价还是比较高的，就是早餐实在有待改进。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '价格公道，环境一般', '短评打分': 3}
{'短评内容': '交通便利，房间很清洁，只是卫生间玻璃应换成磨砂的。', '短评打分': 5}
{'短评内容': '挺不错的。坏境也还可以。服务比较人性化，', '短评打分': 5}
{'短评内容': '还可以吧 就是卫生间有点小了 。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房内大但电视太陈旧', '短评打分': 3}
{'短评内容': '感觉给人一般，其实不用订也有房，早晨非常闹，本来去就很晚了，还那么闹，第二天我就换宾馆了。不知道有没早餐。。', '短评打分': 3}
{'短评内容': '性价比还是挺高的，到中心很方便，房间很大，很好。', '短评打分': 3}
{'短评内容': '      订的138的房间没有大床房了，所以去的时候换了一个158的大床房，选的楼层高的，感觉很好，房间里面有点旧了，但是感觉很舒服', '短评打分': 5}
{'短评内容': '酒店卫生很好,房间比较宽,就是房间内没有挂衣服的衣架,衣柜较小,没有晾衣杆.\n建议增设三人间.', '短评打分': 5}
{'短评内容': '还不错，就是楼层高了些，下面是马路，有点点声音，房间很宽敞', '短评打分': 5}
{'短评内容': '整体来说都不错.就是卫生间设计不是很合理.', '短评打分': 5}
{'短评内容': '早餐比较丰富，房间还可以，靠公路的房间比较吵', '短评打分': 5}
{'短评内容': '不想住第二次,床太差了，空调噪音太大。没什么特点。', '短评打分': 1}
{'短评内容': '还行，环境一般吧，楼层太高了，有送的早餐，起晚了没去吃，有点旧了，赶快装修下吧', '短评打分': 1}
{'短评内容': '有点旧了，空调制热不是很舒服，楼下就是马路，窗户隔音一般，还是能听到车子声音', '短评打分': 1}
{'短评内容': '还不错\n  所以又来了这家\n     怎么要评那么多字哦 好麻烦！！', '短评打分': 5}
{'短评内容': '还可以...价格比较合适,房间也蛮大的..值得推荐!!', '短评打分': 5}
{'短评内容': '交通便利，房间比较小，价格合适，综合性价比还不错！！', '短评打分': 5}
{'短评内容': '房间大，干净，但电脑和客厅电视太旧！房间服务尚可。', '短评打分': 5}
{'短评内容': '酒店质量不太高，性价比较低，服务质量也有待提高', '短评打分': 1}
{'短评内容': ' 还可以,就是空调效果不是很好', '短评打分': 3}
{'短评内容': '价格便宜而已，房间和卫生间都不怎样，而且外面地铁施工比较吵，退房速度蛮快的，没有城市快捷酒店好，推荐城市快捷酒店，凯宾香槟店也不错', '短评打分': 1}
{'短评内容': '房间很大，挺干净的，有地毯。不足的是楼下目前有地铁施工，还有就是该酒店没有自己的餐厅。吃饭比较麻烦。', '短评打分': 5}
{'短评内容': '酒店非常差，位置还行，但是性价比不是很高房间装修的也不是太好卫生间也特别脏，服务态度非常差。', '短评打分': 1}
{'短评内容': '不错不错，标间性价比更高，交通方便快捷，可以推荐 \n', '短评打分': 5}
{'短评内容': '这家酒店的服务较好，环境不错，值得你们入住。 欢迎 ', '短评打分': 5}
{'短评内容': '总体来说不错。不过房间里有浴袍更好。另外空调不太会用', '短评打分': 3}
{'短评内容': '成都凯宾酒店（东恒店）交通一般，若入住的是标房，因为临街，对面又是个工地，晚上噪音比较大', '短评打分': 1}
{'短评内容': '交通还行，可以免费停车，房间卫生还过得去，早餐比较简单，性价比比较高。', '短评打分': 3}
{'短评内容': '交通一般，一环旁边，比较塞车，环境还行，性价比好。', '短评打分': 5}
{'短评内容': '说实话酒店的设施真的不咋的，太过陈旧，上网速度慢，跟同价位的酒店相比要差，性价比不行，不会在住第二次。', '短评打分': 1}
{'短评内容': '预定时已经确认可以接待外宾。到了前台告诉我不能，协调以后酒店给我们安排房间了，酒店其他方面还蛮满意的。', '短评打分': 5}
{'短评内容': '酒店非常不干净一进屋味道很大洗手间也不干净，位置我觉得也一般也不是市中心，价格也还可以我是觉得酒店的环境确实很糟糕。', '短评打分': 1}
{'短评内容': '总体还可以，就是周边吃的少，还有就是电梯太难等了。', '短评打分': 5}
{'短评内容': '整体感觉还可以，卫生、服务、还有设施什么的都挺好，继续努力~', '短评打分': 5}
{'短评内容': '位置不错，在市中心，吃饭、买东西很方便，就是服务员的办事效率有待加强，退房时间有点长，态度还是不错的。', '短评打分': 5}
{'短评内容': '其他的都还行，就是临街的房间有点吵，当时在修路，可以谅解啦，服务也不错哦！', '短评打分': 5}
{'短评内容': '位置和环境都挺好的，装修的一般，不过很整洁，他们提供简单的早餐，味道还可以吧！', '短评打分': 5}
{'短评内容': '房间很干净、卫生，住着也很舒心，而且感觉很安全，需要插卡才能进电梯，感觉挺好！', '短评打分': 5}
