{'短评内容': '整体不错 就在湖北大学院墙外面，交通便利，餐馆也不错。', '短评打分': 5}
{'短评内容': '该酒店离湖北大学很近，对于考雅思的同学很方便。但酒店的房间靠近路边，噪音比较大，我入住时偏巧遇到路上施工，晚上施工到深夜1点，第二天6点半又开始。巨大的响声使人整夜睡不着。另外，我入住晚，1105房间下水道味道非常大，又无法清除。开窗噪音大，不开窗味道大，要求换房又没有房间。很郁闷。', '短评打分': 5}
{'短评内容': '同附近其他酒店相比,性价比较高,服务以及入住环境均较好,但在卫生上有待进一步提高', '短评打分': 5}
{'短评内容': '还是比较好的，就是这次去的人好多，赶上啥大会了？', '短评打分': 5}
{'短评内容': '不错,干净,服务态度好............', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '还不错了。。。各个方面。\n如果不觉得贵了点的话。', '短评打分': 5}
{'短评内容': '不错，环境还不错，在湖北大学旁，人不算很多，就是前台让人柑橘不是很专业，很随便的样子，另外就是价格比起实际条件略贵。', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': ' 整体还不错，就是隔音效果不大好', '短评打分': 3}
{'短评内容': '还行吧，距离很棒还差一些，卫生比较干净，但酒店里的一些提示也比较细心，但总感觉太冷淡了，恩，差那么一点点', '短评打分': 5}
{'短评内容': '环境不错，房间也挺舒服的，就是前台服务效率太低了~', '短评打分': 5}
{'短评内容': '住了几次了，感觉不错~~方便办事，环境也很好。', '短评打分': 5}
{'短评内容': '很舒服的说 唯一的缺点就是有时候水会忽冷忽热 我住的是商务大床房', '短评打分': 5}
{'短评内容': '隔音效果超级差，晚上大马路上车子跑的声音直接让我睡不着，一晚上只睡了三个小时，第二天的考试就这样悲剧了，选择这里真是我的重大失误！', '短评打分': 1}
{'短评内容': '环境不错服务态度也很好', '短评打分': 3}
{'短评内容': '干净宽敞，服务员态度也不错.我住十楼，能看到汉江和两边的高层建筑，视野也挺好的。', '短评打分': 5}
{'短评内容': '酒店环境优美、房间内基础设施齐备，工作服务态度和服务质量很好。', '短评打分': 5}
{'短评内容': '一切都好，酒店有管理，很人性化，敬礼彬彬有礼，保安也很和善。酒店大堂舒适，早餐分量很好，营养搭配很好。九分推荐，还有一分是希望酒店退房时间可以延长到下午1点。希望越做越好。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '挺干净的 就是服务有点慢 然后临街房间很吵，总体一般吧', '短评打分': 5}
{'短评内容': '挺好的，干净，服务也还不错！就是临路 有点吵！ 别的都挺好的！', '短评打分': 5}
{'短评内容': '太小了，又很吵，不值这个价`。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '订的是商务大床房，结果给的不一样，床要小好多...在九坤住了不下十次吧，以前感觉都很不错，怎么最近几次去老是觉得前台服务员舍不得把房间给客人住的味道一样，老是说你订的类型目前没有，只有XX房，该房还有优惠...一听这话就觉得有坑人的感觉！平时客人住的时候就把优惠藏着不说，亏的我还老向朋友推荐啊，我都不好意思了。希望尽快改善一下，不然以后可能真的不来了。', '短评打分': 1}
{'短评内容': '以前住的都好好的，怎么这次去住的时候服务员要吭人呢，害的我第二天气的去了别的地方', '短评打分': 5}
{'短评内容': '每次都要说20个字，有点无语.......', '短评打分': 5}
{'短评内容': '进了好多好多次了，很好，为啥非要20个字呢....', '短评打分': 5}
{'短评内容': '设施条件感觉还不错，价格比较厚道，性价比较高。', '短评打分': 5}
{'短评内容': '干净。。服务人员态度很周到。。有问必答，二楼的农家餐厅也很实惠，干净。。入住蛮舒服的。', '短评打分': 5}
{'短评内容': '总的来说还是很不错的，离湖大非常近，楼下的餐馆很好吃，很实惠，不过就是房间的隔音效果不好，我都能听到隔壁的声音……', '短评打分': 5}
{'短评内容': '安静、干净，是一间性价比很高的酒店噢！唯一美中不足的就是电梯有时会出现不断地开关门~', '短评打分': 5}
{'短评内容': '干净，安静唯一的缺点就是电梯会不断地开关门或是故障~', '短评打分': 5}
{'短评内容': '客服很糟糕！设施很不全！问借电吹风，没有！问借被子，没有！半夜再次问客服借被子，告知被子被锁仓库，可惜她没有钥匙！我都说我快感冒了，客服依旧熟视无睹！最后直接导致我嗓子发炎，感冒！真不知道这种酒店有何市场竞争力！！！', '短评打分': 1}
{'短评内容': '网线太短，而且无长的更换。玻璃的问题同前面的感受一样', '短评打分': 5}
{'短评内容': '酒店的位置一般，如果不是来办事的，很少会住这里的，设施也就普通经济酒店的水平\n  服务态度一般', '短评打分': 1}
{'短评内容': '还不错~~挺舒服的  就是电视那天晚上坏了 很悲剧……', '短评打分': 5}
{'短评内容': '经常住的一个酒店，环境还不错，临近湖北大学...', '短评打分': 5}
{'短评内容': '很好啊，就是卫生间是毛玻璃做的，淋上水以后，玻璃就是透明的了，从外面能看见', '短评打分': 5}
{'短评内容': '酒店很安静，服务态度很好，房间很大，卫生间也很大，床铺也够舒适，空调也很不错，总之很不错。', '短评打分': 5}
{'短评内容': '还不错  挺满意的~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '还不错 挺有档次的 服务也很热情 就是电视小了点~~~', '短评打分': 5}
{'短评内容': '可以  感觉还是很不错的  推荐一下  服务不怎么样', '短评打分': 5}
{'短评内容': ' 蛮好', '短评打分': 3}
{'短评内容': '挺好的，很干净，服务也还可以！比较满意。', '短评打分': 5}
{'短评内容': '服务员一般般，人员不够，\n其他还好，坐车方便', '短评打分': 5}
{'短评内容': '一般般，确实一般般，服务员太少。\n不过交通比较方便。', '短评打分': 1}
{'短评内容': '离考点很近，环境很好，下次去还会住那··很满意', '短评打分': 5}
{'短评内容': '这家酒店还可以 感觉还是挺干净的 推荐大家以后还去 ', '短评打分': 5}
{'短评内容': '服务员太差，太少，处理问题太慢。其他还撮合。。。。。。。', '短评打分': 3}
{'短评内容': '我觉得一般般，周边玩的地方少了点。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这酒店还行但性价比不如如家和格林豪泰', '短评打分': 3}
{'短评内容': '深圳海逸酒店性价比很高就是开业不久有装修异味', '短评打分': 3}
{'短评内容': '大悦城酒店公寓不错,交通便利,但偏贵', '短评打分': 5}
{'短评内容': '还不错，位置也不错，靠近湖北大学，出行也比较方便，性价比一般，比较干净', '短评打分': 3}
{'短评内容': '酒店其他服务跟不上，不能洗衣服，也不能定车票。其他还好。容易找。', '短评打分': 5}
{'短评内容': '总体感觉还不错。\r\n不贵。还算行。。。\r\n基本没什么不好的。', '短评打分': 5}
{'短评内容': '还不错，位置也好找.房间不太大但还不错，推荐', '短评打分': 5}
{'短评内容': '注会考试入住，离考点近，非常方便，床有点小啊，其他都不错', '短评打分': 5}
{'短评内容': '在武汉考试的外地烤鸭们比较合适的住宿位置', '短评打分': 5}
{'短评内容': '望对待在酒店一次入住不止一天的客房能打扫得更干净些，更换床单被套。', '短评打分': 3}
{'短评内容': '望对待在酒店一次入住不止一天的客房能打扫得更干净些，更换床单被套。', '短评打分': 3}
{'短评内容': '望对待在酒店一次入住不止一天的客房能打扫得更干净些，更换床单被套。', '短评打分': 5}
{'短评内容': '酒店的交通和服务都很不错，但是前台办理入住退房太慢', '短评打分': 5}
{'短评内容': '这个酒店不是很好.从服务到设施.都一般.不在推荐', '短评打分': 5}
{'短评内容': '这个酒店一般 ，服务员素质比较差，态度也不是很好。所以下次不会再住这里了。', '短评打分': 1}
{'短评内容': '这个酒店一般.卫生还不错.服务及素质不好.下次换酒店', '短评打分': 5}
{'短评内容': '1电梯及楼道很热，没有空调。\r\n2第一次住宿就被关在电梯里，电梯坏了，热得要死。\r\n3早餐稍晚点就被抢光了，吃不到。', '短评打分': 1}
{'短评内容': '巨烂无比，没有想到这个酒店会这么差劲，根本没有服务意识。', '短评打分': 3}
{'短评内容': '都挺好', '短评打分': 5}
{'短评内容': '我已经评价过了，今天再补充一点：当时Check out时前台说暂时没有发票，一个月给我邮寄，今天还真收到了，一张纸质很厚的，没有水印的，手写假发票！', '短评打分': 3}
{'短评内容': '绝对不会再住这垃圾酒店。。。酒店里的餐厅、商品部跟酒店都是分开经营的，消费什么都得自己交现金，不能打到房费里，POS机竟然只能刷借记卡，刷不了信用卡，服务人员基本没有服务意识，让前台帮打印一个A4纸的地图，黑白的，竟然收我一块钱。。。烂死了的地方，住这极度影响心情。', '短评打分': 1}
{'短评内容': '地理位置比较好，乘出租到户部巷、武昌火车站、销品茂都不到20元，但是房间太小了，隔音特差，门下面的封能伸进手。我定了商务大床房，里面啥也没提供，连瓶水都没有，喝水用纸杯也很糟糕。早餐就别提了，实在是无话可说。', '短评打分': 1}
{'短评内容': '酒店不错 新开的', '短评打分': 3}
{'短评内容': '     床单上居然有血渍，大半夜的也不好意思叫服务员换，大大的影响了心情，建议来住的客人都要检查下自己房间的床单，没有浴帽，不知道是没配有还是没换...', '短评打分': 1}
{'短评内容': '还不错，离湖北大学真近', '短评打分': 5}
{'短评内容': '房间宽敞明亮，就是隔音稍差一点，酒店的服务员很热情，感觉很好！', '短评打分': 5}
{'短评内容': '新开的酒店，就餐、甚至买瓶水都需要单独现金消费，无法打到房费里一起结帐，服务员傻得可以，打印一张A4的纸竟然收我一块钱。。。服务意识非常差、发票无法开具。。。没见过这么差的酒店，唯一好的就很干净，位置还可以', '短评打分': 1}
{'短评内容': '很简洁的房间陈设！非常舒服！有机会还是会入住的！赞！', '短评打分': 5}
{'短评内容': '基础设施还可以，但就是不能刷贷记卡要用现金做押金。我们出差很少带现金。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离湖北大学很近', '短评打分': 5}
{'短评内容': '酒店房间打扫很不及时，不过位置很好``', '短评打分': 5}
{'短评内容': '干净、整洁，房间有点小', '短评打分': 5}
{'短评内容': '酒店的位置相当正点，紧挨着湖北大学，解决大问题了。\r\n但是房间的配置只能说很一般，一次性拖鞋，不舒服；没有牙刷牙膏；空调噪音太大；电视效果太差。。。等等等等，白瞎这么大房间了。\r\n总体来说，还是不错，细节和服务还需改进。', '短评打分': 5}
{'短评内容': '酒店不错   新开的  就是早餐品种需增加', '短评打分': 5}
{'短评内容': '酒店环境还可以也是一个新的酒店，设施方面很不错，服务态度还行，位置在路边很好找，价格的话还是有些偏贵了，其他的都还不错价格再便宜一些应该会更好。', '短评打分': 5}
{'短评内容': '地理位置就在湖北大学的南面，相隔一个门牌号，过友谊大道马路对面就是航海学院，价格还算是比较便宜的。', '短评打分': 3}
{'短评内容': '环境不错，新装修的宾馆，设施很简洁，服务还好。', '短评打分': 3}
{'短评内容': '很简洁的一类宾馆', '短评打分': 5}
{'短评内容': '不错 ，蛮干净\r\n', '短评打分': 5}
