{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '就在水玲珑休闲会馆的对面，距离东三口也很近，我经常住。', '短评打分': 5}
{'短评内容': '离北京路比较近，价格比较适中，离地铁口也不远', '短评打分': 5}
{'短评内容': '临街太吵，玻璃太薄', '短评打分': 3}
{'短评内容': '设备有点旧，但服务很好，隔音差一点，洗浴房有点滑脚。', '短评打分': 5}
{'短评内容': '比较方便，服务态度比较好，就是靠近高架，有点吵', '短评打分': 5}
{'短评内容': '手续麻烦', '短评打分': 3}
{'短评内容': '靠路边太吵了', '短评打分': 3}
{'短评内容': '房间靠近高架，太吵睡不着。赶上会展期间，493元，不值！', '短评打分': 1}
{'短评内容': '前台接待人员态度不错，我住的515房间比较大，房间也还干净。就是临街有点吵，价格也还是高了点。', '短评打分': 5}
{'短评内容': '百元房真的很划算，房间很好很干净，只是晚上马路很吵，其他都很好。', '短评打分': 5}
{'短评内容': '在高架桥公路旁边，那晚我住的是515竟然是步梯旁一个独立房，不和其他房间一起的，吓死人了', '短评打分': 1}
{'短评内容': '价格还比较便宜，房间里可以上网，不过要自带电脑。但是店面的地址不太好找，我乘坐的出租车司机都不知道在哪里。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '酒店位置还比较方便，但朝向东华北路的方向比较吵；同时空调启动后噪音比较大；', '短评打分': 5}
{'短评内容': '性价比高.每个房间都有配一个吹风筒。不错。。我住的在三楼，环境就一般而已。高一点应该比较不错。', '短评打分': 5}
{'短评内容': '还蛮不错的，值得住，有来广州的可以来这酒店住      \n', '短评打分': 5}
{'短评内容': '还蛮不错的，值得住，有来广州的可以来这酒店住', '短评打分': 5}
{'短评内容': '在车展期间，价格还实惠，地段较好，品质一如既往。', '短评打分': 3}
{'短评内容': '不错，不过双床房的床有点小，比之前住过的其他城市的汉庭的小床', '短评打分': 5}
{'短评内容': '服务很好，过节期间涨价了，符合快捷酒店的标准，也就这样了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这个店确实不错，员工都会笑着为你服务，很满意', '短评打分': 5}
{'短评内容': '酒店位置不错   只是靠近马路  有点吵', '短评打分': 1}
{'短评内容': '非常恶劣，房间狭小，出入极其不方便不宜居住。\r\n', '短评打分': 3}
{'短评内容': '房间布局比较怪，柱子多，房间较小，窗口对马路或者与居民握手。', '短评打分': 5}
{'短评内容': '电梯太小了，酒店应该在地铁口弄个指示，方便旅客入住，不然蛮难找到，因为楼面在装修很难找到', '短评打分': 5}
{'短评内容': '位置有点偏，不过对于到中山大学附属医院的人来说还算比较方便。最近正在装修。周边饭店有金城酒店，但是不够多', '短评打分': 5}
{'短评内容': '服务人员语言态度一般，有些规定是找客人麻烦。', '短评打分': 5}
{'短评内容': '位置离地铁近，但是不好找。房间面积较大', '短评打分': 3}
{'短评内容': '停车场太小了', '短评打分': 5}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '离地铁很近，不过离高架也很近，最好是不靠路的房间', '短评打分': 5}
{'短评内容': '前台的服务很好。希望楼层的服务员在作业时的说话声音轻些，尽量不要发出声音最好。', '短评打分': 3}
{'短评内容': '前台的服务很好。希望客房服务员在楼层搞卫生及房间作业时说话的声音轻些，尽量不要出声最好。', '短评打分': 5}
{'短评内容': '入住的时候正赶上广交会，不管住哪都很贵\r\n出差住宿，凑合吧', '短评打分': 5}
{'短评内容': '挺干净，挺安静，交通也很方便。', '短评打分': 5}
{'短评内容': '干净，位置有点儿偏', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': '该酒店还是很不错的，坐地铁很方便。早餐房间有点小，比较拥挤。', '短评打分': 5}
{'短评内容': '挺干净，挺安静，交通也很方便。', '短评打分': 5}
{'短评内容': '离地铁1号线东山口站较近，房间大', '短评打分': 5}
{'短评内容': 'normal', '短评打分': 1}
{'短评内容': '环境很干净，服务也很好，前台非常有礼貌！', '短评打分': 5}
{'短评内容': '各方面都很好，值得住。', '短评打分': 5}
{'短评内容': '个人感觉汉庭中山二路店内部环境不错，服务人员热情，同时位置距离地铁站东山口A出口仅仅三百米，性价比不错，本来住之前看了评论还担心距离立交近，可能会比较吵，不过入住后，感觉还好，可能春节车少吧，呵呵', '短评打分': 5}
{'短评内容': '位置太不方便', '短评打分': 1}
{'短评内容': '隔音很差！其他还可以！', '短评打分': 5}
{'短评内容': '去年遇到开广交会，四百多的房价，性价比不合理', '短评打分': 1}
{'短评内容': ' 卫生情况，环境各方面都是不错的！唯一不足就是整个晚上直到早上走廊都有人在大声说话，可能是酒店服务人员。其他都挺满意，前台服人员态度务还可以。', '短评打分': 5}
{'短评内容': '性价比高。环境良好。隔音也不错。卫生还可以。100￥能住这样的房已经是非常值了。', '短评打分': 5}
{'短评内容': '但住的靠窗，有点吵！！', '短评打分': 5}
{'短评内容': '在路边，位置很好找，出行还是很方便的，房间的卫生和设施也还不错，前台服务还算周到热情，我觉得这家酒店性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都还好，感觉毛巾不是很干净。位置出行还是比较方便的。价格在十一来讲算是合理适中的，值得推荐入住。', '短评打分': 3}
{'短评内容': '水壓太小了～～', '短评打分': 5}
{'短评内容': '还行，是刚开的，也比较干净，没有陈年酒店的那种厕所味儿，而且也没有电话骚扰，虽好一直保持。', '短评打分': 5}
