{'短评内容': '网络太差，几乎无法使用', '短评打分': 4}
{'短评内容': '现在重新装饰了，比以前素雅一些，不错的酒店！', '短评打分': 5}
{'短评内容': '房间很不错,地理位置也很好,性价比极高.下次还会入住~', '短评打分': 5}
{'短评内容': '地毯该换了', '短评打分': 3}
{'短评内容': '房间还是可以！唯地毯脏', '短评打分': 3}
{'短评内容': '房间还可以！就是地毯赃', '短评打分': 3}
{'短评内容': '酒店位于一座大厦上，有一部小电梯朝向总府路。因为该楼上还有一家KTV和一家酒店，可想而知想挤上那座小小的电梯有多难。入住当天实在等不及了只好呼哧带喘地从黑洞洞的楼梯爬到6楼接待大厅。酒店的装修过于花哨显得艳俗，设施也已经陈旧，一点不像开业才一年多的样子。服务员态度冷淡，问她问题时眼皮都不抬一下。早餐品种少的可怜，是我所住过的所有酒店中最少的。不过酒店房地理位置非常的靠近春熙路，购物很方便，而且晚上', '短评打分': 1}
{'短评内容': '不错，位置很好，也很安静，但是电梯只有一部而且是和好几家共用的不是很方便', '短评打分': 5}
{'短评内容': '位置不错，酒店装饰也不错，不过希望前台服务到位一些，比如提醒到指定停车场需提前说明是酒店客人呀，不然没优惠等', '短评打分': 5}
{'短评内容': '地理位置不错，就是停车不方便，还要开到很远', '短评打分': 5}
{'短评内容': '地段较好，但总台服务较差，我23号入住25号离店，客户清洁人员打扫只弄一半，一张床整理好，一张什么都没弄，门卡进来发现里面有插了张卡，打电话给总台说明情况，竟然说这不是他们的问题，问清洁部门，感觉像两个公司。', '短评打分': 5}
{'短评内容': '卫生太差了', '短评打分': 3}
{'短评内容': '\u3000面积较大\u3000但设施很久\u3000特别是地毯该换了\u3000让我想起了九十年代的宾馆…\u3000两点退房还比较贴心', '短评打分': 3}
{'短评内容': '酒店还行吧，离春熙路近', '短评打分': 3}
{'短评内容': '位置很好，到春熙路步行街很近。房间也OK，没什么问题。\n本来想多住一晚的，但被早餐....唉.....\n早餐特别简陋，根本与二百多的价格不匹配，失败！\n早餐服务员是一位慈眉善目的老阿姨，笑容少点没关系，\n什么？吃过的餐具顺手在取餐台子旁边的水池里刷下，就放进了橱柜？\n什么？？水池里的水.......黑呀！！\n失败呀！吃了1个小包子，赶紧走了....', '短评打分': 1}
{'短评内容': '\u3000温馨浪漫\u3000舒适', '短评打分': 3}
{'短评内容': '259的商务单间面积没有想象中大，不过一个人住还好了，紧邻春熙路步行街整体性价比比较高。就是房间网速太差，而且不明白为什么床上面的吊顶要做成镜面的，睡着不踏实！', '短评打分': 5}
{'短评内容': '很宽~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，首先比想象的好找，从机场打车到春熙路的四川宾馆下车，看到楼上百丽丝汀的招牌就能找到蓉情。事先定的商务房没了，免费升级到豪华房。6楼前台登记入住，房间很舒服，服务员态度可以。还能免费保存行李，有宽带电脑，6楼免费WIFI。成都如此难打车，楼下却永远有出租。房间顶上有大镜子，适合情侣。看了介绍也就没要免费早餐，两面都有电梯下楼，后面有吃饭逛街一条路', '短评打分': 5}
{'短评内容': '位置比较好，春熙路边上，虽然临街，但是不吵，房间很大，性价比很高', '短评打分': 5}
{'短评内容': '优点：房间很宽敞，装修比较新，交通便利，离春熙路很近，吃饭、逛街很方便。服务员态度比较好，就这个价位来说，比较不错。\n缺点：房间隔音不好，附近卡拉ok听的很清楚，免费听了一宿演唱会。', '短评打分': 1}
{'短评内容': '确实在市中心的酒店，购物吃饭都很方便，但酒店设施比较旧，停车不好.我下次不会住了。', '短评打分': 5}
{'短评内容': '还可以，酒店装饰风格比较富贵，整体上觉得不错！', '短评打分': 5}
{'短评内容': '房间确实不错 有情调 地理位置也超级好 但是个别服务员态度极差 我们发现床单被套都是脏的 而且有3到4处血迹  让服务员换 她还不给换 说没有多余的被子 一床都没有! 然后我们就说那把没有开出去的房间里面的换过来不就行了吗 反正也没有人住 她还是不愿意 我们态度已经够好了 本来就是我们在理 难道非要让我们睡这有血迹的被子吗 谁睡得着啊 后来说了半天她终于过去抱了一床过来 而且态度极不好的甩在我们床', '短评打分': 5}
{'短评内容': '安静，离步行街近，方便购物。。价格也很合理，，', '短评打分': 5}
{'短评内容': ' 总体还可以 位置比较难找 没有电吹风 其他都还不错', '短评打分': 3}
{'短评内容': '房间还可以。酒店位置也很好。酒店的招牌不明显就是不太好找', '短评打分': 5}
{'短评内容': '房间装修的还是挺有特色，但是一楼的服务员态度实在不是很好。早餐太简单了。', '短评打分': 5}
{'短评内容': '床上用品不是很好,尤其是枕头不舒服.客房装修风格还行,位置还好挺方便出行,靠近春熙路.', '短评打分': 5}
{'短评内容': '我已入住此酒店数次，基本是出差成都首选。就是早餐简单。', '短评打分': 5}
{'短评内容': '位于成都市商业中心，购物十分方便，房间很好，性价比高。我住过数次。', '短评打分': 5}
{'短评内容': '老公住的，说一般般，入住时还拖了半天，不给办理入住，说没有确认，而我们前一天已经收到确认短信的', '短评打分': 1}
{'短评内容': '交通便利是最大优势，离春熙路商圈很近，但是离地铁较远，打车不方便。酒店的服务员态度很好。', '短评打分': 5}
{'短评内容': '酒店很好，格调我也算喜欢的，毕竟很有自己特色。设施很新，基本是电脑化控制，卫生也不错，但马桶下水一般。位置好，晚上关窗的话基本不影响休息。不要乘正对大马路的电梯，那太慢人又挤，要绕到后面去坐，那有3部电梯等着呢。早餐是一个小面包，一根香肠，一盒酸奶饮品，10点前打电话就送到房间来。另外电脑不好用，屏幕小网速慢木马多不说，连音箱都没，只能用耳机，两个人想看看电影都不行，太小家子气了。前台服务很一般，', '短评打分': 5}
{'短评内容': '房间比较有特色，位于繁华地段，价格还可以，比较安静。就是早餐不打电话的话，是不会有人给你送的，入住时前台也不给你说明。可以推荐', '短评打分': 5}
{'短评内容': '地理位置不错，拐个弯就是春熙路，新酒店卫生和设施都还行，洗澡的玻璃是半透明的，想看不到那么就关洗浴室的灯洗。', '短评打分': 5}
{'短评内容': '地理位置很好，硬件设施一般。前台服务很热情。', '短评打分': 5}
{'短评内容': '位置较好，房间配套的东西比较齐全，装修比较适合情侣一起住，总体还是不错的！', '短评打分': 5}
{'短评内容': '＋地方不错，服务还行，但让拿吹风的时候有点拖沓，其余非常满意，下次来应该还会住这儿。', '短评打分': 5}
{'短评内容': '环境装修很有特色，值得再次入住！', '短评打分': 5}
