{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '酒店不错，值得入住,就是在门口搭车稍微有点不方便', '短评打分': 5}
{'短评内容': '酒店环境好.舒适\r', '短评打分': 3}
{'短评内容': '酒店位置不错，机场大巴直接到酒店。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位于市中心购物方便，店内环境优雅，干净整洁，服务一流。', '短评打分': 3}
{'短评内容': '五楼房间太小，窗戶\n玻璃外侧太脏，房间太小，洗手间太小。涂建军', '短评打分': 3}
{'短评内容': '很好，交通方便', '短评打分': 3}
{'短评内容': '很好，交通方便，有机场大巴直接到饭店。去市里的各个旅游点都很方便。早餐很丰富。我住的是豪华标间，就是房间小些。', '短评打分': 5}
{'短评内容': '交通位置非常方便,早餐很常好........', '短评打分': 5}
{'短评内容': '房间有点小，特别是卫生间小，应该只算是个4星！不过出行方便，虽处于闹市区，但是还是挺安静的！服务态度都还不错！只是我订的商务房，给我换成主楼这边的房间了，虽然要新些，但是就是房间小！总体不错!', '短评打分': 5}
{'短评内容': '房间设施不错 不过订得标间不是住在主楼 而是后面得辅楼 只有网线没wifi 而且白天现在施工很吵 早餐是在主楼', '短评打分': 3}
{'短评内容': '入住的岷山饭店设施比较新，安静，地段也方便，满意！', '短评打分': 3}
{'短评内容': '没看清楚是商建楼，设施很旧了，性价比很低，大厅都没人，缺乏安全感，新楼感觉不错，交通比较方便', '短评打分': 3}
{'短评内容': '地理位置好，边上就是机场大巴，虽然是在商务楼里，房间大，卫生间略显小了。交通挺方便的，走10分钟左右有一个家乐福', '短评打分': 5}
{'短评内容': '四川岷山饭店（成都，，，环境不错，价格折扣一般。', '短评打分': 5}
{'短评内容': '给朋友订的酒店，说是还可以。到办事的地方比较方便。', '短评打分': 5}
{'短评内容': '，豪华大床房938元，房间太小，装修一般，早攴还不错。', '短评打分': 3}
{'短评内容': '新装修的酒店，感觉不错，服务也很周到、细致，位置特别好。', '短评打分': 5}
{'短评内容': '岷山饭店的交通位置非常方便，又靠近市中心，逛商场买手信也非常方便，我会向朋友推荐这家酒店。', '短评打分': 5}
{'短评内容': '服务很好，并且主动将副楼的房间换到了主楼不错哦，性价比较高', '短评打分': 5}
{'短评内容': '服务不错 房间住起来感觉很舒服 早餐也非常好~', '短评打分': 5}
{'短评内容': '下机场有直达机场大巴到酒店灰常方便。地处市中心，去哪里都很方便。', '短评打分': 5}
{'短评内容': '，我们住的岷山商住楼，房间很大安静，只是地毯很旧，早餐不错，也吃早餐也欣赏外面的喷泉很享受。', '短评打分': 3}
{'短评内容': '此酒店卫生条件不错，酒店服服务生素质比较高，周边小吃比较多，不错，支持一下', '短评打分': 5}
{'短评内容': '酒店位置不错 ，但是订的是什么眠山集团商住楼价格538特价。太贵了，5星级酒店3星级档次。下次不住这里了。', '短评打分': 3}
{'短评内容': '酒店装修虽然有点老 但收拾的还比较干净 离春熙路非常近 很方便', '短评打分': 3}
{'短评内容': '本次入住岷山饭店感觉比上次的服务更好，总台领班能用日语接待客人，使我带的日本客人很满意。房间里也很整洁。商务楼的房间面积很大，感觉很舒服。', '短评打分': 5}
{'短评内容': '\n    酒店位置很好，早餐十分丰富，商务楼住信价比髙。推荐', '短评打分': 3}
{'短评内容': '此酒店卫生条件不错，酒店服服务生素质比较高，周边小吃比较多，不错，支持一下', '短评打分': 5}
{'短评内容': '出门就是机场大巴 服务也非常好', '短评打分': 3}
{'短评内容': '这次住的是 商务楼， 显得比较破旧。前面的房间要800多一间，性价比偏低。早餐还算不错', '短评打分': 1}
{'短评内容': '酒店挺好的，位置很好，也很干净，就是房间太小了，早餐的品种也太少', '短评打分': 5}
{'短评内容': '大堂很温馨，很温暖，房内设施不错，就是房间能宽敞些就好了。', '短评打分': 5}
{'短评内容': '成都的酒店价格是很贵的，应该说岷山性价比不错，干净，房间很大，餐饮服务和客房服务态度都好。早餐儿子没有收费，这点比较意外。美中不足是早餐口味比较单调，厨师态度生硬。总体还可以', '短评打分': 5}
{'短评内容': '不错的酒店,大家要来入住,去机场很方便..................................', '短评打分': 5}
{'短评内容': '这家 酒店就不错，是第二次住了，会推荐给朋友。出行很方便。逛街去机场都很方便。早餐也还不错。', '短评打分': 5}
{'短评内容': '嗯，不错。\n航班晚点，修改入住时间很麻烦，从18点改到22点还要刷信用卡预授权，这个是霸王条款。', '短评打分': 5}
{'短评内容': '氓山饭店环境服务不错，就是太闷热了，窗户又不能打开，南方人受不了！', '短评打分': 3}
{'短评内容': '很不错的一家五星饭店，从机场去、到机场都非常方便，旁边就是大巴发车点，离商业区也很近；酒店服务不错哦，下面大堂的咖啡厅挺好，早餐也比较丰盛，基本都是含在房费里，不想很多宾馆都是单独付费加收服务费。', '短评打分': 5}
{'短评内容': ' 酒店的位置很方便，房间还可以。', '短评打分': 3}
{'短评内容': '条件不错，比较适合住。希望下次去成都还选择此处', '短评打分': 5}
{'短评内容': '房间比较小，但是布置还不错，上网速度较快，早餐丰盛，还有铁板烧呢，荔枝也很好吃，有各种面条和馄炖，种类丰富。', '短评打分': 5}
{'短评内容': '位置好，早餐好，房间有点小，浴室四个里外间，躺在浴缸里就可以看夜景。', '短评打分': 5}
{'短评内容': '很好的酒店，位置极佳，条件也很不错，服务也比较好，下次还可以来.', '短评打分': 5}
{'短评内容': '房间宽敞，设施非常齐全，很安静。打车也方便，服务态度很好', '短评打分': 5}
{'短评内容': '酒店早餐不错，刚进去酒店大厅的时候还以为我定错酒店了，这种级别的酒店怎么可能房间才500多块？！问了前台才知道后面还有一个商务楼...下次来可以试试住在主楼', '短评打分': 5}
{'短评内容': '不错的酒店，环境舒服，设施也很新，服务也不错，比较重视细节，看得出来是用了心的。', '短评打分': 5}
{'短评内容': '很不错酒店，房间舒适，卫生间超爽，下次还来。', '短评打分': 5}
{'短评内容': '酒店很不错的，就是房间有点小。周围购物很方便  ', '短评打分': 3}
{'短评内容': '晚上歌舞厅很吵，根本无法入睡，房子隔音差。', '短评打分': 1}
{'短评内容': '豪华标准间比较陈旧，800多的价格感觉不值。但是商务大床房很好，装修新而且卫生间很大，当然价格也较贵一点。', '短评打分': 5}
{'短评内容': '酒店离地铁一号线和机场大巴303路很近,非常方便.\n酒店布置也挺不错,宽带也OK.\n很不错.', '短评打分': 5}
{'短评内容': '宾馆卫生整洁大堂服务亲切，下次还会再来的', '短评打分': 3}
{'短评内容': '酒店交通方便，购物方便，去机场方便。', '短评打分': 3}
{'短评内容': '办理入住时,贵网未于酒店书面确认,据说是口头确认的,但前台没有备案,导致入住时耽搁很长时间,造成很多不便,请改进.酒店还是不错的,早餐很好,房间很大,很舒适.', '短评打分': 5}
{'短评内容': '交通位置非常方便，早餐也很不错，推荐大家以后到成都都来入住', '短评打分': 5}
{'短评内容': '酒店设施比较齐全，干净，房间空间还不错 加分', '短评打分': 5}
{'短评内容': '很好的位置', '短评打分': 3}
{'短评内容': ' 位置中心，出行便利；房间舒适，早餐丰盛。', '短评打分': 3}
{'短评内容': '地点优越，关键是性价比高！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '卫生间好小，感觉不是很方便，大堂倒是不错，位置也很好找，但是酒店主要还是住的，基本设施对我来说很重要', '短评打分': 1}
{'短评内容': '好,不错!', '短评打分': 3}
{'短评内容': '很好，环境一流很好，环境一流很好，环境一流很好，环境一流很好，环境一流很好，环境一流很好，环境一流', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '地理位置不错，在天府广场附近，交通也方便，装修很一般，不像星级酒店，而且房价高，可能成都人消费高吧？！哈哈', '短评打分': 1}
{'短评内容': '地理位置非常好，电梯需要房卡才能使用，安全性很好，美中不足游泳池下午1点才开放', '短评打分': 5}
{'短评内容': '酒店是新装修过的，浴缸在窗户边，感觉不错，浴房设计很合理，总体来说感觉不错', '短评打分': 5}
{'短评内容': '已经住过很多次了，来这总会选择这里，不仅出行方便，服务各方面都不错，早餐花色要是能再多点就更好了。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '内容\n酒店服务人员态度差', '短评打分': 3}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '＋518的标间是在后面的商用楼里的，楼里都是公司租赁的，感觉有点怪。房间里设施有点老但还是比较干净的，早餐还不错。', '短评打分': 3}
{'短评内容': '交通方便，地铁就在附近。运气很好，正碰到习主席和拜登下榻锦江，就在岷山前面。\n', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧，但地理位置较好，出行比较方便， 总体一般', '短评打分': 1}
{'短评内容': '整体觉得满意，价格合理，服务可以，只是打的士有点困难，建议酒店安排个服务员帮忙叫的士就非常好了！', '短评打分': 5}
{'短评内容': '交通方便，设施好，早餐也不错，价格也很合适，下次还会入住', '短评打分': 5}
{'短评内容': '是一个不错的酒店，交通方便，新装修不错标双房小了点', '短评打分': 5}
{'短评内容': '新装修后不错，只是房间小了点，地理位置也不错。', '短评打分': 5}
{'短评内容': '又贵，房间设施又差，周围没什么吃饭的地方，很不方便！', '短评打分': 1}
{'短评内容': '我去年到成都的时候，住的酒店是岷山饭店。这家酒店的位置不错，周围环境很好，出行也挺方便的。酒店的停车场很大，地上地下都有，不过我也没开车。一进酒店大厅，就有一架漂亮的钢琴，旁边还有好多盆栽作为装饰。酒店的房间不错，设施很全，住着挺舒服的。酒店有很多娱乐设施，我去那的游泳池玩一乐一圈非常好。酒店的服务员很热情，有什么打电话他们就过来了，服务很周到，态度也非常好 ……', '短评打分': 5}
{'短评内容': '附楼很一般，设施旧！附楼很一般，设施旧！附楼很一般，设施旧！附楼很一般，设施旧！附楼很一般，设施旧！', '短评打分': 1}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错 酒店大堂挺漂亮的 不过我那间房有点小 其他OK', '短评打分': 5}
{'短评内容': '总体还可以，早餐丰富。', '短评打分': 3}
{'短评内容': '酒店还不错，早餐也很好，只是房价偏高，因定位在300-400元之间就好了', '短评打分': 5}
{'短评内容': '房间够大', '短评打分': 3}
{'短评内容': '酒店服务周到，设施较旧，交通很便利。', '短评打分': 3}
{'短评内容': '酒店不错，地点很好，吃饭购物都挺方便的，下次还会入住。\n\n', '短评打分': 5}
{'短评内容': '酒店是比较老的五星，很新，地点很好，吃饭购物都挺方便的，下次还会入住。\n\n', '短评打分': 1}
{'短评内容': '性价比相当不错呢……不到900住四星！真棒', '短评打分': 5}
{'短评内容': '\u3000\u3000房间、服务、早餐都很好，值！', '短评打分': 3}
{'短评内容': '原来我曾经住过岷山饭店，感觉还可以。可是这次去感觉特差！如此高的价格却住着这么小面积的房间，有些莫名其妙。房间设施也很一般，重新装修过的品位和质量颇低。以后再也不会考虑岷山饭店了。', '短评打分': 1}
{'短评内容': '干净，整洁，环境还不错，下次还会继续入住。', '短评打分': 5}
{'短评内容': '这家酒店的位置较好，虽然价位偏高。现在新增了B楼，房间很大', '短评打分': 5}
{'短评内容': '机场班车直达，市中心地段，离办事地点近，早餐还是蛮丰富的，住的辅楼，卫生环境的还算不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '该酒店服务，环境，交通都很好。', '短评打分': 3}
{'短评内容': 'minshan饭店真的不错请大家来这里体验体验一次。', '短评打分': 5}
{'短评内容': '四川的岷山饭店真的不错请大家来这里体验体验一次。', '短评打分': 5}
{'短评内容': '入住B楼，环境很好，房间很大很干净，房间里还有跑步机，挺好！', '短评打分': 5}
{'短评内容': '房间还好，地理位置很好，办事很方便。早餐不错。', '短评打分': 5}
{'短评内容': '还不错，下次还会住的。从双流机场坐大巴直接到酒店，交通便利。入住的楼据说是新装修的，酒店房间内各种配置很全，家具多，房间不觉宽敞。', '短评打分': 5}
{'短评内容': '酒店房间一般，在五星级酒店里没有浴盆算少数，而且又是快九百多这个价格，不值得', '短评打分': 3}
{'短评内容': '岷山饭店主楼不错，设施很好，值得一住，价格合理，就是大堂吧环境稍差！', '短评打分': 3}
{'短评内容': '房間小，是一個舊式的房間設計，建議房間也要重新裝修才好，網路頻寬不夠，中午開始就不通了', '短评打分': 5}
{'短评内容': '开始总台给我的2号楼4楼的房间，我看后窗户外就是一台净化设备，噪音不断，后来换了间7楼的，没什么噪音了，但出了电梯后，走廊里差不多有一半的房间外面挂着的是公司的牌名，感觉不是在宾馆，是在一家商务楼里。当时就有点担心安全问题，好在只住了一天，也没发生什么问题。\n仅仅因为地理位置好，出来机场后一部巴士就可到达。', '短评打分': 1}
{'短评内容': '新装后硬件达准五星，餐饮较以前丰富。', '短评打分': 3}
{'短评内容': '住的很很好', '短评打分': 3}
{'短评内容': '房间很大也很干净，但是不要住在副楼的4楼，和一个歌厅离的太近了', '短评打分': 5}
{'短评内容': '酒店地利位置很好。机场大巴终点站。\n不推荐住旧楼，房间虽然大，但隔音不好。设备有些陈旧。', '短评打分': 5}
{'短评内容': '老楼太差，一点配不上五星，三星还差不多，差距也不至于这么大，下次不住了', '短评打分': 1}
{'短评内容': '早餐很棒~~设施有些旧 但是很舒服!我很满意', '短评打分': 5}
{'短评内容': '饭店很好，设施不错，不愧五星，价格稍微贵点，便宜点就更好了', '短评打分': 5}
{'短评内容': '早餐丰富，其他都还不错。因为市中心，打车在高峰期有点麻烦。', '短评打分': 5}
{'短评内容': '交通方便 环境好 服务好 非常满意吧 啥都不说了 呵呵', '短评打分': 5}
{'短评内容': '很好的酒店，交通便捷，机场大巴直达，早餐丰盛。强烈推荐！', '短评打分': 5}
{'短评内容': '机场大巴可以直达，方便，设施很好，但价位贵了一点。', '短评打分': 5}
{'短评内容': '酒店刚装修一新，很好的地理位置，值得一住，下次还会住那里。', '短评打分': 5}
{'短评内容': '房间太吵', '短评打分': 3}
{'短评内容': '酒店地点在市中心，交通很方便。房间挺大，卫生方便也不错。只是办理退房的柜台没有做好排队的安排，很多人不排队也没法排队，做成很多不必要的时间浪费。', '短评打分': 5}
{'短评内容': '早餐比较丰盛 交通还可以 房间比较大 但比较旧', '短评打分': 3}
{'短评内容': '酒店条件还可以 房间霉味比较重 早餐比较丰富 ', '短评打分': 3}
{'短评内容': '不错 吃喝玩一条龙 交通方便 在市中心 环境舒适 房间干净', '短评打分': 5}
{'短评内容': '外观和大堂看着不错，挺气派的；房间嘛，一般般。', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐不错。值得推荐。以后再住。', '短评打分': 5}
{'短评内容': '环境不错 服务态度很好 早餐也不错 地理位置很好很方便  就是价格太贵了,主楼真的贵\n', '短评打分': 5}
{'短评内容': '环境不错 服务态度很好 早餐也不错 地理位置很好很方便', '短评打分': 5}
{'短评内容': '设施硬件不错，就是早餐虽说丰富，多为华而不实。', '短评打分': 3}
{'短评内容': '   岷山饭店设施服务都可以', '短评打分': 3}
{'短评内容': '虽然不是五星酒店，但是500多元的价格入住B层的标准间对应的服务还可以。除了出入的走廊不是很方便其它都还可以。', '短评打分': 5}
{'短评内容': '酒店A座价格太高，b座太旧前台无人，没有五星酒店的感觉', '短评打分': 3}
{'短评内容': 'very good hotel with very good service', '短评打分': 5}
{'短评内容': '位置比较好，房间比较大，但房间很旧，晚上噪音也很大。', '短评打分': 3}
{'短评内容': '酒店地处成都繁华地带，比较方便，周边环境也不错，酒店服务不错。', '短评打分': 5}
{'短评内容': '酒店服务不错，位置不错，距离机场较近，值得入住。', '短评打分': 5}
{'短评内容': '我已入住,环境、服务都很好。', '短评打分': 3}
{'短评内容': '酒店位于市中心区，地理位置较好，房间挺大，我住的时尚房，房间的大浴缸不错，毛巾、被子、水果等细节部分做得比较贴心，总体来说比较满意\n', '短评打分': 5}
{'短评内容': '还不错，满意。早餐很丰富，服务员很热情。', '短评打分': 5}
{'短评内容': '位置很好，到机场方便。', '短评打分': 3}
{'短评内容': '交通便利,机场大巴就在边上,出门就有地铁和公交站.', '短评打分': 5}
{'短评内容': '环境和餐饮很好', '短评打分': 3}
{'短评内容': '我们住的B栋装修很旧，暖气很热，又调不了，搞得一晚上都没睡着。不过，早餐还比较丰富。', '短评打分': 1}
{'短评内容': '酒店还是可以。位置好。就是之前说的每天605的价格结果第一天要688。郁闷', '短评打分': 3}
{'短评内容': '住的是b楼，其实就是老的岷山饭店，跟主楼比是四星标准，房间已经很老了，里面还有张麻将台子，a楼好像是新造的按五星标准的，不过住的房间里所有的用具都很好，应该和主楼是一样的，包括床品，牙具，毛巾，浴袍，杯子，洗发液洗浴液以及赠送的茶等都很好，客房服务也不错，，有宽带接口可以免费上网，这些让人感觉都很好\n另外送双早，吃饭地方在咖啡厅，所有住店客人都是一样的，自助早餐，品种还可以，还算丰富吧，这里出门就', '短评打分': 5}
{'短评内容': '凑合', '短评打分': 3}
{'短评内容': '春节期间住的，住在B楼，在硬件不是很好的情况下，服务很不错，服务员都很有礼貌很周到。我爸说住这里太方便了，去啥景点都很近，不行其实都不远，旁边吃饭的酒楼很多，交通方便。', '短评打分': 5}
{'短评内容': '这是我第三次入住，A楼的房间好些。早餐还行，羊角面包挺好吃，新鲜。', '短评打分': 5}
{'短评内容': '服务非常好，到店后满房，给我自动升仓，交通非常方便，酒店门口大巴直达机场', '短评打分': 5}
{'短评内容': '环境设施一般，服务还可以', '短评打分': 3}
{'短评内容': '一切都很好,服务也好,会推荐朋友来住的,保持呀', '短评打分': 5}
{'短评内容': '位置中心，交通方便，价格合理。周边的饭馆众多。\n值得推荐', '短评打分': 5}
{'短评内容': '服务很好，交通又方便', '短评打分': 3}
{'短评内容': '地点好 靠近步行街，交通非常方便！！！！', '短评打分': 5}
{'短评内容': '刚装修的酒店,坐飞机,购物,去春熙路\\锦里走着就可以,不用打车,早餐相当的好,不知道成了五星后价格怎样', '短评打分': 5}
{'短评内容': '服务不错，位置方便，离地铁车站近。但只能订到标间，不能订到单人间。', '短评打分': 5}
{'短评内容': '说实话，这个价位有点高，是旧的房间，时间有点长了。', '短评打分': 1}
{'短评内容': '房间暖气都不开,条件太差。', '短评打分': 3}
{'短评内容': '非常好 谢谢', '短评打分': 3}
{'短评内容': '确实还是不错，就是房间小了点，早餐很丰盛。服务非常好，大厅很气派', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 3}
{'短评内容': '听朋友说不错,以后来成都还是会再次入住的,', '短评打分': 5}
{'短评内容': '打算住标准间的朋友们我建议就算了, 4星级的价钱3星级的房间; 早餐还不错', '短评打分': 1}
{'短评内容': '十1个标准间', '短评打分': 3}
{'短评内容': '第一次住岷山饭店服务很好，但设备陈旧相比价格高了些，就位置方便，交通方便', '短评打分': 3}
{'短评内容': '位置非常不错\n机场班车的发车地方, 下次还入住.', '短评打分': 5}
{'短评内容': '价位适中，环境尚好，服务一般，交通也还方便,\n入住时赶上大堂刚刚装修完，有点怪味，显得冷清。', '短评打分': 5}
{'短评内容': '非常好的酒店：\n前台的服务人员态度好，服务好；房间很宽敞，这是我多次来成都后住的最好的。以后就定在这里了。', '短评打分': 5}
{'短评内容': '老酒店，新改建装修，位置不错，服务也不错，房间很舒服。', '短评打分': 5}
{'短评内容': '新改建装修，位置不错，服务也不错。房间很舒服。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '说实话，定的498元的店，感觉一般，有点不值。岷山有好的房间，估计要上千元吧。但是如果就同价位的宾馆相比，岷山实在不敢恭维。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生很好,机场大巴就在酒店旁,很方便,房间很宽敞.', '短评打分': 5}
{'短评内容': '好，但有点装修的味道', '短评打分': 5}
{'短评内容': '我差不多每次都来成都都住这里。饭店管理正规，房间大，设施总是挺新的，干净整洁。', '短评打分': 5}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '位置没得说，就在机场大巴站点的旁边，其实就是为了返程时坐大巴方便，选择了最后一晚入住这个酒店。总体来说比较满意，虽然说我们住的2号楼，从各个细节能看出来这是个老酒店，但还比较干净卫生，房间面积也不错，很安静。早餐赞一个，非常丰富。去春熙路，走路要15-20分钟，但经过青石桥有很多好吃的小吃，值得一走。', '短评打分': 5}
{'短评内容': '要了大床间798元说是豪华单间，感觉硬件一般，房间小卫生间小，设施较陈旧，和南京的金鹰比都有很大的距离，性价比一般，不过服务不错！', '短评打分': 1}
{'短评内容': '酒店服务质量尚好,地段好。', '短评打分': 5}
{'短评内容': '酒店的位置佷好，离天府广场还有一些市内景区都不远，交通非常方便。附近就有一家旅游集散中心。酒店旁的滨江路临江路早晚散步意境很美。早餐也不错。酒店外表看着很气派但房间太小不隔音，服务员不好好打扫，我住了四天地毯上的脏迹卫生间的脏迹都没有打扫过。', '短评打分': 5}
{'短评内容': '  B座太旧太吵于酒店风格不服，A座还好房间太小', '短评打分': 5}
{'短评内容': '酒店不错,服务好!', '短评打分': 5}
{'短评内容': '很不错的酒店，没的说，下次还住.价格也可以', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '成都岷山饭店住宿条件及服务都很好', '短评打分': 5}
{'短评内容': '+好，可惜住的是副楼', '短评打分': 5}
{'短评内容': '四川岷山饭店房间太小卫生间更小设施成旧价格较高与房间的配套不符没有安五星级标准却安五星级标准收费不太合理', '短评打分': 3}
{'短评内容': '说实话，这家饭店各方面都不错，就是价位高了点。', '短评打分': 5}
{'短评内容': '觉得这家酒店不错，就是在装修中哈觉得这家酒店不错，就是在装修中哈', '短评打分': 5}
{'短评内容': '这酒店最大有好处是去机场方便，这是当初入住这里的主要原因。而且这里地处市中心，外出方便。至于酒店内部，住了一夜，感觉不错。卫生、设施、服务都基本满意。与网上介绍的基本一致。', '短评打分': 3}
{'短评内容': '酒店升级后价额上去了房间设施基本没动卫生间及房间太小与实际价额不符', '短评打分': 5}
{'短评内容': '我住的B楼在主楼后面的，前台很热情的招呼领班带我过去。B楼的房间很大，很干净。酒店服务很专业。早餐很丰盛。酒店位置不错，去主要的景点都不远。旁边是机场大巴，去机场很方便。', '短评打分': 5}
{'短评内容': '服务态度非常好，看得出来都是老员工了，不过也有几个新员工正在磨练中', '短评打分': 3}
