{'短评内容': '还可以方便', '短评打分': 4}
{'短评内容': '还不错的地方，民宿性质的，但是环境什么的都不错，有阳台的房间我很喜欢，在中山路那边的巷子里，挨着学校和幼儿园，可以感受一下风土人情什么的，交通很方便，老板人也很好~', '短评打分': 5}
{'短评内容': '地理位置真心没话说 闹中取静啊   老板人超级好哟 我们打的到了酒店附近找不到打电话给他他马上就来接我们了 之后还告诉我们关于厦门旅游的一些事·  呵呵 我们住的豪华双床房 房间比想象中的大多了 床也如此  但是床单有些异味睡的不太舒服  空调有点不好使  ', '短评打分': 5}
{'短评内容': '客房很大，交通便利，整体感觉还好，店家很热情，但是卫生条件不是太好', '短评打分': 5}
{'短评内容': '老板很热情。。环境也不错。有家的感觉~\n你们要来的话是看不见酒店的标志的。。但是只要你到了思明站打个电话给老板，老板就会下来接了。其实就在思明站的对面。。我就是一直找不到路口。。绕了老大圈又回到原点了。。\n酒店毛巾不是很干净，其他没什么大问题。。', '短评打分': 5}
{'短评内容': '很好，值得推荐！一下车的左手边，去哪都方便。', '短评打分': 5}
{'短评内容': '该酒店给你的第一感觉是受骗了，不像酒店，像单身公寓。但入主后的亲身体验却感觉很好，店主服务态度很好。提醒下，店不好找。', '短评打分': 3}
{'短评内容': '空调没热风伤不起，冷死了.', '短评打分': 3}
{'短评内容': '房间还是不错的，地理位置又有优势，适合全家旅行。', '短评打分': 5}
{'短评内容': '居住环境干净，空间很大，老板很热情，交通也很方便！价钱合理推荐', '短评打分': 5}
{'短评内容': '地理位置不错，距离厦大，轮渡，中山路都很近，但是房间一种很脏很旧的感觉，一股味道，家庭式公寓，服务一般，老板还算热情，中途洗头中没有了热水····价格不算贵，也就这样吧。', '短评打分': 1}
{'短评内容': '地址很好，离中山路很近，出门一转，就有很多小吃，酒店老板很热情，还有洗衣机，还可以晾衣服，长期短期都是不错的选择，只是床上用品有些破旧', '短评打分': 5}
{'短评内容': '酒店离中山路、轮渡都很近，到火车站打车就15元，楼下就是公交车站，附近还有菜市场，有洗衣机、冰箱，室内有些潮，对住宿条件要求不高的人可以考虑', '短评打分': 5}
{'短评内容': '头一次住这种酒店公寓，没有酒店大堂，老板一家住7楼，据说在三亚，厦门这种私人旅馆很普遍，老板很热情，酒店冬天没有取暖空调，对于我们北方人感觉在宾馆内很冷，没有一次性拖鞋，对硬件设施要求高的人请慎重选择。', '短评打分': 1}
{'短评内容': '订的136元的房间，房间超大，很干净住的非常舒服。酒店位置也非常好，周围都是好吃的，到中山路、轮渡码头、台湾美食一条街、中山公园都是步行10分钟以内。老板非常热心，强烈推荐', '短评打分': 5}
{'短评内容': '房间非常宽敞，老板服务很周到，春节期间，老板是知无不答，答无不细，非常亲切非常好的老板。\nPS：老板家似乎还有一个长的很可爱的叫佳佳的女孩子~真的超级可爱的~', '短评打分': 5}
{'短评内容': '住了两个大床房, 房间很大, 硬件设施齐全, 老板很热情.', '短评打分': 5}
{'短评内容': '是家庭式的酒店，非常满意。老板人很好，很热情。房间也很大，很舒服，设备全。二楼平台设计的好。如果再去还住这。', '短评打分': 5}
{'短评内容': '地段很好，老板人也不错。不过对硬件设施有要求的朋友要慎重选择，个人感觉实景和图片有差距。\n加一句，对ELONG非常失望，以后不会考虑通过ELONG预订酒店。', '短评打分': 1}
{'短评内容': '不错，位置很好，去厦大、中山路、码头都很方便，而且房东老板很热情', '短评打分': 5}
{'短评内容': '很不错!房间很大,冰箱洗衣机都有。超值!', '短评打分': 3}
{'短评内容': '房间很干净，还有个冰箱，设施很齐全，很家的感觉。酒店周围就是名汇广场，有好多好吃的可以逛。', '短评打分': 5}
{'短评内容': '初到厦门小游，经朋友推荐入住的清怡，非常满意。首先交通是一大优势，楼下就是21路大同站，中山路近在咫尺，到各个景点都有直达的车，很方面。酒店设施齐全，打长途是免费哒。最赞的必须提一下可爱哒老板啦，真是非常的和蔼，而且有求并应，还介绍我们去一些当地人都去的饭馆，严重表扬！', '短评打分': 5}
{'短评内容': '最大优势交通便利，在中山路附近去轮渡，植物园，厦大，南普陀寺都可以走着。老板人很好。帮忙订去土楼和武夷山的旅游。谢谢，希望下次还有机会住。', '短评打分': 5}
{'短评内容': '环境还不错，公寓式酒店，中长期居住感觉更好。', '短评打分': 5}
{'短评内容': '床比较硬，浴室不宽。可是交通方便，安静，老板挺好的。有机会再预定。', '短评打分': 5}
{'短评内容': '恩，不错挺干净，屋子也大', '短评打分': 3}
{'短评内容': '位置很好，离中路步行街和厦门大学都很近，房间也很大~老板挺热情的，主动介绍景点和路线~', '短评打分': 5}
{'短评内容': ' 老板人挺好,待人真诚!房间很大蛮有家的感觉,特别提醒下,房间还有洗衣机呀!总而言之,酒店设施很到位,老板也很到位!', '短评打分': 3}
{'短评内容': '环境对得起价格，小住还成吧！', '短评打分': 3}
{'短评内容': '首先，此酒店地段比较优越，去码头鼓浪屿很近，距离中山路步行街也就只有一个路口，交通比较便捷，对面还有一个菜场，中山路上的1980也近在咫尺，总得来说是还不错的！', '短评打分': 5}
{'短评内容': '去之前看了评论说是设施有点旧，其实还好啦，我觉得不错了，还有洗衣机挺方便的，房间挺干净又大，老板人也很好。酒店离中山路很近，走路5分钟左右，而且楼下就是21路车思东站，坐车去厦门大学就4站路。', '短评打分': 5}
{'短评内容': '服务很好,住宿条件也很好', '短评打分': 3}
{'短评内容': '方便、设施齐全、闹中取静、距各景点都十分近。', '短评打分': 5}
{'短评内容': '不错的酒店，价格便宜，位置也很好，周围吃的很多，尤其酱鸭很好吃。', '短评打分': 5}
{'短评内容': '房间很大，设备齐全，有冰箱、洗衣机、衣柜等，地点离中山路也很近，方便逛街和购物，就是有些细节还是要改善，比如淋浴的喷头都摔裂了要改换一下，毛巾太单薄了应该换厚一点的比较好。', '短评打分': 5}
{'短评内容': '房间比较宽敞 公寓嘛 老板也比较好 地理位置明显 ', '短评打分': 5}
{'短评内容': '这家酒店老板人很热情.环境也还不错.挺值的', '短评打分': 3}
{'短评内容': '不适合旅游的，但是位置不错，从思明南路过去很近，是酒店式公寓，适合在厦门短期居住的，不适合旅游的，但是里面还有抽油烟机和洗衣机，老板也很不错', '短评打分': 1}
{'短评内容': '空间大，住的房间比宾馆房间大，我们订的是没阳台的房间，老板还给我们换成了有阳台的房间，真是太感谢了，设施也不错，交通也方便，有机会还去住', '短评打分': 5}
{'短评内容': '地理位置挺优越的，离中山路和轮渡都很近。周六周日的时候挺安静的，周一就吵了，边上有个小学，一大早就放广播。位置有点难找，一开始以为在名汇广场里面，其实是在名汇广场的公寓楼里。晚上会有人往房间里塞特殊服务的小卡片，心里觉得有点不舒服。房间一般，卫生觉得不行。卫生间的毛巾很脏，都不敢用，热水要等几分钟才会上来，淋浴的喷头不好，都对着天花板喷水的，洗澡不方便。有宽带，不过网速很慢。空调制冷一般，而且噪音', '短评打分': 1}
{'短评内容': ' very good', '短评打分': 3}
{'短评内容': '这个酒店，离步行街和轮渡马头都很近，步行街走路，5分钟的样子，到马头的话，走话估计15-20分钟，一般我都是打车去的，（这个酒店周围吃饭的地方确实多，因为靠近步行街）因为去旅游还是要走路的，所以就留点体力吧！呵呵！这个酒店也就是酒店公寓的形式，有洗衣机、开放式厨房、有阳台（不过不大）我当时住的是豪华大床房（我是10月5日去的288的价，性价比不是很高，感觉有点贵吧，不过在旅游季节也没有办法），床还', '短评打分': 5}
{'短评内容': '这家公寓位于思明区名汇广场旁边，环境一般，尚算干净，也许俺运气不大好，第一晚去到居然没水，好在老板人挺好的，帮我们拿热水上来，勉强过了一晚，第二天早上醒来后就有水了。该公寓优点：有洗衣机，房间大，免费上网，有冰箱，可以打长途电话，地理位置方便，一出门口没多远就有车站，可直达轮渡码头。缺点：没洗衣粉。', '短评打分': 5}
{'短评内容': '酒店还不错，位置好，安静。装修有点落后，建议换下电视。', '短评打分': 5}
{'短评内容': '位置很好，就在中山路边上，距离轮渡也很近，重点是晚上睡觉并没有很喧闹的感觉，这点很重要，房间虽然比较简单，但也算整洁，老板很热情，一进门就向我们介绍周边一些景点、逛街、吃东西的地方，总体感觉还是不错的', '短评打分': 5}
{'短评内容': '感觉很不错~就是位置难找点，希望下次还能入住', '短评打分': 5}
{'短评内容': '酒店位置很好，到中山路很方便，房东很热情。\n设施一般，对要求不是很高的游客来说，住两三天还行。', '短评打分': 5}
{'短评内容': '酒店位置好,房间舒适,游玩出行方便,老板也很热情', '短评打分': 5}
{'短评内容': '  房间大且干净，交通方便，很值得一住。', '短评打分': 3}
{'短评内容': '不错  公寓式宾馆 什么都有  还有茶具等等  挺舒服的\n不错  公寓式宾馆 什么都有  还有茶具等等  挺舒服的\n不错  公寓式宾馆 什么都有  还有茶具等等  挺舒服的', '短评打分': 5}
{'短评内容': '1、作为公寓式酒店装修朴素，在厦门地区该酒店房租算公道。\n2、另外卫生、服务态度等都无可挑剔！\n3、比较适合旅游厦门的人士，尤其是在酒店紧张的季节。\n4、交通便利：步行街距离为5分钟步行距离，轮渡为10分钟步行距离。', '短评打分': 5}
{'短评内容': '老板很热情周到，地段不错，旁边就是中山商业街，到轮渡也很方便！这个价还可以接受！', '短评打分': 3}
{'短评内容': '虽然是公寓式酒店,但是地方很大,也很乾淨,性價比不錯！而且老闆人也很好！就是出入的時候可能會經常被問～但是也不太影響！', '短评打分': 5}
{'短评内容': '酒店交通方便，距中山路步行街步行只需5、6分钟，酒店的环境和室内清洁一般，房间内的设施比较齐全，老板比较热情。', '短评打分': 5}
{'短评内容': '挺好的，离中山路比较近，里面也比较大比较干净。就是家庭旅馆可能没有工商注册之类的，外面没有挂牌，在居民区开始比较难找。希望能正规化就好了', '短评打分': 5}
{'短评内容': '环境不错，老板人也很好，地理位置也好，离中山路和码头都很近，赞！', '短评打分': 3}
{'短评内容': '酒店位置靠近中山路,出门是思东站,很多车到轮渡,交通方便!酒店环境还行,比较干净,电器俱全,但是可能有几年的使用时间了,空调声音有点大,洗衣机的排水管也废掉了,直接对着阳台排水,不过都还能使用!老板人超好的,又热情,有什么需要帮忙或是问路都可以找他!', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '地理位置比较好，但没有明显标志，不是很好找。房间比较大，但觉得卫生一般，女孩子刚一进去会有点怕吧。酒店不设前台，大家可以想像是那种个人开的旅店，但老板很热情。刷卡比较麻烦～酒店本身不设pos机。整体感觉一般，也可能之前期望太大，住了一天就换了地方。', '短评打分': 1}
{'短评内容': '酒店位置还可以，到哪里都很方便，房东很nice。但设施一般，对要求不是太苛刻的游客来说，住住还可以。', '短评打分': 5}
{'短评内容': '就是单身公寓，设备比较陈旧，房间内灯光太灰暗了，没有前台，房费需要现金支付。要说好的话，酒店的老板态度是不错的。地理位置还可以，步行10分钟可以到码头，也靠近中山路', '短评打分': 1}
{'短评内容': '还算干净，隔音太差，外面有人打麻将，一晚上没怎么睡着，窝火！', '短评打分': 3}
{'短评内容': ' 还不错 在市中心 就是没有wifi不是很方便…', '短评打分': 3}
{'短评内容': '刚开始在轮渡找了半天不知坐什么车过去，无奈之下只好打电话到酒店，老板说很近，走路可以了，但由于咱们是个路痴，找了好久还没到，老板还打电话来问我们情况。老板非常热情，又帮我们拉行李，又详细告诉我们去怎么去景点，怎么好玩之类的。订的是大床房，真的很大，房间也很大，有沙发、洗衣机、冰箱、电视，长途电话任意打，交通方便。下次去还会去这家。', '短评打分': 5}
{'短评内容': '很好，房间很舒服，老板人很好，位置也很方便！', '短评打分': 3}
{'短评内容': '没有前台，这点比较纠结，真的属于公寓，但是里面还是面积较大，干净还可以，我订的是双床，但是两张床是不一样的，比较老，柜子什么也是比较旧，不过交通还是比较便利，距离中山路和轮渡比较近。', '短评打分': 1}
{'短评内容': '酒店地理位置不错，离码头、中山路、大同路都很近、也刚好有个21路车的公交站，去火车站、厦大、都比较方便。卫生还可以，算得上干净了，老板态度也很好。总体来说，是很不错的！', '短评打分': 5}
{'短评内容': '交通很方便，房间也大，总体来说还不错的，十分满分中的八点五', '短评打分': 3}
{'短评内容': '还是比较值的，酒店的老板比较热情，不错不错。', '短评打分': 5}
{'短评内容': '住的很舒适 贴心！ 不过提醒朋友们那边住房比较紧张，一般就是定了房子也要等到十二点以后才能入住！ 房东很热情 不错！', '短评打分': 5}
{'短评内容': '地段蛮好，就是房间和客厅连在一起太空旷，对睡眠不好。', '短评打分': 5}
{'短评内容': '价格实惠，环境比较干净，地方也挺大，还有就是老板特别热情', '短评打分': 5}
{'短评内容': '相当不错，绝对对得起这个价。从位置到设施，都很让人满意，赞一个！', '短评打分': 5}
{'短评内容': '环境不错，房间很大，干净卫生，地段也很好，就电视机小了点', '短评打分': 5}
{'短评内容': '地段超好，去码头、中山路步行街很方便，老板也超热情，乐于帮忙！感觉非常不错··', '短评打分': 5}
{'短评内容': '环境优雅、比较干净、价廉物美，老板为人也很好，赞一个。', '短评打分': 5}
{'短评内容': '老板很客气，只是入住的房间，窗锁坏了，浴室的玻璃无，稍有点感觉不好。还好老板及时修好。\n\n对酒店要求不高的，推荐入住，离中山路步行街非常近。房间很大', '短评打分': 5}
{'短评内容': '地理位置佳，靠近中山路步行街和轮渡码头，内部干净，服务好，但不能跟一般性的酒店相比。', '短评打分': 5}
{'短评内容': '算是不错的选择，对于学生旅游经济实惠。环境还不错。服务态度很好~', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '房间很好~~推荐入住', '短评打分': 3}
{'短评内容': '地理位置很好，离中山步行街 轮渡码头 火车都很近，有家的感觉，下次还会来。', '短评打分': 5}
{'短评内容': '还不错…', '短评打分': 3}
