{'descr': '我觉得还可以很不错', 'star': 5}
{'descr': '如家位置还不错', 'star': 5}
{'descr': '房间较大，不错', 'star': 5}
{'descr': '为了男朋友司法考试入住的这家酒店，结果还是很满意的。房间比较干净，平时也很安静，酒店附近吃的比较多，吃了两天粤仔湾呵呵。美中不足的是我们的房间就在茶餐厅对面，早饭点比较吵闹', 'star': 5}
{'descr': '基本还好的，经济型酒店嘛想咋样？170不便宜的，不包括早餐呢，电梯很不舒服', 'star': 5}
{'descr': '作为快捷酒店189的价位实在是太贵了，大城市也没到这价格。而且每层房间是四排，隔音效果奇差，旁边的房间打电话、聊天、看电视都会现场直播，打个嗝都能听得一清二楚，晚上简直没法睡觉……', 'star': 1}
{'descr': '酒店地址还不错。停车要收费。房间比较小，前台比较冷淡。', 'star': 3}
{'descr': '＋地段还可以，但是前台的服务实在很一般，面无笑容，房间很小，隔音很差，停他们的指定停车场还要付钱，总体印象不好。', 'star': 5}
{'descr': '离家乐福近，旁边是古运河，还不错', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '房间太小', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '较噪杂，房间狭小。', 'star': 1}
{'descr': '很干净，床很舒服，卫生间也很干净，但是早晨打扫房间的工作人员没有经过我的同意就擅自开我房间的门', 'star': 5}
{'descr': '安静的小家。', 'star': 3}
{'descr': '硬件还行，前台和服务员的素质很差！！', 'star': 1}
{'descr': '很不错 房间很宽敞', 'star': 3}
{'descr': '门口打车不方便，吃饭也不方便。但服务人员很好！', 'star': 5}
{'descr': '各项条件都比较不错，就是位置偏了一点，公交也不是很方便', 'star': 5}
{'descr': '安静，无打扰。', 'star': 5}
{'descr': '靠路边的炒，服务态度不好。', 'star': 3}
{'descr': '还行，住了两次，位置不错。主要是大床房太吵', 'star': 3}
{'descr': '靠马路的房间，很吵。房间小了点', 'star': 5}
{'descr': '房间太窄了.', 'star': 1}
{'descr': '位置还不错，我需要的公交就在门口。。。就是临街的房间太吵了', 'star': 5}
{'descr': '内部设施有点旧了，其他都还不错', 'star': 5}
{'descr': '位置有点偏，出行还可以，房间的卫生和设施还不错，服务也可以，整体感觉这家酒店的性价比还是比较高的 值得推荐', 'star': 3}
{'descr': '酒店人员服务蛮好的,里面的设备也比较齐全,交通位置也不错,出行挺方便,而且价格也不贵,所以还是比较值得推荐的.', 'star': 3}
{'descr': '房子不错，比较温馨，唯一的不足就是靠着路边，噪音比较大，我住的大床房，稍微有点小。不过这个价格，还不错的。', 'star': 5}
{'descr': '不错 下次还来', 'star': 5}
{'descr': '位置还是不错的,位于市中心,出行都很方便,房间的卫生和设施方面也很好,住着比较舒适,是一家性价比很高的酒店.', 'star': 3}
{'descr': '朝北的房间与对面的房间有点近。空调正对着写字台，无论是冬天还是夏天，都不适合坐在写字台前。', 'star': 5}
{'descr': '管理到位，卫生好。', 'star': 5}
{'descr': '其他都很好，就是隔音差了点', 'star': 5}
{'descr': '酒店不错，值得一住！', 'star': 3}
{'descr': '位置还是比较好找的，出行还算比较方便，房间的卫生一般，设施倒还可以，酒店的服务还是比较满意的，我觉得这家酒店性价比不错，值得推荐', 'star': 3}
{'descr': '我认为环境比较干净整洁，交通也很便利。住了一天服务也周到', 'star': 3}
{'descr': '整体还不错，就是在高峰期网速慢的惊人，如果对网速需求高的还是另选其他的酒店吧。', 'star': 1}
{'descr': '酒店的位置还可以，条件挺好的，房间也干净，我觉得这个价格还是比较值得的。', 'star': 3}
{'descr': '酒店不错，下次还会入住！', 'star': 5}
{'descr': '酒店位置比较偏在南城这边晚上还是有些吵,酒店早餐很好,设施很新,性价比还不错.', 'star': 3}
{'descr': '交通很方便,酒店里面环境也很好,没什么不满意的,如果价格能再实惠些就更好了. ', 'star': 5}
{'descr': '酒店很干净,服务也不错,位置比较好,设施也是很齐全,性价比比较好.', 'star': 5}
{'descr': '很舒适，很安静，价格也不贵，我比较喜欢住这样经济型酒店', 'star': 5}
{'descr': '我住的是5楼，临窗，那个隔音真是百年一遇，街上车来车往，忽忽的，吧吧的，就像在你的耳边开车一般。如果要再装修，求求你们，隔音搞得好一点，也讲点人性化吧，我简直一夜未睡，罪过呀！\r\n提醒想入住的朋友，千万不要住临街的，哪怕没有窗户，也比在噪音中受罪要好。', 'star': 5}
{'descr': '酒店设施很齐全,而且装修和设施上面做得也还不错,总体感觉性价比还是蛮高的', 'star': 5}
{'descr': '酒店蛮舒适的,离市中心比较近,卫生条件很不错的,只是价格有些偏高', 'star': 5}
{'descr': '性价比高、舒适卫生、有家的感觉', 'star': 5}
{'descr': '酒店的位置离我办事的地方很近，而且交通也比较方便，服务相对比较不错。', 'star': 5}
