{'短评内容': '在呼和浩特只会选择锦颐连锁酒店 不仅客房感觉 鼓楼店工作人员及其热情 床睡的也特别舒服', '短评打分': 5}
{'短评内容': '酒店已经住了好几次了，很好，还会送小食物，很好', '短评打分': 5}
{'短评内容': '环境可以,网速不错。房间小点,位置还好。', '短评打分': 3}
{'短评内容': '干净整洁，性价比高。就是电视有些小，用作显示器的话略显不够清晰。', '短评打分': 5}
{'短评内容': '卫生间有异味 采光有些不足 网速不错 设施挺全的 虽然旧了点 我住的是148的房 价格也算差不多吧 ', '短评打分': 5}
{'短评内容': '酒店很好  服务不错   走的时候还送了张免费会员卡  很值得一住', '短评打分': 5}
{'短评内容': ' 虽然房间小了点 但整体还是非常不错的   很干净很整洁   酒店还给赠了报纸奶茶等  ', '短评打分': 3}
{'短评内容': ' 酒店环境挺很干净、温馨的，服务也很好，下午还有奶茶送。就是房间有点小。', '短评打分': 3}
{'短评内容': '再次入住，还是感觉很好。很干净，交通也很便利', '短评打分': 5}
{'短评内容': '去内蒙旅游连续入住了两次，感觉非常不错的酒店，很温馨，服务也好，还送了水果，虽然水果的质量不怎么样，房间小了一些，不过价格还是可以接受的。', '短评打分': 5}
{'短评内容': '房间有点小，但感觉很舒适，床有点短。', '短评打分': 3}
{'短评内容': '房间很好，装修的也很新，不过地理位置差了点，周边小饭店，小卖部很多，倒也方便，离市中心远了点。', '短评打分': 5}
{'短评内容': '门店车不好打，但服务很好，房间也很干净，离店时还送了会员卡', '短评打分': 5}
{'短评内容': '很干净，很温馨，只是隔音不太好。', '短评打分': 3}
{'短评内容': '环境不错，也很干净，就是房间小了点，房间门和楼道过道之间的 隔音不太好，休息的时候会有点吵，建议酒店把房间一进门的地方铺些地毯，应该会起到点隔音的效果', '短评打分': 5}
{'短评内容': '酒店错东西很齐全，很不错', '短评打分': 3}
{'短评内容': '总之很好，晚上还送小食品呢，虽然不值什么钱，但很贴心', '短评打分': 5}
{'短评内容': '服务很好，也很干净，特别是有个洗衣粉的盒，想的很周道', '短评打分': 5}
{'短评内容': '给我的感觉还是不错的，服务也不错，就是好像我的房间三楼正好是一个锅炉房，每隔十五分钟都会响一次，声音也很大的', '短评打分': 5}
{'短评内容': '从网上看到网评很是不错，就来了。来了之后感觉真的挺好。不仅服务和卫生让人满意，还有很多感人的小意外收获。入住那天刚好是我生日，细心的服务员居然给我送了一小块生日蛋糕，真得是让人感动。', '短评打分': 5}
{'短评内容': '酒店很干净，装修也蛮新，很好。', '短评打分': 3}
{'短评内容': ' 感觉很好，干净，布置的也不错', '短评打分': 3}
{'短评内容': '酒店干净，服务好，下次还来', '短评打分': 3}
{'短评内容': '酒店不错，尤其是前台服务员的态度，特别好，就是房间有点吵，房间也比较新，就是在箱子里面，有些不好找，下次有时间还会再来的。 \n', '短评打分': 5}
{'短评内容': '房间宽敞明亮，卫生很好', '短评打分': 3}
{'短评内容': '打扫房间请及时   住一天 也要送小食的哦\n宾馆 夜里老有奇怪的电话呀  喵‘ 其他都可以 离万达广场很近\n晚上看个大片 变3 真是挺刺激的', '短评打分': 5}
{'短评内容': '地理位置优，距离火车站和飞机场都很近，门口就有公交车站；房间干净卫生，但摆设略显局促；工作人员服务态度很好；酒店周围中小型饮食餐馆较少，用餐不太方便；停车位少。', '短评打分': 5}
{'短评内容': '除了网络其他都可以，性价比很高！，，，，，，，，，，，，，，，，，，，，，，，，，，\n', '短评打分': 5}
{'短评内容': '环境什么都很好就是网速太慢', '短评打分': 3}
{'短评内容': '下午3点退房很大，隔音稍微差点  地理位置不错', '短评打分': 5}
{'短评内容': '性价比还可以，就是网络实在是无法忍受，希望以后能够好转。', '短评打分': 5}
{'短评内容': '酒店蛮好的，尤其是前台服务员的态度，特别好，来了之后，房间空调有点吵，就去换房间，服务员很爽快的就给换了，新房间挺好的，虽然多花了20，不过感觉挺值得的，下次有时间还会再来的。', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 3}
{'短评内容': '房间的卫生还可以，空调声音太大，服务态度很一般', '短评打分': 5}
{'短评内容': '  我所订的房间有点小。感觉很憋屈，窗户也不大！   但是总体感觉不错，服务态度不错，设施齐全，而且真有免费的小食品。不错，至少性价比是很高的！', '短评打分': 5}
{'短评内容': '房间还行,就是有点小,前台服务挺好,下次还住这里。', '短评打分': 3}
{'短评内容': '性价比很高的酒店，和锦江之星在一个层次上，但价格低很多。', '短评打分': 5}
{'短评内容': '现在隔壁有一家新开的，价格还要有诱惑，房间还要大', '短评打分': 5}
{'短评内容': '房间布局不错 卫生有点差 不能洗澡', '短评打分': 3}
{'短评内容': '性价比非常高的一家宾馆，很干净和安静。美中不足的是不提供正餐，商品部东西也不多。', '短评打分': 5}
{'短评内容': '不错的酒店，干净，服务也很好，就是地段不是最好，叫车比较难', '短评打分': 5}
{'短评内容': '酒店总体不错，就是房间隔音不好，空调室外机噪音太大已经影响到正常的休息，望改进。呼叫服务员时等待时间太长！', '短评打分': 5}
{'短评内容': '新型的快捷酒店，就是隔音不太。早餐不错，服务不错', '短评打分': 5}
{'短评内容': '房间不错，设施也不错！缺点是很多出租车不知道地方！', '短评打分': 5}
{'短评内容': '这个酒店效率太差很冷 我10到的酒店 12点才入住', '短评打分': 1}
{'短评内容': '环境很好，交通也很便利，服务态度也特别好！！', '短评打分': 5}
{'短评内容': '酒店服务很周到、很热情，微笑很真诚。客房也和干净，“硬件”和“软件”也很齐全。唯一一点不足的就是房间比较小，但是也足够住了，呵呵，如果能再大一些就更好了，不会有那么压抑感！值得推荐！', '短评打分': 5}
{'短评内容': '还不错电视小了点。', '短评打分': 3}
{'短评内容': '位置好，房间有些拘谨，其余的还好，网速很快', '短评打分': 5}
{'短评内容': '不错的酒店，价格服务和设施都不错，以后来还是在这里，现在就是自助的早餐有一点不足', '短评打分': 5}
{'短评内容': '很温馨 环境很好...', '短评打分': 3}
{'短评内容': '房间很干净，设施齐全。性价比高，前台服务态度好。', '短评打分': 5}
{'短评内容': '酒店设施都是新的\n洗手间还采取的航空材料。唯一的一点就是隔音不好，\n相对，性价比偏低', '短评打分': 1}
{'短评内容': '还算不错，服务不错， 生日当天还有礼物，挺体贴的，总体感觉不错！', '短评打分': 5}
{'短评内容': '挺干净，就是房间小。周围没发现可以吃蒙餐早餐的地方。\r\n不过对面有巴彦得勒海不错。', '短评打分': 3}
{'短评内容': '房间还是很干净的，周围的生活气息很浓。去鼓楼也比较方便\r\n就是房间太小~进门就是床拉', '短评打分': 5}
{'短评内容': '房间很好很干净，灯光和玫瑰让人心情大好。精致的小屋子，很实在', '短评打分': 5}
{'短评内容': '呵呵，看到了床上的玫瑰了。对面马路下车的，保安一看到马上冲过来帮我拎，相当有礼貌啊~壁纸很漂亮，我喜欢的紫色，各方面细节做得很好，有一次性针线包、厕所有洗衣粉、洗衣皂，有海豚按摩棒（刚好肩好酸啊），枕头中间有一部分是荞麦。好贴心~比如家便宜一点的价格比如家好多了诶~但是也要讲下缺点，貌似生意很火很忙的样子，前台态度不是很好，但人家很忙，也就原谅了。空调制暖有点不够，暖气还没到开的时候...门前的路', '短评打分': 5}
{'短评内容': '服务态度不错，就是不太隔音，位置不是很好找。', '短评打分': 5}
{'短评内容': '优点：有32存液晶电视，空调，电脑桌，网线，卫生条件非常好\r\n缺点：房间太小感觉压抑，窗户太小，地理位置没有说的那么好，在一条巷子里，出门还是需要打车\r\n本来定了1周，因为个人感觉办事不方便住了一天后换了别的地方，呼市100~120的宾馆满大街都是', '短评打分': 5}
{'短评内容': '很不错的酒店，是新开的。坏境很好，配置也不错，唯一的遗憾就是卫生间是用塑板隔的，隔音效果不好。但木已成舟，完全可以用其他服务来填补，性价比高，推荐。', '短评打分': 5}
{'短评内容': '房间有点小，但很舒适，最大的问题是刚装修的，因为通风不好味道很大，那气体肯定是对身体有害的，所以想住那里的朋友最好过几个月再去。', '短评打分': 5}
{'短评内容': '酒店很好！很新很干净，服务也不错！下次再来！', '短评打分': 3}
{'短评内容': '酒店很不错！很温馨，特别是市话、长话免费打很方便～如房间再大点就更好了！', '短评打分': 5}
{'短评内容': '酒店很新很干净，房间以浅色明快的色调为主，很温馨！最为方便的是市内、长途电话不限时段免费打，非常方便！如果在放水的时候没有那种敲门声就更好了！！！', '短评打分': 5}
{'短评内容': '隔音不算太好，不适合情侣入住。服务不错。位置还可以。每天下午送水果和报纸。性价比不错\r\n整体还算不错。', '短评打分': 5}
{'短评内容': '没想到设施都那么新，估计是新装修的把，和同等价位的酒店相比要好很多，希望继续保持。', '短评打分': 5}
{'短评内容': '位置不错，卫生也还可以，但是隔音效果太差了，隔壁的ML连绵不绝。', '短评打分': 5}
{'短评内容': '环境不错，位置较好，就是空间比较小。。不过还是可以接受的', '短评打分': 5}
{'短评内容': '位置是在市中心，就是不太好找，只有早点，中餐和晚餐周围没有个好饭店，服务比较人性化还有饮料赠送。市话和长话都是免费的，就是隔音不太好隔壁的床动，我这里的也跟着动。', '短评打分': 5}
{'短评内容': '位置挺好，可以免费打电话，挺不错的，卫生间的纸质量不行，建议换点好的，哈哈，其他都挺不错', '短评打分': 5}
{'短评内容': '+很好的酒店，下次还会入住。床超级舒服。', '短评打分': 5}
{'短评内容': '房间简单干净，前台服务热情，性价比很高。', '短评打分': 5}
{'短评内容': '服务热情，厕所洗澡的太小了，不好转身，但是厕所设计巧妙，一点不滑。', '短评打分': 3}
{'短评内容': '位置有点偏不好找，但是周边环境很好，临近市中心，到将军府博物馆长途汽车站火车站都有公交直达！早餐不错！', '短评打分': 5}
{'短评内容': '设施服务不错，只是酒店新装修，味道比较大。', '短评打分': 5}
{'短评内容': '地理位置好，设施不错，性价比较高。', '短评打分': 1}
{'短评内容': '不错，就是房间小了点。', '短评打分': 3}
{'短评内容': '不错，就是房间有点小！', '短评打分': 5}
{'短评内容': '涨价后性价比太差，不会再住了。', '短评打分': 3}
{'短评内容': '空间太小了 尤其是窗户 ……自助早餐稍微单一一些 \r\n\r\n其它的还算可以', '短评打分': 1}
{'短评内容': '涨价了，现在的性价比很差。。。还不如住如家。7天之类。', '短评打分': 1}
{'短评内容': '酒店的整体格局比较好，服务态度也很好，就是在定房入住时那屋是有电脑的，要多加20元的使用费，我觉得这个应该在客人入住前就向其说明情况，免得像我那样中途再换房间！不过换房间也没有另加费用，这是很好的！', '短评打分': 5}
{'短评内容': '各方面都还不错，就是房间稍小了点，可能我住的房间这个价格就是这样吧。', '短评打分': 5}
{'短评内容': '长途不要钱，不错', '短评打分': 5}
{'短评内容': '性价比比较高.而且卫生条件不错整理的很干净住起来很舒适,而且位置也好挺方便出行的,我个人感觉这家酒店还不错.', '短评打分': 5}
{'短评内容': '     99每天住的，感觉卫生很好，服务用心，设施比较于99的价格很实惠。地点安静，主要是感觉很安全。客人素质较高', '短评打分': 5}
{'短评内容': '新宾馆，可以住的，比较难找', '短评打分': 5}
{'短评内容': '挺新的，够干净', '短评打分': 5}
{'短评内容': '除了空间小了一点别的都好', '短评打分': 5}
{'短评内容': '可以打免费电话，很不错的酒店', '短评打分': 5}
{'短评内容': '刚开的酒店，非常好，设施不错，还有免费电话可打，就是位置一般。', '短评打分': 5}
{'短评内容': '新開的，很好！很舒適！', '短评打分': 5}
{'短评内容': '一进门，让人感觉一亮，装修非常明亮地下干净。\r\n服务也非常到位，每天还有水果或酸奶。\r\n经济的价格，4星级的水平。', '短评打分': 5}
{'短评内容': '性价比较高。尤其是打电话免费这项实在是方便了来出差的xd们了，总体评价不错。缺点是位置稍偏。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 3}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地点、房间、卫生都很好，热水也很好，整体卫生间，打长途和市电话免费。', '短评打分': 3}
