{'短评内容': '不错的体验…', '短评打分': 5}
{'短评内容': '一次难忘的经历，饭店不管从设施、服务态度还是在外滩的环境、位置都可以啧啧称道的！尤其是那种老上海的历史感，仿佛回到上个世纪那个年代的繁华。。。', '短评打分': 5}
{'短评内容': '两说吧，正面的就是安全有保证，负面的就是有些门卫狗眼看人低', '短评打分': 1}
{'短评内容': '非常好的酒店，软硬件都很到位，地理位置奇佳。', '短评打分': 5}
{'短评内容': '价格虽贵，但位置绝佳，逛街购物非常方便，房间也很豪华，适合商务旅行。', '短评打分': 5}
{'短评内容': '环境很好~~地理位置优越，，出行很方便。。风景也很漂亮', '短评打分': 5}
{'短评内容': '现在才知道人为什么要去赚钱啊。有钱就有高档的享受。位置佳，新装修，据说装修花了十几亿，现代和怀旧兼具。赞！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不愧是上海和平饭店啊！！好的没话说！！！！！！！', '短评打分': 5}
{'短评内容': '环境很好，地方大而且空气好，在东莞算是我比较喜欢的一家酒店。', '短评打分': 5}
{'短评内容': '位置也很方便，价格还是算五洲，房间装修也是很新，服务挺好的。', '短评打分': 5}
{'短评内容': '地理位置非常好，虽然酒店有点老，但服务各个方面都不错！', '短评打分': 5}
{'短评内容': '酒店整体条件还不错，位置好方便出行，服务及客房舒适度也蛮高的.', '短评打分': 5}
{'短评内容': '酒店整体条件还是不错的，在上海这家酒店是老牌子酒店，整体水平很好并且服务也很达标.', '短评打分': 5}
{'短评内容': '酒店没有提供早餐,对于商务出差来讲有些不太方便.不过室内硬件条件及软件服务也还是不错的.性价比还是蛮高的.位置好方便出行.', '短评打分': 5}
{'短评内容': '酒店位置非常好,晚上可欣赏外滩的灯光和夜景,是上海历史最悠久的老饭店之一,很适合懁旧一族.', '短评打分': 5}
{'短评内容': '住得套房,价格方面还是感觉略高,不过还算成正比,服务到位.设施比较新.', '短评打分': 5}
{'短评内容': '第二次出现到店价格低于ELONG预定价格的情况，市景房预定2600多，实际到店价格仅1900多（未含15%服务费），即便加上15%服务费，也低于ELONG预定价格。', '短评打分': 5}
{'短评内容': '酒店新装修了感觉比以前住着舒服多了，豪华房虽然安静一点但是没什么景观', '短评打分': 5}
{'短评内容': '宽带收费 房口位置狭窄 早餐收费 总体还可以', '短评打分': 5}
{'短评内容': '酒店环境挺好的房间的卫生设施都还行，价格服务都很不错。位置出行很方便。而且离外滩也很近过一条马路就是去南京路步行街也方便所以逛街购物都还是挺方便的。', '短评打分': 5}
{'短评内容': '服务很周到细致，日式的服务风格。', '短评打分': 5}
{'短评内容': '虽然是老酒店，但是有重新装修过，入住起来还是很舒适。', '短评打分': 5}
{'短评内容': '酒店里面的业务包括订票，效率都非常高。', '短评打分': 5}
{'短评内容': '房间卫生很好，干净舒适。老字号的五星级酒店。', '短评打分': 5}
{'短评内容': '酒店地理位置优越，出行交通很方便。', '短评打分': 5}
