{'短评内容': '房间还可以不过价钱有点贵', '短评打分': 5}
{'短评内容': '服务好，浴室很干净，有电视机和空调，就是在八楼，四五楼是KTV，不过影响也不大', '短评打分': 5}
{'短评内容': '还好吧，不过周围的饮食银行不多，杭州真美！', '短评打分': 3}
{'短评内容': '还是很不错的，可能因为我在10楼住，所以对于楼下的KTV并没有太大的声响。除了稍微有点汽车喇叭的声音，其他都挺安静的。\n不过稍微有点欠缺的就是：电视信号只是普通的有线电视，而不是华数电视信号。', '短评打分': 5}
{'短评内容': '在比较繁华的区域，离市心广场只有几分钟的步行，很值得', '短评打分': 5}
{'短评内容': '处于市中心，周围购物，吃饭方便，但酒店设施跟其他的如家完全不一样，有点小宾馆的感觉。', '短评打分': 5}
{'短评内容': '十房间干净，温馨，不错。', '短评打分': 3}
{'短评内容': '酒店位置非常好，周围有很多娱乐设施，吃喝玩乐行', '短评打分': 5}
{'短评内容': '房间环境很不错，干净卫生，交通也很方便。', '短评打分': 5}
{'短评内容': '卫生还可以,空间有点小(大床房),隔壁说话听的很清楚', '短评打分': 3}
{'短评内容': '不错，价格好，服务也好。下次还会去的。不错不错', '短评打分': 5}
{'短评内容': '服务态度不错，位置也很好  交通比较方便，就是大床房面积小了点，其他都ok 没华数字电视', '短评打分': 5}
{'短评内容': '服务挺到位，环境不错…', '短评打分': 3}
{'短评内容': '总体上感觉还是不错的，边上的各种消费场所也都有，比较方便', '短评打分': 5}
{'短评内容': '地理环境优越，服务态度很好。很值得去的一家酒店，价格实惠。', '短评打分': 5}
{'短评内容': '总体还好，就是隔音效果太差了，隔壁聊天听的清清楚楚。。。', '短评打分': 3}
{'短评内容': '必较卫生干净，服务态度较好，但是房间太小（大床间）！', '短评打分': 5}
{'短评内容': '地理位置好 ，房间也比较宽敞。周围娱乐设施也有 。好', '短评打分': 5}
{'短评内容': '酒店整体还可以,就是从卫生间出去到卧室下去有点高', '短评打分': 3}
{'短评内容': '房间蛮大的，就是早点没有了WF，我上网都上不了了。。。住的还是拉登的房间911，有意思哈!', '短评打分': 5}
{'短评内容': '大床房很好', '短评打分': 3}
{'短评内容': '房间太大啦！！空调不给力了。其他的都不错哦，服务好！', '短评打分': 5}
{'短评内容': '服务很好，很亲切。房间很大。热水很足，阳光充足', '短评打分': 5}
{'短评内容': '这家分店，总的来讲比较好。只是，我住的房间可能空间太大，空调不给力，晚上有点凉。这是一个最大的缺陷。其他都还好。环境也比较安静。', '短评打分': 5}
{'短评内容': '本来是想订家离杭州火车南站较近的酒店的，看到网上说只有0.2公里，于是就订了，其实打车从火车站到体育路与市心南路交界的这家酒店需要10分钟，交通还算顺利吧。酒店的环境很清幽，整体感觉不错，就是晚上不停地有人塞进些乱七八糟的卡片来，不甚其烦（成年人都懂得）……', '短评打分': 5}
{'短评内容': '新开的店吧，位置还不错的。只是电梯不方便因为楼下是银乐迪还有台球，每天晚上人就很多，等电梯有点挤。周边吃的地方还蛮多的，算是市中心吧。', '短评打分': 5}
{'短评内容': '我是如家忠实会员，没有想到杭州萧山的这家如此的烂，当时预定这酒店只是源于我对如家的看法不错，但失望......电梯哗啦啦想，让人害怕，没有餐厅，下面的银乐迪，台球厅，烦！就是连起码的房间标识都错了，就是便宜180，看来便宜没有好货，下次绝不入住！', '短评打分': 1}
{'短评内容': '新开的酒店，POSE机还未装好~但挺干净的，不错', '短评打分': 5}
{'短评内容': '还不错，房间非常温馨， 楼下还有打台球  唱歌的      如果能离杭州更近点   那会更加好， ', '短评打分': 5}
