{'短评内容': '多次入住', '短评打分': 5}
{'短评内容': '不提供免费的牙膏,牙刷无可非议,似乎超前了点,旦愿不是借环保之名。其他还是不错的。', '短评打分': 5}
{'短评内容': '1、集中空调不成。\n2、电视很小且很老。\n3、早餐很贵，20元一位。\n4、结账时，除了房费160元外，又收了2元的价格调节费。说是潍坊市政府规定的。--天呐，前一天晚上我还在该市的该集团的另外一家鸢飞宾悦酒店入住，也没这笔收费啊。', '短评打分': 1}
{'短评内容': '地面为瓷砖,会给人档次不高的感觉,早餐一般,卫生还可以.', '短评打分': 5}
{'短评内容': '典型的商务酒店，装修有点陈旧，位置还不错。', '短评打分': 1}
{'短评内容': '潍坊世纪泰华商务酒店房间很宽敞，感觉很好，酒店里的餐厅很有特色，早餐也很好，小米粥真香。。。', '短评打分': 5}
{'短评内容': '酒店有点老，但感觉比较温馨，关键是购物很方便，和商场在一起', '短评打分': 5}
{'短评内容': '酒店7楼餐馆比较好，服务比较好，交通便利', '短评打分': 5}
{'短评内容': '房间好', '短评打分': 3}
{'短评内容': '潍坊世纪泰华商务酒店地理位置不错，周围餐饮方便', '短评打分': 5}
{'短评内容': '位于商业区，购物方便；房间舒适卫生，不错。', '短评打分': 5}
{'短评内容': '房间设施一般，但属于鸢飞的酒店，服务还是不错的，不过现在开始涨价了', '短评打分': 3}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '舒适、清洁、卫生、安全、安静、就是电视有些陈旧、能换个液晶电视就更好了！', '短评打分': 5}
{'短评内容': '  酒店还可以， ', '短评打分': 3}
{'短评内容': '酒店服务还可以，价格也算公道，房间稍小。电视机陈旧，节目好多受限。洗手间配套电吹风会更好…', '短评打分': 3}
{'短评内容': '住着很舒服，到潍坊出差就会选择这里。出行很方便。', '短评打分': 5}
{'短评内容': '不如150的房间好，有点冷，卫生间也不怎么样~\n下次还是住150的吧~', '短评打分': 1}
{'短评内容': '已经是第二次住了 不错,酒店环境很好，交通方便，附近就是泰华，很方便', '短评打分': 5}
{'短评内容': '  很好', '短评打分': 3}
{'短评内容': '服务态度都很好，就是有些不足，8楼的KTV声音太想了', '短评打分': 5}
{'短评内容': '环境很优雅、舒适度非常好!大厅的现场钢琴演奏也显得特别有情调！', '短评打分': 5}
{'短评内容': '已经好几次了~\n都比较满意~\n最近更新了被子~\n还挺好的~', '短评打分': 5}
{'短评内容': '该店地理位置好，和大型商场连在一起，购物特别方便。酒店的服务也很温馨周到。性价比高。', '短评打分': 5}
{'短评内容': '房间还不错  服务也很OK，就床单换的不勤', '短评打分': 5}
{'短评内容': '位置优越，吃饭、购物、娱乐非常方便。就是设施、装修较老，服务还好。', '短评打分': 5}
{'短评内容': '环境还不错，服务很周到，地段也很好，价格实惠，下次还来', '短评打分': 5}
{'短评内容': '比较经济实惠，附近就是商务区，离火车站汽车站都近', '短评打分': 5}
{'短评内容': '不错呢，房间蛮干净的，已经是第二次入住了。以后还是会选择这里的，很方便', '短评打分': 5}
{'短评内容': '房间挺大，周围环境也不错，可以上网，就是无早餐，不太方便，总台服务员态度不太好。考虑到价格比较合理，我还会再去住。', '短评打分': 5}
{'短评内容': '酒店环境不错，网速也挺快，唯一的遗憾是前台退房开具发票的服务员服务态度很不好，这给酒店抹黑，希望更换人员。。', '短评打分': 5}
{'短评内容': '位置很好，市中心，玩、吃、购物方便。早餐不错，爱吃烤地瓜，喝鲜豆浆。', '短评打分': 5}
{'短评内容': '位置好，但房间一般。床很大，标间放两个双人床。不过是旧店，远不如胜利东街的鸢飞宾悦。', '短评打分': 1}
{'短评内容': '位置不错，吃饭、购物方便。就是硬件设施有些老旧，但是服务弥补了一些不足。', '短评打分': 5}
{'短评内容': '房间很宽敞舒适，价格便宜。不错的体验。', '短评打分': 5}
{'短评内容': '酒店的设施新，配置全。服务很专业。', '短评打分': 5}
{'短评内容': '泰华店经济实惠，性价比相当高的酒店。舒适度很好。', '短评打分': 5}
{'短评内容': '价格就这样不应该有太多要求哈', '短评打分': 1}
{'短评内容': '这个地方实在不错，房间大，入住之前服务员会烧一壶开会等您入住，下午三点才退房。。。', '短评打分': 5}
{'短评内容': '酒店的地理位置优越，对面就是风筝广场。环境很赞。', '短评打分': 5}
{'短评内容': '环境很好，服务好，周边方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施都很新，环境卫生也很不错。还是比较喜欢这家酒店。', '短评打分': 5}
{'短评内容': '上次入住的是特价房，虽然房间不大。但是环境非常好。配置硬件设施也很不错，新装修的酒店性价比很好。顶一下。', '短评打分': 5}
{'短评内容': '酒店的位置很好，周围环境也很不错，吃饭，游玩都非常方便，很喜欢泰华这家店，下次去还会入住！', '短评打分': 5}
{'短评内容': '整体中矩中距，位置不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这个酒店除了位置较好(交通\\购物),它的商务间已经很陈旧了.多年前住过感觉不错,这次入住,实在觉得该重新改造和装修才对!', '短评打分': 1}
{'短评内容': '名字就有问题，酒店名字就有误导嫌疑，是泰华商务酒店，说和东风街的一样，其实很大差异。168元，太贵了。像火车站附近的招待所一样。连电视都是放在铁架上。建议有想接见客户的不要入住。不然你的业务一定黄。', '短评打分': 1}
