{'短评内容': '早餐品种多，好吃', '短评打分': 5}
{'短评内容': '夜间进店价格比较恐怖，前台要价没得商量。', '短评打分': 1}
{'短评内容': '离机场比较近，交通方便，可以洗桑拿（另付费），比较干净，服务不错', '短评打分': 5}
{'短评内容': ' 宾馆还不错 交通也很便利', '短评打分': 3}
{'短评内容': '金色池塘酒店环境不错服务很好 退房后可以寄存行李。 离机场比较近位置容易找', '短评打分': 3}
{'短评内容': '距机场步行十分钟，早餐还好。', '短评打分': 3}
{'短评内容': '不错很干净', '短评打分': 3}
{'短评内容': '不错！条件很好！很干净.下次还会来', '短评打分': 3}
{'短评内容': '该酒店位于机场附近，晚上飞机起降频繁，噪音很大。', '短评打分': 1}
{'短评内容': '其他还可以，不过跟穿着浴袍的人同乘电梯确实需要勇气', '短评打分': 5}
{'短评内容': '距离现在的机场比较近，但是不在主路上。泡温泉不错，遗憾的是对酒店住客无优惠。', '短评打分': 5}
{'短评内容': '酒店条件一般，毛巾等太差。', '短评打分': 3}
{'短评内容': '我觉得金色池塘店，，服务非常好。环境还行，但是贵了点。。', '短评打分': 5}
{'短评内容': '地址位置好，离机场很近。适合晚班到的飞机找地方住。', '短评打分': 5}
{'短评内容': '距离昆明机场比较近，房间还算干净，但楼下是洗浴中心给人感觉不好。晚上比较吵影响睡眠。', '短评打分': 1}
{'短评内容': '不错不错~离机场近~房间很干净~以后还会来~', '短评打分': 5}
{'短评内容': '交通方便，离机场很近，附件也有小街，很多小吃。性价比很好', '短评打分': 5}
{'短评内容': '离机场很近，环境、设施都不错！但可能是入住率高，地毯有较脏，估计有好几天没有清洗了，建议改进！', '短评打分': 5}
{'短评内容': '离机场真的很近，打车也没有说的难打，房间也很好啊，就是早饭有点差', '短评打分': 5}
{'短评内容': '服务很热情，从停车场开始一直到上电梯都有服务员引导。房间装修算8成新，房内设施也还不错，宽带速度挺快。朝南的房间会受到机场飞机起降声音的干扰，朝北的房间比较安静。总体满意。\n提醒：入住大床房，当你靠在床头休息时，木质床头堪比扩音器，会把隔壁房间住客的声音清晰地传递过来，就像是床头柜有一个收音机低声在播放。不知道这边的声音会不会也同样传给隔壁房间。情侣入住，多多注意。', '短评打分': 5}
{'短评内容': '第一次入住。飞机误点了，到酒店都凌晨四点了，客服很热情。', '短评打分': 5}
{'短评内容': '   入住两晚。还可以。', '短评打分': 3}
{'短评内容': '交通方便，到机场较近，服务很好，很安静，干净卫生，房间环境很好，但早餐较差。。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '交通方便，到机场较近，服务很好，很安静，干净卫生，房间环境很好，但早餐较差。。', '短评打分': 5}
{'短评内容': '环境很好，服务也很好，物超所值。', '短评打分': 3}
{'短评内容': '我觉的不错！', '短评打分': 3}
{'短评内容': '距离机场步行的话还是比较远的，打车不方便，服务一般，不推荐', '短评打分': 1}
{'短评内容': '第一次入住是看酒店外观不错，住了以后感觉反差很大，一般吧', '短评打分': 1}
{'短评内容': '十良好', '短评打分': 3}
{'短评内容': '服务非常好，环境也非常不错！推荐入住，交通也十分便利', '短评打分': 5}
{'短评内容': '性价比很高的酒店。服务也可以。稍有不足的是床太小，马桶冲水往上会浇到身体', '短评打分': 5}
{'短评内容': '服务态度不够热情，其它尚可。', '短评打分': 3}
{'短评内容': '＋卫生干净舒适，该为客人想到的都做到了！', '短评打分': 3}
{'短评内容': '环境还可以,但服务上还欠佳,希望酒店能提供更人性化的服务,不要只是程序化的做好一件事,且最好能提供一个好的微笑服务,不要太呆板处置做事.', '短评打分': 5}
{'短评内容': '房间比较小，但是服务很热情。', '短评打分': 3}
{'短评内容': '设施有点陈旧 早餐吃的东西太少了了 没有去机场的接送服务 打的不是很方便 ，但是离机场很近 大床房很宽敞 很干净 服务人员很热情 总体感觉性价比还是可以的', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 3}
{'短评内容': '帮朋友订的，说是性价比不错，离机场非常近，只是外环境很一般', '短评打分': 5}
{'短评内容': '酒店干净整洁，离机场很近，走路只要10分钟，打车比较难。', '短评打分': 5}
{'短评内容': '离机场近，早餐比以前有改善，服务态度比较热情，值得推荐', '短评打分': 5}
{'短评内容': '不错，服务热情周到，床不软比较适合我。房间里的设施也很好，价格性能比高。', '短评打分': 5}
{'短评内容': '房间干净，比较舒适，离机场近，早餐也不错。', '短评打分': 5}
{'短评内容': ' 房间一般，和一般经济酒店差不多；早餐的东西太少，并且有很多洗桑拿的客人一起进餐，比较混乱', '短评打分': 5}
{'短评内容': '第一次遇到如此雷人的酒店。床正中挂一监控摄像头！牛', '短评打分': 1}
{'短评内容': '酒店设施基本可以，服务态度比较好，只是出门交通不很方便。', '短评打分': 5}
{'短评内容': '感觉好不错吧  就是吃早餐还得穿着拖鞋去有点囧  ', '短评打分': 5}
{'短评内容': '酒店位置很好，离机场很近，装修稍有些旧。下面是洗澡的地方', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店非常好，服务设施等都很到位，房间里的一次性用具都很有档次，早餐非常丰富，服务设施齐全，和5星级有一拼，性价比超高。离机场还特近，很方便。唯一不理想的就是酒店没有出租车服务，要自己到路边去打车。', '短评打分': 5}
{'短评内容': '酒店不错\n位置和价格、设施、服务都不错\n就是跟洗浴在一起。有点那个啊', '短评打分': 5}
{'短评内容': '酒店环境不错，一开始觉得带桑那感觉不好，但是进了房间就不一样了，设施和条件准备的都非常齐全，准备回去的时候再去那边，可以游泳洗桑拿哈~~最重要的是离机场很近，用走的就可以倒，如果时间来得及~~', '短评打分': 5}
{'短评内容': '主要是离机场近，最大的优点 \n其他的都一般吧', '短评打分': 5}
{'短评内容': '1、 酒店位置很好，离机场很近，打车起步价即到。\n2、 出门即能打车，去哪儿都方便。\n3、 酒店的硬件与价格相比，还是比较超值的，推荐！\n4、 酒店的服务水准不错，人员很热情，赞！\n\n改善建议：由于离机场较近，打车时遭到出租车司机的恶劣语言攻击，酒店可否提供机场接送服务？', '短评打分': 5}
{'短评内容': '豪华单间的设施不错，房间比较干净，床比较舒服，卫生间光线柔和，遗憾的是早餐太简单，建议在房费中增加早餐费用。', '短评打分': 5}
{'短评内容': '还可以，服务不错。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店很干净很舒适，挺好的', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '还不错，自助早餐', '短评打分': 3}
{'短评内容': '在那里等飞机不错.离机场不远,还有洗浴.早饭是和洗浴中心的人一起吃,很混乱.早餐不怎样.', '短评打分': 5}
{'短评内容': '不错，东西很齐全！', '短评打分': 3}
{'短评内容': '很干净,很安静,很安全!服务很好!', '短评打分': 3}
{'短评内容': '可以而已.......................................................................................................', '短评打分': 5}
{'短评内容': '管理到位，服务好，性价比较高，酒店内还有浴场，设施较全', '短评打分': 5}
{'短评内容': '离机场很近，环境也可以，周围设施很方便，价格适中', '短评打分': 5}
{'短评内容': '不错    还行吧    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': ' 还比较实惠', '短评打分': 3}
{'短评内容': '这个酒店到机场相当方便，出门直接向机场方向走一会就到', '短评打分': 5}
{'短评内容': '距离机场比较近，方便，价格也不算贵，干净卫生', '短评打分': 5}
{'短评内容': '离机场比较近，打车需要走约50米，公交车站稍远一点；早餐大概7点开始，早班机会有点赶，不过貌似可以吃米线；标间空间比较大，除了床有些硬，其他都还不错。', '短评打分': 5}
{'短评内容': '房间不错。环境很好 …', '短评打分': 3}
{'短评内容': '很干净，设施很新，如果倒飞机可以去他家洗澡，休息一晚，买澡票不开房更划算。', '短评打分': 5}
{'短评内容': '首先，这家酒店的位置不错，距离机场很近，至于要步行一小段距离就有公交车站，也很好打的。\n然后酒店服务人员的态度热情，很到位。\n再说说设施，我住的是198的标间，空间很宽，感觉很干净整洁，一些基本必须的设施也一应俱全。卫生间的空间适中，热水很足。还赠送了两张早餐卷，可惜因为早班飞机太早，没能去吃……唯一不足的地方是，房间里的宽带不知怎么就上不去了……不过总的来说性价比很高。强力推荐！', '短评打分': 5}
{'短评内容': '还算可以的酒店，就是门口不好打车，要走到外面。\n', '短评打分': 5}
{'短评内容': '服务热情有礼，房间卫生不错，酒店的空调系统很不错。意见呢就是房间的宽带系统差了点，客房宽带用的网通，在国内目前北网通南电信的格局下在昆明用网通访问速度真的是惨不忍睹，还好自己带了3G。总体还是很满意的，已经续住了。', '短评打分': 5}
{'短评内容': '服务好，环境不错，离机场近！不错，下次有机会还会入住', '短评打分': 5}
{'短评内容': '不是宾馆就是浴场里的客房.早饭较差.优点是离机场较近.', '短评打分': 1}
{'短评内容': '这个酒店还蛮不错的。离机场很近。住得又舒服，很不错啊。', '短评打分': 5}
{'短评内容': '还不错，离机场很近，方便...........', '短评打分': 5}
{'短评内容': '条件还可以，就是周围环境有点差，离市区有点远，不过机场挺近的', '短评打分': 5}
{'短评内容': '因酒店附属于大浴场，环境比较混乱。房间设施陈旧，特别是卫浴设备，没有任何牌子和标记的抽水马桶合上盖后不小心坐上就会破裂，吓人。奇在不但不道歉还要赔钱200百元！买全套都有多余！如要投诉上级公司没门！总台上给出的市和省的投诉电话打过去，得到的回复是没有这个电话号码！前台虽放有经理袁某的名片，如有事联络永远是出外不在办公室，能闻其声不见其人。服务态度说差还是客气的！有如此人物领导管理酒店。再住是要有些', '短评打分': 1}
{'短评内容': '房間舒適', '短评打分': 3}
{'短评内容': '酒店离机场很近，硬件软件都还可以，价格差不多。', '短评打分': 5}
{'短评内容': '还不错~~值得入住！！下次有机会还会住~', '短评打分': 5}
{'短评内容': '酒店价格实惠、卫生整洁、设施齐全，尤其是空调系统很好用。', '短评打分': 5}
{'短评内容': '房间里还不错的说，但楼下是洗浴中心，有点不爽。。。\n这次主要是因为赶个隔夜的飞机，就想找个离机场近的，谁想到早上出门还不好打车。要是赶飞机，还是不建议住这里。\n', '短评打分': 1}
{'短评内容': '房间条件尚可，但大堂与桑拿按摩客人混用，感觉混乱而且不雅。', '短评打分': 3}
{'短评内容': '总体还可以\n赶早飞机的比较方便\n但是早上比较难打的\n', '短评打分': 5}
{'短评内容': '不错，服务态度和环境很好！房间很干净，舒服！', '短评打分': 5}
{'短评内容': '酒店离机场较近，干净整洁，还能够享受到温泉，价格不贵，值得一住。', '短评打分': 5}
{'短评内容': '综合性价比还是挺高的,服务很周到.外观是稍微差点。下次还会来。', '短评打分': 5}
{'短评内容': '这家酒店性价比还算比较好，交通也比较方便。离机场也打车也就几分钟\n服务态度很好\n还有桑拿，洗浴，足疗都比较方便\n就是有一点，就餐不太方便\n好像是6楼有个餐厅，但是好像是提供给洗桑拿的，住客房的只能送外卖', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '在机场附近 早上赶飞机的挺方便 没有出租打摩的也行\r\n由于和', '短评打分': 5}
{'短评内容': '新装修了，总体还不错。但是这个价格稍微贵了一点，性价比不高！但是离机场很近，就选择了这里。', '短评打分': 3}
{'短评内容': '酒店不错，卫生、干净。服务态度好。', '短评打分': 3}
{'短评内容': '如果第二天要坐飞机的话，这家酒店的位置不错，除了床小一点，房间干净、卫生，服务态度好。就是早餐品种太少，与穿着保健服的人一同用餐感觉奇特。', '短评打分': 5}
{'短评内容': '这是个洗浴中心，半夜有骚扰电话，甚至敲房门。房内上网，电吹风都不好用。强烈不推荐！', '短评打分': 5}
{'短评内容': '距离机场很近,服务生都很热情!性价比比较高,有机会下次还会入住!', '短评打分': 5}
{'短评内容': '+挺好的', '短评打分': 5}
{'短评内容': '态度很好，非常满意，下回来继续订此店', '短评打分': 5}
{'短评内容': '这个价格不太值，房间、设施都很一般，不够其他的连锁酒店好。。。。', '短评打分': 1}
{'短评内容': '硬件太一般，叫不到出租车。', '短评打分': 5}
{'短评内容': '服务很热情。', '短评打分': 5}
{'短评内容': '还是性价比挺好的一个酒店，如果第二天一早要在昆明机场转机的朋友可以选择这里。', '短评打分': 5}
{'短评内容': '很好我住了三个晚上\n\n\n\n', '短评打分': 5}
{'短评内容': '装修很好，服务生很周到，很接近机场，值得推荐', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '作为一个准四星酒店，外观是稍微暗淡了一点的。不过好在房间还不错，服务也很好，性价比中上很经济实惠。如果下次还在昆明转机还会入住的。', '短评打分': 3}
{'短评内容': '作为一个准四星酒店，外观是稍微暗淡了一点的。不过好在房间还不错，服务也很好，性价比中上很经济实惠。如果下次还在昆明转机还会入住的。', '短评打分': 3}
{'短评内容': '作为一个准四星酒店，外观是稍微暗淡了一点的。不过好在房间还不错，服务也很好，性价比中上很经济实惠。如果下次还在昆明转机还会入住的。', '短评打分': 5}
{'短评内容': '这酒店的服务员特别好，下次来应该还会住这', '短评打分': 5}
{'短评内容': '酒店档次高，离机场很近，要是有接机送机就更好了', '短评打分': 3}
{'短评内容': '酒店的条件还不错,综合性价比还是挺高的,而且服务也好很周到,服务人员也很热情.', '短评打分': 5}
{'短评内容': '该酒店的足浴非常好，如果第二天赶飞机的话只需5分钟车程，美中不足的是该酒店出租车比较难打。', '短评打分': 5}
{'短评内容': '本人刘进益已在8月20日晚上七点入住云南昆明市金色阳光温泉酒店.', '短评打分': 5}
{'短评内容': '环境还可以但是交通很不方便打车都打不到，卫生设施倒还可以，价格还是有些偏高。', '短评打分': 1}
{'短评内容': '环境服务设施舒适度都很好 以后再去昆明还会住在这里', '短评打分': 5}
{'短评内容': '我刘进益本人已在16日下午五點入住昆明金色池塘溫泉酒店.', '短评打分': 5}
{'短评内容': '房间的卫生还可以设施也就是比较一般，酒店的位置也不是太好找的。价格的话就是还是稍微偏高了感觉应该再便宜一些。', '短评打分': 5}
{'短评内容': '酒店相当不错，离机场很近，10元车程，有免费接送机就更好了', '短评打分': 3}
{'短评内容': '离机场很近，不到2公里，但是预定的时候前台没有查到预订信息，吓了一跳，总体来说还是不错的！', '短评打分': 5}
{'短评内容': '酒店相当不错，强烈推荐大家在此住宿，离机场很近', '短评打分': 5}
{'短评内容': '：酒店服务很热情，离机场近，就是周边购物娱乐东西少了些…房间还行，干净，新装修。', '短评打分': 5}
{'短评内容': '酒店十分干净，舒适。', '短评打分': 5}
{'短评内容': '房间还行。位置是挺好找但是打车不是太方便，价格服务都还可以不过在当地来看的话价格还是有些高。其他方面感觉都还可以。', '短评打分': 1}
{'短评内容': '酒店外观环境一般，房间还不错，价格的话算是比较不错，位置不是太方便。最大优势离机场比较近。', '短评打分': 5}
{'短评内容': '第一次通过E-LONG 预订此酒店，总体感觉如下：\r\n位置很好，吃饭等都很方便， 客房也很舒服，而且礼宾的服务也很热情。\r\n不足的部分如下：\r\n1.大堂里有很多穿睡衣的客人， 很不雅观 。\r\n2.早餐太糟糕，品种出奇的少，而且仅有的几个点心，感觉上不知道是那天吃剩下来的，都干了 。\r\n3.去餐厅吃早餐，一定要在餐厅门口换鞋套，或者是穿拖鞋，而且，换鞋套也不正规，连坐着换鞋子的椅子都没有， 也没有鞋', '短评打分': 5}
