{'短评内容': '不错的进择', '短评打分': 5}
{'短评内容': '房间设施陈旧，卫生一般，唯一优点就是安静，刚及格', '短评打分': 1}
{'短评内容': '经济实惠的商务酒店，位置不错，环境还可以', '短评打分': 5}
{'短评内容': '经济实惠的商务酒店，因为能入住外宾菜选择的，不错', '短评打分': 5}
{'短评内容': '性价比还不错。位置在区政府附近，周围有民政厅，卫生厅。新华路也很紧。', '短评打分': 5}
{'短评内容': '去建设厅办事很方便，环境还不错~早餐也不错', '短评打分': 5}
{'短评内容': '住宿感觉很好，确实不错。如果再有个衣柜就更好了。', '短评打分': 3}
{'短评内容': '酒店总体不错，唯一不好的是中餐厅，性价比不好。不过，出去就餐就是了。酒店还不错', '短评打分': 5}
{'短评内容': '服务态度还不错，比较干净温馨，但临街的房间过汽车还是声音大了些。', '短评打分': 5}
{'短评内容': '不好，下次不去了。', '短评打分': 3}
{'短评内容': '服务周到，干净快捷。性价比很高，会再次入住。住的房间在酒店餐厅上方，服务员告诉会有点吵，自已感觉还好。', '短评打分': 5}
{'短评内容': '各方面还可以 ，环境也不错，就是油烟机有点吵', '短评打分': 5}
{'短评内容': '水床睡着很舒服，房间隔音不好，服务还不错', '短评打分': 5}
{'短评内容': '整体感觉不错，对面一条街上的几个饭店相当不错，特别是大盘鸡，那是相当的给力！', '短评打分': 5}
{'短评内容': '服务员不是很专业，早餐不错的！！方圆1公里没有一个像样的网吧', '短评打分': 5}
{'短评内容': '还不错，在这个酒店生活了一周，离火车站打车才6元钱，还比较方便，198元送双早，早餐也还是不错，牛肉很好吃，房间也还干净，但是电视还是老电视，不是液晶，还有就是水很冷，洗澡冬天快冷死了，但有时又还可以，总之10分我打8.5分', '短评打分': 5}
{'短评内容': '酒店总体还算整洁，房间较宽敞，位置还算不错。缺乏人性化管理，服务员态度呵业务一般，作为服务行业，应改进！', '短评打分': 5}
{'短评内容': '早餐不错，就是每天花样太缺乏变化。另外房间里的电脑速度实在是太慢了，该更新换代啦。', '短评打分': 5}
{'短评内容': '电视有点旧，服务还行，离办事的地方很近。', '短评打分': 3}
{'短评内容': '网速比较慢，其他的都还行，性价比算还行吧。', '短评打分': 5}
{'短评内容': '还是不错的  房间很大   就是电视很小躺床上几乎都看不到  呵呵', '短评打分': 5}
{'短评内容': '一般，电视比较老了点，网速很慢啊，不过还比较干净吧。', '短评打分': 3}
{'短评内容': '+酒店一般，稍微有点贵啊，电视频道比较少网速慢。………', '短评打分': 3}
{'短评内容': '条件还行，网速比较慢，服务一般。198的标间价格有点贵哦', '短评打分': 3}
{'短评内容': '电视比较老。比较安静，旁边有吃饭的地方。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '喜欢这里', '短评打分': 5}
{'短评内容': '服务很周到而且房间住起来也很舒服.卫生和设施条件也不错,整体来进这家酒店性价比蛮高的.', '短评打分': 5}
{'短评内容': '总体感觉不错。性价比尚可。', '短评打分': 5}
{'短评内容': '在这里住过两次了，感觉不错，第一次标间，第二次单人间。单人间面积有点小，不过一个人住，无所谓啦。很喜欢他家厕所的装扮。但是洗澡的地方用拉链分离，是不是简陋点？很干净。晚上还会送水果，不错。早餐很好', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '送的早餐不错，如果收费每人5元\r\n\r\n不足：网络很差，经常掉线，网速还慢。\r\n前台服务很一般，效率比较低\r\n\r\n房间的电视，巨烂，二手地摊都买不到的东西，它那还当大件！\r\n\r\n', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '性价比较好', '短评打分': 5}
{'短评内容': '感觉除总台服务态度冷漠、脸色难看外，其他的与其价位相比较，算一般', '短评打分': 1}
{'短评内容': '酒店的服务还可以,设施比较新比较齐全,位置离市中心比较近,交通比较方便,总体还不错.', '短评打分': 3}
{'短评内容': '我入住的是位于泰华街上的泰华商务酒店，干净、整洁，给我留下深刻印象的是该酒店的三人间布局非常好！ ：=）', '短评打分': 5}
{'短评内容': '在石家庄来说这个酒店的条件算不错的了，服务也还可以，而且他的位置我觉得算是可以的了。', '短评打分': 3}
{'短评内容': '设施很全,服务很周到,就是位置稍微偏了一些,但是以这个价格来说这家酒店还是非常不错的.值得推荐.', '短评打分': 3}
{'短评内容': '酒店一般，免费送的苹果太次了', '短评打分': 5}
