{'短评内容': '整体不错下次再来.', '短评打分': 5}
{'短评内容': '一楼前台有个男的收银员很是垃圾啊，估计在文华呆的久了，垃圾样子，建议去文华住酒店的朋友们注意一下，教育教育这垃圾。', '短评打分': 5}
{'短评内容': '二楼的中餐厅味道不错，给的量很足，觉得挺好，但在房间订餐打电话很是麻烦，服务员很难沟通，对于基本的菜品都不如客人了解。', '短评打分': 5}
{'短评内容': '一楼前台有个男的收银员很是垃圾啊，估计在文华呆的久了，痞子气十足，建议去文华住酒店的朋友们注意一下，教育教育这垃圾。', '短评打分': 5}
{'短评内容': '小楼一夜听春雨，深巷明朝卖杏花。呵呵呵。素衣莫起风尘叹，犹及清明可到家。其他两句忘记了，晕死 ，矮纸斜行闲作草，还有什么来着？', '短评打分': 5}
{'短评内容': '老酒店，但服务不错。楼层很安静。本来很喜欢酒店三楼的西餐厅，可惜现在搬到一楼大堂后，环境不如从前，大打折扣。', '短评打分': 5}
{'短评内容': '是老板入住的，他是对酒店品质要求比较高的，跟着就推荐他的朋友入住了，可见酒店还是不错的', '短评打分': 5}
{'短评内容': '因为台风改变了行程，入住酒店甚至都没有来得及仔细看。\n总体感觉好好，比较干净，服务业还行。', '短评打分': 5}
{'短评内容': '不错的，贵宾楼层很安静，下午有免费下午茶，服务也周到，只是21楼有个房间漏水，影响休息了。', '短评打分': 5}
{'短评内容': '房间很不错啊。。。很漂亮。。。很喜欢。。。自助餐还行吧。。。反正是送的。。。', '短评打分': 5}
{'短评内容': '酒店还挺好的，就是偏贵，而且周围的设施跟不上，附近连个小卖部都没有。而且交通很拥堵。', '短评打分': 5}
{'短评内容': '海南文华大酒店（海口）>海南文华大酒店（海口）>海南文华大酒店（海口）>海南文华大酒店（海口）>', '短评打分': 5}
{'短评内容': '海南文华大酒店（海口）>海南文华大酒店（海口）>海南文华大酒店（海口）>', '短评打分': 5}
{'短评内容': '这酒店住了很多次了，西餐自助一般，在海口来说，算是比较普通的了。总体讲有点偏贵，占了位置好的优势了，总体讲算海口市内最好的了，希望海口的其他几个五星努力一把超了文华', '短评打分': 5}
{'短评内容': '这酒店住了很多次了，环境不错，但有拐角的房间不太舒服，西餐自助一般，在海口来说，算是比较普通的了。总体讲有点偏贵，占了位置好的优势了', '短评打分': 5}
{'短评内容': '这酒店住了很多次了，环境不错，西餐自助一般，在海口来说，算是比较普通的了。总体讲有点偏贵，占了位置好的优势了', '短评打分': 5}
{'短评内容': '这酒店住了很多次了，环境不错，西餐自助一般，在海口来说，算是比较普通的了。总体讲有点偏贵，占了位置好的优势了，但是感觉蛮好的', '短评打分': 5}
{'短评内容': '还是不错的，感觉比喜来登强一些，温馨的感觉，就是停车不太方便。每次都得找一会。', '短评打分': 5}
{'短评内容': '环境不错，但有拐角的房间不太舒服，西餐自助一般，在海口来说，算是比较普通的了。总体讲有点偏贵，占了位置好的优势。贵宾楼层还是不错的。', '短评打分': 5}
{'短评内容': '酒店还行，老资格的酒店.位置很好。市中心', '短评打分': 5}
{'短评内容': '房间 有一股霉味！设施陈旧，但服务尚可。', '短评打分': 1}
{'短评内容': '海南文华大酒店（海口） \n海南文华大酒店（海口） \n', '短评打分': 5}
{'短评内容': '海南文华大酒店（海口） 海南文华大酒店（海口） \n\n', '短评打分': 5}
{'短评内容': '＋还可以', '短评打分': 3}
{'短评内容': '早餐不是很好，没有服务。房间可以，服务很好。', '短评打分': 5}
{'短评内容': '房间大，位置也不错，前台服务也很好，我需要吸烟房，很快就给调配好并送房卡到房间，早餐非常丰盛，值得一住。', '短评打分': 5}
{'短评内容': '环境舒适，服务周到，交通便利', '短评打分': 3}
{'短评内容': '房间大，位置也不错，前台服务也很好，我需要吸烟房，很快就给调配好并送房卡到房间，早餐非常丰盛，值得一住。', '短评打分': 5}
{'短评内容': '帮老板订的，老板说还不错，下次去还订这一家酒店！', '短评打分': 5}
{'短评内容': '酒店有些旧，但整体还不错。', '短评打分': 3}
{'短评内容': '整体还行，主要是在市区里，比较方便，到哪里都行，下次还会考虑', '短评打分': 5}
{'短评内容': '位于中心区的商务酒店，服务不错。周围打车、购物、吃饭、散步观光都很方便。', '短评打分': 5}
{'短评内容': '老牌的五星酒店，地段服务都一流，价格不贵', '短评打分': 5}
{'短评内容': '酒店还好。位置不错。就是有点旧。其他的还好吧。', '短评打分': 1}
{'短评内容': '该酒店大堂还可以,房间内设施与五星级严重不符,性价比极差', '短评打分': 3}
{'短评内容': '酒店总体感觉很好 房间很大 早餐也很丰富', '短评打分': 3}
{'短评内容': '环境很好房间很干净，住的很舒服。', '短评打分': 3}
{'短评内容': ' 娱乐设施太少:', '短评打分': 3}
{'短评内容': ' 酒店应增设全区无线网络!', '短评打分': 3}
{'短评内容': '很好的酒店。还会去的，在很好的环境里居住让我觉得很舒服。推荐。', '短评打分': 5}
{'短评内容': '服务好，装修不错，豪华间住的比较舒服，就是要拿信用卡预定太麻烦了。', '短评打分': 3}
{'短评内容': '地理位置不错，环境也不错，管理好，配套也还不错，就是设施有些陈旧（走廊地毯）。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '酒店还不错。早餐一般，服务员的态度挺好。', '短评打分': 5}
{'短评内容': '不错的酒店。就是要大床房不能满足要求~~', '短评打分': 5}
{'短评内容': '滨海大道旁边，到假日海滩，看印象海南岛都挺方便，酒店房间有淡淡香气，装修一新，对得起这个价格。就是不包早餐！！说了是参加搞活动的，也不通融下送个早餐券。总体满意。', '短评打分': 5}
{'短评内容': '还成~  酒店是年代久远的了，相对而言服务不错。', '短评打分': 5}
{'短评内容': '卫生条件不错，就是设施有些陈旧。\n室内泳池一般', '短评打分': 5}
{'短评内容': '非常不错，服务很到位，就是附近没什么海口本地的餐馆，要走1000米左右', '短评打分': 5}
{'短评内容': '有年头的酒店了，在海口一直做得很好，很漂亮！', '短评打分': 5}
{'短评内容': '酒店的自助餐不錯, 價格合理平常日中午買一送一. 房間也很乾淨,距離市中心不算遠. ', '短评打分': 5}
{'短评内容': '很便宜 很好 老板说下次去海口还是要住这家', '短评打分': 5}
{'短评内容': '不错 就是热线电话态度有点生硬 感觉不是很友好', '短评打分': 5}
{'短评内容': '床这个问题，希望能根据大众喜好，多换一些硬板床', '短评打分': 5}
{'短评内容': '+酒店不错，下次还住。', '短评打分': 5}
{'短评内容': '还好了，勉强能达到五星水平', '短评打分': 5}
{'短评内容': '各方面都不错，就是游泳池对着马路很奇怪', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境非常好，非常安静，自助早餐款式较多。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '价格偏高，其他都很不错，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '价格偏贵；入住时顾着打电话忘了拿身份证，有个服务员跑着送来，表扬一次；房间入住有赠送水果，不过下次能不能不要送烂水果，每个来文华住的都是吃得起水果的，烂水果、不新鲜的水果，是不尊重客人，还是不尊重自己呢？有时候小聪明办不了大事；文华对我的评论称之为“不厌其烦”，看来你们烦了\r\n', '短评打分': 5}
{'短评内容': '位置好、性价比高', '短评打分': 3}
{'短评内容': '淡季价格值得推荐', '短评打分': 5}
{'短评内容': '我觉得文华酒店给我很亲切的感觉 环境和服务都很好 而且交通那些特方便....以后去还是去那里 因为有太多美好的回忆', '短评打分': 5}
{'短评内容': '前台接待服务有进步，会主动打招呼啦；大堂‘鲁能城‘房产促销虽然让人感到了岛上疯狂的余热，但好像不应该出现在文华这样的品牌酒店里！', '短评打分': 5}
{'短评内容': '酒店一般，房間比較舊和簡單。前台服務非常差，共訂了8個大床房，下午3點多登記時才被告訴只有標房，還等了差不多一個小時才有房間', '短评打分': 1}
{'短评内容': '还是不错就是离机场youdianyuan', '短评打分': 5}
{'短评内容': '酒店位置较好，卫生好，服务员态度好，但前台接待稍差。', '短评打分': 5}
{'短评内容': '文华酒店闹中取静，房间很舒适，服务也不错，自助餐好吃。', '短评打分': 5}
{'短评内容': '服务比几年前差很多', '短评打分': 5}
{'短评内容': '酒店位置不错，购物出行均很方便。但是房间内空气质量不好，又闷又潮，感觉不舒服。', '短评打分': 3}
{'短评内容': '酒店位置不错，购物出行均很方便。但是房间内空气质量不好，又闷又潮，感觉不舒服。', '短评打分': 5}
{'短评内容': '卫生服务方面都很不错,打扫的很干净,位置也很,位于市中心,出行很方便,但就是硬件设施上有点陈旧了.', '短评打分': 3}
{'短评内容': '酒店圣诞装饰非常漂亮，收银的小姐态度挺好；入住接待的几位态度奇差，客人需要先跟他们打招呼，他们才会应你，而笑容是根本见不到！因为客人多，价格涨了不少；赠送的水果品相差不说还有烂的', '短评打分': 5}
{'短评内容': '老牌的五星，设施不是太跟的上了，但是环境和卫生都很好', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '酒店总体上不错,虽然是老酒店,大堂看起来还是非常豪华!客房设施有些旧了,但是保养得还是不错,卫生条件也挺好的!如果来海口商务出差,推荐这家酒店,因为出行比较方便!', '短评打分': 5}
{'短评内容': '很好的位置，内部很好，一楼的茶桌点心也好\r\n', '短评打分': 3}
{'短评内容': '还是不错的！是商旅首选！', '短评打分': 5}
{'短评内容': '服务有进步，价格有上涨；不太舒适的床上及洗漱用品未见更换', '短评打分': 5}
{'短评内容': 'great!the room is big,more space,it is nice!', '短评打分': 3}
{'短评内容': '前台的态度尤其接送生的态度值得改进，我们想了解一些情况，他们好像不太乐意回答，或者一问三不知，应该培训培训。', '短评打分': 5}
{'短评内容': '酒店更新了液晶电视，话匣子服务态度有改进；不足：Check-in 速度太慢！床上的被子和枕头与五星级有距离，晚上冻得不得了却找不到多一床被子！牙膏建议不要选现在的莫名其妙的牌子；洗发水洗得满头头皮屑！宣传短片创意不错，但是歌曲质量无论歌词还是演唱都不怎么像国际品牌酒店', '短评打分': 5}
{'短评内容': '虽然设置稍显陈旧，但性价比很好', '短评打分': 5}
{'短评内容': '老牌酒店，是个不错的选择；但近期两次买月饼票却遇到些不愉快，值得酒店改进；另外，促销优惠酒店每日三件免费湿洗，住了两天，送过四件分两天，照收一件，而且挑贵的收...', '短评打分': 5}
{'短评内容': '电视机太小，现在酒店装修，中午睡觉有点吵，其他服务还不错', '短评打分': 5}
{'短评内容': '位置是很重要的,也正附合了我们当时的要求.\r\n离港口五分钟的车程!\r\n服务不错哦,当时到达已快十一点了,酒店的服务人员也感受到我们的倦意,所以迅速的帮我们办好入住手续!\r\n只是里面的设施应该更新一下喇!', '短评打分': 5}
{'短评内容': '酒店各方面条件都不错。', '短评打分': 5}
{'短评内容': '酒店大堂很大气,背靠滨海大道,环境不错,出行很方便,就是标间的单人床与五星级的酒店不符,太窄.离开酒店打车门童很负责,将出租车号进行备案,交于客人.给人一种安全的感觉(走了全国几十个省市,这是第一次,也可能是海口的治安特点吧)', '短评打分': 3}
{'短评内容': '酒店大堂很大气,背靠滨海大道,环境不错,出行很方便,就是标间的单人床与五星级的酒店不符,太窄.离开酒店打车门童很负责,将出租车号进行备案,交于客人.给人一种安全的感觉(走了全国几十个省市,这是第一次,也可能是海口的治安特点吧)', '短评打分': 5}
{'短评内容': '历史悠久，不错的酒店，价格稍贵，服务\r\n有待提高：每次Elong优惠酒店都故作不知。最近要求信用卡担保已很少去了：实在多此一举！', '短评打分': 5}
{'短评内容': '在海口地区还算可以了,酒店虽然老点服务还算可以', '短评打分': 5}
{'短评内容': '在海口地区还算可以了,酒店虽然老点服务还算可以', '短评打分': 5}
{'短评内容': '在海口地区还算可以了,酒店虽然老点服务还算可以', '短评打分': 5}
{'短评内容': '旺中取静，离明珠广场海秀路商业中心举步之遥，购物方便；进出酒店的路稍显杂乱，搭出租有时可能需步行到外边主路。旧酒店翻新，房间显小，设施略为落伍；早餐品种过少；电话免费；服务态度不错。', '短评打分': 5}
{'短评内容': '&amp;#8220;是看了该网站的介绍选择文华的。酒店很人性化，还有送水果，宽带是免费的，在金贸区办事、附件打高尔都很方便，根据房间的不同角度有的可看见海，有的被建筑物挡 &amp;lt;BR&amp;gt;住了。酒店软件方面，前台服务员的微笑如能更真城一些就更好了，不过整体感觉还是不错的。', '短评打分': 5}
